,time,price,volume
0,Dec 06 2019 01: +0,2.329,80
1,Dec 07 2019 01: +0,2.345,63
2,Dec 08 2019 01: +0,2.677,41
3,Dec 09 2019 01: +0,2.442,32
4,Dec 10 2019 01: +0,2.433,37
5,Dec 11 2019 01: +0,2.233,26
6,Dec 12 2019 01: +0,2.227,36
7,Dec 13 2019 01: +0,2.228,59
8,Dec 14 2019 01: +0,2.136,39
9,Dec 15 2019 01: +0,2.121,40
10,Dec 16 2019 01: +0,2.337,25
11,Dec 17 2019 01: +0,2.266,32
12,Dec 18 2019 01: +0,2.358,36
13,Dec 19 2019 01: +0,2.245,26
14,Dec 20 2019 01: +0,2.118,51
15,Dec 21 2019 01: +0,2.285,38
16,Dec 22 2019 01: +0,2.132,34
17,Dec 23 2019 01: +0,2.285,27
18,Dec 24 2019 01: +0,2.185,34
19,Dec 25 2019 01: +0,2.429,48
20,Dec 26 2019 01: +0,2.796,64
21,Dec 27 2019 01: +0,2.732,30
22,Dec 28 2019 01: +0,2.607,38
23,Dec 29 2019 01: +0,2.684,48
24,Dec 30 2019 01: +0,2.768,34
25,Dec 31 2019 01: +0,3.118,29
26,Jan 01 2020 01: +0,3.095,23
27,Jan 02 2020 01: +0,3.054,42
28,Jan 03 2020 01: +0,3.345,45
29,Jan 04 2020 01: +0,3.39,24
30,Jan 05 2020 01: +0,3.862,28
31,Jan 06 2020 01: +0,3.787,23
32,Jan 07 2020 01: +0,3.891,13
33,Jan 08 2020 01: +0,4.108,21
34,Jan 09 2020 01: +0,3.879,19
35,Jan 10 2020 01: +0,4.231,18
36,Jan 11 2020 01: +0,4.085,26
37,Jan 12 2020 01: +0,4.191,27
38,Jan 13 2020 01: +0,4.675,12
39,Jan 14 2020 01: +0,4.247,15
40,Jan 15 2020 01: +0,3.747,17
41,Jan 16 2020 01: +0,3.791,13
42,Jan 17 2020 01: +0,4.23,29
43,Jan 18 2020 01: +0,3.994,35
44,Jan 19 2020 01: +0,4.016,10
45,Jan 20 2020 01: +0,3.767,28
46,Jan 21 2020 01: +0,3.845,16
47,Jan 22 2020 01: +0,3.657,13
48,Jan 23 2020 01: +0,3.79,26
49,Jan 24 2020 01: +0,3.827,37
50,Jan 25 2020 01: +0,3.811,25
51,Jan 26 2020 01: +0,3.707,33
52,Jan 27 2020 01: +0,3.684,15
53,Jan 28 2020 01: +0,3.713,10
54,Jan 29 2020 01: +0,3.576,20
55,Jan 30 2020 01: +0,3.78,15
56,Jan 31 2020 01: +0,4.027,21
57,Feb 01 2020 01: +0,3.878,23
58,Feb 02 2020 01: +0,3.969,22
