,time,price,volume
0,Dec 17 2020 01: +0,3.848,14
1,Dec 18 2020 01: +0,3.236,31
2,Dec 19 2020 01: +0,3.1,33
3,Dec 20 2020 01: +0,2.939,34
4,Dec 21 2020 01: +0,2.882,30
5,Dec 22 2020 01: +0,3.151,34
6,Dec 23 2020 01: +0,2.87,24
7,Dec 24 2020 01: +0,2.99,36
8,Dec 25 2020 01: +0,3.688,64
9,Dec 26 2020 01: +0,4.029,34
10,Dec 27 2020 01: +0,3.686,30
11,Dec 28 2020 01: +0,3.389,38
12,Dec 29 2020 01: +0,4.075,25
13,Dec 30 2020 01: +0,4.047,27
14,Dec 31 2020 01: +0,3.777,29
15,Jan 01 2021 01: +0,3.911,20
16,Jan 02 2021 01: +0,3.889,32
17,Jan 03 2021 01: +0,3.557,29
18,Jan 04 2021 01: +0,3.895,26
19,Jan 05 2021 01: +0,3.967,23
20,Jan 06 2021 01: +0,3.98,27
21,Jan 07 2021 01: +0,4.149,40
22,Jan 08 2021 01: +0,5.224,40
23,Jan 09 2021 01: +0,5.455,36
24,Jan 10 2021 01: +0,5.763,27
25,Jan 11 2021 01: +0,5.129,38
26,Jan 12 2021 01: +0,5.42,27
27,Jan 13 2021 01: +0,5.703,28
28,Jan 14 2021 01: +0,5.89,33
29,Jan 15 2021 01: +0,6.032,33
30,Jan 16 2021 01: +0,6.014,24
31,Jan 17 2021 01: +0,6.007,30
32,Jan 18 2021 01: +0,5.586,31
33,Jan 19 2021 01: +0,6.165,28
34,Jan 20 2021 01: +0,6.42,12
35,Jan 21 2021 01: +0,6.279,28
36,Jan 22 2021 01: +0,6.227,32
37,Jan 23 2021 01: +0,5.654,34
38,Jan 24 2021 01: +0,5.651,20
39,Jan 25 2021 01: +0,5.681,17
40,Jan 26 2021 01: +0,4.69,16
41,Jan 27 2021 01: +0,4.548,17
42,Jan 28 2021 01: +0,4.836,16
43,Jan 29 2021 01: +0,4.585,29
44,Jan 30 2021 01: +0,4.619,28
45,Jan 31 2021 01: +0,4.565,18
46,Feb 01 2021 01: +0,4.723,12
47,Feb 02 2021 01: +0,4.657,18
48,Feb 03 2021 01: +0,4.689,20
49,Feb 04 2021 01: +0,4.398,19
50,Feb 05 2021 01: +0,4.268,29
51,Feb 06 2021 01: +0,4.236,20
52,Feb 07 2021 01: +0,4.264,25
53,Feb 08 2021 01: +0,4.473,16
54,Feb 09 2021 01: +0,4.3,15
55,Feb 10 2021 01: +0,3.856,18
56,Feb 11 2021 01: +0,3.605,18
57,Feb 12 2021 01: +0,3.782,24
58,Feb 13 2021 01: +0,4.152,20
59,Feb 14 2021 01: +0,3.665,27
