,time,price,volume
0,Jan 11 2019 01: +0,1.88,27
1,Jan 12 2019 01: +0,1.849,25
2,Jan 13 2019 01: +0,1.769,27
3,Jan 14 2019 01: +0,1.616,21
4,Jan 15 2019 01: +0,1.595,26
5,Jan 16 2019 01: +0,1.621,31
6,Jan 17 2019 01: +0,1.602,27
7,Jan 18 2019 01: +0,1.564,37
8,Jan 19 2019 01: +0,1.554,31
9,Jan 20 2019 01: +0,1.593,23
10,Jan 21 2019 01: +0,1.55,29
11,Jan 22 2019 01: +0,1.566,18
12,Jan 23 2019 01: +0,1.591,25
13,Jan 24 2019 01: +0,1.626,28
14,Jan 25 2019 01: +0,1.458,22
15,Jan 26 2019 01: +0,1.462,23
16,Jan 27 2019 01: +0,1.556,20
17,Jan 28 2019 01: +0,1.508,16
18,Jan 29 2019 01: +0,1.511,16
19,Jan 30 2019 01: +0,1.458,26
20,Jan 31 2019 01: +0,1.466,18
21,Feb 01 2019 01: +0,1.483,23
22,Feb 02 2019 01: +0,1.552,23
23,Feb 03 2019 01: +0,1.535,21
24,Feb 04 2019 01: +0,1.546,23
25,Feb 05 2019 01: +0,1.448,18
26,Feb 06 2019 01: +0,1.393,23
27,Feb 07 2019 01: +0,1.457,32
28,Feb 08 2019 01: +0,1.538,27
29,Feb 09 2019 01: +0,1.527,14
30,Feb 10 2019 01: +0,1.38,19
31,Feb 11 2019 01: +0,1.466,14
32,Feb 12 2019 01: +0,1.502,13
33,Feb 13 2019 01: +0,1.413,17
34,Feb 14 2019 01: +0,1.554,12
35,Feb 15 2019 01: +0,1.518,18
36,Feb 16 2019 01: +0,1.531,20
37,Feb 17 2019 01: +0,1.539,13
38,Feb 18 2019 01: +0,1.491,14
39,Feb 19 2019 01: +0,1.547,9
40,Feb 20 2019 01: +0,1.611,11
41,Feb 21 2019 01: +0,1.581,14
42,Feb 22 2019 01: +0,1.595,20
43,Feb 23 2019 01: +0,1.556,25
44,Feb 24 2019 01: +0,1.612,9
45,Feb 25 2019 01: +0,1.459,13
46,Feb 26 2019 01: +0,1.452,29
47,Feb 27 2019 01: +0,1.528,18
48,Feb 28 2019 01: +0,1.496,12
49,Mar 01 2019 01: +0,1.447,23
50,Mar 02 2019 01: +0,1.392,22
51,Mar 03 2019 01: +0,1.49,15
52,Mar 04 2019 01: +0,1.619,16
53,Mar 05 2019 01: +0,1.477,8
54,Mar 06 2019 01: +0,1.514,14
55,Mar 07 2019 01: +0,1.598,24
56,Mar 08 2019 01: +0,1.61,10
57,Mar 09 2019 01: +0,1.558,19
58,Mar 10 2019 01: +0,1.539,9
59,Mar 11 2019 01: +0,1.508,13
60,Mar 12 2019 01: +0,1.515,12
61,Mar 13 2019 01: +0,1.363,13
