,time,price,volume
0,Mar 15 2018 01: +0,3.499,2
1,Mar 16 2018 01: +0,1.983,7
2,Mar 17 2018 01: +0,1.647,9
3,Mar 18 2018 01: +0,1.58,6
4,Mar 19 2018 01: +0,1.316,10
5,Mar 20 2018 01: +0,1.268,13
6,Mar 21 2018 01: +0,1.497,11
7,Mar 22 2018 01: +0,1.497,7
8,Mar 23 2018 01: +0,1.269,7
9,Mar 24 2018 01: +0,1.25,10
10,Mar 25 2018 01: +0,1.309,15
11,Mar 26 2018 01: +0,1.714,2
12,Mar 27 2018 01: +0,1.4,4
13,Mar 28 2018 01: +0,1.559,9
14,Mar 29 2018 01: +0,1.496,8
15,Mar 30 2018 01: +0,1.629,9
16,Mar 31 2018 01: +0,1.833,7
17,Apr 01 2018 01: +0,1.815,10
18,Apr 02 2018 01: +0,1.96,4
19,Apr 03 2018 01: +0,1.794,5
20,Apr 04 2018 01: +0,1.749,5
21,Apr 05 2018 01: +0,1.694,10
22,Apr 06 2018 01: +0,1.807,6
23,Apr 07 2018 01: +0,1.735,7
24,Apr 08 2018 01: +0,1.814,5
25,Apr 09 2018 01: +0,1.736,7
26,Apr 10 2018 01: +0,1.64,4
27,Apr 11 2018 01: +0,1.764,9
28,Apr 12 2018 01: +0,1.782,5
29,Apr 13 2018 01: +0,1.71,2
30,Apr 14 2018 01: +0,1.611,11
31,Apr 15 2018 01: +0,1.619,4
32,Apr 16 2018 01: +0,1.638,5
33,Apr 17 2018 01: +0,1.726,2
34,Apr 18 2018 01: +0,1.501,3
35,Apr 19 2018 01: +0,1.621,5
36,Apr 20 2018 01: +0,1.475,4
37,Apr 21 2018 01: +0,1.406,9
38,Apr 22 2018 01: +0,1.436,7
39,Apr 23 2018 01: +0,1.489,4
40,Apr 24 2018 01: +0,1.528,3
41,Apr 25 2018 01: +0,1.537,4
42,Apr 26 2018 01: +0,1.506,8
43,Apr 27 2018 01: +0,1.365,7
44,Apr 28 2018 01: +0,1.36,8
45,Apr 29 2018 01: +0,1.375,10
46,Apr 30 2018 01: +0,1.491,4
47,May 01 2018 01: +0,1.386,5
48,May 02 2018 01: +0,1.489,1
49,May 03 2018 01: +0,1.413,9
50,May 04 2018 01: +0,1.51,5
51,May 05 2018 01: +0,1.367,6
52,May 06 2018 01: +0,1.548,9
53,May 07 2018 01: +0,1.572,2
54,May 08 2018 01: +0,1.484,4
55,May 09 2018 01: +0,1.378,6
56,May 10 2018 01: +0,1.598,3
57,May 11 2018 01: +0,1.557,5
58,May 12 2018 01: +0,1.228,1
59,May 13 2018 01: +0,1.621,7
60,May 14 2018 01: +0,1.535,4
61,May 15 2018 01: +0,1.559,5
62,May 16 2018 01: +0,1.645,5
63,May 17 2018 01: +0,1.692,4
64,May 18 2018 01: +0,1.685,2
65,May 19 2018 01: +0,1.407,4
66,May 20 2018 01: +0,1.304,1
67,May 21 2018 01: +0,1.435,3
