,time,price,volume
0,Nov 02 2018 01: +0,2.3,28
1,Nov 03 2018 01: +0,1.899,37
2,Nov 04 2018 01: +0,1.992,28
3,Nov 05 2018 01: +0,2.328,22
4,Nov 06 2018 01: +0,1.921,22
5,Nov 07 2018 01: +0,1.973,31
6,Nov 08 2018 01: +0,1.697,27
7,Nov 09 2018 01: +0,1.824,37
8,Nov 10 2018 01: +0,1.747,40
9,Nov 11 2018 01: +0,1.686,39
10,Nov 12 2018 01: +0,1.713,29
11,Nov 13 2018 01: +0,1.885,24
12,Nov 14 2018 01: +0,1.926,15
13,Nov 15 2018 01: +0,2.096,22
14,Nov 16 2018 01: +0,2.084,25
15,Nov 17 2018 01: +0,1.864,24
16,Nov 18 2018 01: +0,1.783,26
17,Nov 19 2018 01: +0,1.847,28
18,Nov 20 2018 01: +0,1.874,23
19,Nov 21 2018 01: +0,1.924,16
20,Nov 22 2018 01: +0,1.877,19
21,Nov 23 2018 01: +0,1.929,21
22,Nov 24 2018 01: +0,1.907,21
23,Nov 25 2018 01: +0,1.874,21
24,Nov 26 2018 01: +0,1.797,20
25,Nov 27 2018 01: +0,1.873,25
26,Nov 28 2018 01: +0,1.74,16
27,Nov 29 2018 01: +0,1.832,20
28,Nov 30 2018 01: +0,1.79,31
29,Dec 01 2018 01: +0,1.984,31
30,Dec 02 2018 01: +0,1.937,27
31,Dec 03 2018 01: +0,1.914,23
32,Dec 04 2018 01: +0,1.969,34
33,Dec 05 2018 01: +0,2.093,23
34,Dec 06 2018 01: +0,2.347,26
35,Dec 07 2018 01: +0,2.248,26
36,Dec 08 2018 01: +0,2.244,26
37,Dec 09 2018 01: +0,2.19,20
38,Dec 10 2018 01: +0,2.06,13
39,Dec 11 2018 01: +0,2.039,21
40,Dec 12 2018 01: +0,2.116,16
41,Dec 13 2018 01: +0,2.068,18
42,Dec 14 2018 01: +0,1.91,28
43,Dec 15 2018 01: +0,2.11,27
44,Dec 16 2018 01: +0,2.011,20
45,Dec 17 2018 01: +0,1.989,17
46,Dec 18 2018 01: +0,2.035,23
47,Dec 19 2018 01: +0,2.013,10
48,Dec 20 2018 01: +0,2.016,22
49,Dec 21 2018 01: +0,1.937,22
