,time,price,volume
0,May 25 2017 01: +0,2.362,3
1,May 26 2017 01: +0,2.19,8
2,May 27 2017 01: +0,1.542,4
3,May 28 2017 01: +0,1.824,5
4,May 29 2017 01: +0,1.764,7
5,May 30 2017 01: +0,1.745,6
6,May 31 2017 01: +0,1.56,7
7,Jun 01 2017 01: +0,1.721,5
8,Jun 02 2017 01: +0,1.68,10
9,Jun 03 2017 01: +0,1.79,12
10,Jun 04 2017 01: +0,2.196,5
11,Jun 05 2017 01: +0,2.264,4
12,Jun 06 2017 01: +0,1.763,3
13,Jun 07 2017 01: +0,2.369,6
14,Jun 08 2017 01: +0,2.194,6
15,Jun 09 2017 01: +0,2.317,3
16,Jun 10 2017 01: +0,2.206,7
17,Jun 11 2017 01: +0,2.274,5
18,Jun 12 2017 01: +0,2.243,1
19,Jun 13 2017 01: +0,2.141,8
20,Jun 14 2017 01: +0,2.241,5
21,Jun 15 2017 01: +0,2.393,1
22,Jun 16 2017 01: +0,1.943,6
23,Jun 17 2017 01: +0,2.393,3
24,Jun 18 2017 01: +0,2.339,5
25,Jun 19 2017 01: +0,2.667,4
26,Jun 20 2017 01: +0,3.46,3
27,Jun 21 2017 01: +0,2.762,3
28,Jun 22 2017 01: +0,2.539,3
29,Jun 23 2017 01: +0,2.189,6
30,Jun 24 2017 01: +0,1.941,3
31,Jun 25 2017 01: +0,2.352,4
32,Jun 26 2017 01: +0,2.74,2
33,Jun 27 2017 01: +0,2.669,1
34,Jun 28 2017 01: +0,2.412,3
35,Jun 29 2017 01: +0,2.527,4
36,Jun 30 2017 01: +0,2.551,1
37,Jul 01 2017 01: +0,2.606,2
38,Jul 02 2017 01: +0,2.451,2
39,Jul 03 2017 01: +0,2.479,7
40,Jul 04 2017 01: +0,2.688,4
41,Jul 05 2017 01: +0,2.805,2
42,Jul 06 2017 01: +0,3.055,5
43,Jul 07 2017 01: +0,2.426,1
44,Jul 08 2017 01: +0,3.381,2
45,Jul 09 2017 01: +0,2.971,4
46,Jul 10 2017 01: +0,2.79,3
47,Jul 11 2017 01: +0,2.908,3
48,Jul 12 2017 01: +0,2.873,5
