,time,price,volume
0,Apr 26 2018 01: +0,2.482,4
1,Apr 27 2018 01: +0,1.292,11
2,Apr 28 2018 01: +0,1.348,11
3,Apr 29 2018 01: +0,1.412,22
4,Apr 30 2018 01: +0,1.356,12
5,May 01 2018 01: +0,1.561,9
6,May 02 2018 01: +0,1.521,11
7,May 03 2018 01: +0,1.566,20
8,May 04 2018 01: +0,1.599,11
9,May 05 2018 01: +0,1.523,17
10,May 06 2018 01: +0,1.622,7
11,May 07 2018 01: +0,1.353,7
12,May 08 2018 01: +0,1.423,8
13,May 09 2018 01: +0,1.566,4
14,May 10 2018 01: +0,1.6,4
15,May 11 2018 01: +0,1.606,8
16,May 12 2018 01: +0,1.582,8
17,May 13 2018 01: +0,1.647,7
18,May 14 2018 01: +0,1.587,6
19,May 15 2018 01: +0,1.631,10
20,May 16 2018 01: +0,1.586,6
21,May 17 2018 01: +0,1.503,9
22,May 18 2018 01: +0,1.52,10
23,May 19 2018 01: +0,1.452,9
24,May 20 2018 01: +0,1.428,4
25,May 21 2018 01: +0,1.454,5
26,May 22 2018 01: +0,1.302,6
27,May 23 2018 01: +0,1.431,8
28,May 24 2018 01: +0,1.32,13
29,May 25 2018 01: +0,1.454,6
30,May 26 2018 01: +0,1.409,12
31,May 27 2018 01: +0,1.39,5
32,May 28 2018 01: +0,1.388,5
33,May 29 2018 01: +0,1.441,10
34,May 30 2018 01: +0,1.495,2
35,May 31 2018 01: +0,1.428,6
36,Jun 01 2018 01: +0,1.334,3
37,Jun 02 2018 01: +0,1.378,3
38,Jun 03 2018 01: +0,1.387,6
39,Jun 04 2018 01: +0,1.387,6
40,Jun 05 2018 01: +0,1.37,6
41,Jun 06 2018 01: +0,1.41,9
42,Jun 07 2018 01: +0,1.472,9
43,Jun 08 2018 01: +0,1.54,13
44,Jun 09 2018 01: +0,1.488,10
45,Jun 10 2018 01: +0,1.562,6
46,Jun 11 2018 01: +0,1.65,1
47,Jun 12 2018 01: +0,1.632,4
48,Jun 13 2018 01: +0,1.576,6
49,Jun 14 2018 01: +0,1.542,7
50,Jun 15 2018 01: +0,1.531,9
51,Jun 16 2018 01: +0,1.589,4
52,Jun 17 2018 01: +0,1.591,7
53,Jun 18 2018 01: +0,1.453,5
54,Jun 19 2018 01: +0,1.414,2
55,Jun 20 2018 01: +0,1.588,7
56,Jun 21 2018 01: +0,1.514,3
57,Jun 22 2018 01: +0,1.456,9
58,Jun 23 2018 01: +0,1.62,9
59,Jun 24 2018 01: +0,1.27,9
60,Jun 25 2018 01: +0,1.371,6
61,Jun 26 2018 01: +0,1.411,7
62,Jun 27 2018 01: +0,1.604,5
63,Jun 28 2018 01: +0,1.459,6
64,Jun 29 2018 01: +0,1.516,2
65,Jun 30 2018 01: +0,1.461,11
66,Jul 01 2018 01: +0,1.524,9
67,Jul 02 2018 01: +0,1.654,5
68,Jul 03 2018 01: +0,1.657,11
69,Jul 04 2018 01: +0,2.226,8
70,Jul 05 2018 01: +0,2.252,5
71,Jul 06 2018 01: +0,1.999,4
72,Jul 07 2018 01: +0,2.142,9
73,Jul 08 2018 01: +0,2.237,4
74,Jul 09 2018 01: +0,2.138,6
75,Jul 10 2018 01: +0,2.134,6
76,Jul 11 2018 01: +0,2.113,6
77,Jul 12 2018 01: +0,1.845,4
