,time,price,volume
0,Jan 10 2020 01: +0,2.441,9
1,Jan 11 2020 01: +0,1.66,22
2,Jan 12 2020 01: +0,1.552,22
3,Jan 13 2020 01: +0,1.603,24
4,Jan 14 2020 01: +0,1.542,9
5,Jan 15 2020 01: +0,1.626,21
6,Jan 16 2020 01: +0,1.433,20
7,Jan 17 2020 01: +0,1.522,21
8,Jan 18 2020 01: +0,1.588,21
9,Jan 19 2020 01: +0,1.624,27
10,Jan 20 2020 01: +0,1.667,14
11,Jan 21 2020 01: +0,1.58,10
12,Jan 22 2020 01: +0,1.506,11
13,Jan 23 2020 01: +0,1.52,17
14,Jan 24 2020 01: +0,1.474,37
15,Jan 25 2020 01: +0,1.631,29
16,Jan 26 2020 01: +0,1.452,23
17,Jan 27 2020 01: +0,1.424,45
18,Jan 28 2020 01: +0,1.533,18
19,Jan 29 2020 01: +0,1.446,18
20,Jan 30 2020 01: +0,1.544,20
21,Jan 31 2020 01: +0,1.46,22
22,Feb 01 2020 01: +0,1.568,19
23,Feb 02 2020 01: +0,1.529,22
24,Feb 03 2020 01: +0,1.617,16
25,Feb 04 2020 01: +0,1.459,20
26,Feb 05 2020 01: +0,1.489,28
27,Feb 06 2020 01: +0,1.578,21
28,Feb 07 2020 01: +0,1.562,19
29,Feb 08 2020 01: +0,1.5,23
30,Feb 09 2020 01: +0,1.587,13
31,Feb 10 2020 01: +0,1.586,25
32,Feb 11 2020 01: +0,1.564,12
33,Feb 12 2020 01: +0,1.734,20
34,Feb 13 2020 01: +0,1.79,14
35,Feb 14 2020 01: +0,1.435,18
36,Feb 15 2020 01: +0,1.575,21
37,Feb 16 2020 01: +0,1.511,21
38,Feb 17 2020 01: +0,1.567,16
39,Feb 18 2020 01: +0,1.507,14
40,Feb 19 2020 01: +0,1.471,17
41,Feb 20 2020 01: +0,1.616,15
42,Feb 21 2020 01: +0,1.597,14
43,Feb 22 2020 01: +0,1.507,11
44,Feb 23 2020 01: +0,1.319,17
45,Feb 24 2020 01: +0,1.425,12
46,Feb 25 2020 01: +0,1.313,19
47,Feb 26 2020 01: +0,1.424,13
48,Feb 27 2020 01: +0,1.363,17
49,Feb 28 2020 01: +0,1.416,26
50,Feb 29 2020 01: +0,1.636,22
51,Mar 01 2020 01: +0,1.738,11
52,Mar 02 2020 01: +0,1.574,12
53,Mar 03 2020 01: +0,1.623,11
54,Mar 04 2020 01: +0,1.448,14
55,Mar 05 2020 01: +0,1.53,13
56,Mar 06 2020 01: +0,1.556,10
57,Mar 07 2020 01: +0,1.438,12
58,Mar 08 2020 01: +0,1.616,11
59,Mar 09 2020 01: +0,1.379,5
60,Mar 10 2020 01: +0,1.441,8
61,Mar 11 2020 01: +0,1.529,6
62,Mar 12 2020 01: +0,1.431,16
63,Mar 13 2020 01: +0,1.458,18
64,Mar 14 2020 01: +0,1.477,11
65,Mar 15 2020 01: +0,1.564,11
66,Mar 16 2020 01: +0,1.323,11
67,Mar 17 2020 01: +0,1.449,11
68,Mar 18 2020 01: +0,1.373,14
69,Mar 19 2020 01: +0,1.422,7
70,Mar 20 2020 01: +0,1.283,22
71,Mar 21 2020 01: +0,1.268,21
72,Mar 22 2020 01: +0,1.312,14
73,Mar 23 2020 01: +0,1.202,13
