,time,price,volume
0,Mar 27 2020 01: +0,1.835,36
1,Mar 28 2020 01: +0,1.605,26
2,Mar 29 2020 01: +0,1.439,21
3,Mar 30 2020 01: +0,1.426,47
4,Mar 31 2020 01: +0,1.353,27
5,Apr 01 2020 01: +0,1.267,27
6,Apr 02 2020 01: +0,1.295,32
7,Apr 03 2020 01: +0,1.404,25
8,Apr 04 2020 01: +0,1.334,26
9,Apr 05 2020 01: +0,1.425,25
10,Apr 06 2020 01: +0,1.474,20
11,Apr 07 2020 01: +0,1.442,22
12,Apr 08 2020 01: +0,1.316,34
13,Apr 09 2020 01: +0,1.256,28
14,Apr 10 2020 01: +0,1.343,20
15,Apr 11 2020 01: +0,1.376,28
16,Apr 12 2020 01: +0,1.387,18
17,Apr 13 2020 01: +0,1.464,27
18,Apr 14 2020 01: +0,1.44,19
19,Apr 15 2020 01: +0,1.486,9
20,Apr 16 2020 01: +0,1.36,22
21,Apr 17 2020 01: +0,1.39,24
22,Apr 18 2020 01: +0,1.364,20
23,Apr 19 2020 01: +0,1.431,22
24,Apr 20 2020 01: +0,1.381,23
25,Apr 21 2020 01: +0,1.376,13
26,Apr 22 2020 01: +0,1.374,15
27,Apr 23 2020 01: +0,1.389,14
28,Apr 24 2020 01: +0,1.308,11
29,Apr 25 2020 01: +0,1.321,16
30,Apr 26 2020 01: +0,1.415,12
31,Apr 27 2020 01: +0,1.376,13
32,Apr 28 2020 01: +0,1.313,6
33,Apr 29 2020 01: +0,1.399,20
34,Apr 30 2020 01: +0,1.344,17
35,May 01 2020 01: +0,1.325,12
36,May 02 2020 01: +0,1.376,28
37,May 03 2020 01: +0,1.462,14
38,May 04 2020 01: +0,1.507,12
39,May 05 2020 01: +0,1.46,14
40,May 06 2020 01: +0,1.44,22
41,May 07 2020 01: +0,1.388,18
42,May 08 2020 01: +0,1.42,25
43,May 09 2020 01: +0,1.415,21
44,May 10 2020 01: +0,1.562,15
45,May 11 2020 01: +0,1.66,13
46,May 12 2020 01: +0,1.707,18
47,May 13 2020 01: +0,1.739,14
48,May 14 2020 01: +0,1.672,13
49,May 15 2020 01: +0,1.656,15
50,May 16 2020 01: +0,1.726,18
51,May 17 2020 01: +0,1.733,15
52,May 18 2020 01: +0,1.765,17
53,May 19 2020 01: +0,1.823,17
54,May 20 2020 01: +0,1.789,12
55,May 21 2020 01: +0,1.696,9
56,May 22 2020 01: +0,1.686,16
57,May 23 2020 01: +0,1.774,11
58,May 24 2020 01: +0,1.742,12
59,May 25 2020 01: +0,1.86,11
60,May 26 2020 01: +0,1.767,11
61,May 27 2020 01: +0,1.764,13
62,May 28 2020 01: +0,1.659,13
63,May 29 2020 01: +0,1.676,16
64,May 30 2020 01: +0,1.835,13
65,May 31 2020 01: +0,1.711,11
66,Jun 01 2020 01: +0,1.64,13
67,Jun 02 2020 01: +0,1.756,9
68,Jun 03 2020 01: +0,1.78,12
69,Jun 04 2020 01: +0,1.82,6
70,Jun 05 2020 01: +0,1.631,14
71,Jun 06 2020 01: +0,1.872,13
72,Jun 07 2020 01: +0,1.85,22
73,Jun 08 2020 01: +0,1.985,12
74,Jun 09 2020 01: +0,2.027,7
75,Jun 10 2020 01: +0,1.917,6
76,Jun 11 2020 01: +0,1.798,4
77,Jun 12 2020 01: +0,1.817,11
78,Jun 13 2020 01: +0,1.753,15
79,Jun 14 2020 01: +0,1.92,12
80,Jun 15 2020 01: +0,1.852,13
81,Jun 16 2020 01: +0,1.725,10
82,Jun 17 2020 01: +0,1.623,11
83,Jun 18 2020 01: +0,1.591,16
84,Jun 19 2020 01: +0,1.508,11
85,Jun 20 2020 01: +0,1.483,11
86,Jun 21 2020 01: +0,1.493,19
87,Jun 22 2020 01: +0,1.519,13
88,Jun 23 2020 01: +0,1.505,10
89,Jun 24 2020 01: +0,1.462,5
90,Jun 25 2020 01: +0,1.486,8
91,Jun 26 2020 01: +0,1.436,11
92,Jun 27 2020 01: +0,1.432,13
93,Jun 28 2020 01: +0,1.447,9
94,Jun 29 2020 01: +0,1.409,9
95,Jun 30 2020 01: +0,1.416,11
96,Jul 01 2020 01: +0,1.439,14
97,Jul 02 2020 01: +0,1.471,13
98,Jul 03 2020 01: +0,1.422,15
99,Jul 04 2020 01: +0,1.439,19
100,Jul 05 2020 01: +0,1.442,13
101,Jul 06 2020 01: +0,1.457,19
102,Jul 07 2020 01: +0,1.534,8
103,Jul 08 2020 01: +0,1.501,12
104,Jul 09 2020 01: +0,1.501,18
105,Jul 10 2020 01: +0,1.443,13
106,Jul 11 2020 03: +0,1.265,1
107,Jul 11 2020 04: +0,1.49,1
108,Jul 11 2020 07: +0,1.547,2
109,Jul 11 2020 08: +0,1.546,1
110,Jul 11 2020 09: +0,1.546,3
111,Jul 11 2020 12: +0,1.552,1
112,Jul 11 2020 13: +0,1.552,1
113,Jul 11 2020 15: +0,1.527,2
114,Jul 11 2020 17: +0,1.506,3
115,Jul 11 2020 22: +0,1.54,1
116,Jul 12 2020 00: +0,1.553,1
117,Jul 12 2020 02: +0,1.559,1
118,Jul 12 2020 03: +0,1.554,1
119,Jul 12 2020 04: +0,1.6,2
120,Jul 12 2020 06: +0,1.65,1
121,Jul 12 2020 07: +0,1.655,1
122,Jul 12 2020 08: +0,1.65,1
123,Jul 12 2020 11: +0,1.249,1
124,Jul 12 2020 12: +0,1.638,1
125,Jul 12 2020 14: +0,1.551,1
126,Jul 12 2020 16: +0,1.645,1
127,Jul 13 2020 02: +0,1.54,1
128,Jul 13 2020 04: +0,1.55,1
129,Jul 13 2020 07: +0,1.552,1
130,Jul 13 2020 10: +0,1.554,1
131,Jul 13 2020 11: +0,1.553,1
132,Jul 13 2020 12: +0,1.554,1
133,Jul 13 2020 15: +0,1.549,2
134,Jul 13 2020 18: +0,1.552,1
135,Jul 13 2020 19: +0,1.559,1
