,time,price,volume
0,Jan 18 2018 01: +0,2.141,11
1,Jan 19 2018 01: +0,1.792,70
2,Jan 20 2018 01: +0,2.036,73
3,Jan 21 2018 01: +0,2.005,53
4,Jan 22 2018 01: +0,1.899,29
5,Jan 23 2018 01: +0,1.922,40
6,Jan 24 2018 01: +0,2.1,35
7,Jan 25 2018 01: +0,2.025,34
8,Jan 26 2018 01: +0,2.031,45
9,Jan 27 2018 01: +0,2.051,43
10,Jan 28 2018 01: +0,2.048,31
11,Jan 29 2018 01: +0,2.044,40
12,Jan 30 2018 01: +0,2.134,30
13,Jan 31 2018 01: +0,2.189,28
14,Feb 01 2018 01: +0,2.234,34
15,Feb 02 2018 01: +0,2.333,23
16,Feb 03 2018 01: +0,2.248,19
17,Feb 04 2018 01: +0,2.147,24
18,Feb 05 2018 01: +0,2.156,26
19,Feb 06 2018 01: +0,2.209,19
20,Feb 07 2018 01: +0,2.124,19
21,Feb 08 2018 01: +0,2.162,48
22,Feb 09 2018 01: +0,2.252,32
23,Feb 10 2018 01: +0,2.432,35
24,Feb 11 2018 01: +0,3.201,31
25,Feb 12 2018 01: +0,3.148,17
26,Feb 13 2018 01: +0,2.97,11
27,Feb 14 2018 01: +0,2.95,17
28,Feb 15 2018 01: +0,2.753,31
29,Feb 16 2018 01: +0,2.631,28
30,Feb 17 2018 01: +0,2.992,27
31,Feb 18 2018 01: +0,2.898,20
32,Feb 19 2018 01: +0,2.636,22
33,Feb 20 2018 01: +0,3.008,21
34,Feb 21 2018 01: +0,3.134,12
35,Feb 22 2018 01: +0,3.06,20
36,Feb 23 2018 01: +0,2.619,19
37,Feb 24 2018 01: +0,3.012,21
38,Feb 25 2018 01: +0,2.785,10
39,Feb 26 2018 01: +0,3.021,22
40,Feb 27 2018 01: +0,3.019,12
41,Feb 28 2018 01: +0,2.964,14
42,Mar 01 2018 01: +0,2.969,19
43,Mar 02 2018 01: +0,2.981,14
44,Mar 03 2018 01: +0,2.889,31
45,Mar 04 2018 01: +0,3.051,21
46,Mar 05 2018 01: +0,3.349,21
47,Mar 06 2018 01: +0,3.299,22
48,Mar 07 2018 01: +0,3.325,11
49,Mar 08 2018 01: +0,3.225,18
50,Mar 09 2018 01: +0,3.376,15
51,Mar 10 2018 01: +0,3.431,20
52,Mar 11 2018 01: +0,3.14,21
53,Mar 12 2018 01: +0,3.096,14
54,Mar 13 2018 01: +0,3.48,10
55,Mar 14 2018 01: +0,3.271,11
56,Mar 15 2018 01: +0,3.385,18
57,Mar 16 2018 01: +0,3.268,10
58,Mar 17 2018 01: +0,3.294,17
59,Mar 18 2018 01: +0,3.409,19
60,Mar 19 2018 01: +0,3.368,9
61,Mar 20 2018 01: +0,3.416,8
62,Mar 21 2018 01: +0,3.415,11
63,Mar 22 2018 01: +0,3.386,14
64,Mar 23 2018 01: +0,3.407,15
65,Mar 24 2018 01: +0,3.293,13
66,Mar 25 2018 01: +0,3.531,17
67,Mar 26 2018 01: +0,4.136,11
68,Mar 27 2018 01: +0,4.119,13
69,Mar 28 2018 01: +0,3.415,10
70,Mar 29 2018 01: +0,3.413,18
71,Mar 30 2018 01: +0,3.323,13
72,Mar 31 2018 01: +0,3.342,9
73,Apr 01 2018 01: +0,3.243,12
74,Apr 02 2018 01: +0,3.328,10
75,Apr 03 2018 01: +0,3.355,11
76,Apr 04 2018 01: +0,3.511,10
77,Apr 05 2018 01: +0,3.661,18
78,Apr 06 2018 01: +0,3.224,14
79,Apr 07 2018 01: +0,3.263,8
80,Apr 08 2018 01: +0,2.881,6
81,Apr 09 2018 01: +0,2.776,12
82,Apr 10 2018 01: +0,3.049,9
83,Apr 11 2018 01: +0,2.951,3
84,Apr 12 2018 01: +0,2.993,13
85,Apr 13 2018 01: +0,3.096,8
86,Apr 14 2018 01: +0,3.201,10
87,Apr 15 2018 01: +0,3.114,6
88,Apr 16 2018 01: +0,2.613,5
89,Apr 17 2018 01: +0,2.161,3
90,Apr 18 2018 01: +0,2.558,8
91,Apr 19 2018 01: +0,2.59,7
92,Apr 20 2018 01: +0,2.476,12
93,Apr 21 2018 01: +0,2.536,7
94,Apr 22 2018 01: +0,2.534,6
95,Apr 23 2018 01: +0,2.434,18
96,Apr 24 2018 01: +0,2.482,7
97,Apr 25 2018 01: +0,2.442,11
98,Apr 26 2018 01: +0,2.605,10
99,Apr 27 2018 01: +0,2.545,10
100,Apr 28 2018 01: +0,2.494,10
101,Apr 29 2018 01: +0,2.342,14
102,Apr 30 2018 01: +0,2.244,8
103,May 01 2018 01: +0,2.386,9
104,May 02 2018 01: +0,2.258,7
105,May 03 2018 01: +0,2.373,16
106,May 04 2018 01: +0,2.486,6
107,May 05 2018 01: +0,2.354,10
108,May 06 2018 01: +0,2.397,10
109,May 07 2018 01: +0,2.316,8
110,May 08 2018 01: +0,2.42,9
111,May 09 2018 01: +0,2.556,9
112,May 10 2018 01: +0,2.512,10
113,May 11 2018 01: +0,2.313,9
114,May 12 2018 01: +0,2.271,11
115,May 13 2018 01: +0,2.371,7
116,May 14 2018 01: +0,2.403,8
117,May 15 2018 01: +0,2.185,10
118,May 16 2018 01: +0,2.272,5
119,May 17 2018 01: +0,2.126,10
120,May 18 2018 01: +0,2.389,10
121,May 19 2018 01: +0,2.426,9
122,May 20 2018 01: +0,2.568,11
123,May 21 2018 01: +0,2.766,8
124,May 22 2018 01: +0,2.479,5
125,May 23 2018 01: +0,2.675,6
126,May 24 2018 01: +0,2.572,8
127,May 25 2018 01: +0,2.264,11
128,May 26 2018 01: +0,2.538,15
129,May 27 2018 01: +0,2.611,5
130,May 28 2018 01: +0,2.24,5
131,May 29 2018 01: +0,2.342,10
132,May 30 2018 01: +0,2.287,6
133,May 31 2018 01: +0,2.206,4
134,Jun 01 2018 01: +0,2.09,6
135,Jun 02 2018 01: +0,2.342,12
136,Jun 03 2018 01: +0,1.971,6
137,Jun 04 2018 01: +0,2.369,4
138,Jun 05 2018 01: +0,2.119,11
139,Jun 06 2018 01: +0,1.94,3
140,Jun 07 2018 01: +0,2.143,9
141,Jun 08 2018 01: +0,2.383,7
142,Jun 09 2018 01: +0,2.447,8
143,Jun 10 2018 01: +0,2.528,13
144,Jun 11 2018 01: +0,2.743,8
145,Jun 12 2018 01: +0,2.604,7
146,Jun 13 2018 01: +0,2.241,5
147,Jun 14 2018 01: +0,2.587,3
148,Jun 15 2018 01: +0,2.061,5
