,time,price,volume
0,Dec 21 2017 01: +0,3.339,19
1,Dec 22 2017 01: +0,2.03,64
2,Dec 23 2017 01: +0,2.083,51
3,Dec 24 2017 01: +0,1.975,26
4,Dec 25 2017 01: +0,2.242,43
5,Dec 26 2017 01: +0,2.395,41
6,Dec 27 2017 01: +0,2.328,33
7,Dec 28 2017 01: +0,2.499,24
8,Dec 29 2017 01: +0,2.168,27
9,Dec 30 2017 01: +0,2.113,24
10,Dec 31 2017 01: +0,2.423,20
11,Jan 01 2018 01: +0,2.255,12
12,Jan 02 2018 01: +0,2.328,18
13,Jan 03 2018 01: +0,2.402,23
14,Jan 04 2018 01: +0,2.677,27
15,Jan 05 2018 01: +0,2.675,20
16,Jan 06 2018 01: +0,2.623,16
17,Jan 07 2018 01: +0,2.748,25
18,Jan 08 2018 01: +0,2.695,17
19,Jan 09 2018 01: +0,2.74,13
20,Jan 10 2018 01: +0,2.632,11
21,Jan 11 2018 01: +0,2.425,23
22,Jan 12 2018 01: +0,2.314,19
23,Jan 13 2018 01: +0,2.365,18
24,Jan 14 2018 01: +0,2.698,12
25,Jan 15 2018 01: +0,2.382,22
26,Jan 16 2018 01: +0,2.453,13
27,Jan 17 2018 01: +0,2.32,11
28,Jan 18 2018 01: +0,2.35,12
29,Jan 19 2018 01: +0,2.305,15
30,Jan 20 2018 01: +0,2.433,20
31,Jan 21 2018 01: +0,2.306,12
32,Jan 22 2018 01: +0,2.263,12
33,Jan 23 2018 01: +0,2.342,10
34,Jan 24 2018 01: +0,2.579,14
35,Jan 25 2018 01: +0,2.069,10
36,Jan 26 2018 01: +0,2.22,14
37,Jan 27 2018 01: +0,2.232,15
38,Jan 28 2018 01: +0,2.121,13
39,Jan 29 2018 01: +0,2.018,11
40,Jan 30 2018 01: +0,2.239,11
41,Jan 31 2018 01: +0,2.316,9
42,Feb 01 2018 01: +0,2.259,18
43,Feb 02 2018 01: +0,2.292,15
44,Feb 03 2018 01: +0,2.288,15
45,Feb 04 2018 01: +0,2.385,8
46,Feb 05 2018 01: +0,2.538,20
47,Feb 06 2018 01: +0,2.501,14
48,Feb 07 2018 01: +0,2.399,10
49,Feb 08 2018 01: +0,2.538,24
50,Feb 09 2018 01: +0,2.666,19
51,Feb 10 2018 01: +0,2.264,10
52,Feb 11 2018 01: +0,2.421,10
53,Feb 12 2018 01: +0,2.504,13
54,Feb 13 2018 01: +0,2.493,9
55,Feb 14 2018 01: +0,2.588,9
56,Feb 15 2018 01: +0,2.497,13
57,Feb 16 2018 01: +0,2.347,12
58,Feb 17 2018 01: +0,2.509,19
59,Feb 18 2018 01: +0,2.536,11
60,Feb 19 2018 01: +0,2.042,12
61,Feb 20 2018 01: +0,2.484,10
62,Feb 21 2018 01: +0,2.371,6
63,Feb 22 2018 01: +0,2.171,8
64,Feb 23 2018 01: +0,2.272,11
65,Feb 24 2018 01: +0,2.397,11
66,Feb 25 2018 01: +0,2.34,14
67,Feb 26 2018 01: +0,2.232,3
68,Feb 27 2018 01: +0,2.232,6
69,Feb 28 2018 01: +0,2.13,11
70,Mar 01 2018 01: +0,2.343,21
71,Mar 02 2018 01: +0,2.282,9
72,Mar 03 2018 01: +0,2.191,11
73,Mar 04 2018 01: +0,2.106,7
74,Mar 05 2018 01: +0,2.073,9
75,Mar 06 2018 01: +0,2.152,8
76,Mar 07 2018 01: +0,2.162,12
77,Mar 08 2018 01: +0,2.142,11
78,Mar 09 2018 01: +0,2.151,10
79,Mar 10 2018 01: +0,2.264,10
80,Mar 11 2018 01: +0,2.205,15
81,Mar 12 2018 01: +0,2.369,5
82,Mar 13 2018 01: +0,2.058,4
83,Mar 14 2018 01: +0,1.969,4
84,Mar 15 2018 01: +0,2.11,12
85,Mar 16 2018 01: +0,1.975,6
86,Mar 17 2018 01: +0,2.078,8
87,Mar 18 2018 01: +0,1.962,6
88,Mar 19 2018 01: +0,2.151,8
89,Mar 20 2018 01: +0,1.88,3
90,Mar 21 2018 01: +0,1.747,7
91,Mar 22 2018 01: +0,1.881,9
92,Mar 23 2018 01: +0,1.905,9
93,Mar 24 2018 01: +0,2.078,8
94,Mar 25 2018 01: +0,2.065,8
95,Mar 26 2018 01: +0,1.933,6
96,Mar 27 2018 01: +0,1.839,5
97,Mar 28 2018 01: +0,1.809,5
98,Mar 29 2018 01: +0,1.906,9
99,Mar 30 2018 01: +0,1.877,13
100,Mar 31 2018 01: +0,1.962,9
101,Apr 01 2018 01: +0,1.661,7
102,Apr 02 2018 01: +0,1.659,10
103,Apr 03 2018 01: +0,1.975,10
104,Apr 04 2018 01: +0,1.838,10
105,Apr 05 2018 01: +0,2.02,12
106,Apr 06 2018 01: +0,1.963,8
107,Apr 07 2018 01: +0,2.029,9
108,Apr 08 2018 01: +0,1.941,5
109,Apr 09 2018 01: +0,1.966,5
110,Apr 10 2018 01: +0,1.926,7
111,Apr 11 2018 01: +0,2.029,5
112,Apr 12 2018 01: +0,1.756,6
113,Apr 13 2018 01: +0,1.738,6
114,Apr 15 2018 01: +0,1.783,9
115,Apr 16 2018 01: +0,1.888,8
116,Apr 17 2018 01: +0,1.857,9
117,Apr 18 2018 01: +0,1.922,1
118,Apr 19 2018 01: +0,1.87,5
119,Apr 20 2018 01: +0,1.924,5
120,Apr 21 2018 01: +0,1.918,4
121,Apr 22 2018 01: +0,1.768,4
122,Apr 23 2018 01: +0,1.831,5
123,Apr 24 2018 01: +0,1.899,7
124,Apr 25 2018 01: +0,1.877,6
125,Apr 26 2018 01: +0,1.749,6
126,Apr 27 2018 01: +0,1.774,4
127,Apr 28 2018 01: +0,1.83,4
128,Apr 29 2018 01: +0,1.882,5
129,Apr 30 2018 01: +0,1.852,8
130,May 01 2018 01: +0,1.642,8
131,May 02 2018 01: +0,1.811,5
132,May 03 2018 01: +0,1.73,4
133,May 04 2018 01: +0,1.726,14
134,May 05 2018 01: +0,1.858,9
135,May 06 2018 01: +0,1.731,9
136,May 07 2018 01: +0,1.7,4
137,May 08 2018 01: +0,1.746,6
138,May 09 2018 01: +0,1.528,4
139,May 10 2018 01: +0,1.553,8
140,May 11 2018 01: +0,1.609,6
141,May 12 2018 01: +0,1.616,3
142,May 13 2018 01: +0,1.779,9
143,May 14 2018 01: +0,1.779,5
144,May 15 2018 01: +0,1.818,7
145,May 16 2018 01: +0,1.921,6
146,May 17 2018 01: +0,1.678,3
147,May 18 2018 01: +0,1.645,7
148,May 19 2018 01: +0,1.65,2
149,May 20 2018 01: +0,1.668,7
150,May 21 2018 01: +0,1.848,4
151,May 22 2018 01: +0,1.864,3
152,May 23 2018 01: +0,1.866,3
153,May 24 2018 01: +0,1.636,6
154,May 25 2018 01: +0,1.526,8
155,May 26 2018 01: +0,1.779,1
156,May 27 2018 01: +0,1.613,3
157,May 28 2018 01: +0,1.752,5
158,May 29 2018 01: +0,1.633,4
159,May 30 2018 01: +0,1.72,11
160,May 31 2018 01: +0,1.42,1
161,Jun 01 2018 01: +0,1.713,5
162,Jun 02 2018 01: +0,1.75,2
163,Jun 03 2018 01: +0,1.501,5
164,Jun 04 2018 01: +0,1.67,5
