,time,price,volume
0,Dec 28 2017 01: +0,2.07,35
1,Dec 29 2017 01: +0,1.952,72
2,Dec 30 2017 01: +0,2.004,57
3,Dec 31 2017 01: +0,2.003,35
4,Jan 01 2018 01: +0,2.115,64
5,Jan 02 2018 01: +0,1.905,43
6,Jan 03 2018 01: +0,1.938,32
7,Jan 04 2018 01: +0,1.984,53
8,Jan 05 2018 01: +0,1.999,53
9,Jan 06 2018 01: +0,1.921,43
10,Jan 07 2018 01: +0,1.907,43
11,Jan 08 2018 01: +0,1.892,27
12,Jan 09 2018 01: +0,1.993,36
13,Jan 10 2018 01: +0,1.906,28
14,Jan 11 2018 01: +0,1.879,50
15,Jan 12 2018 01: +0,1.857,32
16,Jan 13 2018 01: +0,1.794,29
17,Jan 14 2018 01: +0,1.796,47
18,Jan 15 2018 01: +0,1.777,26
19,Jan 16 2018 01: +0,1.667,22
20,Jan 17 2018 01: +0,1.672,36
21,Jan 18 2018 01: +0,1.612,35
22,Jan 19 2018 01: +0,1.449,29
23,Jan 20 2018 01: +0,1.457,30
24,Jan 21 2018 01: +0,1.454,41
25,Jan 22 2018 01: +0,1.462,30
26,Jan 23 2018 01: +0,1.518,21
27,Jan 24 2018 01: +0,1.499,22
28,Jan 25 2018 01: +0,1.46,38
29,Jan 26 2018 01: +0,1.455,27
30,Jan 27 2018 01: +0,1.47,43
31,Jan 28 2018 01: +0,1.413,32
32,Jan 29 2018 01: +0,1.374,20
33,Jan 30 2018 01: +0,1.372,20
34,Jan 31 2018 01: +0,1.518,18
35,Feb 01 2018 01: +0,1.379,28
36,Feb 02 2018 01: +0,1.361,21
37,Feb 03 2018 01: +0,1.494,30
38,Feb 04 2018 01: +0,1.363,15
39,Feb 05 2018 01: +0,1.4,28
40,Feb 06 2018 01: +0,1.387,25
41,Feb 07 2018 01: +0,1.528,16
42,Feb 08 2018 01: +0,1.386,26
43,Feb 09 2018 01: +0,1.478,37
44,Feb 10 2018 01: +0,1.438,32
45,Feb 11 2018 01: +0,1.498,26
46,Feb 12 2018 01: +0,1.658,21
47,Feb 13 2018 01: +0,1.599,19
48,Feb 14 2018 01: +0,1.572,19
49,Feb 15 2018 01: +0,1.632,21
50,Feb 16 2018 01: +0,1.427,21
51,Feb 17 2018 01: +0,1.507,32
52,Feb 18 2018 01: +0,1.258,24
53,Feb 19 2018 01: +0,1.492,20
54,Feb 20 2018 01: +0,1.441,15
55,Feb 21 2018 01: +0,1.553,15
56,Feb 22 2018 01: +0,1.486,20
57,Feb 23 2018 01: +0,1.511,22
58,Feb 24 2018 01: +0,1.324,33
59,Feb 25 2018 01: +0,1.228,22
60,Feb 26 2018 01: +0,1.314,16
