,time,price,volume
0,Jan 31 2019 01: +0,3.573,42
1,Feb 01 2019 01: +0,3.303,232
2,Feb 02 2019 01: +0,3.367,152
3,Feb 03 2019 01: +0,3.238,168
4,Feb 04 2019 01: +0,3.154,118
5,Feb 05 2019 01: +0,3.102,136
6,Feb 06 2019 01: +0,3.186,103
7,Feb 07 2019 01: +0,3.249,257
8,Feb 08 2019 01: +0,3.169,253
9,Feb 09 2019 01: +0,3.557,176
10,Feb 10 2019 01: +0,4.087,102
11,Feb 11 2019 01: +0,3.831,58
12,Feb 12 2019 01: +0,3.816,46
13,Feb 13 2019 01: +0,3.66,60
14,Feb 14 2019 01: +0,3.807,90
15,Feb 15 2019 01: +0,3.624,102
16,Feb 16 2019 01: +0,3.39,134
17,Feb 17 2019 01: +0,3.268,62
18,Feb 18 2019 01: +0,3.378,102
19,Feb 19 2019 01: +0,3.33,81
20,Feb 20 2019 01: +0,3.534,102
21,Feb 21 2019 01: +0,3.558,96
22,Feb 22 2019 01: +0,3.416,87
23,Feb 23 2019 01: +0,3.22,123
24,Feb 24 2019 01: +0,3.325,86
25,Feb 25 2019 01: +0,3.616,62
26,Feb 26 2019 01: +0,3.347,45
27,Feb 27 2019 01: +0,3.32,57
28,Feb 28 2019 01: +0,3.087,72
29,Mar 01 2019 01: +0,3.127,82
30,Mar 02 2019 01: +0,2.911,66
31,Mar 03 2019 01: +0,2.898,67
32,Mar 04 2019 01: +0,3.058,54
33,Mar 05 2019 01: +0,3.111,47
34,Mar 06 2019 01: +0,2.949,55
35,Mar 07 2019 01: +0,2.961,103
36,Mar 08 2019 01: +0,3.357,69
37,Mar 09 2019 01: +0,3.213,72
38,Mar 10 2019 01: +0,3.116,54
39,Mar 11 2019 01: +0,3.071,40
40,Mar 12 2019 01: +0,3.089,48
41,Mar 13 2019 01: +0,2.92,28
42,Mar 14 2019 01: +0,3.05,60
43,Mar 15 2019 01: +0,3.23,51
44,Mar 16 2019 01: +0,3.417,90
45,Mar 17 2019 01: +0,3.475,64
46,Mar 18 2019 01: +0,3.545,50
47,Mar 19 2019 01: +0,3.45,28
48,Mar 20 2019 01: +0,3.279,41
49,Mar 21 2019 01: +0,3.28,46
50,Mar 22 2019 01: +0,3.215,47
51,Mar 23 2019 01: +0,3.014,65
52,Mar 24 2019 01: +0,2.99,57
53,Mar 25 2019 01: +0,3.391,57
54,Mar 26 2019 01: +0,3.249,44
55,Mar 27 2019 01: +0,3.049,29
56,Mar 28 2019 01: +0,3.071,46
