,time,price,volume
0,Dec 20 2018 01: +0,3.227,11
1,Dec 21 2018 01: +0,2.419,53
2,Dec 22 2018 01: +0,2.348,28
3,Dec 23 2018 01: +0,2.569,27
4,Dec 24 2018 01: +0,2.407,18
5,Dec 25 2018 01: +0,2.344,25
6,Dec 26 2018 01: +0,2.301,32
7,Dec 27 2018 01: +0,2.26,46
8,Dec 28 2018 01: +0,2.271,18
9,Dec 29 2018 01: +0,2.482,12
10,Dec 30 2018 01: +0,2.21,17
11,Dec 31 2018 01: +0,2.14,27
12,Jan 01 2019 01: +0,2.148,35
13,Jan 02 2019 01: +0,2.118,40
14,Jan 03 2019 01: +0,2.047,27
15,Jan 04 2019 01: +0,2.102,34
16,Jan 05 2019 01: +0,2.127,25
17,Jan 06 2019 01: +0,2.116,22
18,Jan 07 2019 01: +0,2.254,28
19,Jan 08 2019 01: +0,2.247,13
20,Jan 09 2019 01: +0,2.292,19
21,Jan 10 2019 01: +0,2.218,16
22,Jan 11 2019 01: +0,2.033,28
23,Jan 12 2019 01: +0,2.181,12
24,Jan 13 2019 01: +0,2.05,49
25,Jan 14 2019 01: +0,2.007,15
26,Jan 15 2019 01: +0,2.152,21
27,Jan 16 2019 01: +0,2.056,14
28,Jan 17 2019 01: +0,1.952,20
29,Jan 18 2019 01: +0,2.079,18
30,Jan 19 2019 01: +0,2.013,20
31,Jan 20 2019 01: +0,2.01,16
32,Jan 21 2019 01: +0,1.938,15
33,Jan 22 2019 01: +0,1.89,15
34,Jan 23 2019 01: +0,1.828,14
35,Jan 24 2019 01: +0,1.818,21
36,Jan 25 2019 01: +0,1.7,34
37,Jan 26 2019 01: +0,1.698,53
38,Jan 27 2019 01: +0,1.704,27
39,Jan 28 2019 01: +0,1.777,14
40,Jan 29 2019 01: +0,1.543,16
41,Jan 30 2019 01: +0,1.656,21
42,Jan 31 2019 01: +0,1.521,17
43,Feb 01 2019 01: +0,1.501,20
44,Feb 02 2019 01: +0,1.537,19
45,Feb 03 2019 01: +0,1.567,25
46,Feb 04 2019 01: +0,1.609,10
47,Feb 05 2019 01: +0,1.453,16
48,Feb 06 2019 01: +0,1.401,12
49,Feb 07 2019 01: +0,1.425,22
50,Feb 08 2019 01: +0,1.531,31
51,Feb 09 2019 01: +0,1.563,17
52,Feb 10 2019 01: +0,1.443,23
53,Feb 11 2019 01: +0,1.402,21
54,Feb 12 2019 01: +0,1.407,22
55,Feb 13 2019 01: +0,1.35,20
56,Feb 14 2019 01: +0,1.33,15
57,Feb 15 2019 01: +0,1.368,18
58,Feb 16 2019 01: +0,1.378,25
59,Feb 17 2019 01: +0,1.384,20
60,Feb 18 2019 01: +0,1.365,32
61,Feb 19 2019 01: +0,1.334,15
62,Feb 20 2019 01: +0,1.441,11
63,Feb 21 2019 01: +0,1.45,19
64,Feb 22 2019 01: +0,1.385,10
65,Feb 23 2019 01: +0,1.265,21
66,Feb 24 2019 01: +0,1.343,11
67,Feb 25 2019 01: +0,1.363,10
68,Feb 26 2019 01: +0,1.393,16
69,Feb 27 2019 01: +0,1.312,13
70,Feb 28 2019 01: +0,1.305,6
71,Mar 01 2019 01: +0,1.345,14
72,Mar 02 2019 01: +0,1.271,13
73,Mar 03 2019 01: +0,1.254,14
74,Mar 04 2019 01: +0,1.254,13
75,Mar 05 2019 01: +0,1.192,10
76,Mar 06 2019 01: +0,1.246,14
77,Mar 07 2019 01: +0,1.28,19
78,Mar 08 2019 01: +0,1.283,21
79,Mar 09 2019 01: +0,1.196,23
80,Mar 10 2019 01: +0,1.243,14
81,Mar 11 2019 01: +0,1.299,20
82,Mar 12 2019 01: +0,1.214,8
83,Mar 13 2019 01: +0,1.258,14
84,Mar 14 2019 01: +0,1.268,10
85,Mar 15 2019 01: +0,1.266,17
86,Mar 16 2019 01: +0,1.305,14
87,Mar 17 2019 01: +0,1.269,18
88,Mar 18 2019 01: +0,1.293,10
89,Mar 19 2019 01: +0,1.308,19
90,Mar 20 2019 01: +0,1.296,18
91,Mar 21 2019 01: +0,1.225,18
92,Mar 22 2019 01: +0,1.314,14
93,Mar 23 2019 01: +0,1.237,17
94,Mar 24 2019 01: +0,1.223,14
95,Mar 25 2019 01: +0,1.218,9
96,Mar 26 2019 01: +0,1.217,17
97,Mar 27 2019 01: +0,1.223,20
98,Mar 28 2019 01: +0,1.231,12
99,Mar 29 2019 01: +0,1.128,14
100,Mar 30 2019 01: +0,1.163,19
101,Mar 31 2019 01: +0,1.162,21
102,Apr 01 2019 01: +0,1.144,13
103,Apr 02 2019 01: +0,1.149,19
104,Apr 03 2019 01: +0,1.15,13
105,Apr 04 2019 01: +0,1.121,15
106,Apr 05 2019 01: +0,1.137,29
107,Apr 06 2019 01: +0,1.115,28
108,Apr 07 2019 01: +0,1.173,19
109,Apr 08 2019 01: +0,1.154,9
110,Apr 09 2019 01: +0,1.118,14
111,Apr 10 2019 01: +0,1.111,8
112,Apr 11 2019 01: +0,1.18,11
113,Apr 12 2019 01: +0,1.177,11
114,Apr 13 2019 01: +0,1.238,21
115,Apr 14 2019 01: +0,1.222,12
116,Apr 15 2019 01: +0,1.123,13
117,Apr 16 2019 01: +0,1.235,7
118,Apr 17 2019 01: +0,1.253,12
119,Apr 18 2019 01: +0,1.322,17
120,Apr 19 2019 01: +0,1.257,14
121,Apr 20 2019 01: +0,1.243,11
122,Apr 21 2019 01: +0,1.174,8
123,Apr 22 2019 01: +0,1.325,15
124,Apr 23 2019 01: +0,1.195,10
125,Apr 24 2019 01: +0,1.325,13
126,Apr 25 2019 01: +0,1.326,17
127,Apr 26 2019 01: +0,1.335,4
128,Apr 27 2019 01: +0,1.194,10
129,Apr 28 2019 01: +0,1.271,13
130,Apr 29 2019 01: +0,1.306,8
131,Apr 30 2019 01: +0,1.27,7
132,May 01 2019 01: +0,1.177,10
133,May 02 2019 01: +0,1.288,13
134,May 03 2019 01: +0,1.191,6
135,May 04 2019 01: +0,1.201,20
136,May 05 2019 01: +0,1.167,12
137,May 06 2019 01: +0,1.257,8
138,May 07 2019 01: +0,1.302,6
139,May 08 2019 01: +0,1.202,10
140,May 09 2019 01: +0,1.157,9
141,May 10 2019 01: +0,1.169,5
142,May 11 2019 01: +0,1.188,14
143,May 12 2019 01: +0,1.184,9
144,May 13 2019 01: +0,1.107,9
145,May 14 2019 01: +0,1.181,13
146,May 15 2019 01: +0,1.09,4
147,May 16 2019 01: +0,1.119,7
148,May 17 2019 01: +0,1.139,14
149,May 18 2019 01: +0,1.181,10
150,May 19 2019 01: +0,1.141,15
151,May 20 2019 01: +0,1.167,12
152,May 21 2019 01: +0,1.218,9
153,May 22 2019 01: +0,1.184,7
154,May 23 2019 01: +0,1.152,14
155,May 24 2019 01: +0,1.095,12
