,time,price,volume
0,Jul 19 2018 01: +0,2.334,2
1,Jul 20 2018 01: +0,1.707,21
2,Jul 21 2018 01: +0,1.822,15
3,Jul 22 2018 01: +0,1.75,8
4,Jul 23 2018 01: +0,1.797,9
5,Jul 24 2018 01: +0,1.87,18
6,Jul 25 2018 01: +0,1.914,19
7,Jul 26 2018 01: +0,1.963,13
8,Jul 27 2018 01: +0,1.831,14
9,Jul 28 2018 01: +0,1.984,14
10,Jul 29 2018 01: +0,2.008,7
11,Jul 30 2018 01: +0,1.894,10
12,Jul 31 2018 01: +0,1.949,7
13,Aug 01 2018 01: +0,1.828,20
14,Aug 02 2018 01: +0,1.986,25
15,Aug 03 2018 01: +0,1.987,21
16,Aug 04 2018 01: +0,1.897,14
17,Aug 05 2018 01: +0,1.929,18
18,Aug 06 2018 01: +0,1.949,9
19,Aug 07 2018 01: +0,1.91,12
20,Aug 08 2018 01: +0,2.144,7
21,Aug 09 2018 01: +0,1.974,9
22,Aug 10 2018 01: +0,2.073,15
23,Aug 11 2018 01: +0,2.146,13
24,Aug 12 2018 01: +0,2.105,8
25,Aug 13 2018 01: +0,2.146,9
26,Aug 14 2018 01: +0,2.091,3
27,Aug 15 2018 01: +0,2.193,6
28,Aug 16 2018 01: +0,2.169,8
29,Aug 17 2018 01: +0,2.176,11
30,Aug 18 2018 01: +0,1.956,6
31,Aug 19 2018 01: +0,2.009,8
32,Aug 20 2018 01: +0,2.198,8
33,Aug 21 2018 01: +0,2.2,3
34,Aug 22 2018 01: +0,2.134,9
35,Aug 23 2018 01: +0,2.061,7
36,Aug 24 2018 01: +0,1.937,8
37,Aug 25 2018 01: +0,2.124,8
38,Aug 26 2018 01: +0,1.981,2
39,Aug 27 2018 01: +0,2.278,3
40,Aug 28 2018 01: +0,2.33,5
41,Aug 29 2018 01: +0,2.273,5
42,Aug 30 2018 01: +0,2.212,2
43,Aug 31 2018 01: +0,1.86,9
44,Sep 01 2018 01: +0,2.088,8
45,Sep 02 2018 01: +0,2.145,10
46,Sep 03 2018 01: +0,2.041,6
47,Sep 04 2018 01: +0,2.199,3
48,Sep 05 2018 01: +0,1.884,5
49,Sep 06 2018 01: +0,2.053,9
50,Sep 07 2018 01: +0,1.853,10
51,Sep 08 2018 01: +0,2.081,14
52,Sep 09 2018 01: +0,2.014,12
53,Sep 10 2018 01: +0,1.992,5
54,Sep 11 2018 01: +0,2.16,4
55,Sep 12 2018 01: +0,1.998,5
56,Sep 13 2018 01: +0,2.072,5
57,Sep 14 2018 01: +0,2.062,7
58,Sep 15 2018 01: +0,1.873,11
59,Sep 16 2018 01: +0,1.943,8
60,Sep 17 2018 01: +0,1.973,10
61,Sep 18 2018 01: +0,2.056,5
62,Sep 19 2018 01: +0,2.008,10
63,Sep 20 2018 01: +0,2.072,5
64,Sep 21 2018 01: +0,1.92,8
65,Sep 22 2018 01: +0,1.955,11
66,Sep 23 2018 01: +0,2.014,7
67,Sep 24 2018 01: +0,1.839,4
68,Sep 25 2018 01: +0,2.008,4
69,Sep 26 2018 01: +0,2.018,3
70,Sep 27 2018 01: +0,1.975,8
71,Sep 28 2018 01: +0,1.975,9
72,Sep 29 2018 01: +0,2.03,5
73,Sep 30 2018 01: +0,2.051,6
74,Oct 01 2018 01: +0,1.975,8
75,Oct 02 2018 01: +0,2.002,6
76,Oct 03 2018 01: +0,1.964,7
77,Oct 04 2018 01: +0,2.118,13
78,Oct 05 2018 01: +0,2.139,10
79,Oct 06 2018 01: +0,2.169,8
80,Oct 07 2018 01: +0,2.186,8
81,Oct 08 2018 01: +0,2.249,5
82,Oct 09 2018 01: +0,2.291,2
83,Oct 10 2018 01: +0,2.286,5
84,Oct 11 2018 01: +0,2.023,2
85,Oct 12 2018 01: +0,2.248,8
86,Oct 13 2018 01: +0,2.303,4
87,Oct 14 2018 01: +0,2.328,11
88,Oct 15 2018 01: +0,2.432,7
89,Oct 16 2018 01: +0,2.763,6
90,Oct 17 2018 01: +0,2.483,3
91,Oct 18 2018 01: +0,2.663,5
92,Oct 19 2018 01: +0,2.454,7
93,Oct 20 2018 01: +0,2.414,7
94,Oct 21 2018 01: +0,2.008,13
95,Oct 22 2018 01: +0,2.26,7
96,Oct 23 2018 01: +0,2.427,4
97,Oct 24 2018 01: +0,2.35,6
98,Oct 25 2018 01: +0,2.326,4
99,Oct 26 2018 01: +0,2.34,8
100,Oct 27 2018 01: +0,1.979,4
101,Oct 28 2018 01: +0,1.716,8
102,Oct 29 2018 01: +0,1.815,2
103,Oct 30 2018 01: +0,1.803,7
104,Oct 31 2018 01: +0,1.761,6
105,Nov 01 2018 01: +0,1.932,8
106,Nov 02 2018 01: +0,2.123,9
107,Nov 03 2018 01: +0,2.24,16
108,Nov 04 2018 01: +0,2.686,3
109,Nov 05 2018 01: +0,2.202,3
110,Nov 06 2018 01: +0,2.222,7
111,Nov 07 2018 01: +0,2.294,3
112,Nov 08 2018 01: +0,2.228,9
113,Nov 09 2018 01: +0,2.104,3
114,Nov 10 2018 01: +0,2.271,5
115,Nov 11 2018 01: +0,2.033,3
116,Nov 12 2018 01: +0,2.225,5
117,Nov 13 2018 01: +0,2.228,3
118,Nov 14 2018 01: +0,2.276,8
119,Nov 15 2018 01: +0,2.313,1
120,Nov 16 2018 01: +0,2.591,8
121,Nov 17 2018 01: +0,2.68,1
122,Nov 18 2018 01: +0,2.598,9
123,Nov 19 2018 01: +0,2.3,1
124,Nov 20 2018 01: +0,2.443,4
125,Nov 21 2018 01: +0,2.525,6
126,Nov 22 2018 01: +0,2.116,3
127,Nov 23 2018 01: +0,2.489,5
128,Nov 24 2018 01: +0,2.362,6
129,Nov 25 2018 01: +0,2.381,4
130,Nov 26 2018 01: +0,2.358,7
131,Nov 27 2018 01: +0,2.7,9
132,Nov 28 2018 01: +0,2.484,2
133,Nov 29 2018 01: +0,2.872,2
134,Nov 30 2018 01: +0,3.089,4
135,Dec 01 2018 01: +0,2.834,8
136,Dec 02 2018 01: +0,2.757,3
137,Dec 03 2018 01: +0,2.721,2
138,Dec 04 2018 01: +0,2.646,4
139,Dec 05 2018 01: +0,2.78,1
140,Dec 06 2018 01: +0,2.71,11
141,Dec 07 2018 01: +0,2.898,7
142,Dec 08 2018 01: +0,3.166,4
143,Dec 09 2018 01: +0,2.755,6
144,Dec 10 2018 01: +0,2.709,4
145,Dec 11 2018 01: +0,2.728,2
146,Dec 12 2018 01: +0,3.001,1
147,Dec 13 2018 01: +0,2.326,3
148,Dec 14 2018 01: +0,2.46,5
149,Dec 15 2018 01: +0,2.923,4
150,Dec 16 2018 01: +0,2.509,3
151,Dec 17 2018 01: +0,2.835,3
152,Dec 18 2018 01: +0,2.979,2
153,Dec 19 2018 01: +0,2.72,4
154,Dec 20 2018 01: +0,2.874,2
155,Dec 21 2018 01: +0,2.925,4
156,Dec 22 2018 01: +0,3.1,2
157,Dec 23 2018 01: +0,2.857,6
158,Dec 24 2018 01: +0,2.604,6
159,Dec 25 2018 01: +0,2.948,6
160,Dec 26 2018 01: +0,2.908,6
161,Dec 27 2018 01: +0,2.702,7
162,Dec 28 2018 01: +0,2.853,5
163,Dec 29 2018 01: +0,3.082,4
164,Dec 30 2018 01: +0,3.084,5
165,Dec 31 2018 01: +0,2.811,7
166,Jan 01 2019 01: +0,2.997,5
167,Jan 02 2019 01: +0,2.51,4
168,Jan 03 2019 01: +0,3.271,8
169,Jan 04 2019 01: +0,3.562,6
170,Jan 05 2019 01: +0,3.417,2
171,Jan 06 2019 01: +0,3.252,5
172,Jan 07 2019 01: +0,3.193,7
173,Jan 08 2019 01: +0,3.174,7
174,Jan 09 2019 01: +0,3.046,5
175,Jan 10 2019 01: +0,3.035,7
176,Jan 11 2019 01: +0,3.575,5
177,Jan 12 2019 01: +0,3.946,3
178,Jan 13 2019 01: +0,3.167,7
179,Jan 14 2019 01: +0,3.5,4
180,Jan 15 2019 01: +0,3.161,5
181,Jan 16 2019 01: +0,3.438,8
182,Jan 18 2019 01: +0,3.246,11
183,Jan 19 2019 01: +0,3.765,2
184,Jan 20 2019 01: +0,3.757,1
185,Jan 21 2019 01: +0,3.195,2
186,Jan 22 2019 01: +0,3.632,6
187,Jan 23 2019 01: +0,3.06,3
188,Jan 24 2019 01: +0,3.167,7
189,Jan 25 2019 01: +0,3.353,8
190,Jan 26 2019 01: +0,3.131,5
191,Jan 27 2019 01: +0,3.685,3
192,Jan 28 2019 01: +0,3.21,3
193,Jan 29 2019 01: +0,2.977,2
194,Jan 30 2019 01: +0,3.296,3
195,Jan 31 2019 01: +0,3.208,2
196,Feb 01 2019 01: +0,3.32,2
197,Feb 02 2019 01: +0,3.033,4
198,Feb 03 2019 01: +0,3.169,7
199,Feb 04 2019 01: +0,3.352,3
200,Feb 05 2019 01: +0,3.059,1
201,Feb 06 2019 01: +0,2.694,6
202,Feb 07 2019 01: +0,2.954,7
203,Feb 08 2019 01: +0,2.959,3
204,Feb 09 2019 01: +0,2.981,3
205,Feb 10 2019 01: +0,2.953,7
206,Feb 11 2019 01: +0,3.256,1
207,Feb 12 2019 01: +0,2.915,3
208,Feb 13 2019 01: +0,2.41,1
209,Feb 14 2019 01: +0,2.48,5
210,Feb 15 2019 01: +0,2.878,3
211,Feb 16 2019 01: +0,2.968,4
212,Feb 17 2019 01: +0,3.008,4
213,Feb 18 2019 01: +0,2.794,3
214,Feb 19 2019 01: +0,2.854,4
215,Feb 20 2019 01: +0,3.16,4
216,Feb 21 2019 01: +0,3.165,3
217,Feb 22 2019 01: +0,3.215,4
218,Feb 23 2019 01: +0,3.08,8
219,Feb 24 2019 01: +0,3.016,6
220,Feb 25 2019 01: +0,2.856,6
221,Feb 26 2019 01: +0,2.657,2
222,Feb 27 2019 01: +0,2.974,3
223,Feb 28 2019 01: +0,2.87,4
224,Mar 01 2019 01: +0,2.643,4
225,Mar 02 2019 01: +0,2.572,2
226,Mar 03 2019 01: +0,3.0,1
227,Mar 04 2019 01: +0,2.628,4
228,Mar 05 2019 01: +0,2.76,1
229,Mar 06 2019 01: +0,2.648,1
230,Mar 07 2019 01: +0,2.434,10
231,Mar 08 2019 01: +0,2.665,7
232,Mar 09 2019 01: +0,2.324,8
233,Mar 10 2019 01: +0,2.342,2
234,Mar 11 2019 01: +0,2.88,2
235,Mar 12 2019 01: +0,2.737,3
236,Mar 13 2019 01: +0,2.558,1
237,Mar 14 2019 01: +0,2.631,1
238,Mar 15 2019 01: +0,2.625,2
239,Mar 16 2019 01: +0,2.649,3
240,Mar 17 2019 01: +0,1.937,3
241,Mar 18 2019 01: +0,2.674,5
242,Mar 19 2019 01: +0,2.671,1
243,Mar 20 2019 01: +0,2.527,1
244,Mar 21 2019 01: +0,2.344,2
245,Mar 22 2019 01: +0,2.416,7
246,Mar 23 2019 01: +0,2.617,2
247,Mar 24 2019 01: +0,2.544,3
248,Mar 25 2019 01: +0,2.562,4
249,Mar 26 2019 01: +0,2.528,1
250,Mar 27 2019 01: +0,2.299,1
251,Mar 28 2019 01: +0,2.241,6
252,Mar 29 2019 01: +0,2.125,3
253,Mar 30 2019 01: +0,2.102,7
254,Mar 31 2019 01: +0,2.102,5
255,Apr 01 2019 01: +0,2.214,5
256,Apr 02 2019 01: +0,2.503,3
