,time,price,volume
0,Feb 21 2020 01: +0,1.28,18
1,Feb 22 2020 01: +0,1.725,83
2,Feb 23 2020 01: +0,1.767,67
3,Feb 24 2020 01: +0,1.704,58
4,Feb 25 2020 01: +0,1.856,34
5,Feb 26 2020 01: +0,1.608,47
6,Feb 27 2020 01: +0,1.661,42
7,Feb 28 2020 01: +0,1.538,77
8,Feb 29 2020 01: +0,1.613,68
9,Mar 01 2020 01: +0,1.535,55
10,Mar 02 2020 01: +0,1.631,47
11,Mar 03 2020 01: +0,1.627,38
12,Mar 04 2020 01: +0,1.663,59
13,Mar 05 2020 01: +0,1.594,39
14,Mar 06 2020 01: +0,1.549,66
15,Mar 07 2020 01: +0,1.631,73
16,Mar 08 2020 01: +0,1.654,72
17,Mar 09 2020 01: +0,1.634,65
18,Mar 10 2020 01: +0,1.601,47
19,Mar 11 2020 01: +0,1.597,30
20,Mar 12 2020 01: +0,1.648,45
21,Mar 13 2020 01: +0,1.678,72
22,Mar 14 2020 01: +0,1.776,46
23,Mar 15 2020 01: +0,1.642,42
24,Mar 16 2020 01: +0,1.605,46
25,Mar 17 2020 01: +0,1.642,32
26,Mar 18 2020 01: +0,1.682,29
27,Mar 19 2020 01: +0,1.67,25
28,Mar 20 2020 01: +0,1.566,45
29,Mar 21 2020 01: +0,1.593,44
30,Mar 22 2020 01: +0,1.55,34
31,Mar 23 2020 01: +0,1.547,43
32,Mar 24 2020 01: +0,1.655,56
33,Mar 25 2020 01: +0,1.612,56
34,Mar 26 2020 01: +0,1.695,47
35,Mar 27 2020 01: +0,1.685,49
36,Mar 28 2020 01: +0,1.751,42
37,Mar 29 2020 01: +0,1.714,51
38,Mar 30 2020 01: +0,1.657,44
39,Mar 31 2020 01: +0,1.852,28
40,Apr 01 2020 01: +0,1.879,49
41,Apr 02 2020 01: +0,2.045,53
42,Apr 03 2020 01: +0,2.157,59
43,Apr 04 2020 01: +0,2.074,29
44,Apr 05 2020 01: +0,2.027,39
45,Apr 06 2020 01: +0,1.987,21
46,Apr 07 2020 01: +0,1.951,35
47,Apr 08 2020 01: +0,2.01,35
48,Apr 09 2020 01: +0,1.991,31
49,Apr 10 2020 01: +0,1.991,37
50,Apr 11 2020 01: +0,2.058,43
51,Apr 12 2020 01: +0,2.041,38
52,Apr 13 2020 01: +0,2.124,32
53,Apr 14 2020 01: +0,2.021,39
54,Apr 15 2020 01: +0,2.113,39
55,Apr 16 2020 01: +0,2.005,38
56,Apr 17 2020 01: +0,2.028,33
57,Apr 18 2020 01: +0,2.048,26
58,Apr 19 2020 01: +0,1.942,43
59,Apr 20 2020 01: +0,2.075,38
60,Apr 21 2020 01: +0,2.076,39
61,Apr 22 2020 01: +0,2.033,29
62,Apr 23 2020 01: +0,1.983,30
63,Apr 24 2020 01: +0,1.977,39
64,Apr 25 2020 01: +0,2.092,37
65,Apr 26 2020 01: +0,2.051,34
66,Apr 27 2020 01: +0,2.238,41
67,Apr 28 2020 01: +0,2.302,32
68,Apr 29 2020 01: +0,2.26,24
69,Apr 30 2020 01: +0,2.258,24
70,May 01 2020 01: +0,2.265,25
71,May 02 2020 01: +0,2.121,23
72,May 03 2020 01: +0,2.067,26
73,May 04 2020 01: +0,2.171,37
74,May 05 2020 01: +0,2.104,23
75,May 06 2020 01: +0,2.253,22
76,May 07 2020 01: +0,2.237,35
77,May 08 2020 01: +0,2.307,42
78,May 09 2020 01: +0,2.383,22
79,May 10 2020 01: +0,2.383,29
80,May 11 2020 01: +0,2.298,28
81,May 12 2020 01: +0,2.418,22
82,May 13 2020 01: +0,2.293,20
83,May 14 2020 01: +0,2.496,30
84,May 15 2020 01: +0,2.487,27
85,May 16 2020 01: +0,2.441,27
86,May 17 2020 01: +0,2.459,22
87,May 18 2020 01: +0,2.356,26
88,May 19 2020 01: +0,2.484,26
89,May 20 2020 01: +0,2.413,15
90,May 21 2020 01: +0,2.433,22
91,May 22 2020 01: +0,2.472,29
92,May 23 2020 01: +0,2.52,37
93,May 24 2020 01: +0,2.451,22
94,May 25 2020 01: +0,2.33,22
95,May 26 2020 01: +0,2.44,24
96,May 27 2020 01: +0,2.531,24
97,May 28 2020 01: +0,2.58,31
98,May 29 2020 01: +0,2.467,31
99,May 30 2020 01: +0,2.552,33
100,May 31 2020 01: +0,2.597,30
101,Jun 01 2020 01: +0,2.621,27
102,Jun 02 2020 01: +0,2.485,18
103,Jun 03 2020 01: +0,2.478,21
104,Jun 04 2020 01: +0,2.543,50
105,Jun 05 2020 01: +0,2.469,24
106,Jun 06 2020 01: +0,2.485,21
107,Jun 07 2020 01: +0,2.712,21
108,Jun 08 2020 01: +0,2.378,26
109,Jun 09 2020 01: +0,2.487,12
110,Jun 10 2020 01: +0,2.612,16
111,Jun 11 2020 01: +0,2.664,26
112,Jun 12 2020 01: +0,2.284,24
113,Jun 13 2020 01: +0,2.219,25
114,Jun 14 2020 01: +0,2.431,20
115,Jun 15 2020 01: +0,2.477,22
116,Jun 16 2020 01: +0,2.482,9
117,Jun 17 2020 01: +0,2.388,17
118,Jun 18 2020 01: +0,2.32,19
119,Jun 19 2020 01: +0,2.433,27
120,Jun 20 2020 01: +0,2.411,27
121,Jun 21 2020 01: +0,2.567,25
122,Jun 22 2020 01: +0,2.632,29
123,Jun 23 2020 01: +0,2.549,12
124,Jun 24 2020 01: +0,2.087,18
125,Jun 25 2020 01: +0,2.145,17
