,time,price,volume
0,Feb 07 2019 01: +0,1.587,1
1,Feb 08 2019 01: +0,1.518,19
2,Feb 09 2019 01: +0,1.383,19
3,Feb 10 2019 01: +0,1.25,16
4,Feb 11 2019 01: +0,1.332,15
5,Feb 12 2019 01: +0,1.303,15
6,Feb 13 2019 01: +0,1.361,14
7,Feb 14 2019 01: +0,1.332,13
8,Feb 15 2019 01: +0,1.251,18
9,Feb 16 2019 01: +0,1.287,21
10,Feb 17 2019 01: +0,1.318,19
11,Feb 18 2019 01: +0,1.207,21
12,Feb 19 2019 01: +0,1.22,11
13,Feb 20 2019 01: +0,1.12,18
14,Feb 21 2019 01: +0,1.207,27
15,Feb 22 2019 01: +0,1.184,28
16,Feb 23 2019 01: +0,1.19,20
17,Feb 24 2019 01: +0,1.328,14
18,Feb 25 2019 01: +0,1.336,7
19,Feb 26 2019 01: +0,1.2,8
20,Feb 27 2019 01: +0,1.241,16
21,Feb 28 2019 01: +0,1.176,14
22,Mar 01 2019 01: +0,1.171,12
23,Mar 02 2019 01: +0,1.198,15
24,Mar 03 2019 01: +0,1.159,16
25,Mar 04 2019 01: +0,1.036,14
26,Mar 05 2019 01: +0,1.093,13
27,Mar 06 2019 01: +0,1.213,16
28,Mar 07 2019 01: +0,1.243,19
29,Mar 08 2019 01: +0,1.302,4
30,Mar 09 2019 01: +0,1.238,14
31,Mar 10 2019 01: +0,1.314,7
32,Mar 11 2019 01: +0,1.352,4
33,Mar 12 2019 01: +0,1.2,7
34,Mar 13 2019 01: +0,1.189,8
35,Mar 14 2019 01: +0,1.308,9
36,Mar 15 2019 01: +0,1.287,9
37,Mar 16 2019 01: +0,1.222,16
38,Mar 17 2019 01: +0,1.287,14
39,Mar 18 2019 01: +0,1.294,9
40,Mar 19 2019 01: +0,1.296,19
41,Mar 20 2019 01: +0,1.278,12
42,Mar 21 2019 01: +0,1.325,9
43,Mar 22 2019 01: +0,1.134,5
44,Mar 23 2019 01: +0,1.193,11
45,Mar 24 2019 01: +0,1.243,8
46,Mar 25 2019 01: +0,1.257,7
47,Mar 26 2019 01: +0,1.203,5
48,Mar 27 2019 01: +0,1.014,8
49,Mar 28 2019 01: +0,1.231,10
50,Mar 29 2019 01: +0,1.201,12
51,Mar 30 2019 01: +0,1.21,8
52,Mar 31 2019 01: +0,1.112,8
53,Apr 01 2019 01: +0,1.089,13
54,Apr 02 2019 01: +0,1.025,16
55,Apr 03 2019 01: +0,1.071,13
56,Apr 04 2019 01: +0,1.054,22
57,Apr 05 2019 01: +0,1.175,12
58,Apr 06 2019 01: +0,1.091,8
59,Apr 07 2019 01: +0,1.188,9
60,Apr 08 2019 01: +0,1.133,8
61,Apr 09 2019 01: +0,1.091,5
62,Apr 10 2019 01: +0,1.061,9
63,Apr 11 2019 01: +0,1.096,10
64,Apr 12 2019 01: +0,1.139,12
65,Apr 13 2019 01: +0,1.155,7
66,Apr 14 2019 01: +0,1.143,17
67,Apr 16 2019 01: +0,1.216,8
68,Apr 17 2019 01: +0,1.277,5
69,Apr 18 2019 01: +0,1.231,8
70,Apr 19 2019 01: +0,1.099,8
71,Apr 20 2019 01: +0,1.276,7
72,Apr 21 2019 01: +0,1.263,10
73,Apr 22 2019 01: +0,1.207,8
74,Apr 23 2019 01: +0,1.312,9
75,Apr 24 2019 01: +0,1.299,5
76,Apr 25 2019 01: +0,1.415,5
77,Apr 26 2019 01: +0,1.413,5
78,Apr 27 2019 01: +0,1.131,4
79,Apr 28 2019 01: +0,1.233,12
80,Apr 29 2019 01: +0,1.303,6
81,Apr 30 2019 01: +0,1.295,4
82,May 01 2019 01: +0,1.206,6
83,May 02 2019 01: +0,1.264,14
84,May 03 2019 01: +0,1.263,9
85,May 04 2019 01: +0,1.304,3
86,May 05 2019 01: +0,1.267,8
87,May 06 2019 01: +0,1.089,3
88,May 07 2019 01: +0,1.219,4
89,May 08 2019 01: +0,1.224,5
90,May 09 2019 01: +0,1.155,5
91,May 10 2019 01: +0,1.226,8
92,May 11 2019 01: +0,1.167,8
93,May 12 2019 01: +0,1.291,1
94,May 13 2019 01: +0,1.07,5
95,May 14 2019 01: +0,1.207,7
96,May 15 2019 01: +0,1.17,4
97,May 16 2019 01: +0,1.054,3
98,May 17 2019 01: +0,1.175,7
99,May 18 2019 01: +0,1.085,9
100,May 19 2019 01: +0,1.25,2
101,May 20 2019 01: +0,1.258,4
102,May 21 2019 01: +0,1.15,1
103,May 22 2019 01: +0,1.073,5
104,May 23 2019 01: +0,1.231,2
105,May 24 2019 01: +0,1.109,5
106,May 25 2019 01: +0,1.117,4
107,May 26 2019 01: +0,1.222,4
108,May 27 2019 01: +0,1.117,6
109,May 28 2019 01: +0,1.142,7
110,May 29 2019 01: +0,1.125,7
111,May 30 2019 01: +0,1.135,6
112,May 31 2019 01: +0,1.134,9
113,Jun 01 2019 01: +0,1.15,3
114,Jun 02 2019 01: +0,1.134,6
115,Jun 03 2019 01: +0,1.149,5
116,Jun 04 2019 01: +0,1.079,2
117,Jun 05 2019 01: +0,1.136,9
118,Jun 06 2019 01: +0,1.242,6
119,Jun 07 2019 01: +0,1.196,6
120,Jun 08 2019 01: +0,1.287,5
121,Jun 09 2019 01: +0,1.302,4
122,Jun 10 2019 01: +0,1.271,4
123,Jun 11 2019 01: +0,1.278,5
124,Jun 12 2019 01: +0,1.268,9
125,Jun 13 2019 01: +0,1.357,5
126,Jun 14 2019 01: +0,1.205,3
127,Jun 15 2019 01: +0,1.331,6
128,Jun 16 2019 01: +0,1.321,3
129,Jun 17 2019 01: +0,1.3,4
130,Jun 18 2019 01: +0,1.376,4
131,Jun 19 2019 01: +0,1.313,6
132,Jun 20 2019 01: +0,1.36,14
133,Jun 21 2019 01: +0,1.41,4
134,Jun 22 2019 01: +0,1.353,2
135,Jun 23 2019 01: +0,1.332,7
136,Jun 24 2019 01: +0,1.261,3
137,Jun 25 2019 01: +0,1.421,2
138,Jun 26 2019 01: +0,1.32,4
139,Jun 27 2019 01: +0,1.334,6
140,Jun 28 2019 01: +0,1.3,7
141,Jun 29 2019 01: +0,1.158,12
142,Jun 30 2019 01: +0,1.314,5
143,Jul 01 2019 01: +0,1.266,8
144,Jul 02 2019 01: +0,1.256,3
145,Jul 03 2019 01: +0,1.315,3
146,Jul 04 2019 01: +0,1.166,12
147,Jul 05 2019 01: +0,1.277,7
148,Jul 06 2019 01: +0,1.265,5
149,Jul 07 2019 01: +0,1.314,6
150,Jul 08 2019 01: +0,1.385,7
151,Jul 09 2019 01: +0,1.259,6
152,Jul 10 2019 01: +0,1.346,5
153,Jul 11 2019 01: +0,1.326,6
154,Jul 12 2019 01: +0,1.404,7
155,Jul 13 2019 01: +0,1.469,8
156,Jul 14 2019 01: +0,1.415,8
157,Jul 15 2019 01: +0,1.208,7
158,Jul 16 2019 01: +0,1.545,8
159,Jul 17 2019 01: +0,1.537,4
160,Jul 18 2019 01: +0,1.489,7
161,Jul 19 2019 01: +0,1.501,4
162,Jul 20 2019 01: +0,1.559,7
163,Jul 21 2019 01: +0,1.671,5
164,Jul 22 2019 01: +0,1.667,1
165,Jul 23 2019 01: +0,1.462,6
166,Jul 24 2019 01: +0,1.433,6
167,Jul 25 2019 01: +0,1.559,4
168,Jul 26 2019 01: +0,1.573,9
169,Jul 27 2019 01: +0,1.472,3
170,Jul 28 2019 01: +0,1.5,8
171,Jul 29 2019 01: +0,1.4,4
172,Jul 30 2019 01: +0,1.53,5
173,Jul 31 2019 01: +0,1.383,5
174,Aug 01 2019 01: +0,1.441,7
175,Aug 02 2019 01: +0,1.427,9
176,Aug 03 2019 01: +0,1.576,7
177,Aug 04 2019 01: +0,1.571,7
178,Aug 05 2019 01: +0,1.657,5
179,Aug 06 2019 01: +0,1.635,8
180,Aug 07 2019 01: +0,1.677,4
181,Aug 08 2019 01: +0,1.567,7
182,Aug 09 2019 01: +0,1.577,3
183,Aug 10 2019 01: +0,1.628,4
184,Aug 11 2019 01: +0,1.702,2
185,Aug 12 2019 01: +0,1.562,6
186,Aug 13 2019 01: +0,1.418,2
187,Aug 14 2019 01: +0,1.481,4
188,Aug 15 2019 01: +0,1.51,6
189,Aug 16 2019 01: +0,1.449,3
190,Aug 17 2019 01: +0,1.402,6
191,Aug 18 2019 01: +0,1.516,7
192,Aug 19 2019 01: +0,1.622,4
193,Aug 20 2019 01: +0,1.436,2
194,Aug 21 2019 01: +0,1.428,4
195,Aug 22 2019 01: +0,1.446,2
196,Aug 23 2019 01: +0,1.457,7
197,Aug 24 2019 01: +0,1.433,4
198,Aug 25 2019 01: +0,1.35,2
199,Aug 26 2019 01: +0,1.471,7
200,Aug 28 2019 01: +0,1.421,3
201,Aug 29 2019 01: +0,1.392,5
202,Aug 30 2019 01: +0,1.419,3
203,Aug 31 2019 01: +0,1.296,2
204,Sep 01 2019 01: +0,1.258,5
205,Sep 02 2019 01: +0,1.315,4
206,Sep 03 2019 01: +0,1.287,3
207,Sep 04 2019 01: +0,1.342,7
208,Sep 05 2019 01: +0,1.507,5
209,Sep 06 2019 01: +0,1.12,1
210,Sep 07 2019 01: +0,1.252,6
211,Sep 08 2019 01: +0,1.358,9
212,Sep 09 2019 01: +0,1.12,4
213,Sep 10 2019 01: +0,1.269,2
214,Sep 11 2019 01: +0,1.278,6
215,Sep 12 2019 01: +0,1.404,1
216,Sep 13 2019 01: +0,1.451,1
217,Sep 14 2019 01: +0,1.317,4
218,Sep 15 2019 01: +0,1.397,4
219,Sep 16 2019 01: +0,1.253,5
220,Sep 17 2019 01: +0,1.195,2
221,Sep 18 2019 01: +0,1.203,5
222,Sep 19 2019 01: +0,1.293,1
223,Sep 20 2019 01: +0,1.218,6
224,Sep 21 2019 01: +0,1.27,8
225,Sep 22 2019 01: +0,1.333,5
226,Sep 23 2019 01: +0,1.279,1
227,Sep 24 2019 01: +0,1.249,2
228,Sep 25 2019 01: +0,1.177,7
229,Sep 26 2019 01: +0,1.164,3
230,Sep 27 2019 01: +0,1.202,8
231,Sep 28 2019 01: +0,1.216,3
232,Sep 29 2019 01: +0,1.229,11
233,Sep 30 2019 01: +0,1.308,6
234,Oct 01 2019 01: +0,1.377,1
235,Oct 02 2019 01: +0,1.137,2
236,Oct 03 2019 01: +0,1.208,6
237,Oct 04 2019 01: +0,1.383,3
238,Oct 05 2019 01: +0,1.378,7
239,Oct 06 2019 01: +0,1.322,4
240,Oct 07 2019 01: +0,1.425,3
241,Oct 08 2019 01: +0,1.14,3
242,Oct 09 2019 01: +0,1.38,1
243,Oct 10 2019 01: +0,1.172,5
244,Oct 11 2019 01: +0,1.32,7
245,Oct 12 2019 01: +0,1.371,3
246,Oct 13 2019 01: +0,1.45,6
247,Oct 14 2019 01: +0,1.312,2
248,Oct 15 2019 01: +0,1.289,5
249,Oct 16 2019 01: +0,1.303,1
250,Oct 17 2019 01: +0,1.281,8
251,Oct 18 2019 01: +0,1.378,3
252,Oct 19 2019 01: +0,1.254,6
253,Oct 20 2019 01: +0,1.206,5
254,Oct 21 2019 01: +0,1.294,5
255,Oct 22 2019 01: +0,1.252,3
256,Oct 23 2019 01: +0,0.877,1
257,Oct 24 2019 01: +0,1.235,1
258,Oct 25 2019 01: +0,1.2,5
259,Oct 26 2019 01: +0,1.07,3
260,Oct 27 2019 01: +0,1.24,3
261,Oct 28 2019 01: +0,1.147,6
262,Oct 29 2019 01: +0,1.14,2
263,Oct 30 2019 01: +0,1.246,1
264,Oct 31 2019 01: +0,1.28,1
265,Nov 01 2019 01: +0,1.082,6
266,Nov 02 2019 01: +0,1.242,7
267,Nov 03 2019 01: +0,1.205,5
268,Nov 04 2019 01: +0,1.047,2
269,Nov 05 2019 01: +0,1.145,4
270,Nov 06 2019 01: +0,1.149,2
271,Nov 07 2019 01: +0,1.145,4
272,Nov 08 2019 01: +0,1.243,3
273,Nov 09 2019 01: +0,1.222,9
274,Nov 10 2019 01: +0,1.208,5
275,Nov 11 2019 01: +0,0.958,3
276,Nov 13 2019 01: +0,1.21,6
277,Nov 14 2019 01: +0,1.188,2
278,Nov 15 2019 01: +0,1.316,4
279,Nov 16 2019 01: +0,1.128,2
280,Nov 17 2019 01: +0,1.171,6
281,Nov 18 2019 01: +0,1.152,3
282,Nov 19 2019 01: +0,1.276,3
283,Nov 20 2019 01: +0,1.113,4
284,Nov 22 2019 01: +0,1.139,5
285,Nov 23 2019 01: +0,1.106,5
286,Nov 24 2019 01: +0,1.255,5
287,Nov 25 2019 01: +0,0.907,2
288,Nov 26 2019 01: +0,1.048,2
289,Nov 27 2019 01: +0,1.108,4
290,Nov 28 2019 01: +0,1.079,3
291,Nov 29 2019 01: +0,1.08,6
292,Nov 30 2019 01: +0,1.111,4
293,Dec 01 2019 01: +0,1.124,5
294,Dec 02 2019 01: +0,1.064,3
295,Dec 03 2019 01: +0,0.72,1
296,Dec 04 2019 01: +0,1.175,7
297,Dec 05 2019 01: +0,1.133,5
298,Dec 06 2019 01: +0,1.241,6
299,Dec 07 2019 01: +0,1.239,6
300,Dec 08 2019 01: +0,1.371,6
301,Dec 09 2019 01: +0,1.286,4
302,Dec 10 2019 01: +0,1.235,4
303,Dec 11 2019 01: +0,1.164,3
304,Dec 12 2019 01: +0,1.261,3
305,Dec 13 2019 01: +0,1.185,2
306,Dec 14 2019 01: +0,1.384,2
307,Dec 15 2019 01: +0,1.291,4
308,Dec 16 2019 01: +0,1.36,7
309,Dec 17 2019 01: +0,1.277,4
310,Dec 18 2019 01: +0,1.409,7
311,Dec 19 2019 01: +0,1.219,3
312,Dec 20 2019 01: +0,1.224,6
313,Dec 21 2019 01: +0,1.158,8
