,time,price,volume
0,Apr 26 2018 01: +0,1.944,4
1,Apr 27 2018 01: +0,1.782,36
2,Apr 28 2018 01: +0,1.77,29
3,Apr 29 2018 01: +0,1.87,21
4,Apr 30 2018 01: +0,1.737,25
5,May 01 2018 01: +0,1.88,23
6,May 02 2018 01: +0,1.787,13
7,May 03 2018 01: +0,1.731,41
8,May 04 2018 01: +0,1.919,41
9,May 05 2018 01: +0,1.82,16
10,May 06 2018 01: +0,2.015,33
11,May 07 2018 01: +0,2.22,11
12,May 08 2018 01: +0,2.102,18
13,May 09 2018 01: +0,1.994,12
14,May 10 2018 01: +0,1.93,16
15,May 11 2018 01: +0,1.873,18
16,May 12 2018 01: +0,1.986,14
17,May 13 2018 01: +0,1.825,12
18,May 14 2018 01: +0,2.179,16
19,May 15 2018 01: +0,2.115,12
20,May 16 2018 01: +0,2.104,9
21,May 17 2018 01: +0,2.212,11
22,May 18 2018 01: +0,2.25,17
23,May 19 2018 01: +0,2.115,17
24,May 20 2018 01: +0,2.068,15
25,May 21 2018 01: +0,2.24,5
26,May 22 2018 01: +0,2.161,17
27,May 23 2018 01: +0,2.086,5
28,May 24 2018 01: +0,2.23,7
29,May 25 2018 01: +0,2.098,12
30,May 26 2018 01: +0,2.14,15
31,May 27 2018 01: +0,2.241,18
32,May 28 2018 01: +0,2.168,7
33,May 29 2018 01: +0,2.204,9
34,May 30 2018 01: +0,2.359,13
35,May 31 2018 01: +0,2.364,12
36,Jun 01 2018 01: +0,2.272,8
37,Jun 02 2018 01: +0,2.455,11
38,Jun 03 2018 01: +0,2.267,9
39,Jun 04 2018 01: +0,2.182,9
40,Jun 05 2018 01: +0,2.061,7
41,Jun 06 2018 01: +0,2.167,13
42,Jun 07 2018 01: +0,2.426,7
43,Jun 08 2018 01: +0,2.277,32
44,Jun 09 2018 01: +0,3.864,19
45,Jun 10 2018 01: +0,3.127,17
46,Jun 11 2018 01: +0,3.274,5
47,Jun 12 2018 01: +0,2.647,5
48,Jun 13 2018 01: +0,3.007,4
49,Jun 14 2018 01: +0,2.689,12
50,Jun 15 2018 01: +0,2.85,13
51,Jun 16 2018 01: +0,2.043,3
52,Jun 17 2018 01: +0,2.426,9
53,Jun 18 2018 01: +0,2.196,11
54,Jun 19 2018 01: +0,2.524,8
55,Jun 20 2018 01: +0,2.503,8
56,Jun 21 2018 01: +0,2.496,7
57,Jun 22 2018 01: +0,2.264,8
58,Jun 23 2018 01: +0,1.969,12
59,Jun 24 2018 01: +0,2.355,22
60,Jun 25 2018 01: +0,2.056,5
61,Jun 26 2018 01: +0,2.231,9
62,Jun 27 2018 01: +0,1.967,11
63,Jun 28 2018 01: +0,2.224,13
64,Jun 29 2018 01: +0,2.479,6
