,time,price,volume
0,Mar 29 2019 01: +0,1.837,11
1,Mar 30 2019 01: +0,1.521,29
2,Mar 31 2019 01: +0,1.549,26
3,Apr 01 2019 01: +0,1.602,19
4,Apr 02 2019 01: +0,1.579,9
5,Apr 03 2019 01: +0,1.622,19
6,Apr 04 2019 01: +0,1.619,22
7,Apr 05 2019 01: +0,1.758,20
8,Apr 06 2019 01: +0,1.642,25
9,Apr 07 2019 01: +0,1.648,13
10,Apr 08 2019 01: +0,1.705,15
11,Apr 09 2019 01: +0,1.839,7
12,Apr 10 2019 01: +0,1.714,9
13,Apr 11 2019 01: +0,1.726,5
14,Apr 12 2019 01: +0,1.701,14
15,Apr 13 2019 01: +0,1.705,19
16,Apr 14 2019 01: +0,1.742,21
17,Apr 15 2019 01: +0,1.777,9
18,Apr 16 2019 01: +0,1.679,17
19,Apr 17 2019 01: +0,1.632,10
20,Apr 18 2019 01: +0,1.706,13
21,Apr 19 2019 01: +0,1.767,8
22,Apr 20 2019 01: +0,1.597,16
23,Apr 21 2019 01: +0,1.729,20
24,Apr 22 2019 01: +0,1.798,14
25,Apr 23 2019 01: +0,1.792,12
26,Apr 24 2019 01: +0,1.824,14
27,Apr 25 2019 01: +0,1.818,10
28,Apr 26 2019 01: +0,1.73,7
29,Apr 27 2019 01: +0,1.71,15
30,Apr 28 2019 01: +0,1.608,11
31,Apr 29 2019 01: +0,1.734,12
32,Apr 30 2019 01: +0,1.71,11
33,May 01 2019 01: +0,1.71,10
34,May 02 2019 01: +0,1.645,11
35,May 03 2019 01: +0,1.673,19
36,May 04 2019 01: +0,1.717,22
37,May 05 2019 01: +0,1.695,9
38,May 06 2019 01: +0,1.683,9
39,May 07 2019 01: +0,1.621,7
40,May 08 2019 01: +0,1.695,10
41,May 09 2019 01: +0,1.669,4
42,May 10 2019 01: +0,1.642,10
43,May 11 2019 01: +0,1.6,8
44,May 12 2019 01: +0,1.551,13
45,May 13 2019 01: +0,1.563,11
46,May 14 2019 01: +0,1.549,8
47,May 15 2019 01: +0,1.386,8
48,May 16 2019 01: +0,1.637,8
49,May 17 2019 01: +0,1.64,9
50,May 18 2019 01: +0,1.638,12
51,May 19 2019 01: +0,1.634,18
52,May 20 2019 01: +0,1.704,3
53,May 21 2019 01: +0,1.605,9
54,May 22 2019 01: +0,1.617,16
55,May 23 2019 01: +0,1.697,10
56,May 24 2019 01: +0,1.586,5
57,May 25 2019 01: +0,1.607,8
58,May 26 2019 01: +0,1.671,7
59,May 27 2019 01: +0,1.648,6
60,May 28 2019 01: +0,1.442,5
61,May 29 2019 01: +0,1.581,7
62,May 30 2019 01: +0,1.665,8
63,May 31 2019 01: +0,1.531,9
64,Jun 01 2019 01: +0,1.523,11
65,Jun 02 2019 01: +0,1.675,11
66,Jun 03 2019 01: +0,1.626,10
67,Jun 04 2019 01: +0,1.682,7
68,Jun 05 2019 01: +0,1.763,3
69,Jun 06 2019 01: +0,1.713,13
70,Jun 07 2019 01: +0,1.865,11
71,Jun 08 2019 01: +0,1.827,7
72,Jun 09 2019 01: +0,1.932,9
73,Jun 10 2019 01: +0,1.811,12
74,Jun 11 2019 01: +0,1.823,9
75,Jun 12 2019 01: +0,1.823,12
76,Jun 13 2019 01: +0,1.986,9
77,Jun 14 2019 01: +0,1.982,11
78,Jun 15 2019 01: +0,1.955,6
79,Jun 16 2019 01: +0,1.952,9
80,Jun 17 2019 01: +0,1.836,10
81,Jun 18 2019 01: +0,1.815,10
82,Jun 19 2019 01: +0,2.049,11
83,Jun 20 2019 01: +0,1.979,8
84,Jun 21 2019 01: +0,2.226,7
85,Jun 22 2019 01: +0,2.009,11
86,Jun 23 2019 01: +0,1.916,3
87,Jun 24 2019 01: +0,2.085,10
88,Jun 25 2019 01: +0,2.016,11
89,Jun 26 2019 01: +0,1.981,10
90,Jun 27 2019 01: +0,1.885,6
91,Jun 28 2019 01: +0,1.75,6
92,Jun 29 2019 01: +0,1.761,9
93,Jun 30 2019 01: +0,1.724,8
94,Jul 01 2019 01: +0,1.572,6
95,Jul 02 2019 01: +0,1.533,8
96,Jul 03 2019 01: +0,1.808,12
97,Jul 04 2019 01: +0,1.873,8
