,time,price,volume
0,Nov 02 2018 01: +0,6.648,38
1,Nov 03 2018 01: +0,5.503,59
2,Nov 04 2018 01: +0,6.074,39
3,Nov 05 2018 01: +0,5.468,34
4,Nov 06 2018 01: +0,5.378,46
5,Nov 07 2018 01: +0,5.123,40
6,Nov 08 2018 01: +0,5.114,51
7,Nov 09 2018 01: +0,5.579,70
8,Nov 10 2018 01: +0,5.883,58
9,Nov 11 2018 01: +0,5.89,36
10,Nov 12 2018 01: +0,6.282,44
11,Nov 13 2018 01: +0,6.631,30
12,Nov 14 2018 01: +0,6.43,34
13,Nov 15 2018 01: +0,6.256,30
14,Nov 16 2018 01: +0,5.962,31
15,Nov 17 2018 01: +0,6.064,38
16,Nov 18 2018 01: +0,6.674,42
17,Nov 19 2018 01: +0,6.908,35
18,Nov 20 2018 01: +0,6.946,22
19,Nov 21 2018 01: +0,7.215,37
20,Nov 22 2018 01: +0,6.896,32
21,Nov 23 2018 01: +0,6.787,44
22,Nov 24 2018 01: +0,6.643,26
23,Nov 25 2018 01: +0,6.919,36
24,Nov 26 2018 01: +0,7.11,29
25,Nov 27 2018 01: +0,6.845,22
26,Nov 28 2018 01: +0,7.034,25
27,Nov 29 2018 01: +0,7.366,35
28,Nov 30 2018 01: +0,7.516,24
29,Dec 01 2018 01: +0,7.828,30
30,Dec 02 2018 01: +0,7.329,24
31,Dec 03 2018 01: +0,6.926,29
32,Dec 04 2018 01: +0,7.493,27
33,Dec 05 2018 01: +0,8.646,35
34,Dec 06 2018 01: +0,9.172,31
35,Dec 07 2018 01: +0,9.286,25
36,Dec 08 2018 01: +0,9.151,31
37,Dec 09 2018 01: +0,8.746,43
38,Dec 10 2018 01: +0,8.783,25
39,Dec 11 2018 01: +0,8.521,32
40,Dec 12 2018 01: +0,8.507,25
41,Dec 13 2018 01: +0,9.204,34
42,Dec 14 2018 01: +0,8.585,36
43,Dec 15 2018 01: +0,8.837,21
44,Dec 16 2018 01: +0,8.739,33
45,Dec 17 2018 01: +0,9.348,36
46,Dec 18 2018 01: +0,9.296,19
47,Dec 19 2018 01: +0,8.414,24
48,Dec 20 2018 01: +0,8.2,27
49,Dec 21 2018 01: +0,8.41,42
50,Dec 22 2018 01: +0,8.342,35
51,Dec 23 2018 01: +0,8.258,31
52,Dec 24 2018 01: +0,8.378,27
53,Dec 25 2018 01: +0,9.137,56
54,Dec 26 2018 01: +0,10.066,41
55,Dec 27 2018 01: +0,10.252,29
56,Dec 28 2018 01: +0,10.866,31
57,Dec 29 2018 01: +0,12.195,24
58,Dec 30 2018 01: +0,11.249,16
59,Dec 31 2018 01: +0,11.583,19
60,Jan 01 2019 01: +0,11.635,25
61,Jan 02 2019 01: +0,11.979,25
62,Jan 03 2019 01: +0,12.063,32
63,Jan 04 2019 01: +0,12.846,42
64,Jan 05 2019 01: +0,13.337,24
65,Jan 06 2019 01: +0,14.15,29
66,Jan 07 2019 01: +0,14.492,23
67,Jan 08 2019 01: +0,15.309,15
68,Jan 09 2019 01: +0,15.297,14
69,Jan 10 2019 01: +0,15.541,17
70,Jan 11 2019 01: +0,14.778,20
71,Jan 12 2019 01: +0,14.788,30
72,Jan 13 2019 01: +0,15.852,22
73,Jan 14 2019 01: +0,15.414,19
74,Jan 15 2019 01: +0,15.994,19
75,Jan 16 2019 01: +0,16.907,22
76,Jan 17 2019 01: +0,15.042,18
77,Jan 18 2019 01: +0,14.878,13
78,Jan 19 2019 01: +0,15.425,23
79,Jan 20 2019 01: +0,15.089,18
80,Jan 21 2019 01: +0,14.785,14
81,Jan 22 2019 01: +0,15.41,14
82,Jan 23 2019 01: +0,16.12,17
83,Jan 24 2019 01: +0,16.805,10
84,Jan 25 2019 01: +0,14.776,16
85,Jan 26 2019 01: +0,14.323,21
86,Jan 27 2019 01: +0,14.757,22
87,Jan 28 2019 01: +0,14.461,16
88,Jan 29 2019 01: +0,14.023,8
89,Jan 30 2019 01: +0,13.969,16
90,Jan 31 2019 01: +0,14.459,13
91,Feb 01 2019 01: +0,13.817,22
92,Feb 02 2019 01: +0,12.743,23
93,Feb 03 2019 01: +0,13.054,21
94,Feb 04 2019 01: +0,13.064,12
95,Feb 05 2019 01: +0,12.987,13
96,Feb 06 2019 01: +0,12.605,24
97,Feb 07 2019 01: +0,12.802,23
98,Feb 08 2019 01: +0,12.901,19
99,Feb 09 2019 01: +0,12.77,21
100,Feb 10 2019 01: +0,12.548,16
101,Feb 11 2019 01: +0,12.686,13
102,Feb 12 2019 01: +0,12.587,22
103,Feb 13 2019 01: +0,12.142,11
104,Feb 14 2019 01: +0,11.289,7
105,Feb 15 2019 01: +0,11.139,23
106,Feb 16 2019 01: +0,11.734,12
107,Feb 17 2019 01: +0,10.991,18
108,Feb 18 2019 01: +0,11.778,16
109,Feb 19 2019 01: +0,11.1,15
110,Feb 20 2019 01: +0,11.763,10
111,Feb 21 2019 01: +0,11.117,16
112,Feb 22 2019 01: +0,11.582,17
113,Feb 23 2019 01: +0,10.971,37
114,Feb 24 2019 01: +0,11.182,24
115,Feb 25 2019 01: +0,11.135,16
116,Feb 26 2019 01: +0,10.607,10
117,Feb 27 2019 01: +0,10.35,19
118,Feb 28 2019 01: +0,11.035,19
119,Mar 01 2019 01: +0,11.433,18
120,Mar 02 2019 01: +0,11.051,23
121,Mar 03 2019 01: +0,10.814,19
122,Mar 04 2019 01: +0,10.336,14
123,Mar 05 2019 01: +0,10.227,11
124,Mar 06 2019 01: +0,10.741,13
125,Mar 07 2019 01: +0,11.033,33
126,Mar 08 2019 01: +0,11.933,17
127,Mar 09 2019 01: +0,11.39,24
128,Mar 10 2019 01: +0,11.946,21
129,Mar 11 2019 01: +0,11.803,11
130,Mar 12 2019 01: +0,12.318,18
131,Mar 13 2019 01: +0,12.376,15
132,Mar 14 2019 01: +0,12.852,20
133,Mar 15 2019 01: +0,12.581,18
134,Mar 16 2019 01: +0,13.08,11
135,Mar 17 2019 01: +0,12.631,9
136,Mar 18 2019 01: +0,12.682,16
137,Mar 19 2019 01: +0,13.114,10
138,Mar 20 2019 01: +0,12.941,10
139,Mar 21 2019 01: +0,12.712,14
140,Mar 22 2019 01: +0,12.347,19
141,Mar 23 2019 01: +0,12.164,15
142,Mar 24 2019 01: +0,12.17,16
143,Mar 25 2019 01: +0,11.847,9
144,Mar 26 2019 01: +0,13.006,16
145,Mar 27 2019 01: +0,11.713,7
146,Mar 28 2019 01: +0,12.397,11
147,Mar 29 2019 01: +0,12.31,13
148,Mar 30 2019 01: +0,12.55,13
149,Mar 31 2019 01: +0,13.051,12
150,Apr 01 2019 01: +0,11.907,7
151,Apr 02 2019 01: +0,11.947,12
152,Apr 03 2019 01: +0,12.427,12
153,Apr 04 2019 01: +0,12.024,18
154,Apr 05 2019 01: +0,13.011,20
155,Apr 06 2019 01: +0,12.913,19
156,Apr 07 2019 01: +0,11.841,8
157,Apr 08 2019 01: +0,12.462,20
158,Apr 09 2019 01: +0,13.438,20
159,Apr 10 2019 01: +0,14.098,11
160,Apr 11 2019 01: +0,14.245,18
161,Apr 12 2019 01: +0,14.342,6
162,Apr 13 2019 01: +0,13.083,21
163,Apr 14 2019 01: +0,14.043,11
164,Apr 15 2019 01: +0,13.768,15
165,Apr 16 2019 01: +0,13.862,15
166,Apr 17 2019 01: +0,13.673,11
167,Apr 18 2019 01: +0,14.284,11
168,Apr 19 2019 01: +0,13.618,13
169,Apr 20 2019 01: +0,14.054,15
170,Apr 21 2019 01: +0,13.441,11
171,Apr 22 2019 01: +0,13.095,10
172,Apr 23 2019 01: +0,13.383,12
173,Apr 24 2019 01: +0,13.769,17
174,Apr 25 2019 01: +0,14.022,25
175,Apr 26 2019 01: +0,14.772,19
176,Apr 27 2019 01: +0,14.913,14
177,Apr 28 2019 01: +0,15.162,12
178,Apr 29 2019 01: +0,13.959,10
179,Apr 30 2019 01: +0,14.128,19
180,May 01 2019 01: +0,14.196,19
181,May 02 2019 01: +0,14.002,20
182,May 03 2019 01: +0,14.709,24
183,May 04 2019 01: +0,15.006,20
184,May 05 2019 01: +0,15.336,9
185,May 06 2019 01: +0,14.382,15
186,May 07 2019 01: +0,15.179,13
187,May 08 2019 01: +0,14.727,19
188,May 09 2019 01: +0,14.684,10
189,May 10 2019 01: +0,14.804,19
190,May 11 2019 01: +0,14.284,12
191,May 12 2019 01: +0,14.713,16
192,May 13 2019 01: +0,14.137,13
193,May 14 2019 01: +0,14.979,10
194,May 15 2019 01: +0,15.107,12
195,May 16 2019 01: +0,15.315,14
196,May 17 2019 01: +0,15.476,10
197,May 18 2019 01: +0,14.705,14
198,May 19 2019 01: +0,14.198,11
199,May 20 2019 01: +0,15.238,11
200,May 21 2019 01: +0,14.892,5
201,May 22 2019 01: +0,14.209,6
202,May 23 2019 01: +0,15.102,12
203,May 24 2019 01: +0,15.011,7
204,May 25 2019 01: +0,14.328,9
205,May 26 2019 01: +0,14.16,11
206,May 27 2019 01: +0,14.245,11
207,May 28 2019 01: +0,14.104,6
208,May 29 2019 01: +0,14.205,8
209,May 30 2019 01: +0,14.559,15
210,May 31 2019 01: +0,15.339,12
211,Jun 01 2019 01: +0,14.622,14
212,Jun 02 2019 01: +0,14.474,12
213,Jun 03 2019 01: +0,15.185,4
214,Jun 04 2019 01: +0,14.032,11
215,Jun 05 2019 01: +0,14.873,11
216,Jun 06 2019 01: +0,15.835,21
217,Jun 07 2019 01: +0,16.954,20
218,Jun 08 2019 01: +0,16.305,11
219,Jun 09 2019 01: +0,16.992,11
220,Jun 10 2019 01: +0,17.184,11
221,Jun 11 2019 01: +0,16.927,15
222,Jun 12 2019 01: +0,16.883,10
223,Jun 13 2019 01: +0,17.456,19
224,Jun 14 2019 01: +0,17.503,21
225,Jun 15 2019 01: +0,17.535,19
226,Jun 16 2019 01: +0,16.875,15
227,Jun 17 2019 01: +0,16.828,16
228,Jun 18 2019 01: +0,16.693,14
229,Jun 19 2019 01: +0,18.846,13
230,Jun 20 2019 01: +0,20.529,13
231,Jun 21 2019 01: +0,20.339,14
232,Jun 22 2019 01: +0,21.626,13
