,time,price,volume
0,Apr 13 2017 01: +0,4.697,4
1,Apr 14 2017 01: +0,4.156,5
2,Apr 15 2017 01: +0,3.077,6
3,Apr 16 2017 01: +0,4.213,6
4,Apr 17 2017 01: +0,4.725,1
5,Apr 18 2017 01: +0,4.162,5
6,Apr 19 2017 01: +0,3.67,2
7,Apr 20 2017 01: +0,3.206,6
8,Apr 21 2017 01: +0,2.373,3
9,Apr 22 2017 01: +0,2.854,7
10,Apr 23 2017 01: +0,3.048,6
11,Apr 24 2017 01: +0,2.905,4
12,Apr 25 2017 01: +0,2.884,3
13,Apr 26 2017 01: +0,2.62,5
14,Apr 27 2017 01: +0,2.396,2
15,Apr 28 2017 01: +0,2.801,8
16,Apr 29 2017 01: +0,3.383,7
17,Apr 30 2017 01: +0,2.88,2
18,May 01 2017 01: +0,3.238,2
19,May 02 2017 01: +0,3.32,5
20,May 03 2017 01: +0,3.694,2
21,May 04 2017 01: +0,3.835,3
22,May 05 2017 01: +0,2.756,4
23,May 06 2017 01: +0,3.503,5
24,May 07 2017 01: +0,4.632,5
25,May 08 2017 01: +0,5.813,2
26,May 10 2017 01: +0,6.514,2
27,May 11 2017 01: +0,4.776,1
28,May 12 2017 01: +0,4.167,3
29,May 14 2017 01: +0,3.73,3
30,May 15 2017 01: +0,2.953,1
31,May 16 2017 01: +0,3.144,3
32,May 17 2017 01: +0,3.127,3
33,May 18 2017 01: +0,3.77,1
34,May 19 2017 01: +0,3.537,4
35,May 20 2017 01: +0,3.463,3
36,May 21 2017 01: +0,3.63,2
37,May 22 2017 01: +0,3.653,3
38,May 24 2017 01: +0,3.187,2
39,May 25 2017 01: +0,2.834,3
40,May 26 2017 01: +0,2.035,2
41,May 27 2017 01: +0,3.419,4
42,May 28 2017 01: +0,3.39,1
43,May 29 2017 01: +0,3.029,4
44,May 30 2017 01: +0,1.917,2
45,May 31 2017 01: +0,2.976,7
46,Jun 01 2017 01: +0,3.251,1
47,Jun 02 2017 01: +0,3.255,2
48,Jun 03 2017 01: +0,2.807,3
49,Jun 04 2017 01: +0,3.2,3
50,Jun 05 2017 01: +0,2.775,3
51,Jun 07 2017 01: +0,2.942,4
52,Jun 08 2017 01: +0,2.984,3
53,Jun 09 2017 01: +0,2.849,4
54,Jun 10 2017 01: +0,3.57,1
55,Jun 11 2017 01: +0,3.052,4
56,Jun 12 2017 01: +0,2.933,4
57,Jun 13 2017 01: +0,3.535,2
58,Jun 15 2017 01: +0,3.322,5
59,Jun 16 2017 01: +0,3.31,3
60,Jun 17 2017 01: +0,3.442,2
61,Jun 18 2017 01: +0,3.305,2
62,Jun 19 2017 01: +0,2.835,5
63,Jun 20 2017 01: +0,2.6,1
64,Jun 21 2017 01: +0,2.69,2
65,Jun 22 2017 01: +0,3.155,2
66,Jun 23 2017 01: +0,2.979,1
67,Jun 24 2017 01: +0,2.748,3
68,Jun 25 2017 01: +0,2.777,2
69,Jun 26 2017 01: +0,3.15,1
70,Jun 27 2017 01: +0,1.15,1
71,Jun 28 2017 01: +0,2.621,6
72,Jun 29 2017 01: +0,2.63,2
73,Jun 30 2017 01: +0,2.738,2
74,Jul 01 2017 01: +0,3.047,2
75,Jul 02 2017 01: +0,3.09,4
76,Jul 03 2017 01: +0,3.023,1
77,Jul 04 2017 01: +0,3.208,2
78,Jul 05 2017 01: +0,3.23,3
79,Jul 06 2017 01: +0,2.385,2
80,Jul 07 2017 01: +0,2.257,2
81,Jul 08 2017 01: +0,3.032,3
82,Jul 09 2017 01: +0,2.77,2
83,Jul 10 2017 01: +0,3.163,2
84,Jul 11 2017 01: +0,3.244,2
85,Jul 12 2017 01: +0,3.3,4
86,Jul 13 2017 01: +0,3.448,1
87,Jul 14 2017 01: +0,3.485,1
88,Jul 15 2017 01: +0,3.181,4
89,Jul 16 2017 01: +0,3.542,5
90,Jul 17 2017 01: +0,4.985,3
91,Jul 18 2017 01: +0,9.164,1
92,Jul 19 2017 01: +0,8.65,1
93,Jul 21 2017 01: +0,7.88,2
94,Jul 22 2017 01: +0,2.292,1
95,Jul 23 2017 01: +0,5.747,1
96,Jul 24 2017 01: +0,7.542,1
97,Jul 25 2017 01: +0,6.587,3
98,Jul 26 2017 01: +0,4.501,2
99,Jul 28 2017 01: +0,4.748,2
100,Jul 29 2017 01: +0,5.456,1
101,Jul 30 2017 01: +0,5.101,3
102,Jul 31 2017 01: +0,4.003,1
103,Aug 02 2017 01: +0,3.281,4
