,time,price,volume
0,Dec 11 2016 01: +0,10.324,2
1,Dec 14 2016 01: +0,13.036,1
2,Dec 15 2016 01: +0,5.06,2
3,Dec 16 2016 01: +0,4.958,7
4,Dec 17 2016 01: +0,5.026,10
5,Dec 18 2016 01: +0,4.461,3
6,Dec 19 2016 01: +0,4.722,4
7,Dec 20 2016 01: +0,4.951,4
8,Dec 21 2016 01: +0,4.897,3
9,Dec 22 2016 01: +0,4.362,9
10,Dec 23 2016 01: +0,4.474,7
11,Dec 24 2016 01: +0,3.183,5
12,Dec 25 2016 01: +0,3.991,16
13,Dec 26 2016 01: +0,3.999,24
14,Dec 27 2016 01: +0,3.178,21
15,Dec 28 2016 01: +0,3.732,12
16,Dec 29 2016 01: +0,3.466,14
17,Dec 30 2016 01: +0,3.65,11
18,Dec 31 2016 01: +0,3.304,5
19,Jan 01 2017 01: +0,3.334,6
20,Jan 02 2017 01: +0,3.122,5
21,Jan 03 2017 01: +0,3.428,13
22,Jan 04 2017 01: +0,3.491,8
23,Jan 05 2017 01: +0,3.456,15
24,Jan 06 2017 01: +0,4.079,18
25,Jan 07 2017 01: +0,5.135,3
26,Jan 08 2017 01: +0,5.17,7
27,Jan 09 2017 01: +0,4.98,6
28,Jan 10 2017 01: +0,3.678,5
29,Jan 11 2017 01: +0,4.33,6
30,Jan 12 2017 01: +0,4.077,8
31,Jan 13 2017 01: +0,4.643,8
32,Jan 14 2017 01: +0,4.897,5
33,Jan 15 2017 01: +0,5.441,2
34,Jan 16 2017 01: +0,4.9,4
35,Jan 17 2017 01: +0,5.228,5
36,Jan 19 2017 01: +0,4.76,6
37,Jan 20 2017 01: +0,4.804,10
38,Jan 21 2017 01: +0,4.177,2
39,Jan 22 2017 01: +0,4.321,3
40,Jan 23 2017 01: +0,4.752,1
41,Jan 24 2017 01: +0,4.644,5
42,Jan 25 2017 01: +0,4.71,3
43,Jan 26 2017 01: +0,4.415,2
44,Jan 27 2017 01: +0,4.222,10
45,Jan 28 2017 01: +0,4.412,5
46,Jan 29 2017 01: +0,4.245,5
47,Jan 30 2017 01: +0,4.218,6
48,Jan 31 2017 01: +0,4.604,6
49,Feb 01 2017 01: +0,3.798,5
50,Feb 02 2017 01: +0,3.464,4
51,Feb 03 2017 01: +0,4.874,5
52,Feb 04 2017 01: +0,4.656,4
53,Feb 05 2017 01: +0,4.602,4
54,Feb 06 2017 01: +0,5.084,3
55,Feb 07 2017 01: +0,5.193,1
56,Feb 08 2017 01: +0,5.014,1
57,Feb 09 2017 01: +0,4.587,3
58,Feb 10 2017 01: +0,4.798,4
59,Feb 11 2017 01: +0,5.282,4
60,Feb 12 2017 01: +0,5.019,4
61,Feb 13 2017 01: +0,4.78,6
62,Feb 14 2017 01: +0,5.202,2
63,Feb 15 2017 01: +0,4.623,3
64,Feb 16 2017 01: +0,5.181,3
65,Feb 17 2017 01: +0,5.205,2
66,Feb 18 2017 01: +0,5.175,2
67,Feb 19 2017 01: +0,5.149,2
68,Feb 20 2017 01: +0,4.885,4
69,Feb 21 2017 01: +0,5.315,5
70,Feb 22 2017 01: +0,4.475,2
71,Feb 23 2017 01: +0,4.462,4
72,Feb 24 2017 01: +0,4.931,3
73,Feb 25 2017 01: +0,4.864,2
74,Feb 26 2017 01: +0,4.067,5
75,Feb 27 2017 01: +0,4.163,3
76,Feb 28 2017 01: +0,4.361,4
77,Mar 01 2017 01: +0,5.434,5
78,Mar 02 2017 01: +0,5.137,4
79,Mar 03 2017 01: +0,5.63,4
80,Mar 04 2017 01: +0,5.905,4
81,Mar 05 2017 01: +0,5.535,5
82,Mar 06 2017 01: +0,5.806,8
83,Mar 07 2017 01: +0,5.991,2
84,Mar 08 2017 01: +0,5.871,4
85,Mar 09 2017 01: +0,5.592,10
86,Mar 10 2017 01: +0,6.249,4
87,Mar 11 2017 01: +0,5.203,5
88,Mar 12 2017 01: +0,5.422,5
89,Mar 13 2017 01: +0,5.904,2
90,Mar 15 2017 01: +0,5.931,7
91,Mar 16 2017 01: +0,6.087,4
92,Mar 17 2017 01: +0,4.939,2
93,Mar 18 2017 01: +0,4.909,4
94,Mar 19 2017 01: +0,4.438,3
95,Mar 20 2017 01: +0,5.669,2
96,Mar 22 2017 01: +0,4.87,1
97,Mar 23 2017 01: +0,4.052,2
98,Mar 24 2017 01: +0,4.416,6
99,Mar 25 2017 01: +0,4.073,3
100,Mar 26 2017 01: +0,4.493,4
101,Mar 27 2017 01: +0,4.901,2
102,Mar 28 2017 01: +0,4.234,2
103,Mar 29 2017 01: +0,4.312,1
104,Mar 30 2017 01: +0,3.505,7
105,Mar 31 2017 01: +0,3.969,4
106,Apr 01 2017 01: +0,4.026,1
107,Apr 02 2017 01: +0,4.09,1
108,Apr 03 2017 01: +0,4.282,1
109,Apr 04 2017 01: +0,4.277,1
110,Apr 06 2017 01: +0,4.21,1
111,Apr 07 2017 01: +0,3.511,2
112,Apr 08 2017 01: +0,3.799,3
113,Apr 09 2017 01: +0,3.906,5
114,Apr 10 2017 01: +0,4.171,3
115,Apr 11 2017 01: +0,4.319,2
116,Apr 12 2017 01: +0,3.858,3
117,Apr 13 2017 01: +0,3.494,2
118,Apr 14 2017 01: +0,3.624,3
119,Apr 15 2017 01: +0,3.798,3
120,Apr 16 2017 01: +0,3.928,1
121,Apr 17 2017 01: +0,3.56,2
122,Apr 18 2017 01: +0,3.525,1
123,Apr 19 2017 01: +0,3.305,6
124,Apr 20 2017 01: +0,3.662,4
125,Apr 21 2017 01: +0,3.675,2
126,Apr 22 2017 01: +0,3.892,5
127,Apr 23 2017 01: +0,3.813,4
128,Apr 24 2017 01: +0,4.655,2
129,Apr 25 2017 01: +0,3.106,5
130,Apr 26 2017 01: +0,3.809,2
131,Apr 27 2017 01: +0,3.816,2
132,Apr 28 2017 01: +0,4.428,3
133,Apr 29 2017 01: +0,4.791,2
134,Apr 30 2017 01: +0,3.25,1
135,May 01 2017 01: +0,3.992,4
136,May 02 2017 01: +0,4.773,1
137,May 03 2017 01: +0,3.726,2
138,May 04 2017 01: +0,4.005,2
139,May 05 2017 01: +0,4.659,2
140,May 06 2017 01: +0,3.41,1
141,May 07 2017 01: +0,4.385,3
142,May 08 2017 01: +0,4.077,2
143,May 09 2017 01: +0,4.146,2
144,May 10 2017 01: +0,4.387,2
145,May 11 2017 01: +0,4.445,1
146,May 13 2017 01: +0,3.7,2
147,May 14 2017 01: +0,3.448,2
148,May 15 2017 01: +0,3.502,3
149,May 16 2017 01: +0,3.568,3
150,May 17 2017 01: +0,3.557,2
151,May 18 2017 01: +0,3.302,3
152,May 19 2017 01: +0,3.725,4
153,May 20 2017 01: +0,3.985,2
154,May 21 2017 01: +0,3.99,1
155,May 22 2017 01: +0,3.625,5
156,May 23 2017 01: +0,3.37,4
157,May 25 2017 01: +0,2.976,1
158,May 26 2017 01: +0,3.448,4
159,May 27 2017 01: +0,3.118,4
160,May 28 2017 01: +0,3.188,4
161,May 29 2017 01: +0,3.547,5
162,Jun 01 2017 01: +0,2.311,2
163,Jun 02 2017 01: +0,3.16,3
164,Jun 03 2017 01: +0,3.02,1
165,Jun 04 2017 01: +0,3.394,8
166,Jun 05 2017 01: +0,3.655,1
167,Jun 06 2017 01: +0,3.539,1
168,Jun 07 2017 01: +0,3.633,2
169,Jun 08 2017 01: +0,3.464,2
170,Jun 09 2017 01: +0,3.567,3
171,Jun 10 2017 01: +0,3.425,4
172,Jun 11 2017 01: +0,3.66,5
173,Jun 12 2017 01: +0,3.704,2
174,Jun 13 2017 01: +0,3.761,1
175,Jun 14 2017 01: +0,3.811,1
176,Jun 15 2017 01: +0,3.253,4
177,Jun 16 2017 01: +0,3.669,2
178,Jun 17 2017 01: +0,2.88,1
179,Jun 19 2017 01: +0,3.103,4
180,Jun 20 2017 01: +0,3.227,1
181,Jun 21 2017 01: +0,3.007,2
182,Jun 22 2017 01: +0,3.132,3
183,Jun 23 2017 01: +0,3.336,1
184,Jun 24 2017 01: +0,3.25,3
185,Jun 25 2017 01: +0,3.501,2
186,Jun 27 2017 01: +0,2.803,4
187,Jun 29 2017 01: +0,3.308,2
188,Jun 30 2017 01: +0,3.366,1
189,Jul 01 2017 01: +0,3.082,1
190,Jul 02 2017 01: +0,2.851,4
191,Jul 03 2017 01: +0,3.015,1
192,Jul 04 2017 01: +0,2.54,2
193,Jul 05 2017 01: +0,2.58,3
194,Jul 06 2017 01: +0,2.588,5
195,Jul 07 2017 01: +0,2.835,3
196,Jul 08 2017 01: +0,3.358,1
197,Jul 09 2017 01: +0,3.232,2
198,Jul 10 2017 01: +0,3.082,2
199,Jul 11 2017 01: +0,2.603,5
200,Jul 12 2017 01: +0,2.92,4
201,Jul 13 2017 01: +0,3.323,1
202,Jul 14 2017 01: +0,3.105,4
203,Jul 15 2017 01: +0,2.918,3
204,Jul 16 2017 01: +0,3.436,3
205,Jul 17 2017 01: +0,3.55,2
206,Jul 18 2017 01: +0,3.055,2
207,Jul 20 2017 01: +0,2.649,2
208,Jul 21 2017 01: +0,2.448,2
209,Jul 22 2017 01: +0,2.953,2
210,Jul 23 2017 01: +0,2.825,3
211,Jul 24 2017 01: +0,2.716,3
212,Jul 25 2017 01: +0,2.897,3
