,time,price,volume
0,Aug 31 2017 01: +0,2.139,18
1,Sep 01 2017 01: +0,1.874,37
2,Sep 02 2017 01: +0,1.826,29
3,Sep 03 2017 01: +0,1.825,27
4,Sep 04 2017 01: +0,1.713,20
5,Sep 05 2017 01: +0,1.742,25
6,Sep 06 2017 01: +0,1.873,33
7,Sep 07 2017 01: +0,2.027,25
8,Sep 08 2017 01: +0,2.052,22
9,Sep 09 2017 01: +0,2.054,17
10,Sep 10 2017 01: +0,2.095,30
11,Sep 11 2017 01: +0,2.153,16
12,Sep 12 2017 01: +0,2.372,18
13,Sep 13 2017 01: +0,2.108,15
14,Sep 14 2017 01: +0,2.027,18
15,Sep 15 2017 01: +0,1.961,36
16,Sep 16 2017 01: +0,1.94,27
17,Sep 17 2017 01: +0,2.146,19
18,Sep 18 2017 01: +0,2.056,13
19,Sep 19 2017 01: +0,2.058,15
20,Sep 20 2017 01: +0,2.03,10
21,Sep 21 2017 01: +0,2.122,18
22,Sep 22 2017 01: +0,1.875,15
23,Sep 23 2017 01: +0,1.779,23
24,Sep 24 2017 01: +0,1.833,27
25,Sep 25 2017 01: +0,1.922,22
26,Sep 26 2017 01: +0,1.939,14
27,Sep 27 2017 01: +0,1.833,9
28,Sep 28 2017 01: +0,2.054,19
29,Sep 29 2017 01: +0,2.084,18
30,Sep 30 2017 01: +0,2.269,28
31,Oct 01 2017 01: +0,2.463,20
32,Oct 02 2017 01: +0,2.243,10
33,Oct 03 2017 01: +0,1.886,17
34,Oct 04 2017 01: +0,2.333,15
35,Oct 05 2017 01: +0,2.896,27
36,Oct 06 2017 01: +0,3.385,10
37,Oct 07 2017 01: +0,2.832,15
38,Oct 08 2017 01: +0,3.055,20
39,Oct 09 2017 01: +0,2.961,10
40,Oct 10 2017 01: +0,2.94,10
41,Oct 11 2017 01: +0,2.582,18
42,Oct 12 2017 01: +0,2.771,33
43,Oct 13 2017 01: +0,2.486,15
44,Oct 14 2017 01: +0,2.572,15
45,Oct 15 2017 01: +0,2.713,10
46,Oct 16 2017 01: +0,2.186,13
47,Oct 17 2017 01: +0,2.378,14
48,Oct 18 2017 01: +0,2.294,14
49,Oct 19 2017 01: +0,2.169,14
50,Oct 20 2017 01: +0,2.241,13
51,Oct 21 2017 01: +0,2.552,17
52,Oct 22 2017 01: +0,2.564,18
53,Oct 23 2017 01: +0,2.609,13
54,Oct 24 2017 01: +0,2.343,5
55,Oct 25 2017 01: +0,2.161,5
56,Oct 26 2017 01: +0,2.001,18
57,Oct 27 2017 01: +0,1.903,19
58,Oct 28 2017 01: +0,2.07,18
59,Oct 29 2017 01: +0,2.194,19
60,Oct 30 2017 01: +0,2.41,14
61,Oct 31 2017 01: +0,2.638,9
62,Nov 01 2017 01: +0,2.694,15
63,Nov 02 2017 01: +0,2.61,14
64,Nov 03 2017 01: +0,2.674,9
65,Nov 04 2017 01: +0,2.751,17
66,Nov 05 2017 01: +0,3.169,18
67,Nov 06 2017 01: +0,2.92,8
68,Nov 07 2017 01: +0,3.105,12
69,Nov 08 2017 01: +0,3.229,7
70,Nov 09 2017 01: +0,3.088,8
71,Nov 10 2017 01: +0,2.954,15
72,Nov 11 2017 01: +0,2.965,16
73,Nov 12 2017 01: +0,3.633,8
74,Nov 13 2017 01: +0,3.443,3
75,Nov 14 2017 01: +0,2.813,7
76,Nov 15 2017 01: +0,2.626,13
77,Nov 16 2017 01: +0,2.536,7
78,Nov 17 2017 01: +0,2.565,8
79,Nov 18 2017 01: +0,2.575,10
80,Nov 19 2017 01: +0,2.714,13
81,Nov 20 2017 01: +0,2.616,8
82,Nov 21 2017 01: +0,2.666,6
83,Nov 22 2017 01: +0,2.772,10
84,Nov 23 2017 01: +0,2.818,8
85,Nov 24 2017 01: +0,2.591,7
86,Nov 25 2017 01: +0,2.584,9
87,Nov 26 2017 01: +0,2.343,9
88,Nov 27 2017 01: +0,2.471,8
89,Nov 28 2017 01: +0,2.773,7
90,Nov 29 2017 01: +0,2.596,2
91,Nov 30 2017 01: +0,2.818,8
92,Dec 01 2017 01: +0,2.833,16
93,Dec 02 2017 01: +0,3.185,13
94,Dec 03 2017 01: +0,2.916,6
95,Dec 04 2017 01: +0,3.073,6
96,Dec 05 2017 01: +0,3.153,13
97,Dec 06 2017 01: +0,2.76,8
98,Dec 07 2017 01: +0,3.33,14
99,Dec 08 2017 01: +0,3.516,14
100,Dec 09 2017 01: +0,3.235,13
101,Dec 10 2017 01: +0,3.595,11
102,Dec 11 2017 01: +0,3.572,11
103,Dec 12 2017 01: +0,3.495,10
104,Dec 13 2017 01: +0,3.33,3
105,Dec 14 2017 01: +0,3.47,5
106,Dec 15 2017 01: +0,3.126,10
107,Dec 16 2017 01: +0,2.891,7
108,Dec 17 2017 01: +0,2.755,6
109,Dec 18 2017 01: +0,3.166,11
110,Dec 19 2017 01: +0,3.831,7
111,Dec 20 2017 01: +0,3.571,8
112,Dec 21 2017 01: +0,3.694,7
113,Dec 22 2017 01: +0,3.566,8
114,Dec 23 2017 01: +0,3.09,5
115,Dec 24 2017 01: +0,3.247,8
116,Dec 25 2017 01: +0,3.456,10
117,Dec 26 2017 01: +0,3.652,5
118,Dec 27 2017 01: +0,3.157,8
119,Dec 28 2017 01: +0,3.179,14
120,Dec 29 2017 01: +0,3.637,7
121,Dec 30 2017 01: +0,3.494,11
122,Dec 31 2017 01: +0,3.733,13
123,Jan 01 2018 01: +0,3.501,8
124,Jan 02 2018 01: +0,3.713,9
125,Jan 03 2018 01: +0,3.65,5
126,Jan 04 2018 01: +0,3.684,5
127,Jan 05 2018 01: +0,3.585,6
128,Jan 06 2018 01: +0,3.598,6
129,Jan 07 2018 01: +0,3.575,11
130,Jan 08 2018 01: +0,3.559,7
131,Jan 09 2018 01: +0,3.588,8
132,Jan 10 2018 01: +0,3.737,13
