,time,price,volume
0,Jun 15 2019 01: +0,1.385,15
1,Jun 16 2019 01: +0,1.476,9
2,Jun 17 2019 01: +0,1.169,8
3,Jun 18 2019 01: +0,1.391,7
4,Jun 19 2019 01: +0,1.487,5
5,Jun 20 2019 01: +0,1.422,4
6,Jun 21 2019 01: +0,1.281,19
7,Jun 22 2019 01: +0,1.42,8
8,Jun 23 2019 01: +0,1.411,14
9,Jun 24 2019 01: +0,1.52,7
10,Jun 25 2019 01: +0,1.239,6
11,Jun 26 2019 01: +0,1.235,11
12,Jun 27 2019 01: +0,1.314,14
13,Jun 28 2019 01: +0,1.404,5
14,Jun 29 2019 01: +0,1.218,13
15,Jun 30 2019 01: +0,1.24,9
16,Jul 01 2019 01: +0,1.212,12
17,Jul 02 2019 01: +0,1.192,10
18,Jul 03 2019 01: +0,1.199,13
19,Jul 04 2019 01: +0,1.211,25
20,Jul 05 2019 01: +0,1.407,11
21,Jul 06 2019 01: +0,1.458,16
22,Jul 07 2019 01: +0,1.478,13
23,Jul 08 2019 01: +0,1.544,11
24,Jul 09 2019 01: +0,1.465,7
25,Jul 10 2019 01: +0,1.49,14
26,Jul 11 2019 01: +0,1.534,21
27,Jul 12 2019 01: +0,1.669,13
28,Jul 13 2019 01: +0,1.496,12
29,Jul 14 2019 01: +0,1.637,7
30,Jul 15 2019 01: +0,1.541,7
31,Jul 16 2019 01: +0,1.631,12
32,Jul 17 2019 01: +0,1.719,16
33,Jul 18 2019 01: +0,1.825,4
34,Jul 19 2019 01: +0,1.675,12
35,Jul 20 2019 01: +0,1.769,15
36,Jul 21 2019 01: +0,1.825,11
37,Jul 22 2019 01: +0,1.83,12
38,Jul 23 2019 01: +0,1.796,14
39,Jul 24 2019 01: +0,1.728,10
40,Jul 25 2019 01: +0,1.76,9
41,Jul 26 2019 01: +0,1.786,10
42,Jul 27 2019 01: +0,1.916,4
43,Jul 28 2019 01: +0,1.812,9
44,Jul 29 2019 01: +0,1.775,7
45,Jul 30 2019 01: +0,1.843,4
46,Jul 31 2019 01: +0,1.681,3
47,Aug 01 2019 01: +0,1.772,13
48,Aug 02 2019 01: +0,1.702,11
49,Aug 03 2019 01: +0,1.83,3
50,Aug 04 2019 01: +0,1.822,12
51,Aug 05 2019 01: +0,1.873,5
52,Aug 06 2019 01: +0,1.846,6
53,Aug 07 2019 01: +0,2.121,10
54,Aug 08 2019 01: +0,2.342,4
55,Aug 09 2019 01: +0,2.207,5
56,Aug 10 2019 01: +0,1.917,5
57,Aug 11 2019 01: +0,1.633,7
58,Aug 12 2019 01: +0,1.567,12
59,Aug 13 2019 01: +0,1.82,7
60,Aug 14 2019 01: +0,1.668,5
61,Aug 15 2019 01: +0,1.814,6
62,Aug 16 2019 01: +0,1.65,12
63,Aug 17 2019 01: +0,1.742,5
64,Aug 18 2019 01: +0,1.593,6
65,Aug 19 2019 01: +0,1.62,6
66,Aug 20 2019 01: +0,1.554,4
67,Aug 21 2019 01: +0,1.606,4
68,Aug 22 2019 01: +0,1.654,6
69,Aug 23 2019 01: +0,1.503,7
70,Aug 24 2019 01: +0,1.531,5
71,Aug 25 2019 01: +0,1.599,5
72,Aug 26 2019 01: +0,1.53,4
73,Aug 27 2019 01: +0,1.592,2
74,Aug 28 2019 01: +0,1.618,5
75,Aug 29 2019 01: +0,1.59,6
76,Aug 30 2019 01: +0,1.455,6
77,Aug 31 2019 01: +0,1.361,6
78,Sep 01 2019 01: +0,1.483,4
79,Sep 02 2019 01: +0,1.504,1
80,Sep 03 2019 01: +0,1.49,2
81,Sep 04 2019 01: +0,1.461,4
82,Sep 05 2019 01: +0,1.407,5
83,Sep 06 2019 01: +0,1.48,2
84,Sep 07 2019 01: +0,1.487,3
85,Sep 08 2019 01: +0,1.392,10
86,Sep 09 2019 01: +0,1.407,7
87,Sep 10 2019 01: +0,1.56,2
88,Sep 11 2019 01: +0,1.363,5
89,Sep 12 2019 01: +0,1.316,3
90,Sep 13 2019 01: +0,1.521,5
91,Sep 14 2019 01: +0,1.398,3
92,Sep 15 2019 01: +0,1.555,6
93,Sep 16 2019 01: +0,1.55,1
94,Sep 17 2019 01: +0,1.306,6
95,Sep 18 2019 01: +0,1.321,6
96,Sep 19 2019 01: +0,1.43,2
97,Sep 20 2019 01: +0,1.363,4
98,Sep 21 2019 01: +0,1.429,2
99,Sep 22 2019 01: +0,1.291,5
100,Sep 24 2019 01: +0,1.355,2
101,Sep 25 2019 01: +0,1.295,5
102,Sep 26 2019 01: +0,1.349,2
103,Sep 27 2019 01: +0,1.212,6
104,Sep 28 2019 01: +0,1.333,3
105,Sep 29 2019 01: +0,1.336,8
106,Sep 30 2019 01: +0,1.266,5
107,Oct 01 2019 01: +0,1.25,4
108,Oct 02 2019 01: +0,1.24,9
109,Oct 03 2019 01: +0,1.13,4
110,Oct 04 2019 01: +0,1.26,8
111,Oct 05 2019 01: +0,1.25,11
112,Oct 06 2019 01: +0,1.261,8
113,Oct 07 2019 01: +0,1.293,10
114,Oct 08 2019 01: +0,1.221,4
115,Oct 09 2019 01: +0,1.192,7
116,Oct 10 2019 01: +0,1.216,11
117,Oct 11 2019 01: +0,1.223,7
118,Oct 12 2019 01: +0,1.194,5
119,Oct 13 2019 01: +0,1.18,4
120,Oct 14 2019 01: +0,1.173,5
121,Oct 15 2019 01: +0,1.222,2
122,Oct 16 2019 01: +0,1.143,5
123,Oct 17 2019 01: +0,1.135,3
124,Oct 18 2019 01: +0,1.123,8
125,Oct 19 2019 01: +0,1.128,6
126,Oct 20 2019 01: +0,1.132,10
127,Oct 21 2019 01: +0,1.109,10
128,Oct 22 2019 01: +0,1.134,6
129,Oct 23 2019 01: +0,1.081,4
130,Oct 24 2019 01: +0,1.229,3
131,Oct 25 2019 01: +0,1.165,3
132,Oct 26 2019 01: +0,1.098,8
133,Oct 27 2019 01: +0,1.199,3
134,Oct 28 2019 01: +0,1.082,7
135,Oct 29 2019 01: +0,1.227,4
136,Oct 30 2019 01: +0,1.1,5
137,Oct 31 2019 01: +0,1.165,7
138,Nov 01 2019 01: +0,1.047,1
139,Nov 02 2019 01: +0,1.124,4
140,Nov 03 2019 01: +0,1.208,5
141,Nov 04 2019 01: +0,1.154,3
142,Nov 05 2019 01: +0,1.194,3
143,Nov 06 2019 01: +0,1.065,6
144,Nov 07 2019 01: +0,1.19,4
145,Nov 08 2019 01: +0,1.09,4
146,Nov 09 2019 01: +0,1.185,3
147,Nov 10 2019 01: +0,1.061,4
148,Nov 11 2019 01: +0,1.108,5
149,Nov 12 2019 01: +0,1.146,4
150,Nov 13 2019 01: +0,1.217,8
151,Nov 14 2019 01: +0,1.212,2
152,Nov 15 2019 01: +0,1.215,2
153,Nov 16 2019 01: +0,1.257,3
154,Nov 17 2019 01: +0,1.147,4
155,Nov 18 2019 01: +0,1.261,5
156,Nov 19 2019 01: +0,1.38,1
157,Nov 20 2019 01: +0,1.141,2
158,Nov 21 2019 01: +0,1.308,2
159,Nov 22 2019 01: +0,1.159,3
160,Nov 23 2019 01: +0,1.28,1
161,Nov 24 2019 01: +0,1.224,5
162,Nov 25 2019 01: +0,1.246,4
163,Nov 26 2019 01: +0,1.255,3
164,Nov 27 2019 01: +0,1.223,2
165,Nov 28 2019 01: +0,1.072,4
166,Nov 29 2019 01: +0,1.064,5
167,Nov 30 2019 01: +0,1.131,5
168,Dec 01 2019 01: +0,1.13,2
169,Dec 02 2019 01: +0,1.213,4
170,Dec 03 2019 01: +0,1.211,2
171,Dec 04 2019 01: +0,1.084,3
172,Dec 05 2019 01: +0,1.079,6
173,Dec 06 2019 01: +0,1.103,3
174,Dec 07 2019 01: +0,1.145,1
175,Dec 08 2019 01: +0,1.212,3
176,Dec 09 2019 01: +0,1.115,4
177,Dec 10 2019 01: +0,1.124,4
178,Dec 11 2019 01: +0,1.224,6
179,Dec 12 2019 01: +0,1.193,4
180,Dec 13 2019 01: +0,1.089,3
181,Dec 14 2019 01: +0,1.221,5
182,Dec 15 2019 01: +0,1.284,5
183,Dec 16 2019 01: +0,1.216,9
184,Dec 17 2019 01: +0,1.294,6
185,Dec 18 2019 01: +0,1.188,4
186,Dec 19 2019 01: +0,1.292,11
187,Dec 20 2019 01: +0,1.324,7
188,Dec 21 2019 01: +0,1.343,2
189,Dec 22 2019 01: +0,1.255,3
190,Dec 23 2019 01: +0,1.121,4
191,Dec 24 2019 01: +0,1.239,7
192,Dec 25 2019 01: +0,1.339,4
193,Dec 26 2019 01: +0,1.294,8
194,Dec 27 2019 01: +0,1.275,4
195,Dec 28 2019 01: +0,1.246,8
196,Dec 29 2019 01: +0,1.352,5
197,Dec 30 2019 01: +0,1.397,7
198,Dec 31 2019 01: +0,1.305,6
199,Jan 01 2020 01: +0,1.426,2
200,Jan 02 2020 01: +0,1.488,6
201,Jan 03 2020 01: +0,1.433,6
202,Jan 04 2020 01: +0,1.578,6
203,Jan 05 2020 01: +0,1.698,8
204,Jan 06 2020 01: +0,1.603,3
205,Jan 07 2020 01: +0,1.714,4
206,Jan 08 2020 01: +0,1.833,2
207,Jan 09 2020 01: +0,1.909,2
208,Jan 10 2020 01: +0,1.888,6
209,Jan 11 2020 01: +0,1.989,2
210,Jan 12 2020 01: +0,1.975,2
211,Jan 13 2020 01: +0,1.722,2
212,Jan 14 2020 01: +0,1.654,1
213,Jan 15 2020 01: +0,1.733,8
214,Jan 16 2020 01: +0,1.878,5
215,Jan 17 2020 01: +0,1.364,1
216,Jan 18 2020 01: +0,1.685,4
217,Jan 19 2020 01: +0,1.45,1
218,Jan 20 2020 01: +0,2.33,5
219,Jan 21 2020 01: +0,2.554,1
220,Jan 22 2020 01: +0,2.82,1
221,Jan 23 2020 01: +0,1.9,1
222,Jan 24 2020 01: +0,1.667,3
223,Jan 25 2020 01: +0,1.907,4
224,Jan 26 2020 01: +0,2.048,3
225,Jan 27 2020 01: +0,1.886,3
226,Jan 28 2020 01: +0,0.902,1
227,Jan 29 2020 01: +0,1.628,2
228,Jan 30 2020 01: +0,1.69,6
229,Jan 31 2020 01: +0,1.654,5
230,Feb 01 2020 01: +0,1.802,3
231,Feb 02 2020 01: +0,1.585,2
232,Feb 03 2020 01: +0,1.546,3
233,Feb 04 2020 01: +0,1.493,8
234,Feb 05 2020 01: +0,1.604,4
235,Feb 06 2020 01: +0,1.362,3
236,Feb 07 2020 01: +0,1.57,4
237,Feb 08 2020 01: +0,1.497,5
238,Feb 09 2020 01: +0,1.792,7
239,Feb 10 2020 01: +0,1.707,7
240,Feb 11 2020 01: +0,1.558,6
241,Feb 12 2020 01: +0,1.486,3
242,Feb 13 2020 01: +0,1.62,6
243,Feb 14 2020 01: +0,1.672,5
244,Feb 15 2020 01: +0,1.664,8
245,Feb 16 2020 01: +0,1.467,4
246,Feb 17 2020 01: +0,1.656,4
247,Feb 18 2020 01: +0,1.56,4
248,Feb 19 2020 01: +0,1.558,7
249,Feb 20 2020 01: +0,1.614,5
250,Feb 21 2020 01: +0,1.617,6
251,Feb 22 2020 01: +0,1.496,4
252,Feb 23 2020 01: +0,1.555,5
253,Feb 24 2020 01: +0,1.519,2
254,Feb 25 2020 01: +0,1.345,4
255,Feb 26 2020 01: +0,1.398,8
256,Feb 27 2020 01: +0,1.49,1
257,Feb 28 2020 01: +0,1.498,3
258,Feb 29 2020 01: +0,1.44,4
259,Mar 01 2020 01: +0,1.333,7
260,Mar 02 2020 01: +0,1.42,6
261,Mar 03 2020 01: +0,1.359,8
262,Mar 04 2020 01: +0,1.442,9
263,Mar 05 2020 01: +0,1.51,4
264,Mar 06 2020 01: +0,1.479,6
265,Mar 07 2020 01: +0,1.527,3
266,Mar 08 2020 01: +0,1.532,2
267,Mar 09 2020 01: +0,1.378,6
268,Mar 10 2020 01: +0,1.392,4
269,Mar 11 2020 01: +0,1.524,3
270,Mar 12 2020 01: +0,1.517,7
271,Mar 13 2020 01: +0,1.38,4
272,Mar 14 2020 01: +0,1.482,3
273,Mar 15 2020 01: +0,1.392,3
274,Mar 16 2020 01: +0,1.474,7
275,Mar 17 2020 01: +0,1.117,2
276,Mar 18 2020 01: +0,1.355,2
277,Mar 19 2020 01: +0,1.315,6
278,Mar 20 2020 01: +0,1.301,7
279,Mar 21 2020 01: +0,1.268,5
280,Mar 22 2020 01: +0,1.482,4
281,Mar 23 2020 01: +0,1.306,9
282,Mar 24 2020 01: +0,1.021,6
283,Mar 25 2020 01: +0,1.189,8
284,Mar 26 2020 01: +0,1.33,4
285,Mar 27 2020 01: +0,1.321,3
286,Mar 28 2020 01: +0,1.258,6
287,Mar 30 2020 01: +0,1.181,3
288,Mar 31 2020 01: +0,1.18,7
289,Apr 01 2020 01: +0,1.239,8
290,Apr 02 2020 01: +0,1.233,7
291,Apr 03 2020 01: +0,1.201,5
292,Apr 04 2020 01: +0,1.346,3
293,Apr 05 2020 01: +0,1.323,7
294,Apr 06 2020 01: +0,1.309,5
295,Apr 07 2020 01: +0,1.42,3
296,Apr 08 2020 01: +0,1.128,2
297,Apr 09 2020 01: +0,1.45,1
298,Apr 10 2020 01: +0,1.474,8
