,time,price,volume
0,Apr 09 2020 01: +0,1.706,13
1,Apr 10 2020 01: +0,1.359,37
2,Apr 11 2020 01: +0,1.368,22
3,Apr 12 2020 01: +0,1.445,30
4,Apr 13 2020 01: +0,1.559,14
5,Apr 14 2020 01: +0,1.522,21
6,Apr 15 2020 01: +0,1.614,21
7,Apr 16 2020 01: +0,1.585,27
8,Apr 17 2020 01: +0,1.386,26
9,Apr 18 2020 01: +0,1.541,21
10,Apr 19 2020 01: +0,1.572,26
11,Apr 20 2020 01: +0,1.452,19
12,Apr 21 2020 01: +0,1.528,25
13,Apr 22 2020 01: +0,1.411,14
14,Apr 23 2020 01: +0,1.329,13
15,Apr 24 2020 01: +0,1.39,22
16,Apr 25 2020 01: +0,1.433,27
17,Apr 26 2020 01: +0,1.348,17
18,Apr 27 2020 01: +0,1.325,19
19,Apr 28 2020 01: +0,1.46,17
20,Apr 29 2020 01: +0,1.447,22
21,Apr 30 2020 01: +0,1.509,31
22,May 01 2020 01: +0,1.555,15
23,May 02 2020 01: +0,1.649,26
24,May 03 2020 01: +0,1.605,11
25,May 04 2020 01: +0,1.613,15
26,May 05 2020 01: +0,1.666,22
27,May 06 2020 01: +0,1.73,9
28,May 07 2020 01: +0,1.759,16
29,May 08 2020 01: +0,1.889,22
30,May 09 2020 01: +0,2.415,23
31,May 10 2020 01: +0,2.253,13
32,May 11 2020 01: +0,2.309,10
33,May 12 2020 01: +0,2.009,14
34,May 13 2020 01: +0,2.172,9
35,May 14 2020 01: +0,2.073,14
36,May 15 2020 01: +0,2.006,13
37,May 16 2020 01: +0,1.971,10
38,May 17 2020 01: +0,1.813,11
39,May 18 2020 01: +0,1.601,8
40,May 19 2020 01: +0,1.76,13
41,May 20 2020 01: +0,1.836,9
42,May 21 2020 01: +0,1.914,14
43,May 22 2020 01: +0,1.826,11
44,May 23 2020 01: +0,1.912,11
45,May 24 2020 01: +0,1.904,8
46,May 25 2020 01: +0,1.784,6
47,May 26 2020 01: +0,1.78,5
48,May 27 2020 01: +0,1.7,19
49,May 28 2020 01: +0,1.798,13
50,May 29 2020 01: +0,1.856,9
51,May 30 2020 01: +0,1.883,12
52,May 31 2020 01: +0,1.891,13
53,Jun 01 2020 01: +0,1.863,23
54,Jun 02 2020 01: +0,1.795,10
55,Jun 03 2020 01: +0,1.925,5
56,Jun 04 2020 01: +0,1.797,17
57,Jun 05 2020 01: +0,1.89,15
58,Jun 06 2020 01: +0,1.936,11
59,Jun 07 2020 01: +0,2.096,17
60,Jun 08 2020 01: +0,1.917,7
61,Jun 09 2020 01: +0,1.879,9
62,Jun 10 2020 01: +0,1.937,8
63,Jun 11 2020 01: +0,1.897,16
64,Jun 12 2020 01: +0,2.027,8
65,Jun 13 2020 01: +0,2.067,9
66,Jun 14 2020 01: +0,1.882,7
67,Jun 15 2020 01: +0,1.756,12
68,Jun 16 2020 01: +0,1.697,11
69,Jun 17 2020 01: +0,1.898,12
70,Jun 18 2020 01: +0,1.824,7
71,Jun 19 2020 01: +0,1.789,5
72,Jun 20 2020 01: +0,1.804,6
73,Jun 21 2020 01: +0,1.919,8
74,Jun 22 2020 01: +0,1.949,7
75,Jun 23 2020 01: +0,1.663,8
76,Jun 24 2020 01: +0,1.991,7
77,Jun 25 2020 01: +0,1.823,7
78,Jun 26 2020 01: +0,1.736,9
79,Jun 27 2020 01: +0,1.772,11
80,Jun 28 2020 01: +0,1.799,5
81,Jun 29 2020 01: +0,1.623,9
82,Jun 30 2020 01: +0,1.808,10
83,Jul 01 2020 01: +0,1.92,8
84,Jul 02 2020 01: +0,1.997,8
85,Jul 03 2020 01: +0,2.05,5
86,Jul 04 2020 01: +0,1.958,11
87,Jul 05 2020 01: +0,2.128,7
88,Jul 06 2020 01: +0,1.965,6
89,Jul 07 2020 01: +0,2.008,7
90,Jul 08 2020 01: +0,2.04,4
91,Jul 09 2020 01: +0,1.896,13
92,Jul 10 2020 01: +0,2.016,8
93,Jul 11 2020 01: +0,2.001,9
94,Jul 12 2020 01: +0,1.443,8
95,Jul 13 2020 01: +0,2.107,5
96,Jul 14 2020 01: +0,1.878,9
97,Jul 15 2020 01: +0,2.0,6
98,Jul 16 2020 01: +0,1.98,10
99,Jul 17 2020 01: +0,2.029,11
100,Jul 18 2020 01: +0,2.078,6
101,Jul 19 2020 01: +0,1.918,8
102,Jul 20 2020 01: +0,2.02,5
103,Jul 21 2020 01: +0,1.941,4
104,Jul 22 2020 01: +0,1.871,5
105,Jul 23 2020 01: +0,1.93,5
106,Jul 24 2020 01: +0,1.912,12
107,Jul 25 2020 01: +0,1.838,11
108,Jul 26 2020 01: +0,1.834,13
109,Jul 27 2020 01: +0,2.026,13
110,Jul 28 2020 01: +0,1.884,7
111,Jul 29 2020 01: +0,1.721,12
112,Jul 30 2020 01: +0,1.734,14
113,Jul 31 2020 01: +0,1.763,7
114,Aug 01 2020 01: +0,1.71,10
115,Aug 02 2020 01: +0,1.703,12
116,Aug 03 2020 01: +0,1.734,7
117,Aug 04 2020 01: +0,1.628,9
118,Aug 05 2020 01: +0,1.581,6
119,Aug 06 2020 01: +0,1.637,10
120,Aug 07 2020 01: +0,1.741,14
121,Aug 08 2020 01: +0,1.632,12
122,Aug 09 2020 01: +0,1.677,26
123,Aug 10 2020 01: +0,1.652,28
124,Aug 11 2020 01: +0,1.536,17
125,Aug 12 2020 01: +0,1.707,21
126,Aug 13 2020 01: +0,1.698,17
127,Aug 14 2020 01: +0,1.797,7
128,Aug 15 2020 01: +0,1.616,8
129,Aug 16 2020 01: +0,1.492,8
130,Aug 17 2020 01: +0,1.643,6
131,Aug 18 2020 01: +0,1.703,7
132,Aug 19 2020 01: +0,1.649,10
