,time,price,volume
0,Nov 05 2020 01: +0,3.083,99
1,Nov 06 2020 01: +0,3.124,238
2,Nov 07 2020 01: +0,3.383,171
3,Nov 08 2020 01: +0,3.202,125
4,Nov 09 2020 01: +0,3.135,113
5,Nov 10 2020 01: +0,3.102,151
6,Nov 11 2020 01: +0,3.044,117
7,Nov 12 2020 01: +0,3.083,132
8,Nov 13 2020 01: +0,3.356,154
9,Nov 14 2020 01: +0,3.324,103
10,Nov 15 2020 01: +0,3.236,117
11,Nov 16 2020 01: +0,3.084,126
12,Nov 17 2020 01: +0,3.041,110
13,Nov 18 2020 01: +0,2.933,190
14,Nov 19 2020 01: +0,2.978,163
15,Nov 20 2020 01: +0,3.099,148
16,Nov 21 2020 01: +0,3.451,131
17,Nov 22 2020 01: +0,3.919,90
18,Nov 23 2020 01: +0,3.454,78
19,Nov 24 2020 01: +0,3.233,94
20,Nov 25 2020 01: +0,3.132,75
21,Nov 26 2020 01: +0,2.912,104
22,Nov 27 2020 01: +0,3.041,134
23,Nov 28 2020 01: +0,3.125,115
24,Nov 29 2020 01: +0,3.005,89
25,Nov 30 2020 01: +0,3.025,85
26,Dec 01 2020 01: +0,2.958,76
27,Dec 02 2020 01: +0,3.032,79
28,Dec 03 2020 01: +0,3.208,144
29,Dec 04 2020 01: +0,2.998,141
30,Dec 05 2020 01: +0,3.102,99
31,Dec 06 2020 01: +0,3.203,112
32,Dec 07 2020 01: +0,3.219,85
33,Dec 08 2020 01: +0,3.204,86
34,Dec 09 2020 01: +0,3.065,105
35,Dec 10 2020 01: +0,2.801,91
36,Dec 11 2020 01: +0,3.02,89
37,Dec 12 2020 01: +0,3.113,83
38,Dec 13 2020 01: +0,3.124,90
39,Dec 14 2020 01: +0,3.246,77
40,Dec 15 2020 01: +0,3.319,64
41,Dec 16 2020 01: +0,3.222,79
42,Dec 17 2020 01: +0,3.207,118
43,Dec 18 2020 01: +0,3.22,107
44,Dec 19 2020 01: +0,3.023,119
45,Dec 20 2020 01: +0,3.179,120
46,Dec 21 2020 01: +0,3.172,103
47,Dec 22 2020 01: +0,3.185,70
48,Dec 23 2020 01: +0,3.189,88
49,Dec 24 2020 01: +0,3.407,115
50,Dec 25 2020 01: +0,3.807,134
51,Dec 26 2020 01: +0,3.783,123
52,Dec 27 2020 01: +0,4.045,100
53,Dec 28 2020 01: +0,4.054,91
54,Dec 29 2020 01: +0,4.149,114
55,Dec 30 2020 01: +0,4.117,106
56,Dec 31 2020 01: +0,4.47,110
57,Jan 01 2021 01: +0,4.601,123
58,Jan 02 2021 01: +0,4.715,160
59,Jan 03 2021 01: +0,4.748,136
60,Jan 04 2021 01: +0,5.31,117
61,Jan 05 2021 01: +0,5.767,99
62,Jan 06 2021 01: +0,6.207,100
63,Jan 07 2021 01: +0,6.484,133
64,Jan 08 2021 01: +0,7.04,152
65,Jan 09 2021 01: +0,6.991,124
66,Jan 10 2021 01: +0,7.768,142
67,Jan 11 2021 01: +0,8.088,129
68,Jan 12 2021 01: +0,8.308,116
69,Jan 13 2021 01: +0,8.053,104
70,Jan 14 2021 01: +0,8.086,125
71,Jan 15 2021 01: +0,7.952,137
72,Jan 16 2021 01: +0,8.077,118
73,Jan 17 2021 01: +0,8.144,104
74,Jan 18 2021 01: +0,8.319,111
75,Jan 19 2021 01: +0,8.305,78
76,Jan 20 2021 01: +0,7.582,109
77,Jan 21 2021 01: +0,8.181,114
78,Jan 22 2021 01: +0,8.041,121
79,Jan 23 2021 01: +0,8.079,115
80,Jan 24 2021 01: +0,8.236,93
81,Jan 25 2021 01: +0,8.212,103
82,Jan 26 2021 01: +0,8.403,100
83,Jan 27 2021 01: +0,8.365,98
84,Jan 28 2021 01: +0,8.48,102
85,Jan 29 2021 01: +0,8.404,142
86,Jan 30 2021 01: +0,8.58,120
87,Jan 31 2021 01: +0,8.512,114
88,Feb 01 2021 01: +0,8.809,98
89,Feb 02 2021 01: +0,8.832,79
90,Feb 03 2021 01: +0,8.564,84
91,Feb 04 2021 01: +0,9.18,147
92,Feb 05 2021 01: +0,8.706,136
93,Feb 06 2021 01: +0,9.076,100
94,Feb 07 2021 01: +0,9.107,88
95,Feb 08 2021 01: +0,8.927,85
96,Feb 09 2021 01: +0,8.635,82
97,Feb 10 2021 01: +0,8.78,73
98,Feb 11 2021 01: +0,8.626,81
99,Feb 12 2021 01: +0,8.124,94
100,Feb 13 2021 01: +0,8.324,89
101,Feb 14 2021 01: +0,8.219,63
102,Feb 15 2021 01: +0,8.017,61
103,Feb 16 2021 01: +0,8.385,52
104,Feb 17 2021 01: +0,7.621,55
105,Feb 18 2021 01: +0,7.67,59
106,Feb 19 2021 01: +0,7.865,82
107,Feb 20 2021 01: +0,8.002,68
108,Feb 21 2021 01: +0,8.204,64
109,Feb 22 2021 01: +0,8.014,60
110,Feb 23 2021 01: +0,8.151,69
111,Feb 24 2021 01: +0,7.637,43
112,Feb 25 2021 01: +0,7.853,54
113,Feb 26 2021 01: +0,7.424,74
114,Feb 27 2021 01: +0,7.611,52
115,Feb 28 2021 01: +0,8.155,57
116,Mar 01 2021 01: +0,7.751,65
117,Mar 02 2021 01: +0,7.751,47
118,Mar 03 2021 01: +0,7.682,57
119,Mar 04 2021 01: +0,7.762,56
120,Mar 05 2021 01: +0,7.403,42
121,Mar 06 2021 01: +0,7.239,50
122,Mar 07 2021 01: +0,6.727,44
123,Mar 08 2021 01: +0,6.747,28
124,Mar 09 2021 01: +0,6.239,40
125,Mar 10 2021 01: +0,5.889,33
126,Mar 11 2021 01: +0,6.062,45
127,Mar 12 2021 01: +0,5.967,48
128,Mar 13 2021 01: +0,5.704,40
129,Mar 14 2021 01: +0,5.902,46
130,Mar 15 2021 01: +0,5.9,44
131,Mar 16 2021 01: +0,5.564,41
132,Mar 17 2021 01: +0,5.684,47
133,Mar 18 2021 01: +0,5.686,42
134,Mar 19 2021 01: +0,5.754,62
135,Mar 20 2021 01: +0,5.487,41
136,Mar 21 2021 01: +0,5.767,49
137,Mar 22 2021 01: +0,5.637,38
138,Mar 23 2021 01: +0,5.418,42
139,Mar 24 2021 01: +0,5.063,34
140,Mar 25 2021 01: +0,5.453,51
141,Mar 26 2021 01: +0,5.752,57
142,Mar 27 2021 01: +0,5.684,35
143,Mar 28 2021 01: +0,4.972,60
144,Mar 29 2021 01: +0,5.208,43
145,Mar 30 2021 01: +0,5.334,40
146,Mar 31 2021 01: +0,5.234,49
147,Apr 01 2021 01: +0,5.523,58
148,Apr 02 2021 01: +0,5.552,52
149,Apr 03 2021 01: +0,5.809,60
150,Apr 04 2021 01: +0,5.921,54
151,Apr 05 2021 01: +0,6.094,53
152,Apr 06 2021 01: +0,6.46,49
153,Apr 07 2021 01: +0,6.23,37
154,Apr 08 2021 01: +0,5.727,41
155,Apr 09 2021 01: +0,5.944,60
156,Apr 10 2021 01: +0,5.89,48
