,time,price,volume
0,Jul 24 2020 05: +0,2.759,1
1,Jul 24 2020 16: +0,2.284,2
2,Jul 24 2020 18: +0,2.2,1
3,Jul 24 2020 19: +0,2.205,1
4,Jul 24 2020 22: +0,2.162,4
5,Jul 24 2020 23: +0,2.285,2
6,Jul 25 2020 01: +0,2.3,1
7,Jul 25 2020 02: +0,2.3,1
8,Jul 25 2020 04: +0,2.3,1
9,Jul 25 2020 05: +0,1.971,3
10,Jul 25 2020 06: +0,2.223,1
11,Jul 25 2020 07: +0,1.99,1
12,Jul 25 2020 08: +0,2.0,3
13,Jul 25 2020 09: +0,2.2,1
14,Jul 25 2020 11: +0,2.174,3
15,Jul 25 2020 16: +0,2.155,4
16,Jul 25 2020 17: +0,2.184,1
17,Jul 25 2020 18: +0,2.188,4
18,Jul 25 2020 20: +0,2.086,2
19,Jul 25 2020 21: +0,1.93,2
20,Jul 25 2020 22: +0,2.13,1
21,Jul 25 2020 23: +0,2.2,1
22,Jul 26 2020 00: +0,2.13,1
23,Jul 26 2020 05: +0,2.062,2
24,Jul 26 2020 06: +0,2.125,2
25,Jul 26 2020 07: +0,2.144,2
26,Jul 26 2020 08: +0,2.179,4
27,Jul 26 2020 09: +0,2.203,1
28,Jul 26 2020 10: +0,2.188,2
29,Jul 26 2020 12: +0,2.205,1
30,Jul 26 2020 14: +0,2.185,1
31,Jul 26 2020 15: +0,2.11,1
32,Jul 26 2020 16: +0,2.214,1
33,Jul 26 2020 17: +0,2.213,1
34,Jul 26 2020 19: +0,2.21,1
35,Jul 26 2020 20: +0,2.13,1
36,Jul 26 2020 21: +0,1.97,1
37,Jul 26 2020 22: +0,2.215,3
38,Jul 26 2020 23: +0,2.07,1
39,Jul 27 2020 01: +0,2.1,1
40,Jul 27 2020 03: +0,2.212,2
41,Jul 27 2020 04: +0,2.12,1
42,Jul 27 2020 05: +0,2.293,1
43,Jul 27 2020 07: +0,2.07,1
44,Jul 27 2020 08: +0,2.013,2
45,Jul 27 2020 09: +0,2.106,2
46,Jul 27 2020 12: +0,2.11,1
47,Jul 27 2020 14: +0,2.138,1
48,Jul 27 2020 15: +0,2.033,2
49,Jul 27 2020 18: +0,1.739,1
50,Jul 27 2020 19: +0,1.982,2
51,Jul 27 2020 20: +0,2.052,3
52,Jul 27 2020 21: +0,1.949,1
53,Jul 27 2020 22: +0,2.157,1
54,Jul 28 2020 02: +0,1.943,1
55,Jul 28 2020 07: +0,1.95,1
56,Jul 28 2020 09: +0,1.891,2
57,Jul 28 2020 10: +0,1.94,2
58,Jul 28 2020 11: +0,1.945,3
59,Jul 28 2020 12: +0,2.065,1
60,Jul 28 2020 13: +0,2.06,2
61,Jul 28 2020 15: +0,1.535,1
62,Jul 28 2020 18: +0,1.886,2
63,Jul 28 2020 20: +0,1.9,1
64,Jul 28 2020 21: +0,1.52,1
65,Jul 28 2020 23: +0,1.789,2
66,Jul 29 2020 02: +0,1.91,1
67,Jul 29 2020 03: +0,1.64,1
68,Jul 29 2020 07: +0,1.418,3
69,Jul 29 2020 08: +0,1.74,1
70,Jul 29 2020 12: +0,1.629,1
71,Jul 29 2020 13: +0,1.629,3
72,Jul 29 2020 16: +0,1.613,2
73,Jul 29 2020 17: +0,1.708,3
74,Jul 29 2020 18: +0,1.846,1
75,Jul 29 2020 21: +0,1.875,2
76,Jul 29 2020 22: +0,1.88,1
77,Jul 30 2020 01: +0,1.88,1
78,Jul 30 2020 02: +0,1.693,4
79,Jul 30 2020 04: +0,1.939,1
80,Jul 30 2020 05: +0,1.954,1
81,Jul 30 2020 06: +0,1.84,1
82,Jul 30 2020 11: +0,1.897,1
83,Jul 30 2020 13: +0,1.624,1
84,Jul 30 2020 14: +0,1.895,4
85,Jul 30 2020 16: +0,1.8,1
86,Jul 30 2020 21: +0,1.803,2
87,Jul 30 2020 22: +0,1.843,3
88,Jul 31 2020 00: +0,1.899,1
89,Jul 31 2020 01: +0,1.829,2
90,Jul 31 2020 04: +0,1.688,1
91,Jul 31 2020 06: +0,1.506,3
92,Jul 31 2020 09: +0,1.512,1
93,Jul 31 2020 12: +0,1.34,1
94,Jul 31 2020 14: +0,1.588,2
95,Jul 31 2020 16: +0,1.63,2
96,Jul 31 2020 18: +0,1.729,2
97,Jul 31 2020 19: +0,1.711,1
98,Jul 31 2020 20: +0,1.785,1
99,Aug 01 2020 01: +0,1.58,1
100,Aug 01 2020 02: +0,1.499,2
101,Aug 01 2020 03: +0,1.538,1
102,Aug 01 2020 06: +0,1.437,1
103,Aug 01 2020 07: +0,1.57,1
104,Aug 01 2020 09: +0,1.51,1
105,Aug 01 2020 10: +0,1.561,2
106,Aug 01 2020 11: +0,1.467,1
107,Aug 01 2020 12: +0,1.382,1
108,Aug 01 2020 13: +0,1.567,2
109,Aug 01 2020 15: +0,1.538,1
110,Aug 01 2020 16: +0,1.527,2
111,Aug 01 2020 17: +0,1.584,1
112,Aug 01 2020 18: +0,1.594,1
113,Aug 01 2020 19: +0,1.589,1
114,Aug 01 2020 20: +0,1.484,1
115,Aug 01 2020 21: +0,1.596,2
116,Aug 01 2020 22: +0,1.72,1
117,Aug 01 2020 23: +0,1.308,2
118,Aug 02 2020 00: +0,1.33,1
119,Aug 02 2020 02: +0,1.54,2
120,Aug 02 2020 03: +0,1.62,1
121,Aug 02 2020 04: +0,1.72,1
122,Aug 02 2020 08: +0,1.19,1
123,Aug 02 2020 09: +0,1.741,2
124,Aug 02 2020 10: +0,1.656,1
125,Aug 02 2020 11: +0,1.757,2
126,Aug 02 2020 12: +0,1.745,2
127,Aug 02 2020 13: +0,1.8,1
128,Aug 02 2020 16: +0,1.736,1
129,Aug 02 2020 17: +0,1.685,2
130,Aug 02 2020 18: +0,1.817,1
131,Aug 02 2020 19: +0,1.807,1
132,Aug 02 2020 22: +0,1.819,1
133,Aug 02 2020 23: +0,1.86,3
134,Aug 03 2020 01: +0,1.82,1
135,Aug 03 2020 02: +0,1.8,1
136,Aug 03 2020 04: +0,1.82,1
137,Aug 03 2020 06: +0,1.76,1
138,Aug 03 2020 11: +0,1.79,2
139,Aug 03 2020 15: +0,1.863,1
140,Aug 03 2020 16: +0,1.813,2
141,Aug 03 2020 17: +0,1.694,2
142,Aug 03 2020 18: +0,1.818,2
143,Aug 03 2020 21: +0,1.323,1
144,Aug 03 2020 22: +0,1.594,2
145,Aug 03 2020 23: +0,1.612,1
146,Aug 04 2020 03: +0,1.58,1
147,Aug 04 2020 04: +0,1.601,1
148,Aug 04 2020 05: +0,1.61,1
149,Aug 04 2020 07: +0,1.281,2
150,Aug 04 2020 08: +0,1.6,1
151,Aug 04 2020 09: +0,1.599,2
152,Aug 04 2020 11: +0,1.579,1
153,Aug 04 2020 12: +0,1.6,1
154,Aug 04 2020 13: +0,1.493,1
155,Aug 04 2020 14: +0,1.579,1
156,Aug 04 2020 15: +0,1.54,1
157,Aug 04 2020 16: +0,1.538,2
158,Aug 04 2020 17: +0,1.564,2
159,Aug 04 2020 18: +0,1.589,2
160,Aug 04 2020 20: +0,1.62,1
161,Aug 04 2020 21: +0,1.396,2
162,Aug 04 2020 22: +0,1.363,1
163,Aug 04 2020 23: +0,1.311,1
164,Aug 05 2020 01: +0,1.415,1
165,Aug 05 2020 02: +0,1.458,2
166,Aug 05 2020 05: +0,1.43,1
167,Aug 05 2020 06: +0,1.422,1
168,Aug 05 2020 07: +0,1.506,2
169,Aug 05 2020 08: +0,1.582,1
170,Aug 05 2020 09: +0,1.617,1
171,Aug 05 2020 10: +0,1.497,2
172,Aug 05 2020 12: +0,1.318,1
173,Aug 05 2020 13: +0,1.523,3
174,Aug 05 2020 15: +0,1.543,2
175,Aug 05 2020 16: +0,1.62,1
176,Aug 05 2020 17: +0,1.48,2
177,Aug 05 2020 18: +0,1.608,1
178,Aug 05 2020 19: +0,1.264,1
179,Aug 05 2020 20: +0,1.597,1
180,Aug 05 2020 21: +0,1.506,1
181,Aug 06 2020 01: +0,1.38,1
182,Aug 06 2020 03: +0,1.43,2
183,Aug 06 2020 08: +0,1.5,1
184,Aug 06 2020 10: +0,1.354,1
185,Aug 06 2020 11: +0,1.403,1
186,Aug 06 2020 14: +0,1.495,1
187,Aug 06 2020 15: +0,1.406,2
188,Aug 06 2020 16: +0,1.566,1
189,Aug 06 2020 17: +0,1.607,3
190,Aug 06 2020 18: +0,1.763,2
191,Aug 06 2020 19: +0,1.725,2
192,Aug 06 2020 20: +0,1.56,1
193,Aug 06 2020 21: +0,1.261,2
194,Aug 06 2020 22: +0,1.485,2
195,Aug 07 2020 00: +0,1.251,2
196,Aug 07 2020 01: +0,1.322,1
197,Aug 07 2020 02: +0,1.403,1
198,Aug 07 2020 06: +0,1.335,2
199,Aug 07 2020 07: +0,1.425,2
200,Aug 07 2020 08: +0,1.493,2
201,Aug 07 2020 09: +0,1.579,1
202,Aug 07 2020 10: +0,1.55,1
203,Aug 07 2020 11: +0,1.24,1
204,Aug 07 2020 14: +0,1.467,1
205,Aug 07 2020 15: +0,1.093,2
206,Aug 07 2020 16: +0,1.57,3
207,Aug 07 2020 18: +0,1.574,1
208,Aug 07 2020 19: +0,1.28,2
209,Aug 07 2020 20: +0,1.591,1
