,time,price,volume
0,Jul 20 2017 01: +0,3.427,3
1,Jul 21 2017 01: +0,2.498,2
2,Jul 22 2017 01: +0,1.796,6
3,Jul 23 2017 01: +0,1.567,8
4,Jul 24 2017 01: +0,1.576,9
5,Jul 25 2017 01: +0,2.111,4
6,Jul 26 2017 01: +0,1.971,5
7,Jul 27 2017 01: +0,1.217,10
8,Jul 28 2017 01: +0,1.497,7
9,Jul 29 2017 01: +0,1.822,5
10,Jul 30 2017 01: +0,1.738,6
11,Jul 31 2017 01: +0,1.485,2
12,Aug 01 2017 01: +0,1.716,4
13,Aug 02 2017 01: +0,1.511,9
14,Aug 03 2017 01: +0,1.698,4
15,Aug 04 2017 01: +0,1.716,1
16,Aug 05 2017 01: +0,1.585,5
17,Aug 06 2017 01: +0,1.549,6
18,Aug 07 2017 01: +0,1.603,5
19,Aug 08 2017 01: +0,1.656,3
20,Aug 09 2017 01: +0,1.524,4
21,Aug 10 2017 01: +0,1.685,5
22,Aug 11 2017 01: +0,1.492,4
23,Aug 12 2017 01: +0,1.316,1
24,Aug 13 2017 01: +0,1.568,5
25,Aug 14 2017 01: +0,1.614,1
26,Aug 15 2017 01: +0,1.478,3
27,Aug 16 2017 01: +0,1.461,2
28,Aug 17 2017 01: +0,1.543,4
29,Aug 18 2017 01: +0,1.511,4
30,Aug 19 2017 01: +0,1.582,6
31,Aug 20 2017 01: +0,1.803,4
32,Aug 21 2017 01: +0,1.883,5
33,Aug 22 2017 01: +0,1.92,1
34,Aug 23 2017 01: +0,1.867,3
35,Aug 24 2017 01: +0,1.373,3
36,Aug 25 2017 01: +0,1.162,4
37,Aug 26 2017 01: +0,1.452,3
38,Aug 28 2017 01: +0,0.96,1
39,Aug 31 2017 01: +0,1.47,1
40,Sep 01 2017 01: +0,1.201,3
41,Sep 02 2017 01: +0,1.505,5
42,Sep 03 2017 01: +0,1.189,1
43,Sep 04 2017 01: +0,1.124,2
44,Sep 06 2017 01: +0,1.475,2
45,Sep 07 2017 01: +0,1.292,3
46,Sep 08 2017 01: +0,1.566,2
47,Sep 09 2017 01: +0,1.564,3
48,Sep 10 2017 01: +0,1.447,5
49,Sep 11 2017 01: +0,1.552,1
50,Sep 12 2017 01: +0,1.38,1
51,Sep 13 2017 01: +0,1.05,1
52,Sep 14 2017 01: +0,1.384,2
53,Sep 15 2017 01: +0,1.177,2
54,Sep 16 2017 01: +0,1.398,4
55,Sep 17 2017 01: +0,1.326,4
56,Sep 19 2017 01: +0,1.282,2
57,Sep 20 2017 01: +0,1.236,2
58,Sep 21 2017 01: +0,1.282,3
59,Sep 22 2017 01: +0,1.099,4
60,Sep 23 2017 01: +0,1.048,2
61,Sep 24 2017 01: +0,1.291,1
62,Sep 25 2017 01: +0,1.277,2
