,time,price,volume
0,Oct 18 2019 01: +0,3.204,29
1,Oct 19 2019 01: +0,2.454,39
2,Oct 20 2019 01: +0,2.271,36
3,Oct 21 2019 01: +0,2.228,26
4,Oct 22 2019 01: +0,2.306,17
5,Oct 23 2019 01: +0,2.083,20
6,Oct 24 2019 01: +0,2.262,22
7,Oct 25 2019 01: +0,1.789,39
8,Oct 26 2019 01: +0,1.727,39
9,Oct 27 2019 01: +0,1.964,25
10,Oct 28 2019 01: +0,2.003,17
11,Oct 29 2019 01: +0,2.037,25
12,Oct 30 2019 01: +0,2.117,21
13,Oct 31 2019 01: +0,1.844,19
14,Nov 01 2019 01: +0,1.671,41
15,Nov 02 2019 01: +0,1.769,19
16,Nov 03 2019 01: +0,1.837,19
17,Nov 04 2019 01: +0,1.825,14
18,Nov 05 2019 01: +0,1.871,17
19,Nov 06 2019 01: +0,2.085,18
20,Nov 07 2019 01: +0,1.877,21
21,Nov 08 2019 01: +0,2.051,21
22,Nov 09 2019 01: +0,1.831,32
23,Nov 10 2019 01: +0,1.991,20
24,Nov 11 2019 01: +0,1.97,19
25,Nov 12 2019 01: +0,1.849,20
26,Nov 13 2019 01: +0,1.841,23
27,Nov 14 2019 01: +0,1.568,25
28,Nov 15 2019 01: +0,1.689,27
29,Nov 16 2019 01: +0,1.817,27
30,Nov 17 2019 01: +0,1.822,31
31,Nov 18 2019 01: +0,1.79,12
32,Nov 19 2019 01: +0,1.609,23
33,Nov 20 2019 01: +0,1.501,15
34,Nov 21 2019 01: +0,1.595,26
35,Nov 22 2019 01: +0,1.586,27
36,Nov 23 2019 01: +0,1.634,31
37,Nov 24 2019 01: +0,1.647,24
38,Nov 25 2019 01: +0,1.543,13
39,Nov 26 2019 01: +0,1.536,29
40,Nov 27 2019 01: +0,1.518,21
41,Nov 28 2019 01: +0,1.595,23
42,Nov 29 2019 01: +0,1.606,31
43,Nov 30 2019 01: +0,1.605,23
44,Dec 01 2019 01: +0,1.663,22
45,Dec 02 2019 01: +0,1.748,26
46,Dec 03 2019 01: +0,1.779,28
47,Dec 04 2019 01: +0,1.856,18
48,Dec 05 2019 01: +0,1.695,27
49,Dec 06 2019 01: +0,1.876,38
50,Dec 07 2019 01: +0,1.952,16
51,Dec 08 2019 01: +0,1.927,24
52,Dec 09 2019 01: +0,1.855,27
53,Dec 10 2019 01: +0,1.843,24
54,Dec 11 2019 01: +0,1.761,20
55,Dec 12 2019 01: +0,1.874,15
56,Dec 13 2019 01: +0,1.858,28
57,Dec 14 2019 01: +0,2.032,35
58,Dec 15 2019 01: +0,2.019,22
59,Dec 16 2019 01: +0,1.868,21
60,Dec 17 2019 01: +0,1.958,22
61,Dec 18 2019 01: +0,2.143,26
62,Dec 19 2019 01: +0,1.994,28
63,Dec 20 2019 01: +0,1.937,24
64,Dec 21 2019 01: +0,1.812,22
65,Dec 22 2019 01: +0,1.954,24
66,Dec 23 2019 01: +0,1.988,26
67,Dec 24 2019 01: +0,2.013,31
68,Dec 25 2019 01: +0,2.201,26
69,Dec 26 2019 01: +0,2.412,37
70,Dec 27 2019 01: +0,2.358,24
71,Dec 28 2019 01: +0,2.308,24
72,Dec 29 2019 01: +0,2.384,41
73,Dec 30 2019 01: +0,2.896,25
74,Dec 31 2019 01: +0,2.631,16
75,Jan 01 2020 01: +0,2.555,20
76,Jan 02 2020 01: +0,2.788,15
77,Jan 03 2020 01: +0,2.818,28
78,Jan 04 2020 01: +0,2.724,21
79,Jan 05 2020 01: +0,3.209,17
80,Jan 06 2020 01: +0,3.081,25
81,Jan 07 2020 01: +0,3.029,16
82,Jan 08 2020 01: +0,3.236,16
83,Jan 09 2020 01: +0,3.223,14
84,Jan 10 2020 01: +0,3.157,15
85,Jan 11 2020 01: +0,3.355,25
86,Jan 12 2020 01: +0,3.006,15
87,Jan 13 2020 01: +0,3.042,16
88,Jan 14 2020 01: +0,3.218,12
89,Jan 15 2020 01: +0,2.979,14
90,Jan 16 2020 01: +0,3.238,14
91,Jan 17 2020 01: +0,3.182,14
92,Jan 18 2020 01: +0,3.015,21
93,Jan 19 2020 01: +0,3.133,19
94,Jan 20 2020 01: +0,3.115,17
95,Jan 21 2020 01: +0,3.057,12
96,Jan 22 2020 01: +0,3.059,16
97,Jan 23 2020 01: +0,2.873,12
98,Jan 24 2020 01: +0,2.744,16
99,Jan 25 2020 01: +0,2.982,15
100,Jan 26 2020 01: +0,2.912,19
101,Jan 27 2020 01: +0,3.005,18
102,Jan 28 2020 01: +0,3.175,18
103,Jan 29 2020 01: +0,3.204,15
104,Jan 30 2020 01: +0,3.313,9
