,time,price,volume
0,Aug 16 2019 01: +0,2.104,64
1,Aug 17 2019 01: +0,2.186,66
2,Aug 18 2019 01: +0,2.333,38
3,Aug 19 2019 01: +0,2.148,61
4,Aug 20 2019 01: +0,1.95,32
5,Aug 21 2019 01: +0,2.015,40
6,Aug 22 2019 01: +0,2.026,53
7,Aug 23 2019 01: +0,1.719,76
8,Aug 24 2019 01: +0,1.855,79
9,Aug 25 2019 01: +0,1.952,22
10,Aug 26 2019 01: +0,1.698,35
11,Aug 27 2019 01: +0,1.895,27
12,Aug 28 2019 01: +0,1.844,19
13,Aug 29 2019 01: +0,1.775,27
14,Aug 30 2019 01: +0,1.673,32
15,Aug 31 2019 01: +0,1.622,29
16,Sep 01 2019 01: +0,1.612,32
17,Sep 02 2019 01: +0,1.582,25
18,Sep 03 2019 01: +0,1.641,26
19,Sep 04 2019 01: +0,1.695,36
20,Sep 05 2019 01: +0,1.663,40
21,Sep 06 2019 01: +0,1.723,38
22,Sep 07 2019 01: +0,1.845,36
23,Sep 08 2019 01: +0,1.741,27
24,Sep 09 2019 01: +0,1.693,21
25,Sep 10 2019 01: +0,1.544,29
26,Sep 11 2019 01: +0,1.48,29
27,Sep 12 2019 01: +0,1.511,19
28,Sep 13 2019 01: +0,1.568,32
29,Sep 14 2019 01: +0,1.636,27
30,Sep 15 2019 01: +0,1.615,42
31,Sep 16 2019 01: +0,1.604,25
32,Sep 17 2019 01: +0,1.56,24
33,Sep 18 2019 01: +0,1.544,68
34,Sep 19 2019 01: +0,1.531,29
35,Sep 20 2019 01: +0,1.593,34
36,Sep 21 2019 01: +0,1.594,27
37,Sep 22 2019 01: +0,1.724,88
38,Sep 23 2019 01: +0,1.747,49
39,Sep 24 2019 01: +0,1.597,16
40,Sep 25 2019 01: +0,1.535,17
41,Sep 26 2019 01: +0,1.483,18
42,Sep 27 2019 01: +0,1.582,28
43,Sep 28 2019 01: +0,1.56,30
44,Sep 29 2019 01: +0,1.881,72
45,Sep 30 2019 01: +0,1.913,34
46,Oct 01 2019 01: +0,1.794,15
47,Oct 02 2019 01: +0,1.772,28
48,Oct 03 2019 01: +0,1.778,23
49,Oct 04 2019 01: +0,1.786,37
50,Oct 05 2019 01: +0,1.833,14
51,Oct 06 2019 01: +0,1.733,31
52,Oct 07 2019 01: +0,1.94,29
53,Oct 08 2019 01: +0,1.806,9
54,Oct 09 2019 01: +0,1.776,18
55,Oct 10 2019 01: +0,2.037,19
56,Oct 11 2019 01: +0,1.819,25
57,Oct 12 2019 01: +0,1.66,27
58,Oct 13 2019 01: +0,1.816,119
59,Oct 14 2019 01: +0,1.706,13
60,Oct 15 2019 01: +0,1.689,15
61,Oct 16 2019 01: +0,1.652,19
62,Oct 17 2019 01: +0,1.805,20
63,Oct 18 2019 01: +0,1.645,23
64,Oct 19 2019 01: +0,1.407,29
65,Oct 20 2019 01: +0,1.42,27
66,Oct 21 2019 01: +0,1.415,18
67,Oct 22 2019 01: +0,1.483,19
68,Oct 23 2019 01: +0,1.399,13
69,Oct 24 2019 01: +0,1.414,21
70,Oct 25 2019 01: +0,1.543,16
71,Oct 26 2019 01: +0,1.519,19
72,Oct 27 2019 01: +0,1.385,17
73,Oct 28 2019 01: +0,1.355,11
74,Oct 29 2019 01: +0,1.367,18
75,Oct 30 2019 01: +0,1.379,20
76,Oct 31 2019 01: +0,1.319,13
77,Nov 01 2019 01: +0,1.222,24
78,Nov 02 2019 01: +0,1.263,24
79,Nov 03 2019 01: +0,1.235,24
80,Nov 04 2019 01: +0,1.309,18
81,Nov 05 2019 01: +0,1.355,21
82,Nov 06 2019 01: +0,1.249,19
83,Nov 07 2019 01: +0,1.385,20
84,Nov 08 2019 01: +0,1.299,23
85,Nov 09 2019 01: +0,1.415,20
86,Nov 10 2019 01: +0,1.365,17
87,Nov 11 2019 01: +0,1.298,20
