,time,price,volume
0,Sep 11 2020 01: +0,1.485,21
1,Sep 12 2020 01: +0,1.326,15
2,Sep 13 2020 01: +0,1.279,12
3,Sep 14 2020 01: +0,1.173,19
4,Sep 15 2020 01: +0,1.229,9
5,Sep 16 2020 01: +0,1.337,11
6,Sep 17 2020 01: +0,1.141,9
7,Sep 18 2020 01: +0,1.096,23
8,Sep 19 2020 01: +0,1.04,20
9,Sep 20 2020 01: +0,1.218,14
10,Sep 21 2020 01: +0,1.074,16
11,Sep 22 2020 01: +0,1.114,10
12,Sep 23 2020 01: +0,1.147,8
13,Sep 24 2020 01: +0,1.019,14
14,Sep 25 2020 01: +0,1.051,18
15,Sep 26 2020 01: +0,1.003,15
16,Sep 27 2020 01: +0,1.155,15
17,Sep 28 2020 01: +0,1.252,17
18,Sep 29 2020 01: +0,1.17,7
19,Sep 30 2020 01: +0,1.06,11
20,Oct 01 2020 01: +0,1.061,25
21,Oct 02 2020 01: +0,1.168,12
22,Oct 03 2020 01: +0,1.176,13
23,Oct 04 2020 01: +0,1.208,19
24,Oct 05 2020 01: +0,1.226,14
25,Oct 06 2020 01: +0,1.353,8
26,Oct 07 2020 01: +0,1.071,13
27,Oct 08 2020 01: +0,1.325,10
28,Oct 09 2020 01: +0,1.041,15
29,Oct 10 2020 01: +0,1.015,11
30,Oct 11 2020 01: +0,0.999,13
31,Oct 12 2020 01: +0,1.123,11
32,Oct 13 2020 01: +0,1.06,10
33,Oct 14 2020 01: +0,1.143,9
34,Oct 15 2020 01: +0,1.028,14
35,Oct 16 2020 01: +0,1.074,15
36,Oct 17 2020 01: +0,0.922,17
37,Oct 18 2020 01: +0,1.025,5
38,Oct 19 2020 01: +0,0.953,12
39,Oct 20 2020 01: +0,1.005,17
40,Oct 21 2020 01: +0,0.961,7
41,Oct 22 2020 01: +0,0.918,11
42,Oct 23 2020 01: +0,0.858,17
43,Oct 24 2020 01: +0,0.889,18
44,Oct 25 2020 01: +0,0.983,13
45,Oct 26 2020 01: +0,0.952,21
46,Oct 27 2020 01: +0,0.883,15
47,Oct 28 2020 01: +0,0.956,13
48,Oct 29 2020 01: +0,0.859,17
49,Oct 30 2020 01: +0,0.807,17
50,Oct 31 2020 01: +0,0.769,32
51,Nov 01 2020 01: +0,0.822,19
52,Nov 02 2020 01: +0,0.868,16
53,Nov 03 2020 01: +0,0.927,11
54,Nov 04 2020 01: +0,0.885,9
55,Nov 05 2020 01: +0,0.968,20
56,Nov 06 2020 01: +0,0.934,14
57,Nov 07 2020 01: +0,0.951,22
58,Nov 08 2020 01: +0,0.96,17
59,Nov 09 2020 01: +0,0.986,11
60,Nov 10 2020 01: +0,0.99,9
61,Nov 11 2020 01: +0,0.976,18
62,Nov 12 2020 01: +0,1.002,11
63,Nov 13 2020 01: +0,0.968,23
64,Nov 14 2020 01: +0,0.931,18
