,time,price,volume
0,Jul 19 2019 01: +0,3.988,25
1,Jul 20 2019 01: +0,3.456,119
2,Jul 21 2019 01: +0,4.194,69
3,Jul 22 2019 01: +0,4.163,57
4,Jul 23 2019 01: +0,3.924,54
5,Jul 24 2019 01: +0,3.85,59
6,Jul 25 2019 01: +0,3.707,74
7,Jul 26 2019 01: +0,3.445,90
8,Jul 27 2019 01: +0,3.388,68
9,Jul 28 2019 01: +0,3.473,70
10,Jul 29 2019 01: +0,3.738,71
11,Jul 30 2019 01: +0,4.067,65
12,Jul 31 2019 01: +0,4.188,48
13,Aug 01 2019 01: +0,3.989,87
14,Aug 02 2019 01: +0,4.079,83
15,Aug 03 2019 01: +0,4.218,67
16,Aug 04 2019 01: +0,4.484,68
17,Aug 05 2019 01: +0,4.451,65
18,Aug 06 2019 01: +0,4.548,48
19,Aug 07 2019 01: +0,5.053,55
20,Aug 08 2019 01: +0,5.379,46
21,Aug 09 2019 01: +0,5.773,51
22,Aug 10 2019 01: +0,5.617,46
23,Aug 11 2019 01: +0,5.81,49
24,Aug 12 2019 01: +0,5.654,33
25,Aug 13 2019 01: +0,5.532,41
26,Aug 14 2019 01: +0,5.897,45
27,Aug 15 2019 01: +0,5.733,46
28,Aug 16 2019 01: +0,5.968,84
29,Aug 17 2019 01: +0,6.053,56
30,Aug 18 2019 01: +0,6.593,49
31,Aug 19 2019 01: +0,6.485,52
32,Aug 20 2019 01: +0,6.481,28
33,Aug 21 2019 01: +0,6.841,41
34,Aug 22 2019 01: +0,7.607,52
35,Aug 23 2019 01: +0,7.287,53
36,Aug 24 2019 01: +0,7.312,49
37,Aug 25 2019 01: +0,7.225,38
38,Aug 26 2019 01: +0,6.795,27
39,Aug 27 2019 01: +0,6.591,26
40,Aug 28 2019 01: +0,6.034,25
41,Aug 29 2019 01: +0,5.987,31
42,Aug 30 2019 01: +0,6.386,47
43,Aug 31 2019 01: +0,6.227,30
44,Sep 01 2019 01: +0,6.248,26
45,Sep 02 2019 01: +0,6.063,27
46,Sep 03 2019 01: +0,6.194,23
47,Sep 04 2019 01: +0,6.179,21
48,Sep 05 2019 01: +0,6.09,40
49,Sep 06 2019 01: +0,6.686,35
50,Sep 07 2019 01: +0,6.71,47
51,Sep 08 2019 01: +0,6.899,35
52,Sep 09 2019 01: +0,6.642,23
53,Sep 10 2019 01: +0,6.683,17
54,Sep 11 2019 01: +0,6.309,21
55,Sep 12 2019 01: +0,6.63,31
56,Sep 13 2019 01: +0,6.602,27
57,Sep 14 2019 01: +0,6.616,28
58,Sep 15 2019 01: +0,6.39,28
59,Sep 16 2019 01: +0,6.663,30
60,Sep 17 2019 01: +0,6.488,25
61,Sep 18 2019 01: +0,6.087,13
62,Sep 19 2019 01: +0,5.757,24
63,Sep 20 2019 01: +0,5.794,38
64,Sep 21 2019 01: +0,6.294,20
65,Sep 22 2019 01: +0,6.16,29
66,Sep 23 2019 01: +0,6.352,29
67,Sep 24 2019 01: +0,6.098,16
68,Sep 25 2019 01: +0,6.2,17
69,Sep 26 2019 01: +0,6.176,29
70,Sep 27 2019 01: +0,5.941,37
71,Sep 28 2019 01: +0,5.979,27
72,Sep 29 2019 01: +0,6.263,32
73,Sep 30 2019 01: +0,6.036,21
74,Oct 01 2019 01: +0,6.141,30
75,Oct 02 2019 01: +0,5.817,29
76,Oct 03 2019 01: +0,6.058,35
77,Oct 04 2019 01: +0,5.93,55
78,Oct 05 2019 01: +0,6.134,43
79,Oct 06 2019 01: +0,6.042,29
80,Oct 07 2019 01: +0,6.151,39
81,Oct 08 2019 01: +0,6.079,28
82,Oct 09 2019 01: +0,5.878,33
83,Oct 10 2019 01: +0,5.941,31
84,Oct 11 2019 01: +0,6.084,41
85,Oct 12 2019 01: +0,5.932,27
86,Oct 13 2019 01: +0,5.861,36
