,time,price,volume
0,Jun 08 2017 01: +0,2.66,2
1,Jun 09 2017 01: +0,1.9,14
2,Jun 10 2017 01: +0,1.804,21
3,Jun 11 2017 01: +0,1.972,8
4,Jun 12 2017 01: +0,1.776,21
5,Jun 13 2017 01: +0,1.684,18
6,Jun 14 2017 01: +0,1.676,15
7,Jun 15 2017 01: +0,1.58,18
8,Jun 16 2017 01: +0,1.465,20
9,Jun 17 2017 01: +0,1.462,15
10,Jun 18 2017 01: +0,1.691,13
11,Jun 19 2017 01: +0,1.509,7
12,Jun 20 2017 01: +0,1.62,9
13,Jun 21 2017 01: +0,1.543,10
14,Jun 22 2017 01: +0,1.533,18
15,Jun 23 2017 01: +0,1.628,11
16,Jun 24 2017 01: +0,1.551,14
17,Jun 25 2017 01: +0,1.528,9
18,Jun 26 2017 01: +0,1.539,21
19,Jun 27 2017 01: +0,1.49,7
20,Jun 28 2017 01: +0,1.526,13
21,Jun 29 2017 01: +0,1.627,11
22,Jun 30 2017 01: +0,1.383,20
23,Jul 01 2017 01: +0,1.555,14
24,Jul 02 2017 01: +0,1.659,6
25,Jul 03 2017 01: +0,1.653,10
26,Jul 04 2017 01: +0,1.543,11
27,Jul 05 2017 01: +0,1.358,16
28,Jul 06 2017 01: +0,1.611,21
29,Jul 07 2017 01: +0,1.529,12
30,Jul 08 2017 01: +0,1.6,17
31,Jul 09 2017 01: +0,1.666,12
32,Jul 10 2017 01: +0,1.503,12
33,Jul 11 2017 01: +0,1.742,17
34,Jul 12 2017 01: +0,1.795,15
35,Jul 13 2017 01: +0,1.717,16
36,Jul 14 2017 01: +0,1.781,15
37,Jul 15 2017 01: +0,1.716,9
38,Jul 16 2017 01: +0,1.786,16
39,Jul 17 2017 01: +0,1.819,19
40,Jul 18 2017 01: +0,1.882,12
41,Jul 19 2017 01: +0,1.92,8
42,Jul 20 2017 01: +0,1.895,13
43,Jul 21 2017 01: +0,1.826,4
44,Jul 22 2017 01: +0,1.936,13
45,Jul 23 2017 01: +0,1.798,11
46,Jul 24 2017 01: +0,1.858,6
47,Jul 25 2017 01: +0,1.636,11
48,Jul 26 2017 01: +0,1.656,8
49,Jul 27 2017 01: +0,1.705,13
50,Jul 28 2017 01: +0,1.888,8
51,Jul 29 2017 01: +0,1.813,8
52,Jul 30 2017 01: +0,1.814,7
53,Jul 31 2017 01: +0,1.905,8
54,Aug 01 2017 01: +0,1.847,4
55,Aug 02 2017 01: +0,1.828,10
56,Aug 03 2017 01: +0,1.932,14
57,Aug 04 2017 01: +0,1.924,6
58,Aug 05 2017 01: +0,1.927,11
59,Aug 06 2017 01: +0,1.795,6
60,Aug 07 2017 01: +0,1.66,8
61,Aug 08 2017 01: +0,1.524,6
62,Aug 09 2017 01: +0,1.746,12
63,Aug 10 2017 01: +0,1.782,10
64,Aug 11 2017 01: +0,1.671,7
65,Aug 12 2017 01: +0,1.542,5
66,Aug 13 2017 01: +0,1.724,10
67,Aug 14 2017 01: +0,1.595,3
68,Aug 15 2017 01: +0,1.539,5
69,Aug 16 2017 01: +0,1.703,6
70,Aug 17 2017 01: +0,1.545,10
71,Aug 18 2017 01: +0,1.714,6
72,Aug 19 2017 01: +0,1.788,9
73,Aug 20 2017 01: +0,1.652,6
74,Aug 21 2017 01: +0,1.828,7
75,Aug 22 2017 01: +0,1.712,8
76,Aug 23 2017 01: +0,1.722,6
77,Aug 24 2017 01: +0,1.649,5
78,Aug 25 2017 01: +0,1.628,8
79,Aug 26 2017 01: +0,1.603,9
80,Aug 27 2017 01: +0,1.704,7
81,Aug 28 2017 01: +0,1.528,8
82,Aug 29 2017 01: +0,1.311,4
83,Aug 30 2017 01: +0,1.533,5
84,Aug 31 2017 01: +0,1.53,3
85,Sep 01 2017 01: +0,1.452,8
86,Sep 02 2017 01: +0,1.466,8
87,Sep 03 2017 01: +0,1.511,5
88,Sep 04 2017 01: +0,1.493,3
89,Sep 05 2017 01: +0,1.256,5
90,Sep 06 2017 01: +0,1.507,5
91,Sep 07 2017 01: +0,1.462,13
92,Sep 08 2017 01: +0,1.67,5
93,Sep 09 2017 01: +0,1.726,4
94,Sep 10 2017 01: +0,1.571,5
95,Sep 11 2017 01: +0,1.337,4
96,Sep 12 2017 01: +0,1.31,7
97,Sep 13 2017 01: +0,1.707,2
98,Sep 14 2017 01: +0,1.552,5
99,Sep 15 2017 01: +0,1.501,6
100,Sep 16 2017 01: +0,1.488,6
101,Sep 17 2017 01: +0,1.433,7
102,Sep 18 2017 01: +0,1.551,5
103,Sep 19 2017 01: +0,1.553,2
104,Sep 20 2017 01: +0,1.421,5
105,Sep 21 2017 01: +0,1.37,4
106,Sep 22 2017 01: +0,1.552,4
107,Sep 23 2017 01: +0,1.662,7
108,Sep 24 2017 01: +0,1.631,4
109,Sep 25 2017 01: +0,1.582,7
110,Sep 26 2017 01: +0,1.34,3
111,Sep 27 2017 01: +0,1.35,11
112,Sep 28 2017 01: +0,1.495,5
113,Sep 29 2017 01: +0,1.628,5
114,Sep 30 2017 01: +0,1.437,6
115,Oct 01 2017 01: +0,1.738,4
116,Oct 02 2017 01: +0,1.605,1
117,Oct 03 2017 01: +0,1.588,4
118,Oct 04 2017 01: +0,1.692,10
119,Oct 05 2017 01: +0,1.69,8
120,Oct 06 2017 01: +0,1.725,5
121,Oct 07 2017 01: +0,1.608,7
122,Oct 08 2017 01: +0,1.524,6
123,Oct 09 2017 01: +0,1.78,6
124,Oct 10 2017 01: +0,1.677,3
125,Oct 11 2017 01: +0,1.862,6
126,Oct 12 2017 01: +0,1.83,5
127,Oct 13 2017 01: +0,1.8,2
128,Oct 14 2017 01: +0,1.67,2
129,Oct 15 2017 01: +0,1.776,7
130,Oct 16 2017 01: +0,1.389,3
131,Oct 17 2017 01: +0,1.591,5
132,Oct 18 2017 01: +0,1.513,6
133,Oct 19 2017 01: +0,1.74,3
134,Oct 20 2017 01: +0,1.495,7
135,Oct 21 2017 01: +0,1.346,7
136,Oct 22 2017 01: +0,1.748,4
137,Oct 23 2017 01: +0,1.64,10
138,Oct 24 2017 01: +0,1.259,3
139,Oct 25 2017 01: +0,1.679,5
140,Oct 26 2017 01: +0,1.616,6
141,Oct 27 2017 01: +0,1.502,7
142,Oct 28 2017 01: +0,1.682,6
143,Oct 29 2017 01: +0,1.602,8
144,Oct 30 2017 01: +0,1.414,4
145,Oct 31 2017 01: +0,1.517,4
146,Nov 01 2017 01: +0,1.448,7
147,Nov 02 2017 01: +0,1.606,2
