,time,price,volume
0,Jul 27 2017 01: +0,1.407,4
1,Jul 28 2017 01: +0,1.494,29
2,Jul 29 2017 01: +0,1.674,12
3,Jul 30 2017 01: +0,1.58,13
4,Jul 31 2017 01: +0,1.636,19
5,Aug 01 2017 01: +0,1.658,11
6,Aug 02 2017 01: +0,1.737,11
7,Aug 03 2017 01: +0,1.585,27
8,Aug 04 2017 01: +0,1.535,11
9,Aug 05 2017 01: +0,1.548,15
10,Aug 06 2017 01: +0,1.697,19
11,Aug 07 2017 01: +0,1.593,20
12,Aug 08 2017 01: +0,1.833,14
13,Aug 09 2017 01: +0,1.623,17
14,Aug 10 2017 01: +0,1.65,15
15,Aug 11 2017 01: +0,1.618,10
16,Aug 12 2017 01: +0,1.505,15
17,Aug 13 2017 01: +0,1.716,10
18,Aug 14 2017 01: +0,1.783,9
19,Aug 15 2017 01: +0,1.736,14
20,Aug 16 2017 01: +0,1.681,9
21,Aug 17 2017 01: +0,1.79,8
22,Aug 18 2017 01: +0,1.749,15
23,Aug 19 2017 01: +0,1.791,19
24,Aug 20 2017 01: +0,1.858,12
25,Aug 21 2017 01: +0,1.868,7
26,Aug 22 2017 01: +0,1.652,7
27,Aug 23 2017 01: +0,1.809,8
28,Aug 24 2017 01: +0,1.691,13
29,Aug 25 2017 01: +0,1.56,14
30,Aug 26 2017 01: +0,1.665,6
31,Aug 27 2017 01: +0,1.354,4
32,Aug 28 2017 01: +0,1.625,7
33,Aug 29 2017 01: +0,1.756,11
34,Aug 30 2017 01: +0,1.885,7
35,Aug 31 2017 01: +0,1.74,6
36,Sep 01 2017 01: +0,1.82,15
37,Sep 02 2017 01: +0,1.803,9
38,Sep 03 2017 01: +0,1.68,4
39,Sep 04 2017 01: +0,1.759,8
40,Sep 05 2017 01: +0,1.817,4
41,Sep 06 2017 01: +0,1.695,10
42,Sep 07 2017 01: +0,1.577,9
43,Sep 08 2017 01: +0,1.753,6
44,Sep 09 2017 01: +0,1.776,6
45,Sep 10 2017 01: +0,1.675,6
46,Sep 11 2017 01: +0,1.732,5
47,Sep 12 2017 01: +0,1.741,10
48,Sep 13 2017 01: +0,1.514,4
49,Sep 14 2017 01: +0,1.632,10
50,Sep 15 2017 01: +0,1.672,12
51,Sep 16 2017 01: +0,1.686,8
52,Sep 17 2017 01: +0,1.676,9
53,Sep 18 2017 01: +0,1.721,6
54,Sep 19 2017 01: +0,1.71,6
55,Sep 20 2017 01: +0,1.635,1
56,Sep 21 2017 01: +0,1.661,6
57,Sep 22 2017 01: +0,1.678,5
58,Sep 23 2017 01: +0,1.674,7
59,Sep 24 2017 01: +0,1.423,7
60,Sep 25 2017 01: +0,1.451,8
61,Sep 26 2017 01: +0,1.646,4
62,Sep 27 2017 01: +0,1.7,5
63,Sep 28 2017 01: +0,1.772,11
64,Sep 29 2017 01: +0,1.722,4
65,Sep 30 2017 01: +0,1.704,21
66,Oct 01 2017 01: +0,1.706,7
67,Oct 02 2017 01: +0,1.694,7
68,Oct 03 2017 01: +0,1.65,6
69,Oct 04 2017 01: +0,1.728,7
70,Oct 05 2017 01: +0,1.991,11
71,Oct 06 2017 01: +0,1.926,12
72,Oct 07 2017 01: +0,2.022,11
73,Oct 08 2017 01: +0,2.003,20
74,Oct 09 2017 01: +0,2.168,7
75,Oct 10 2017 01: +0,2.237,7
76,Oct 11 2017 01: +0,2.369,7
77,Oct 12 2017 01: +0,2.438,13
78,Oct 13 2017 01: +0,2.595,2
79,Oct 14 2017 01: +0,2.424,6
80,Oct 15 2017 01: +0,2.669,5
81,Oct 16 2017 01: +0,2.08,7
82,Oct 17 2017 01: +0,2.13,6
83,Oct 18 2017 01: +0,2.049,5
84,Oct 19 2017 01: +0,1.872,8
85,Oct 20 2017 01: +0,1.974,8
86,Oct 21 2017 01: +0,1.989,14
87,Oct 22 2017 01: +0,2.46,6
88,Oct 23 2017 01: +0,2.142,8
89,Oct 24 2017 01: +0,2.23,1
90,Oct 25 2017 01: +0,2.023,3
91,Oct 26 2017 01: +0,1.999,7
92,Oct 27 2017 01: +0,1.929,10
93,Oct 28 2017 01: +0,2.011,17
94,Oct 29 2017 01: +0,2.012,5
95,Oct 30 2017 01: +0,2.469,9
96,Oct 31 2017 01: +0,2.587,8
97,Nov 01 2017 01: +0,2.061,6
98,Nov 02 2017 01: +0,2.529,11
99,Nov 03 2017 01: +0,2.596,9
100,Nov 04 2017 01: +0,2.572,7
101,Nov 05 2017 01: +0,2.174,7
102,Nov 06 2017 01: +0,2.42,6
103,Nov 07 2017 01: +0,2.354,7
104,Nov 08 2017 01: +0,2.364,3
105,Nov 09 2017 01: +0,2.47,6
106,Nov 10 2017 01: +0,2.394,13
107,Nov 11 2017 01: +0,3.176,10
108,Nov 12 2017 01: +0,2.722,7
109,Nov 13 2017 01: +0,3.094,5
110,Nov 14 2017 01: +0,3.264,7
111,Nov 15 2017 01: +0,3.447,3
112,Nov 16 2017 01: +0,3.187,7
113,Nov 17 2017 01: +0,3.379,8
114,Nov 18 2017 01: +0,3.298,4
115,Nov 19 2017 01: +0,3.015,3
116,Nov 20 2017 01: +0,3.068,4
117,Nov 21 2017 01: +0,2.714,4
118,Nov 22 2017 01: +0,2.82,3
119,Nov 23 2017 01: +0,2.41,5
120,Nov 24 2017 01: +0,2.47,3
121,Nov 25 2017 01: +0,2.296,4
122,Nov 26 2017 01: +0,2.19,4
123,Nov 27 2017 01: +0,2.446,5
124,Nov 28 2017 01: +0,2.512,5
125,Nov 29 2017 01: +0,2.561,4
126,Nov 30 2017 01: +0,2.44,8
127,Dec 01 2017 01: +0,2.693,7
128,Dec 02 2017 01: +0,3.434,7
129,Dec 03 2017 01: +0,3.806,6
130,Dec 04 2017 01: +0,4.306,4
131,Dec 05 2017 01: +0,3.711,2
132,Dec 06 2017 01: +0,4.222,3
133,Dec 07 2017 01: +0,3.669,3
