,time,price,volume
0,Dec 13 2019 01: +0,1.725,15
1,Dec 14 2019 01: +0,1.722,16
2,Dec 15 2019 01: +0,1.667,10
3,Dec 16 2019 01: +0,1.523,10
4,Dec 17 2019 01: +0,1.638,16
5,Dec 18 2019 01: +0,1.663,20
6,Dec 19 2019 01: +0,1.652,22
7,Dec 20 2019 01: +0,1.406,15
8,Dec 21 2019 01: +0,1.414,20
9,Dec 22 2019 01: +0,1.683,15
10,Dec 23 2019 01: +0,1.674,12
11,Dec 24 2019 01: +0,1.642,15
12,Dec 25 2019 01: +0,2.011,19
13,Dec 26 2019 01: +0,1.866,14
14,Dec 27 2019 01: +0,1.652,13
15,Dec 28 2019 01: +0,2.01,7
16,Dec 29 2019 01: +0,1.73,14
17,Dec 30 2019 01: +0,1.681,15
18,Dec 31 2019 01: +0,1.824,12
19,Jan 01 2020 01: +0,1.832,16
20,Jan 02 2020 01: +0,1.801,14
21,Jan 03 2020 01: +0,2.022,18
22,Jan 04 2020 01: +0,2.93,11
23,Jan 05 2020 01: +0,2.365,17
24,Jan 06 2020 01: +0,2.023,9
25,Jan 07 2020 01: +0,2.341,6
26,Jan 08 2020 01: +0,2.315,9
27,Jan 09 2020 01: +0,2.215,11
28,Jan 10 2020 01: +0,2.183,13
29,Jan 11 2020 01: +0,2.025,17
30,Jan 12 2020 01: +0,2.109,6
31,Jan 13 2020 01: +0,2.303,11
32,Jan 14 2020 01: +0,2.18,14
33,Jan 15 2020 01: +0,2.226,6
34,Jan 16 2020 01: +0,1.84,7
35,Jan 17 2020 01: +0,2.084,7
36,Jan 18 2020 01: +0,2.337,21
37,Jan 19 2020 01: +0,2.545,9
38,Jan 20 2020 01: +0,2.233,7
39,Jan 21 2020 01: +0,2.125,10
40,Jan 22 2020 01: +0,2.163,5
41,Jan 23 2020 01: +0,2.168,4
42,Jan 24 2020 01: +0,2.208,8
43,Jan 25 2020 01: +0,1.969,13
44,Jan 26 2020 01: +0,1.976,6
45,Jan 27 2020 01: +0,1.921,6
46,Jan 28 2020 01: +0,2.204,8
47,Jan 29 2020 01: +0,2.198,6
48,Jan 30 2020 01: +0,2.3,5
49,Jan 31 2020 01: +0,2.303,7
50,Feb 01 2020 01: +0,2.333,6
51,Feb 02 2020 01: +0,2.134,8
52,Feb 03 2020 01: +0,2.109,8
53,Feb 04 2020 01: +0,2.268,5
54,Feb 05 2020 01: +0,1.989,3
55,Feb 06 2020 01: +0,2.113,10
56,Feb 07 2020 01: +0,2.336,11
57,Feb 08 2020 01: +0,2.43,6
58,Feb 09 2020 01: +0,2.42,6
59,Feb 10 2020 01: +0,2.536,10
60,Feb 11 2020 01: +0,2.445,6
61,Feb 12 2020 01: +0,2.406,10
62,Feb 13 2020 01: +0,2.189,10
63,Feb 14 2020 01: +0,2.31,10
64,Feb 15 2020 01: +0,2.258,9
65,Feb 16 2020 01: +0,2.251,16
66,Feb 17 2020 01: +0,2.101,7
67,Feb 18 2020 01: +0,2.331,5
68,Feb 19 2020 01: +0,2.251,6
69,Feb 20 2020 01: +0,2.047,8
70,Feb 21 2020 01: +0,2.258,10
71,Feb 22 2020 01: +0,2.202,12
72,Feb 23 2020 01: +0,2.311,7
73,Feb 24 2020 01: +0,2.324,9
74,Feb 25 2020 01: +0,1.824,7
75,Feb 26 2020 01: +0,2.018,9
76,Feb 27 2020 01: +0,2.34,7
77,Feb 28 2020 01: +0,2.241,13
78,Feb 29 2020 01: +0,2.137,9
79,Mar 01 2020 01: +0,2.219,10
80,Mar 02 2020 01: +0,2.082,7
81,Mar 03 2020 01: +0,2.097,8
82,Mar 04 2020 01: +0,2.291,7
83,Mar 05 2020 01: +0,2.349,9
84,Mar 06 2020 01: +0,2.27,8
85,Mar 07 2020 01: +0,2.489,8
86,Mar 08 2020 01: +0,2.373,16
87,Mar 09 2020 01: +0,2.727,6
88,Mar 10 2020 01: +0,2.986,4
89,Mar 11 2020 01: +0,2.282,3
90,Mar 12 2020 01: +0,2.379,8
91,Mar 13 2020 01: +0,2.068,13
92,Mar 14 2020 01: +0,2.062,18
93,Mar 15 2020 01: +0,1.903,9
94,Mar 16 2020 01: +0,2.053,9
95,Mar 17 2020 01: +0,1.993,10
96,Mar 18 2020 01: +0,1.986,10
97,Mar 19 2020 01: +0,1.849,7
98,Mar 20 2020 01: +0,1.756,11
99,Mar 21 2020 01: +0,1.809,10
100,Mar 22 2020 01: +0,1.847,7
101,Mar 23 2020 01: +0,1.689,13
102,Mar 24 2020 01: +0,1.793,7
103,Mar 25 2020 01: +0,1.774,7
104,Mar 26 2020 01: +0,1.678,13
105,Mar 27 2020 01: +0,1.699,19
106,Mar 28 2020 01: +0,1.628,16
107,Mar 29 2020 01: +0,1.63,21
108,Mar 30 2020 01: +0,1.593,13
109,Mar 31 2020 01: +0,1.609,16
110,Apr 01 2020 01: +0,1.66,17
111,Apr 02 2020 01: +0,1.724,19
112,Apr 03 2020 01: +0,1.854,25
113,Apr 04 2020 01: +0,1.935,18
114,Apr 05 2020 01: +0,1.982,17
115,Apr 06 2020 01: +0,1.996,9
116,Apr 07 2020 01: +0,1.871,11
117,Apr 08 2020 01: +0,1.931,9
118,Apr 09 2020 01: +0,2.035,12
119,Apr 10 2020 01: +0,2.09,18
120,Apr 11 2020 01: +0,2.19,11
121,Apr 12 2020 01: +0,2.075,13
122,Apr 13 2020 01: +0,2.088,11
123,Apr 14 2020 01: +0,2.272,9
124,Apr 15 2020 01: +0,2.225,5
125,Apr 16 2020 01: +0,2.236,16
126,Apr 17 2020 01: +0,2.327,8
127,Apr 18 2020 01: +0,2.134,10
128,Apr 19 2020 01: +0,2.049,11
129,Apr 20 2020 01: +0,2.161,19
130,Apr 21 2020 01: +0,2.137,4
131,Apr 22 2020 01: +0,1.998,6
132,Apr 23 2020 01: +0,2.103,5
133,Apr 24 2020 01: +0,2.23,12
134,Apr 25 2020 01: +0,2.202,10
135,Apr 26 2020 01: +0,2.217,12
136,Apr 27 2020 01: +0,2.159,10
137,Apr 28 2020 01: +0,2.279,11
138,Apr 29 2020 01: +0,2.264,8
139,Apr 30 2020 01: +0,2.182,13
140,May 01 2020 01: +0,2.304,7
141,May 02 2020 01: +0,2.261,11
142,May 03 2020 01: +0,2.279,7
143,May 04 2020 01: +0,2.175,6
144,May 05 2020 01: +0,2.189,8
145,May 06 2020 01: +0,2.102,7
146,May 07 2020 01: +0,2.251,6
147,May 08 2020 01: +0,2.244,18
148,May 09 2020 01: +0,2.281,12
149,May 10 2020 01: +0,2.319,15
150,May 11 2020 01: +0,2.403,12
151,May 12 2020 01: +0,2.588,9
152,May 13 2020 01: +0,2.405,11
153,May 14 2020 01: +0,2.55,12
154,May 15 2020 01: +0,2.335,8
155,May 16 2020 01: +0,2.46,8
156,May 17 2020 01: +0,2.312,4
157,May 18 2020 01: +0,2.558,3
158,May 19 2020 01: +0,2.446,7
159,May 20 2020 01: +0,2.625,8
160,May 21 2020 01: +0,2.498,7
161,May 22 2020 01: +0,2.627,5
162,May 23 2020 01: +0,2.239,10
163,May 24 2020 01: +0,2.361,6
164,May 25 2020 01: +0,2.614,6
