,time,price,volume
0,Oct 19 2017 01: +0,2.11,24
1,Oct 20 2017 01: +0,1.969,74
2,Oct 21 2017 01: +0,1.71,37
3,Oct 22 2017 01: +0,1.73,49
4,Oct 23 2017 01: +0,1.906,37
5,Oct 24 2017 01: +0,1.85,26
6,Oct 25 2017 01: +0,1.707,18
7,Oct 26 2017 01: +0,1.555,38
8,Oct 27 2017 01: +0,1.479,57
9,Oct 28 2017 01: +0,1.625,43
10,Oct 29 2017 01: +0,1.776,33
11,Oct 30 2017 01: +0,1.776,34
12,Oct 31 2017 01: +0,1.748,34
13,Nov 01 2017 01: +0,1.834,47
14,Nov 02 2017 01: +0,1.878,56
15,Nov 03 2017 01: +0,1.984,51
16,Nov 04 2017 01: +0,2.228,32
17,Nov 05 2017 01: +0,2.246,33
18,Nov 06 2017 01: +0,2.119,27
19,Nov 07 2017 01: +0,1.931,27
20,Nov 08 2017 01: +0,1.952,21
21,Nov 09 2017 01: +0,1.987,25
22,Nov 10 2017 01: +0,2.173,44
23,Nov 11 2017 01: +0,2.423,42
24,Nov 12 2017 01: +0,2.404,18
25,Nov 13 2017 01: +0,2.03,10
26,Nov 14 2017 01: +0,2.526,20
27,Nov 15 2017 01: +0,2.355,15
28,Nov 16 2017 01: +0,2.186,17
29,Nov 17 2017 01: +0,2.17,25
30,Nov 18 2017 01: +0,2.297,25
31,Nov 19 2017 01: +0,2.221,20
32,Nov 20 2017 01: +0,2.362,23
33,Nov 21 2017 01: +0,2.172,13
34,Nov 22 2017 01: +0,2.386,24
35,Nov 23 2017 01: +0,2.231,16
36,Nov 24 2017 01: +0,2.155,26
37,Nov 25 2017 01: +0,2.077,23
38,Nov 26 2017 01: +0,2.247,16
39,Nov 27 2017 01: +0,2.242,21
40,Nov 28 2017 01: +0,2.408,19
41,Nov 29 2017 01: +0,2.279,13
42,Nov 30 2017 01: +0,2.23,19
43,Dec 01 2017 01: +0,2.237,24
44,Dec 02 2017 01: +0,2.419,36
45,Dec 03 2017 01: +0,2.341,20
46,Dec 04 2017 01: +0,2.464,17
47,Dec 05 2017 01: +0,2.526,22
48,Dec 06 2017 01: +0,2.458,18
49,Dec 07 2017 01: +0,2.53,35
50,Dec 08 2017 01: +0,2.486,24
51,Dec 09 2017 01: +0,2.536,32
52,Dec 10 2017 01: +0,2.492,35
53,Dec 11 2017 01: +0,2.493,17
54,Dec 12 2017 01: +0,2.28,15
55,Dec 13 2017 01: +0,2.512,30
56,Dec 14 2017 01: +0,2.514,17
57,Dec 15 2017 01: +0,2.523,21
58,Dec 16 2017 01: +0,2.681,21
59,Dec 17 2017 01: +0,2.686,20
60,Dec 18 2017 01: +0,3.071,12
61,Dec 19 2017 01: +0,3.197,17
62,Dec 20 2017 01: +0,3.046,13
63,Dec 21 2017 01: +0,2.816,14
64,Dec 22 2017 01: +0,2.441,23
65,Dec 23 2017 01: +0,2.728,19
66,Dec 24 2017 01: +0,3.154,24
67,Dec 25 2017 01: +0,3.291,21
68,Dec 26 2017 01: +0,3.094,16
69,Dec 27 2017 01: +0,3.215,25
70,Dec 28 2017 01: +0,3.209,27
71,Dec 29 2017 01: +0,3.987,18
72,Dec 30 2017 01: +0,4.406,31
73,Dec 31 2017 01: +0,4.389,9
74,Jan 01 2018 01: +0,3.926,12
75,Jan 02 2018 01: +0,4.009,18
76,Jan 03 2018 01: +0,4.087,12
77,Jan 04 2018 01: +0,3.802,10
78,Jan 05 2018 01: +0,3.742,18
79,Jan 06 2018 01: +0,3.56,17
80,Jan 07 2018 01: +0,3.833,14
81,Jan 08 2018 01: +0,4.042,16
82,Jan 09 2018 01: +0,4.127,10
83,Jan 10 2018 01: +0,4.099,14
84,Jan 11 2018 01: +0,3.557,17
85,Jan 12 2018 01: +0,3.69,18
86,Jan 13 2018 01: +0,3.998,9
87,Jan 14 2018 01: +0,3.935,10
88,Jan 15 2018 01: +0,3.459,10
89,Jan 16 2018 01: +0,3.1,8
90,Jan 17 2018 01: +0,2.968,15
91,Jan 18 2018 01: +0,3.08,9
92,Jan 19 2018 01: +0,2.876,16
93,Jan 20 2018 01: +0,2.919,21
94,Jan 21 2018 01: +0,3.073,10
95,Jan 22 2018 01: +0,3.07,12
96,Jan 23 2018 01: +0,2.713,10
97,Jan 24 2018 01: +0,3.089,11
98,Jan 25 2018 01: +0,3.348,15
99,Jan 26 2018 01: +0,3.077,14
100,Jan 27 2018 01: +0,2.895,11
101,Jan 28 2018 01: +0,2.769,17
102,Jan 29 2018 01: +0,3.053,13
103,Jan 30 2018 01: +0,2.866,9
104,Jan 31 2018 01: +0,3.061,12
105,Feb 01 2018 01: +0,3.127,15
106,Feb 02 2018 01: +0,3.166,12
107,Feb 03 2018 01: +0,2.633,11
108,Feb 04 2018 01: +0,3.157,13
109,Feb 05 2018 01: +0,3.045,13
110,Feb 06 2018 01: +0,3.316,6
111,Feb 07 2018 01: +0,3.169,7
112,Feb 08 2018 01: +0,3.119,12
113,Feb 09 2018 01: +0,3.238,15
114,Feb 10 2018 01: +0,3.132,8
115,Feb 11 2018 01: +0,3.026,16
116,Feb 12 2018 01: +0,2.585,14
117,Feb 13 2018 01: +0,2.448,13
118,Feb 14 2018 01: +0,2.649,12
119,Feb 15 2018 01: +0,2.807,15
120,Feb 16 2018 01: +0,2.948,11
121,Feb 17 2018 01: +0,3.113,15
122,Feb 18 2018 01: +0,2.794,20
123,Feb 19 2018 01: +0,2.87,14
124,Feb 20 2018 01: +0,2.77,14
125,Feb 21 2018 01: +0,2.76,12
126,Feb 22 2018 01: +0,2.781,14
127,Feb 23 2018 01: +0,3.054,15
128,Feb 24 2018 01: +0,2.905,10
129,Feb 25 2018 01: +0,2.787,5
130,Feb 26 2018 01: +0,2.893,9
131,Feb 27 2018 01: +0,2.801,9
132,Feb 28 2018 01: +0,2.681,13
133,Mar 01 2018 01: +0,2.925,12
134,Mar 02 2018 01: +0,2.784,15
135,Mar 03 2018 01: +0,2.888,16
136,Mar 04 2018 01: +0,2.922,9
137,Mar 05 2018 01: +0,2.911,14
138,Mar 06 2018 01: +0,2.857,15
139,Mar 07 2018 01: +0,2.765,12
140,Mar 08 2018 01: +0,2.667,9
141,Mar 09 2018 01: +0,2.726,14
142,Mar 10 2018 01: +0,2.873,16
143,Mar 11 2018 01: +0,2.847,9
144,Mar 12 2018 01: +0,3.181,5
145,Mar 13 2018 01: +0,2.915,11
146,Mar 14 2018 01: +0,2.947,7
147,Mar 15 2018 01: +0,2.973,7
148,Mar 16 2018 01: +0,2.835,17
149,Mar 17 2018 01: +0,2.774,11
150,Mar 18 2018 01: +0,2.713,8
151,Mar 19 2018 01: +0,2.877,16
152,Mar 20 2018 01: +0,3.02,9
153,Mar 21 2018 01: +0,3.24,11
154,Mar 22 2018 01: +0,2.819,10
155,Mar 23 2018 01: +0,3.024,8
156,Mar 24 2018 01: +0,3.179,8
157,Mar 25 2018 01: +0,3.16,10
158,Mar 26 2018 01: +0,3.288,5
159,Mar 27 2018 01: +0,3.004,8
160,Mar 28 2018 01: +0,2.905,6
161,Mar 29 2018 01: +0,3.056,5
162,Mar 30 2018 01: +0,2.947,5
163,Mar 31 2018 01: +0,2.74,13
164,Apr 01 2018 01: +0,2.96,9
165,Apr 02 2018 01: +0,2.78,3
166,Apr 03 2018 01: +0,2.976,8
167,Apr 04 2018 01: +0,2.787,7
168,Apr 05 2018 01: +0,2.561,12
169,Apr 06 2018 01: +0,2.537,7
170,Apr 07 2018 01: +0,2.833,14
171,Apr 08 2018 01: +0,2.923,12
172,Apr 09 2018 01: +0,2.53,8
173,Apr 10 2018 01: +0,2.782,10
174,Apr 11 2018 01: +0,2.899,6
175,Apr 12 2018 01: +0,2.778,12
176,Apr 13 2018 01: +0,2.816,9
177,Apr 14 2018 01: +0,2.86,9
178,Apr 15 2018 01: +0,2.878,5
179,Apr 16 2018 01: +0,2.814,20
180,Apr 17 2018 01: +0,2.822,8
181,Apr 18 2018 01: +0,2.968,8
182,Apr 19 2018 01: +0,2.977,11
183,Apr 20 2018 01: +0,3.004,10
184,Apr 21 2018 01: +0,2.944,16
185,Apr 22 2018 01: +0,3.048,12
186,Apr 23 2018 01: +0,2.677,10
187,Apr 24 2018 01: +0,2.845,5
188,Apr 25 2018 01: +0,3.145,5
189,Apr 26 2018 01: +0,3.251,13
190,Apr 27 2018 01: +0,3.451,7
191,Apr 28 2018 01: +0,2.97,9
192,Apr 29 2018 01: +0,2.733,8
193,Apr 30 2018 01: +0,2.903,11
194,May 01 2018 01: +0,2.748,2
195,May 02 2018 01: +0,2.853,7
196,May 03 2018 01: +0,2.837,10
