,time,price,volume
0,Mar 27 2020 01: +0,2.129,150
1,Mar 28 2020 01: +0,1.701,110
2,Mar 29 2020 01: +0,1.592,90
3,Mar 30 2020 01: +0,1.394,81
4,Mar 31 2020 01: +0,1.404,81
5,Apr 01 2020 01: +0,1.574,118
6,Apr 02 2020 01: +0,1.554,98
7,Apr 03 2020 01: +0,1.55,71
8,Apr 04 2020 01: +0,1.478,61
9,Apr 05 2020 01: +0,1.469,43
10,Apr 06 2020 01: +0,1.522,48
11,Apr 07 2020 01: +0,1.482,54
12,Apr 08 2020 01: +0,1.511,47
13,Apr 09 2020 01: +0,1.403,65
14,Apr 10 2020 01: +0,1.293,53
15,Apr 11 2020 01: +0,1.444,41
16,Apr 12 2020 01: +0,1.466,43
17,Apr 13 2020 01: +0,1.585,33
18,Apr 14 2020 01: +0,1.523,37
19,Apr 15 2020 01: +0,1.569,39
20,Apr 16 2020 01: +0,1.477,53
21,Apr 17 2020 01: +0,1.412,48
22,Apr 18 2020 01: +0,1.386,41
23,Apr 19 2020 01: +0,1.421,45
24,Apr 20 2020 01: +0,1.371,32
25,Apr 21 2020 01: +0,1.43,49
26,Apr 22 2020 01: +0,1.484,32
27,Apr 23 2020 01: +0,1.337,70
28,Apr 24 2020 01: +0,1.365,49
29,Apr 25 2020 01: +0,1.615,69
30,Apr 26 2020 01: +0,1.738,40
31,Apr 27 2020 01: +0,1.602,50
32,Apr 28 2020 01: +0,1.684,35
33,Apr 29 2020 01: +0,1.749,25
34,Apr 30 2020 01: +0,1.796,39
35,May 01 2020 01: +0,1.678,33
36,May 02 2020 01: +0,1.656,25
37,May 03 2020 01: +0,1.687,27
38,May 04 2020 01: +0,1.742,40
39,May 05 2020 01: +0,1.749,17
40,May 06 2020 01: +0,1.741,25
41,May 07 2020 01: +0,1.662,33
42,May 08 2020 01: +0,1.715,48
43,May 09 2020 01: +0,1.871,70
44,May 10 2020 01: +0,1.878,57
45,May 11 2020 01: +0,1.889,41
46,May 12 2020 01: +0,1.928,39
47,May 13 2020 01: +0,1.929,30
48,May 14 2020 01: +0,1.921,33
