,time,price,volume
0,Apr 02 2020 01: +0,1.916,25
1,Apr 03 2020 01: +0,1.435,96
2,Apr 04 2020 01: +0,1.401,63
3,Apr 05 2020 01: +0,1.56,54
4,Apr 06 2020 01: +0,1.635,42
5,Apr 07 2020 01: +0,1.564,45
6,Apr 08 2020 01: +0,1.575,36
7,Apr 09 2020 01: +0,1.513,73
8,Apr 10 2020 01: +0,1.444,44
9,Apr 11 2020 01: +0,1.502,40
10,Apr 12 2020 01: +0,1.504,28
11,Apr 13 2020 01: +0,1.583,31
12,Apr 14 2020 01: +0,1.528,32
13,Apr 15 2020 01: +0,1.559,36
14,Apr 16 2020 01: +0,1.45,49
15,Apr 17 2020 01: +0,1.419,29
16,Apr 18 2020 01: +0,1.432,36
17,Apr 19 2020 01: +0,1.528,33
18,Apr 20 2020 01: +0,1.484,26
19,Apr 21 2020 01: +0,1.476,29
20,Apr 22 2020 01: +0,1.526,30
21,Apr 23 2020 01: +0,1.498,20
22,Apr 24 2020 01: +0,1.47,34
23,Apr 25 2020 01: +0,1.62,59
24,Apr 26 2020 01: +0,1.723,36
25,Apr 27 2020 01: +0,1.589,30
26,Apr 28 2020 01: +0,1.646,35
27,Apr 29 2020 01: +0,1.706,26
28,Apr 30 2020 01: +0,1.638,33
29,May 01 2020 01: +0,1.62,31
30,May 02 2020 01: +0,1.601,26
31,May 03 2020 01: +0,1.663,27
32,May 04 2020 01: +0,1.696,40
33,May 05 2020 01: +0,1.701,17
34,May 06 2020 01: +0,1.658,21
35,May 07 2020 01: +0,1.694,28
36,May 08 2020 01: +0,1.772,44
37,May 09 2020 01: +0,1.924,70
38,May 10 2020 01: +0,1.954,54
39,May 11 2020 01: +0,2.059,35
40,May 12 2020 01: +0,2.12,31
41,May 13 2020 01: +0,2.118,24
42,May 14 2020 01: +0,2.496,31
43,May 15 2020 01: +0,2.84,18
44,May 16 2020 01: +0,2.158,24
45,May 17 2020 01: +0,2.119,27
46,May 18 2020 01: +0,2.091,15
47,May 19 2020 01: +0,2.2,11
48,May 20 2020 01: +0,2.319,20
49,May 21 2020 01: +0,2.29,16
50,May 22 2020 01: +0,2.203,19
51,May 23 2020 01: +0,2.209,16
52,May 24 2020 01: +0,2.273,22
53,May 25 2020 01: +0,2.292,15
54,May 26 2020 01: +0,1.967,13
55,May 27 2020 01: +0,2.209,27
56,May 28 2020 01: +0,2.256,16
57,May 29 2020 01: +0,2.01,28
58,May 30 2020 01: +0,1.974,16
59,May 31 2020 01: +0,2.051,23
60,Jun 01 2020 01: +0,2.049,11
61,Jun 02 2020 01: +0,2.009,14
62,Jun 03 2020 01: +0,1.887,19
63,Jun 04 2020 01: +0,2.099,27
64,Jun 05 2020 01: +0,2.007,20
65,Jun 06 2020 01: +0,2.009,21
66,Jun 07 2020 01: +0,2.03,23
67,Jun 08 2020 01: +0,2.119,25
68,Jun 09 2020 01: +0,2.107,21
69,Jun 10 2020 01: +0,2.166,13
70,Jun 11 2020 01: +0,1.998,11
71,Jun 12 2020 01: +0,1.908,20
72,Jun 13 2020 01: +0,2.083,21
73,Jun 14 2020 01: +0,1.894,9
74,Jun 15 2020 01: +0,1.786,9
75,Jun 16 2020 01: +0,1.729,16
76,Jun 17 2020 01: +0,1.645,11
77,Jun 18 2020 01: +0,1.9,9
78,Jun 19 2020 01: +0,1.655,11
79,Jun 20 2020 01: +0,1.369,24
80,Jun 21 2020 01: +0,1.539,13
81,Jun 22 2020 01: +0,1.664,18
82,Jun 23 2020 01: +0,1.723,7
83,Jun 24 2020 01: +0,1.598,14
84,Jun 25 2020 01: +0,1.468,14
