,time,price,volume
0,Dec 18 2015 01: +0,8.25,2
1,Dec 19 2015 01: +0,4.192,11
2,Dec 20 2015 01: +0,4.09,23
3,Dec 21 2015 01: +0,3.933,18
4,Dec 22 2015 01: +0,3.472,31
5,Dec 23 2015 01: +0,2.455,33
6,Dec 24 2015 01: +0,2.308,45
7,Dec 25 2015 01: +0,2.61,35
8,Dec 26 2015 01: +0,2.449,47
9,Dec 27 2015 01: +0,2.451,41
10,Dec 28 2015 01: +0,1.973,57
11,Dec 29 2015 01: +0,1.859,56
12,Dec 30 2015 01: +0,1.685,63
13,Dec 31 2015 01: +0,1.778,59
14,Jan 01 2016 01: +0,1.971,40
15,Jan 02 2016 01: +0,1.782,48
16,Jan 03 2016 01: +0,1.889,40
17,Jan 04 2016 01: +0,1.95,32
18,Jan 05 2016 01: +0,2.007,31
19,Jan 06 2016 01: +0,2.168,28
20,Jan 07 2016 01: +0,2.125,40
21,Jan 08 2016 01: +0,2.278,28
22,Jan 09 2016 01: +0,2.249,29
23,Jan 10 2016 01: +0,2.39,36
24,Jan 11 2016 01: +0,2.739,24
25,Jan 12 2016 01: +0,2.949,17
26,Jan 13 2016 01: +0,2.85,12
27,Jan 14 2016 01: +0,2.331,22
28,Jan 15 2016 01: +0,2.467,26
29,Jan 16 2016 01: +0,2.662,23
30,Jan 17 2016 01: +0,2.405,17
31,Jan 18 2016 01: +0,2.412,24
32,Jan 19 2016 01: +0,2.521,20
33,Jan 20 2016 01: +0,2.354,14
34,Jan 21 2016 01: +0,2.348,16
35,Jan 22 2016 01: +0,2.201,13
36,Jan 23 2016 01: +0,2.368,28
37,Jan 24 2016 01: +0,2.339,20
38,Jan 25 2016 01: +0,2.424,21
39,Jan 26 2016 01: +0,2.288,16
40,Jan 27 2016 01: +0,2.336,18
41,Jan 28 2016 01: +0,2.357,12
42,Jan 29 2016 01: +0,2.526,16
43,Jan 30 2016 01: +0,2.351,20
44,Jan 31 2016 01: +0,2.58,18
45,Feb 01 2016 01: +0,2.563,14
46,Feb 02 2016 01: +0,2.757,14
47,Feb 03 2016 01: +0,2.51,12
48,Feb 04 2016 01: +0,2.774,21
49,Feb 05 2016 01: +0,2.993,13
50,Feb 06 2016 01: +0,2.426,29
51,Feb 07 2016 01: +0,2.875,24
52,Feb 08 2016 01: +0,2.931,15
53,Feb 09 2016 01: +0,2.669,17
54,Feb 10 2016 01: +0,2.287,24
55,Feb 11 2016 01: +0,2.455,17
56,Feb 12 2016 01: +0,2.278,22
57,Feb 13 2016 01: +0,2.426,27
58,Feb 14 2016 01: +0,2.442,17
59,Feb 15 2016 01: +0,2.487,13
60,Feb 16 2016 01: +0,2.545,13
61,Feb 17 2016 01: +0,2.46,10
62,Feb 18 2016 01: +0,2.141,27
63,Feb 19 2016 01: +0,2.06,23
64,Feb 20 2016 01: +0,2.382,18
65,Feb 21 2016 01: +0,2.383,22
66,Feb 22 2016 01: +0,2.304,17
