,time,price,volume
0,Aug 30 2019 01: +0,1.735,20
1,Aug 31 2019 01: +0,1.561,11
2,Sep 01 2019 01: +0,1.479,13
3,Sep 02 2019 01: +0,1.311,10
4,Sep 03 2019 01: +0,1.431,7
5,Sep 04 2019 01: +0,1.383,11
6,Sep 05 2019 01: +0,1.315,15
7,Sep 06 2019 01: +0,1.318,13
8,Sep 07 2019 01: +0,1.304,11
9,Sep 08 2019 01: +0,1.207,14
10,Sep 09 2019 01: +0,1.223,10
11,Sep 10 2019 01: +0,1.202,10
12,Sep 11 2019 01: +0,1.344,5
13,Sep 12 2019 01: +0,1.201,12
14,Sep 13 2019 01: +0,1.066,15
15,Sep 14 2019 01: +0,1.102,15
16,Sep 15 2019 01: +0,1.227,22
17,Sep 16 2019 01: +0,1.2,6
18,Sep 17 2019 01: +0,1.211,11
19,Sep 18 2019 01: +0,1.151,5
20,Sep 19 2019 01: +0,1.192,13
21,Sep 20 2019 01: +0,1.106,9
22,Sep 21 2019 01: +0,1.043,11
23,Sep 22 2019 01: +0,1.058,12
24,Sep 23 2019 01: +0,1.102,9
25,Sep 24 2019 01: +0,1.051,14
26,Sep 25 2019 01: +0,1.042,15
27,Sep 26 2019 01: +0,1.05,13
28,Sep 27 2019 01: +0,0.981,8
29,Sep 28 2019 01: +0,0.974,20
30,Sep 29 2019 01: +0,1.104,15
31,Sep 30 2019 01: +0,1.056,6
32,Oct 01 2019 01: +0,0.997,14
33,Oct 02 2019 01: +0,0.982,14
34,Oct 03 2019 01: +0,0.987,16
35,Oct 04 2019 01: +0,0.955,15
36,Oct 05 2019 01: +0,1.032,14
37,Oct 06 2019 01: +0,0.99,17
38,Oct 07 2019 01: +0,1.127,7
39,Oct 08 2019 01: +0,1.088,11
40,Oct 09 2019 01: +0,1.025,13
41,Oct 10 2019 01: +0,1.117,2
42,Oct 11 2019 01: +0,1.105,11
43,Oct 12 2019 01: +0,1.123,7
44,Oct 13 2019 01: +0,1.059,8
45,Oct 14 2019 01: +0,1.078,17
46,Oct 15 2019 01: +0,1.067,7
47,Oct 16 2019 01: +0,1.009,14
48,Oct 17 2019 01: +0,1.056,14
49,Oct 18 2019 01: +0,1.021,26
50,Oct 19 2019 01: +0,1.017,16
51,Oct 20 2019 01: +0,1.067,15
52,Oct 21 2019 01: +0,1.043,9
53,Oct 22 2019 01: +0,1.022,16
54,Oct 23 2019 01: +0,1.042,11
55,Oct 24 2019 01: +0,0.955,24
56,Oct 25 2019 01: +0,0.904,23
