,time,price,volume
0,Jun 26 2020 01: +0,2.543,25
1,Jun 27 2020 01: +0,2.477,71
2,Jun 28 2020 01: +0,2.406,41
3,Jun 29 2020 01: +0,2.172,47
4,Jun 30 2020 01: +0,2.137,34
5,Jul 01 2020 01: +0,2.104,39
6,Jul 02 2020 01: +0,2.117,69
7,Jul 03 2020 01: +0,2.141,43
8,Jul 04 2020 01: +0,2.203,32
9,Jul 05 2020 01: +0,1.965,49
10,Jul 06 2020 01: +0,1.95,37
11,Jul 07 2020 01: +0,2.088,42
12,Jul 08 2020 01: +0,2.251,35
13,Jul 09 2020 01: +0,2.044,72
14,Jul 10 2020 01: +0,2.075,49
15,Jul 11 2020 01: +0,1.977,1
16,Jul 11 2020 02: +0,2.109,1
17,Jul 11 2020 03: +0,2.13,1
18,Jul 11 2020 04: +0,1.965,3
19,Jul 11 2020 05: +0,2.133,3
20,Jul 11 2020 06: +0,2.134,2
21,Jul 11 2020 07: +0,2.049,2
22,Jul 11 2020 10: +0,2.105,1
23,Jul 11 2020 11: +0,2.141,2
24,Jul 11 2020 13: +0,2.107,2
25,Jul 11 2020 14: +0,2.143,1
26,Jul 11 2020 16: +0,2.149,2
27,Jul 11 2020 17: +0,2.094,2
28,Jul 11 2020 18: +0,1.977,3
29,Jul 11 2020 20: +0,2.014,3
30,Jul 11 2020 21: +0,2.132,2
31,Jul 11 2020 23: +0,1.988,1
32,Jul 12 2020 00: +0,2.11,1
33,Jul 12 2020 01: +0,2.112,4
34,Jul 12 2020 02: +0,2.1,1
35,Jul 12 2020 03: +0,2.107,3
36,Jul 12 2020 04: +0,2.045,4
37,Jul 12 2020 05: +0,2.1,1
38,Jul 12 2020 08: +0,2.045,1
39,Jul 12 2020 09: +0,2.135,3
40,Jul 12 2020 10: +0,2.135,1
41,Jul 12 2020 11: +0,2.083,2
42,Jul 12 2020 14: +0,2.259,1
43,Jul 12 2020 15: +0,2.022,1
44,Jul 12 2020 16: +0,2.007,2
45,Jul 12 2020 17: +0,1.977,30
46,Jul 12 2020 18: +0,2.34,5
47,Jul 12 2020 19: +0,2.146,3
48,Jul 12 2020 20: +0,1.923,4
49,Jul 12 2020 21: +0,2.113,2
50,Jul 12 2020 22: +0,2.143,1
51,Jul 13 2020 00: +0,2.3,1
52,Jul 13 2020 01: +0,2.3,5
53,Jul 13 2020 02: +0,2.3,1
54,Jul 13 2020 03: +0,2.01,2
55,Jul 13 2020 05: +0,1.886,1
56,Jul 13 2020 08: +0,2.174,1
57,Jul 13 2020 09: +0,2.285,1
58,Jul 13 2020 10: +0,2.27,1
59,Jul 13 2020 11: +0,2.2,2
60,Jul 13 2020 12: +0,2.128,1
61,Jul 13 2020 13: +0,2.259,1
62,Jul 13 2020 14: +0,2.0,1
63,Jul 13 2020 15: +0,1.991,2
64,Jul 13 2020 16: +0,2.186,2
65,Jul 13 2020 18: +0,2.244,2
66,Jul 13 2020 19: +0,1.955,1
67,Jul 13 2020 22: +0,1.909,3
