,time,price,volume
0,Dec 28 2019 01: +0,2.126,27
1,Dec 29 2019 01: +0,1.887,93
2,Dec 30 2019 01: +0,1.811,78
3,Dec 31 2019 01: +0,1.859,76
4,Jan 01 2020 01: +0,2.006,56
5,Jan 02 2020 01: +0,1.925,121
6,Jan 03 2020 01: +0,1.92,75
7,Jan 04 2020 01: +0,1.895,72
8,Jan 05 2020 01: +0,1.939,78
9,Jan 06 2020 01: +0,2.245,49
10,Jan 07 2020 01: +0,1.855,51
11,Jan 08 2020 01: +0,2.023,47
12,Jan 09 2020 01: +0,1.997,42
13,Jan 10 2020 01: +0,1.864,59
14,Jan 11 2020 01: +0,1.976,55
15,Jan 12 2020 01: +0,1.848,52
16,Jan 13 2020 01: +0,1.862,46
17,Jan 14 2020 01: +0,1.849,31
18,Jan 15 2020 01: +0,1.843,43
19,Jan 16 2020 01: +0,1.878,32
20,Jan 17 2020 01: +0,2.011,55
21,Jan 18 2020 01: +0,1.772,63
22,Jan 19 2020 01: +0,1.858,59
23,Jan 20 2020 01: +0,1.885,37
24,Jan 21 2020 01: +0,1.852,39
25,Jan 22 2020 01: +0,1.745,30
26,Jan 23 2020 01: +0,1.925,49
27,Jan 24 2020 01: +0,1.762,47
28,Jan 25 2020 01: +0,1.858,50
29,Jan 26 2020 01: +0,1.788,57
30,Jan 27 2020 01: +0,1.964,34
31,Jan 28 2020 01: +0,1.848,20
32,Jan 29 2020 01: +0,1.739,31
33,Jan 30 2020 01: +0,1.888,39
34,Jan 31 2020 01: +0,2.071,33
35,Feb 01 2020 01: +0,2.051,59
36,Feb 02 2020 01: +0,1.979,28
37,Feb 03 2020 01: +0,1.79,39
38,Feb 04 2020 01: +0,1.846,25
39,Feb 05 2020 01: +0,2.049,32
40,Feb 06 2020 01: +0,2.072,41
41,Feb 07 2020 01: +0,1.944,41
42,Feb 08 2020 01: +0,2.087,30
43,Feb 09 2020 01: +0,2.084,33
44,Feb 10 2020 01: +0,1.864,31
45,Feb 11 2020 01: +0,2.071,25
46,Feb 12 2020 01: +0,1.978,21
47,Feb 13 2020 01: +0,1.957,41
48,Feb 14 2020 01: +0,1.783,58
49,Feb 15 2020 01: +0,1.83,32
50,Feb 16 2020 01: +0,1.723,19
51,Feb 17 2020 01: +0,1.828,51
52,Feb 18 2020 01: +0,1.845,14
53,Feb 19 2020 01: +0,1.699,25
54,Feb 20 2020 01: +0,1.546,19
55,Feb 21 2020 01: +0,1.625,52
56,Feb 22 2020 01: +0,1.563,39
57,Feb 23 2020 01: +0,1.56,45
58,Feb 24 2020 01: +0,1.381,18
59,Feb 25 2020 01: +0,1.456,30
60,Feb 26 2020 01: +0,1.307,15
61,Feb 27 2020 01: +0,1.46,19
62,Feb 28 2020 01: +0,1.347,36
63,Feb 29 2020 01: +0,1.309,31
64,Mar 01 2020 01: +0,1.414,32
65,Mar 02 2020 01: +0,1.4,22
66,Mar 03 2020 01: +0,1.405,17
67,Mar 04 2020 01: +0,1.35,35
68,Mar 05 2020 01: +0,1.349,43
69,Mar 06 2020 01: +0,1.46,44
70,Mar 07 2020 01: +0,1.452,44
