,time,price,volume
0,Apr 16 2020 01: +0,1.558,6
1,Apr 17 2020 01: +0,1.374,25
2,Apr 18 2020 01: +0,1.701,80
3,Apr 19 2020 01: +0,2.011,12
4,Apr 20 2020 01: +0,1.647,12
5,Apr 21 2020 01: +0,1.643,17
6,Apr 22 2020 01: +0,1.47,18
7,Apr 23 2020 01: +0,1.446,16
8,Apr 24 2020 01: +0,1.378,20
9,Apr 25 2020 01: +0,1.304,18
10,Apr 26 2020 01: +0,1.335,23
11,Apr 27 2020 01: +0,1.294,18
12,Apr 28 2020 01: +0,1.307,16
13,Apr 29 2020 01: +0,1.268,19
14,Apr 30 2020 01: +0,1.368,19
15,May 01 2020 01: +0,1.326,24
16,May 02 2020 01: +0,1.219,21
17,May 03 2020 01: +0,1.297,15
18,May 04 2020 01: +0,1.29,28
19,May 05 2020 01: +0,1.384,18
20,May 06 2020 01: +0,1.304,14
21,May 07 2020 01: +0,1.285,33
22,May 08 2020 01: +0,1.358,30
23,May 09 2020 01: +0,1.448,28
24,May 10 2020 01: +0,1.57,20
25,May 11 2020 01: +0,1.471,19
26,May 12 2020 01: +0,1.615,15
27,May 13 2020 01: +0,1.49,18
28,May 14 2020 01: +0,1.524,18
29,May 15 2020 01: +0,1.423,24
30,May 16 2020 01: +0,1.591,13
31,May 17 2020 01: +0,1.716,4
32,May 18 2020 01: +0,1.662,14
33,May 19 2020 01: +0,1.6,8
34,May 20 2020 01: +0,1.598,15
35,May 21 2020 01: +0,1.751,11
36,May 22 2020 01: +0,1.728,20
37,May 23 2020 01: +0,1.627,16
38,May 24 2020 01: +0,1.804,9
39,May 25 2020 01: +0,1.608,13
40,May 26 2020 01: +0,1.753,19
41,May 27 2020 01: +0,1.754,13
42,May 28 2020 01: +0,1.519,11
43,May 29 2020 01: +0,1.665,19
44,May 30 2020 01: +0,1.767,20
45,May 31 2020 01: +0,1.652,15
46,Jun 01 2020 01: +0,1.873,11
47,Jun 02 2020 01: +0,1.725,15
48,Jun 03 2020 01: +0,1.741,15
49,Jun 04 2020 01: +0,1.862,10
50,Jun 05 2020 01: +0,1.861,13
51,Jun 06 2020 01: +0,1.656,13
52,Jun 07 2020 01: +0,1.776,10
53,Jun 08 2020 01: +0,1.884,17
54,Jun 09 2020 01: +0,1.906,8
