,time,price,volume
0,Aug 13 2020 01: +0,2.245,21
1,Aug 14 2020 01: +0,2.032,39
2,Aug 15 2020 01: +0,1.988,27
3,Aug 16 2020 01: +0,2.097,29
4,Aug 17 2020 01: +0,1.755,28
5,Aug 18 2020 01: +0,1.795,24
6,Aug 19 2020 01: +0,1.984,29
7,Aug 20 2020 01: +0,1.679,20
8,Aug 21 2020 01: +0,1.654,27
9,Aug 22 2020 01: +0,1.621,28
10,Aug 23 2020 01: +0,1.536,17
11,Aug 24 2020 01: +0,1.618,24
12,Aug 25 2020 01: +0,1.432,22
13,Aug 26 2020 01: +0,1.506,22
14,Aug 27 2020 01: +0,1.55,22
15,Aug 28 2020 01: +0,1.568,28
16,Aug 29 2020 01: +0,1.265,21
17,Aug 30 2020 01: +0,1.222,29
18,Aug 31 2020 01: +0,1.306,27
19,Sep 01 2020 01: +0,1.42,20
20,Sep 02 2020 01: +0,1.369,19
21,Sep 03 2020 01: +0,1.318,34
22,Sep 04 2020 01: +0,1.235,33
23,Sep 05 2020 01: +0,1.345,23
24,Sep 06 2020 01: +0,1.432,23
25,Sep 07 2020 01: +0,1.541,18
26,Sep 08 2020 01: +0,1.389,14
27,Sep 09 2020 01: +0,1.156,21
28,Sep 10 2020 01: +0,1.237,19
29,Sep 11 2020 01: +0,1.203,18
30,Sep 12 2020 01: +0,1.216,25
31,Sep 13 2020 01: +0,1.337,22
32,Sep 14 2020 01: +0,1.189,21
33,Sep 15 2020 01: +0,1.191,20
34,Sep 16 2020 01: +0,1.046,16
35,Sep 17 2020 01: +0,1.084,23
36,Sep 18 2020 01: +0,1.154,30
37,Sep 19 2020 01: +0,1.161,24
38,Sep 20 2020 01: +0,1.112,25
39,Sep 21 2020 01: +0,1.027,33
40,Sep 22 2020 01: +0,1.095,19
41,Sep 23 2020 01: +0,1.054,29
42,Sep 24 2020 01: +0,1.062,21
43,Sep 25 2020 01: +0,1.017,38
44,Sep 26 2020 01: +0,0.978,26
45,Sep 27 2020 01: +0,1.027,15
46,Sep 28 2020 01: +0,0.975,19
47,Sep 29 2020 01: +0,0.985,20
48,Sep 30 2020 01: +0,0.991,20
49,Oct 01 2020 01: +0,1.072,43
50,Oct 02 2020 01: +0,1.126,30
51,Oct 03 2020 01: +0,1.053,29
52,Oct 04 2020 01: +0,0.978,23
53,Oct 05 2020 01: +0,1.006,30
