,time,price,volume
0,Jul 24 2020 01: +0,2.57,44
1,Jul 25 2020 01: +0,2.416,81
2,Jul 26 2020 01: +0,2.342,93
3,Jul 27 2020 01: +0,2.408,67
4,Jul 28 2020 01: +0,2.351,63
5,Jul 29 2020 01: +0,2.237,65
6,Jul 30 2020 01: +0,2.217,88
7,Jul 31 2020 01: +0,2.06,77
8,Aug 01 2020 01: +0,2.008,121
9,Aug 02 2020 01: +0,2.194,57
10,Aug 03 2020 01: +0,2.079,67
11,Aug 04 2020 01: +0,1.979,43
12,Aug 05 2020 01: +0,1.996,69
13,Aug 06 2020 01: +0,2.073,98
14,Aug 07 2020 01: +0,1.943,59
15,Aug 08 2020 01: +0,1.925,72
16,Aug 09 2020 01: +0,1.793,48
17,Aug 10 2020 01: +0,1.775,72
18,Aug 11 2020 01: +0,1.842,52
19,Aug 12 2020 01: +0,1.78,67
20,Aug 13 2020 01: +0,1.629,70
21,Aug 14 2020 01: +0,1.655,77
22,Aug 15 2020 01: +0,1.674,71
23,Aug 16 2020 01: +0,1.582,51
24,Aug 17 2020 01: +0,1.586,42
25,Aug 18 2020 01: +0,1.445,39
26,Aug 19 2020 01: +0,1.551,67
27,Aug 20 2020 01: +0,1.498,79
28,Aug 21 2020 01: +0,1.475,81
29,Aug 22 2020 01: +0,1.42,64
30,Aug 23 2020 01: +0,1.544,61
31,Aug 24 2020 01: +0,1.496,67
32,Aug 25 2020 01: +0,1.503,51
33,Aug 26 2020 01: +0,1.479,37
34,Aug 27 2020 01: +0,1.495,105
35,Aug 28 2020 01: +0,1.454,81
36,Aug 29 2020 01: +0,1.284,67
37,Aug 30 2020 01: +0,1.328,51
38,Aug 31 2020 01: +0,1.325,45
39,Sep 01 2020 01: +0,1.268,42
40,Sep 02 2020 01: +0,1.31,42
41,Sep 03 2020 01: +0,1.343,57
42,Sep 04 2020 01: +0,1.331,65
43,Sep 05 2020 01: +0,1.256,58
44,Sep 06 2020 01: +0,1.321,56
45,Sep 07 2020 01: +0,1.228,54
46,Sep 08 2020 01: +0,1.188,61
47,Sep 09 2020 01: +0,1.246,46
48,Sep 10 2020 01: +0,1.158,65
49,Sep 11 2020 01: +0,1.159,68
50,Sep 12 2020 01: +0,1.075,50
51,Sep 13 2020 01: +0,1.131,63
52,Sep 14 2020 01: +0,1.043,59
53,Sep 15 2020 01: +0,1.003,43
54,Sep 16 2020 01: +0,1.006,68
55,Sep 17 2020 01: +0,1.059,63
56,Sep 18 2020 01: +0,1.003,67
57,Sep 19 2020 01: +0,1.121,67
58,Sep 20 2020 01: +0,1.086,90
59,Sep 21 2020 01: +0,1.052,50
60,Sep 22 2020 01: +0,1.065,86
61,Sep 23 2020 01: +0,1.025,42
62,Sep 24 2020 01: +0,1.006,41
63,Sep 25 2020 01: +0,1.03,82
64,Sep 26 2020 01: +0,1.026,82
65,Sep 27 2020 01: +0,1.003,69
66,Sep 28 2020 01: +0,1.022,87
67,Sep 29 2020 01: +0,0.981,61
68,Sep 30 2020 01: +0,1.003,32
69,Oct 01 2020 01: +0,1.025,101
70,Oct 02 2020 01: +0,1.029,87
71,Oct 03 2020 01: +0,1.013,70
72,Oct 04 2020 01: +0,1.044,74
73,Oct 05 2020 01: +0,1.038,55
74,Oct 06 2020 01: +0,1.028,46
75,Oct 07 2020 01: +0,1.087,42
76,Oct 08 2020 01: +0,1.074,53
77,Oct 09 2020 01: +0,1.055,62
78,Oct 10 2020 01: +0,1.063,80
79,Oct 11 2020 01: +0,1.042,45
80,Oct 12 2020 01: +0,1.093,43
81,Oct 13 2020 01: +0,1.103,40
82,Oct 14 2020 01: +0,1.093,43
83,Oct 15 2020 01: +0,1.072,64
84,Oct 16 2020 01: +0,1.059,60
85,Oct 17 2020 01: +0,1.075,51
86,Oct 18 2020 01: +0,1.044,59
87,Oct 19 2020 01: +0,1.081,47
88,Oct 20 2020 01: +0,1.118,48
89,Oct 21 2020 01: +0,1.133,64
90,Oct 22 2020 01: +0,1.131,56
91,Oct 23 2020 01: +0,1.135,64
92,Oct 24 2020 01: +0,1.113,73
93,Oct 25 2020 01: +0,1.114,39
94,Oct 26 2020 01: +0,1.099,61
95,Oct 27 2020 01: +0,1.106,61
96,Oct 28 2020 01: +0,1.145,55
97,Oct 29 2020 01: +0,1.151,65
98,Oct 30 2020 01: +0,1.131,61
99,Oct 31 2020 01: +0,1.168,66
100,Nov 01 2020 01: +0,1.195,48
101,Nov 02 2020 01: +0,1.214,124
102,Nov 03 2020 01: +0,1.243,43
103,Nov 04 2020 01: +0,1.24,40
104,Nov 05 2020 01: +0,1.299,83
105,Nov 06 2020 01: +0,1.306,69
106,Nov 07 2020 01: +0,1.338,44
107,Nov 08 2020 01: +0,1.335,59
108,Nov 09 2020 01: +0,1.299,45
109,Nov 10 2020 01: +0,1.355,31
110,Nov 11 2020 01: +0,1.321,80
111,Nov 12 2020 01: +0,1.393,41
112,Nov 13 2020 01: +0,1.382,67
113,Nov 14 2020 01: +0,1.315,36
114,Nov 15 2020 01: +0,1.398,48
115,Nov 16 2020 01: +0,1.37,69
116,Nov 17 2020 01: +0,1.344,37
117,Nov 18 2020 01: +0,1.296,58
118,Nov 19 2020 01: +0,1.332,69
119,Nov 20 2020 01: +0,1.422,50
120,Nov 21 2020 01: +0,1.437,37
121,Nov 22 2020 01: +0,1.426,51
122,Nov 23 2020 01: +0,1.385,48
123,Nov 24 2020 01: +0,1.379,45
124,Nov 25 2020 01: +0,1.347,35
125,Nov 26 2020 01: +0,1.365,45
126,Nov 27 2020 01: +0,1.363,52
127,Nov 28 2020 01: +0,1.272,47
128,Nov 29 2020 01: +0,1.264,60
129,Nov 30 2020 01: +0,1.339,45
130,Dec 01 2020 01: +0,1.318,53
131,Dec 02 2020 01: +0,1.372,50
132,Dec 03 2020 01: +0,1.435,80
133,Dec 04 2020 01: +0,1.338,71
134,Dec 05 2020 01: +0,1.275,62
135,Dec 06 2020 01: +0,1.35,63
136,Dec 07 2020 01: +0,1.319,47
137,Dec 08 2020 01: +0,1.293,37
138,Dec 09 2020 01: +0,1.319,59
139,Dec 10 2020 01: +0,1.199,90
140,Dec 11 2020 01: +0,1.334,62
141,Dec 12 2020 01: +0,1.322,62
142,Dec 13 2020 01: +0,1.366,40
143,Dec 14 2020 01: +0,1.296,56
144,Dec 15 2020 01: +0,1.43,33
145,Dec 16 2020 01: +0,1.446,45
146,Dec 17 2020 01: +0,1.476,67
147,Dec 18 2020 01: +0,1.525,46
148,Dec 19 2020 01: +0,1.457,79
149,Dec 20 2020 01: +0,1.348,55
150,Dec 21 2020 01: +0,1.457,78
151,Dec 22 2020 01: +0,1.553,51
152,Dec 23 2020 01: +0,1.369,62
153,Dec 24 2020 01: +0,1.653,81
154,Dec 25 2020 01: +0,1.906,90
155,Dec 26 2020 01: +0,1.915,83
156,Dec 27 2020 01: +0,1.926,51
157,Dec 28 2020 01: +0,1.936,107
158,Dec 29 2020 01: +0,2.114,110
159,Dec 30 2020 01: +0,2.032,81
160,Dec 31 2020 01: +0,2.011,77
161,Jan 01 2021 01: +0,1.922,54
162,Jan 02 2021 01: +0,1.941,69
163,Jan 03 2021 01: +0,1.937,76
164,Jan 04 2021 01: +0,2.061,73
165,Jan 05 2021 01: +0,2.009,44
166,Jan 06 2021 01: +0,2.092,73
167,Jan 07 2021 01: +0,2.228,78
168,Jan 08 2021 01: +0,2.024,107
169,Jan 09 2021 01: +0,2.139,81
170,Jan 10 2021 01: +0,2.257,88
171,Jan 11 2021 01: +0,2.274,79
172,Jan 12 2021 01: +0,2.27,66
173,Jan 13 2021 01: +0,2.461,58
174,Jan 14 2021 01: +0,2.396,70
175,Jan 15 2021 01: +0,2.205,81
176,Jan 16 2021 01: +0,2.319,77
177,Jan 17 2021 01: +0,2.407,70
178,Jan 18 2021 01: +0,2.384,62
179,Jan 19 2021 01: +0,2.425,50
180,Jan 20 2021 01: +0,2.37,52
181,Jan 21 2021 01: +0,2.445,66
182,Jan 22 2021 01: +0,2.295,56
183,Jan 23 2021 01: +0,2.313,68
184,Jan 24 2021 01: +0,2.193,39
185,Jan 25 2021 01: +0,2.332,70
186,Jan 26 2021 01: +0,2.401,29
187,Jan 27 2021 01: +0,2.284,49
188,Jan 28 2021 01: +0,2.298,54
189,Jan 29 2021 01: +0,2.265,68
190,Jan 30 2021 01: +0,2.212,60
191,Jan 31 2021 01: +0,2.428,57
192,Feb 01 2021 01: +0,2.326,56
193,Feb 02 2021 01: +0,2.306,36
194,Feb 03 2021 01: +0,2.406,50
195,Feb 04 2021 01: +0,2.445,93
196,Feb 05 2021 01: +0,2.412,75
197,Feb 06 2021 01: +0,2.463,55
198,Feb 07 2021 01: +0,2.541,58
199,Feb 08 2021 01: +0,2.7,39
200,Feb 09 2021 01: +0,2.662,58
201,Feb 10 2021 01: +0,2.666,41
202,Feb 11 2021 01: +0,2.651,53
203,Feb 12 2021 01: +0,2.626,53
204,Feb 13 2021 01: +0,2.38,50
205,Feb 14 2021 01: +0,2.613,63
206,Feb 15 2021 01: +0,2.569,52
