,time,price,volume
0,Feb 24 2017 01: +0,4.695,3
1,Feb 28 2017 01: +0,4.266,2
2,Mar 01 2017 01: +0,4.032,1
3,Mar 02 2017 01: +0,1.835,3
4,Mar 03 2017 01: +0,1.719,10
5,Mar 04 2017 01: +0,1.597,11
6,Mar 05 2017 01: +0,1.58,13
7,Mar 06 2017 01: +0,1.637,8
8,Mar 07 2017 01: +0,1.656,10
9,Mar 08 2017 01: +0,1.433,5
10,Mar 09 2017 01: +0,1.487,15
11,Mar 10 2017 01: +0,1.525,10
12,Mar 11 2017 01: +0,1.767,6
13,Mar 12 2017 01: +0,1.531,3
14,Mar 13 2017 01: +0,1.408,11
15,Mar 14 2017 01: +0,1.68,11
16,Mar 15 2017 01: +0,1.607,5
17,Mar 16 2017 01: +0,1.684,9
18,Mar 17 2017 01: +0,1.723,7
19,Mar 18 2017 01: +0,1.443,9
20,Mar 19 2017 01: +0,1.428,5
21,Mar 20 2017 01: +0,1.606,4
22,Mar 21 2017 01: +0,1.6,1
23,Mar 22 2017 01: +0,1.288,6
24,Mar 23 2017 01: +0,1.539,8
25,Mar 24 2017 01: +0,1.73,1
26,Mar 25 2017 01: +0,1.758,3
27,Mar 26 2017 01: +0,1.859,4
28,Mar 27 2017 01: +0,2.051,1
29,Mar 28 2017 01: +0,2.404,1
30,Mar 29 2017 01: +0,2.935,2
31,Apr 01 2017 01: +0,3.88,1
32,Apr 02 2017 01: +0,4.13,2
33,Apr 03 2017 01: +0,4.703,1
34,Apr 06 2017 01: +0,4.901,1
35,Apr 07 2017 01: +0,1.737,4
36,Apr 08 2017 01: +0,1.113,6
37,Apr 09 2017 01: +0,0.932,9
38,Apr 10 2017 01: +0,1.144,5
39,Apr 11 2017 01: +0,1.014,7
40,Apr 12 2017 01: +0,1.156,4
41,Apr 13 2017 01: +0,0.998,9
42,Apr 14 2017 01: +0,1.004,8
43,Apr 15 2017 01: +0,0.922,6
44,Apr 16 2017 01: +0,1.084,9
45,Apr 17 2017 01: +0,1.041,5
46,Apr 18 2017 01: +0,1.202,6
47,Apr 19 2017 01: +0,1.207,1
48,Apr 20 2017 01: +0,1.173,2
49,Apr 21 2017 01: +0,1.111,11
50,Apr 22 2017 01: +0,1.258,8
51,Apr 23 2017 01: +0,1.295,5
52,Apr 24 2017 01: +0,1.539,8
53,Apr 25 2017 01: +0,1.69,3
54,Apr 26 2017 01: +0,1.668,6
55,Apr 27 2017 01: +0,0.977,2
56,Apr 28 2017 01: +0,1.482,3
57,Apr 29 2017 01: +0,1.596,5
58,Apr 30 2017 01: +0,1.621,5
59,May 01 2017 01: +0,1.719,4
60,May 02 2017 01: +0,1.538,3
61,May 03 2017 01: +0,1.716,3
62,May 04 2017 01: +0,1.484,3
63,May 05 2017 01: +0,1.715,1
64,May 06 2017 01: +0,1.547,4
65,May 07 2017 01: +0,1.462,6
66,May 08 2017 01: +0,1.311,5
67,May 09 2017 01: +0,1.573,10
68,May 10 2017 01: +0,1.515,4
69,May 11 2017 01: +0,1.665,5
70,May 12 2017 01: +0,1.472,7
71,May 13 2017 01: +0,2.905,16
72,May 14 2017 01: +0,4.434,4
73,May 15 2017 01: +0,3.326,1
74,May 16 2017 01: +0,2.372,6
75,May 17 2017 01: +0,2.55,1
76,May 18 2017 01: +0,2.165,4
77,May 20 2017 01: +0,1.919,5
78,May 21 2017 01: +0,1.996,1
79,May 22 2017 01: +0,1.983,2
80,May 23 2017 01: +0,1.956,3
81,May 24 2017 01: +0,1.884,2
82,May 25 2017 01: +0,2.173,17
83,May 27 2017 01: +0,1.535,4
84,May 28 2017 01: +0,2.137,4
85,May 29 2017 01: +0,2.552,4
86,May 30 2017 01: +0,1.47,1
87,May 31 2017 01: +0,1.605,5
88,Jun 01 2017 01: +0,1.779,4
89,Jun 02 2017 01: +0,1.582,5
90,Jun 03 2017 01: +0,1.775,2
91,Jun 04 2017 01: +0,1.65,4
92,Jun 06 2017 01: +0,1.91,3
93,Jun 07 2017 01: +0,1.836,2
