,time,price,volume
0,Mar 20 2020 01: +0,2.271,17
1,Mar 21 2020 01: +0,1.844,48
2,Mar 22 2020 01: +0,1.652,36
3,Mar 23 2020 01: +0,1.474,38
4,Mar 24 2020 01: +0,1.54,34
5,Mar 25 2020 01: +0,1.428,34
6,Mar 26 2020 01: +0,1.404,41
7,Mar 27 2020 01: +0,1.197,58
8,Mar 28 2020 01: +0,1.338,37
9,Mar 29 2020 01: +0,1.336,33
10,Mar 30 2020 01: +0,1.384,44
11,Mar 31 2020 01: +0,1.201,29
12,Apr 01 2020 01: +0,1.217,38
13,Apr 02 2020 01: +0,1.336,43
14,Apr 03 2020 01: +0,1.249,42
15,Apr 04 2020 01: +0,1.301,50
16,Apr 05 2020 01: +0,1.23,46
17,Apr 06 2020 01: +0,1.204,55
18,Apr 07 2020 01: +0,1.225,30
19,Apr 08 2020 01: +0,1.323,39
20,Apr 09 2020 01: +0,1.413,39
21,Apr 10 2020 01: +0,1.505,45
22,Apr 11 2020 01: +0,1.53,29
23,Apr 12 2020 01: +0,1.491,37
24,Apr 13 2020 01: +0,1.55,25
25,Apr 14 2020 01: +0,1.469,28
26,Apr 15 2020 01: +0,1.521,37
27,Apr 16 2020 01: +0,1.566,53
28,Apr 17 2020 01: +0,1.733,35
29,Apr 18 2020 01: +0,1.721,33
30,Apr 19 2020 01: +0,1.741,16
31,Apr 20 2020 01: +0,1.813,28
32,Apr 21 2020 01: +0,1.65,26
33,Apr 22 2020 01: +0,1.634,20
34,Apr 23 2020 01: +0,1.595,28
35,Apr 24 2020 01: +0,1.562,24
36,Apr 25 2020 01: +0,1.608,42
37,Apr 26 2020 01: +0,1.722,18
38,Apr 27 2020 01: +0,1.725,22
39,Apr 28 2020 01: +0,1.77,31
40,Apr 29 2020 01: +0,1.884,25
41,Apr 30 2020 01: +0,1.902,35
42,May 01 2020 01: +0,1.887,24
43,May 02 2020 01: +0,1.971,31
44,May 03 2020 01: +0,2.008,20
45,May 04 2020 01: +0,2.042,26
46,May 05 2020 01: +0,2.088,16
47,May 06 2020 01: +0,2.196,19
48,May 07 2020 01: +0,2.274,27
49,May 08 2020 01: +0,2.111,17
50,May 09 2020 01: +0,1.962,20
51,May 10 2020 01: +0,2.215,27
52,May 11 2020 01: +0,2.228,20
53,May 12 2020 01: +0,2.287,26
54,May 13 2020 01: +0,2.276,18
55,May 14 2020 01: +0,2.217,27
56,May 15 2020 01: +0,2.146,20
57,May 16 2020 01: +0,1.954,21
58,May 17 2020 01: +0,2.135,23
59,May 18 2020 01: +0,2.137,19
60,May 19 2020 01: +0,2.184,18
61,May 20 2020 01: +0,2.084,15
62,May 21 2020 01: +0,2.234,23
63,May 22 2020 01: +0,2.363,24
64,May 23 2020 01: +0,2.326,15
65,May 24 2020 01: +0,2.416,25
66,May 25 2020 01: +0,2.402,18
67,May 26 2020 01: +0,2.289,18
68,May 27 2020 01: +0,2.393,25
