,time,price,volume
0,Dec 12 2019 01: +0,3.102,2
1,Dec 13 2019 01: +0,2.474,27
2,Dec 14 2019 01: +0,2.577,25
3,Dec 15 2019 01: +0,2.583,18
4,Dec 16 2019 01: +0,2.498,16
5,Dec 17 2019 01: +0,2.41,10
6,Dec 18 2019 01: +0,2.339,16
7,Dec 19 2019 01: +0,2.195,23
8,Dec 20 2019 01: +0,1.649,17
9,Dec 21 2019 01: +0,1.692,23
10,Dec 22 2019 01: +0,1.579,17
11,Dec 23 2019 01: +0,1.627,7
12,Dec 24 2019 01: +0,1.705,18
13,Dec 25 2019 01: +0,2.022,23
14,Dec 26 2019 01: +0,2.352,8
15,Dec 27 2019 01: +0,2.255,22
16,Dec 28 2019 01: +0,2.577,12
17,Dec 29 2019 01: +0,2.528,12
18,Dec 30 2019 01: +0,2.344,9
19,Dec 31 2019 01: +0,2.279,5
20,Jan 01 2020 01: +0,2.548,7
21,Jan 02 2020 01: +0,2.667,14
22,Jan 03 2020 01: +0,2.721,7
23,Jan 04 2020 01: +0,2.498,13
24,Jan 05 2020 01: +0,2.396,17
25,Jan 06 2020 01: +0,2.325,14
26,Jan 07 2020 01: +0,2.181,8
27,Jan 08 2020 01: +0,2.309,10
28,Jan 09 2020 01: +0,2.101,11
29,Jan 10 2020 01: +0,2.337,9
30,Jan 11 2020 01: +0,2.468,10
31,Jan 12 2020 01: +0,2.381,10
32,Jan 13 2020 01: +0,2.424,7
33,Jan 14 2020 01: +0,2.471,18
34,Jan 15 2020 01: +0,2.35,9
35,Jan 16 2020 01: +0,2.294,8
36,Jan 17 2020 01: +0,2.358,9
37,Jan 18 2020 01: +0,2.376,21
38,Jan 19 2020 01: +0,2.425,12
39,Jan 20 2020 01: +0,2.424,8
40,Jan 21 2020 01: +0,2.047,10
41,Jan 22 2020 01: +0,2.295,9
42,Jan 23 2020 01: +0,2.12,6
43,Jan 24 2020 01: +0,2.004,10
44,Jan 25 2020 01: +0,2.053,12
45,Jan 26 2020 01: +0,2.1,11
46,Jan 27 2020 01: +0,2.361,16
47,Jan 28 2020 01: +0,2.374,18
48,Jan 29 2020 01: +0,2.324,11
49,Jan 30 2020 01: +0,2.437,9
50,Jan 31 2020 01: +0,2.511,8
51,Feb 01 2020 01: +0,2.345,6
52,Feb 02 2020 01: +0,2.356,12
53,Feb 03 2020 01: +0,2.253,9
54,Feb 04 2020 01: +0,2.555,6
55,Feb 05 2020 01: +0,2.579,5
56,Feb 06 2020 01: +0,2.533,13
57,Feb 07 2020 01: +0,2.813,9
58,Feb 08 2020 01: +0,2.507,11
59,Feb 09 2020 01: +0,2.86,6
60,Feb 10 2020 01: +0,2.862,11
61,Feb 11 2020 01: +0,2.768,7
62,Feb 12 2020 01: +0,2.719,9
