,time,price,volume
0,May 25 2018 01: +0,1.042,1
1,May 26 2018 01: +0,1.112,4
2,May 27 2018 01: +0,1.047,2
3,May 28 2018 01: +0,0.993,4
4,May 29 2018 01: +0,0.955,4
5,May 30 2018 01: +0,0.938,6
6,May 31 2018 01: +0,0.892,3
7,Jun 01 2018 01: +0,0.854,4
8,Jun 02 2018 01: +0,0.939,5
9,Jun 03 2018 01: +0,1.033,3
10,Jun 04 2018 01: +0,1.155,3
11,Jun 05 2018 01: +0,0.92,2
12,Jun 06 2018 01: +0,1.114,3
13,Jun 07 2018 01: +0,0.988,1
14,Jun 08 2018 01: +0,1.037,3
15,Jun 09 2018 01: +0,1.061,5
16,Jun 10 2018 01: +0,1.181,2
17,Jun 11 2018 01: +0,0.929,2
18,Jun 12 2018 01: +0,0.89,6
19,Jun 13 2018 01: +0,1.253,7
20,Jun 14 2018 01: +0,1.639,3
21,Jun 15 2018 01: +0,1.511,2
22,Jun 16 2018 01: +0,1.169,3
23,Jun 18 2018 01: +0,0.742,1
24,Jun 19 2018 01: +0,1.18,1
25,Jun 20 2018 01: +0,1.202,3
26,Jun 21 2018 01: +0,0.973,7
27,Jun 23 2018 01: +0,0.861,8
28,Jun 24 2018 01: +0,0.883,8
29,Jun 25 2018 01: +0,0.957,2
30,Jun 26 2018 01: +0,0.863,2
31,Jun 27 2018 01: +0,1.213,3
32,Jun 28 2018 01: +0,0.656,3
33,Jun 29 2018 01: +0,1.187,5
34,Jun 30 2018 01: +0,0.489,1
35,Jul 02 2018 01: +0,0.8,2
36,Jul 03 2018 01: +0,1.055,3
37,Jul 04 2018 01: +0,1.125,6
38,Jul 06 2018 01: +0,1.369,1
39,Jul 07 2018 01: +0,1.425,2
40,Jul 08 2018 01: +0,1.453,5
41,Jul 09 2018 01: +0,1.199,2
42,Jul 10 2018 01: +0,1.015,2
43,Jul 11 2018 01: +0,1.34,2
44,Jul 12 2018 01: +0,1.358,2
45,Jul 13 2018 01: +0,1.261,2
46,Jul 14 2018 01: +0,1.34,1
47,Jul 15 2018 01: +0,1.29,1
48,Jul 17 2018 01: +0,1.443,5
49,Jul 19 2018 01: +0,1.743,3
50,Jul 21 2018 01: +0,1.187,1
51,Jul 22 2018 01: +0,1.621,2
52,Jul 23 2018 01: +0,1.767,1
53,Jul 24 2018 01: +0,1.77,1
54,Jul 25 2018 01: +0,1.776,1
55,Jul 30 2018 01: +0,1.58,1
56,Jul 31 2018 01: +0,1.551,5
57,Aug 01 2018 01: +0,1.182,1
58,Aug 02 2018 01: +0,1.506,1
59,Aug 03 2018 01: +0,1.603,1
60,Aug 04 2018 01: +0,1.236,2
61,Aug 05 2018 01: +0,1.593,4
62,Aug 06 2018 01: +0,1.564,1
63,Aug 07 2018 01: +0,1.28,1
64,Aug 08 2018 01: +0,1.49,1
65,Aug 09 2018 01: +0,1.138,3
66,Aug 10 2018 01: +0,1.247,2
67,Aug 11 2018 01: +0,1.63,1
68,Aug 12 2018 01: +0,1.58,1
69,Aug 14 2018 01: +0,1.105,3
70,Aug 15 2018 01: +0,1.239,2
71,Aug 17 2018 01: +0,1.32,1
72,Aug 18 2018 01: +0,1.38,1
73,Aug 19 2018 01: +0,1.617,3
74,Aug 20 2018 01: +0,1.697,3
75,Aug 22 2018 01: +0,1.689,2
76,Aug 23 2018 01: +0,1.699,1
77,Aug 24 2018 01: +0,1.68,1
78,Aug 25 2018 01: +0,1.536,3
79,Aug 26 2018 01: +0,1.523,3
80,Aug 28 2018 01: +0,1.634,1
81,Aug 29 2018 01: +0,1.49,1
82,Aug 31 2018 01: +0,1.648,2
83,Sep 01 2018 01: +0,0.813,1
84,Sep 02 2018 01: +0,1.186,2
85,Sep 05 2018 01: +0,1.679,1
86,Sep 06 2018 01: +0,1.196,1
87,Sep 07 2018 01: +0,1.405,2
88,Sep 08 2018 01: +0,1.577,3
89,Sep 09 2018 01: +0,1.45,2
90,Sep 10 2018 01: +0,1.67,1
91,Sep 13 2018 01: +0,1.65,1
92,Sep 14 2018 01: +0,1.375,2
93,Sep 15 2018 01: +0,1.44,1
94,Sep 16 2018 01: +0,1.396,2
95,Sep 17 2018 01: +0,1.58,1
96,Sep 19 2018 01: +0,1.57,1
97,Sep 20 2018 01: +0,1.581,3
98,Sep 21 2018 01: +0,1.634,1
99,Sep 22 2018 01: +0,1.615,2
100,Sep 23 2018 01: +0,1.62,1
101,Sep 24 2018 01: +0,1.478,1
102,Sep 26 2018 01: +0,1.27,1
103,Sep 27 2018 01: +0,1.49,1
104,Sep 28 2018 01: +0,1.494,1
105,Sep 29 2018 01: +0,1.32,1
106,Oct 01 2018 01: +0,1.157,1
107,Oct 02 2018 01: +0,1.17,1
108,Oct 03 2018 01: +0,1.511,6
109,Oct 04 2018 01: +0,1.43,1
110,Oct 06 2018 01: +0,1.304,2
111,Oct 07 2018 01: +0,1.374,2
112,Oct 08 2018 01: +0,1.426,4
113,Oct 09 2018 01: +0,1.57,3
114,Oct 10 2018 01: +0,1.667,3
115,Oct 11 2018 01: +0,1.616,3
116,Oct 12 2018 01: +0,1.814,1
117,Oct 13 2018 01: +0,1.555,2
118,Oct 14 2018 01: +0,1.876,2
119,Oct 17 2018 01: +0,1.51,1
120,Oct 18 2018 01: +0,1.555,3
121,Oct 20 2018 01: +0,1.479,2
122,Oct 21 2018 01: +0,1.548,4
123,Oct 22 2018 01: +0,1.498,5
124,Oct 25 2018 01: +0,1.585,1
125,Oct 26 2018 01: +0,1.593,1
126,Oct 27 2018 01: +0,1.676,1
127,Oct 29 2018 01: +0,1.68,2
128,Oct 31 2018 01: +0,1.68,2
129,Nov 01 2018 01: +0,1.675,2
130,Nov 02 2018 01: +0,1.659,2
131,Nov 03 2018 01: +0,1.734,3
132,Nov 04 2018 01: +0,1.79,1
133,Nov 05 2018 01: +0,1.816,2
134,Nov 06 2018 01: +0,1.877,5
135,Nov 07 2018 01: +0,1.69,1
136,Nov 08 2018 01: +0,2.655,2
137,Nov 09 2018 01: +0,2.69,1
138,Nov 12 2018 01: +0,2.546,2
139,Nov 14 2018 01: +0,1.75,2
140,Nov 15 2018 01: +0,2.4,2
141,Nov 16 2018 01: +0,2.337,2
142,Nov 17 2018 01: +0,2.372,1
143,Nov 19 2018 01: +0,2.384,2
144,Nov 20 2018 01: +0,2.398,2
145,Nov 21 2018 01: +0,2.475,3
146,Nov 22 2018 01: +0,1.777,1
147,Nov 23 2018 01: +0,2.394,2
148,Nov 25 2018 01: +0,2.124,2
149,Nov 26 2018 01: +0,1.514,1
150,Nov 27 2018 01: +0,2.36,1
151,Nov 29 2018 01: +0,2.35,1
152,Nov 30 2018 01: +0,2.017,2
153,Dec 01 2018 01: +0,2.713,4
154,Dec 02 2018 01: +0,2.836,1
155,Dec 03 2018 01: +0,2.794,2
156,Dec 04 2018 01: +0,2.8,1
157,Dec 05 2018 01: +0,2.694,2
158,Dec 06 2018 01: +0,2.745,2
159,Dec 07 2018 01: +0,2.844,1
160,Dec 08 2018 01: +0,2.901,3
161,Dec 09 2018 01: +0,2.9,1
162,Dec 10 2018 01: +0,1.67,1
163,Dec 11 2018 01: +0,2.924,1
164,Dec 13 2018 01: +0,2.177,3
165,Dec 14 2018 01: +0,2.79,1
166,Dec 16 2018 01: +0,2.307,1
167,Dec 17 2018 01: +0,2.668,3
168,Dec 18 2018 01: +0,2.704,1
169,Dec 19 2018 01: +0,2.693,1
170,Dec 20 2018 01: +0,2.583,1
171,Dec 21 2018 01: +0,2.394,1
172,Dec 22 2018 01: +0,2.411,2
173,Dec 23 2018 01: +0,2.407,2
174,Dec 24 2018 01: +0,2.263,2
175,Dec 25 2018 01: +0,2.445,4
176,Dec 26 2018 01: +0,2.341,4
177,Dec 27 2018 01: +0,2.584,1
178,Dec 28 2018 01: +0,2.589,2
179,Dec 29 2018 01: +0,2.352,2
180,Dec 30 2018 01: +0,2.59,3
181,Jan 01 2019 01: +0,2.447,4
182,Jan 02 2019 01: +0,2.674,1
183,Jan 03 2019 01: +0,2.53,1
184,Jan 05 2019 01: +0,2.275,7
185,Jan 06 2019 01: +0,2.808,2
186,Jan 07 2019 01: +0,2.523,1
187,Jan 08 2019 01: +0,2.886,2
188,Jan 09 2019 01: +0,3.783,3
189,Jan 10 2019 01: +0,2.135,2
190,Jan 11 2019 01: +0,3.899,3
191,Jan 12 2019 01: +0,4.015,1
192,Jan 13 2019 01: +0,3.72,1
193,Jan 15 2019 01: +0,2.285,2
194,Jan 16 2019 01: +0,3.58,2
195,Jan 20 2019 01: +0,3.505,1
196,Jan 22 2019 01: +0,3.261,1
197,Jan 23 2019 01: +0,2.85,1
198,Jan 24 2019 01: +0,2.87,1
199,Jan 25 2019 01: +0,2.88,1
200,Jan 27 2019 01: +0,2.599,1
201,Jan 28 2019 01: +0,2.948,1
202,Jan 29 2019 01: +0,2.792,3
203,Jan 30 2019 01: +0,2.495,3
204,Jan 31 2019 01: +0,2.178,1
205,Feb 02 2019 01: +0,3.175,1
206,Feb 03 2019 01: +0,3.003,1
207,Feb 06 2019 01: +0,1.795,2
208,Feb 07 2019 01: +0,2.55,2
209,Feb 08 2019 01: +0,2.212,2
210,Feb 10 2019 01: +0,2.435,2
211,Feb 11 2019 01: +0,2.34,1
212,Feb 12 2019 01: +0,2.284,1
213,Feb 13 2019 01: +0,2.1,1
214,Feb 16 2019 01: +0,2.078,3
215,Feb 17 2019 01: +0,2.113,3
216,Feb 18 2019 01: +0,2.012,4
217,Feb 19 2019 01: +0,2.378,4
218,Feb 21 2019 01: +0,2.58,2
219,Feb 22 2019 01: +0,2.873,4
220,Feb 24 2019 01: +0,3.13,1
221,Feb 25 2019 01: +0,3.07,1
222,Feb 26 2019 01: +0,3.076,1
223,Feb 27 2019 01: +0,2.642,2
224,Mar 01 2019 01: +0,3.061,1
225,Mar 03 2019 01: +0,2.775,4
226,Mar 04 2019 01: +0,2.788,1
227,Mar 06 2019 01: +0,2.76,2
228,Mar 07 2019 01: +0,2.779,3
229,Mar 08 2019 01: +0,2.74,2
230,Mar 09 2019 01: +0,2.794,3
231,Mar 11 2019 01: +0,2.428,2
232,Mar 12 2019 01: +0,2.713,6
233,Mar 13 2019 01: +0,2.79,1
234,Mar 14 2019 01: +0,2.755,2
235,Mar 15 2019 01: +0,2.977,5
236,Mar 16 2019 01: +0,7.742,5
237,Mar 19 2019 01: +0,2.947,1
238,Mar 22 2019 01: +0,7.2,1
239,Mar 26 2019 01: +0,5.25,1
240,Mar 28 2019 01: +0,4.5,1
241,Mar 29 2019 01: +0,4.44,1
242,Mar 31 2019 01: +0,3.659,2
243,Apr 01 2019 01: +0,3.669,2
244,Apr 02 2019 01: +0,4.218,1
245,Apr 05 2019 01: +0,2.67,1
246,Apr 06 2019 01: +0,2.491,2
