,time,price,volume
0,Oct 08 2020 01: +0,2.665,2
1,Oct 09 2020 01: +0,1.44,15
2,Oct 10 2020 01: +0,1.817,18
3,Oct 11 2020 01: +0,1.573,28
4,Oct 12 2020 01: +0,1.568,8
5,Oct 13 2020 01: +0,1.951,13
6,Oct 14 2020 01: +0,1.629,10
7,Oct 15 2020 01: +0,1.621,14
8,Oct 16 2020 01: +0,1.682,14
9,Oct 17 2020 01: +0,1.565,18
10,Oct 18 2020 01: +0,1.726,18
11,Oct 19 2020 01: +0,2.075,8
12,Oct 20 2020 01: +0,1.832,13
13,Oct 21 2020 01: +0,2.156,9
14,Oct 22 2020 01: +0,2.603,32
15,Oct 23 2020 01: +0,1.992,11
16,Oct 24 2020 01: +0,1.774,11
17,Oct 25 2020 01: +0,1.714,16
18,Oct 26 2020 01: +0,1.713,13
19,Oct 27 2020 01: +0,1.543,8
20,Oct 28 2020 01: +0,1.675,13
21,Oct 29 2020 01: +0,1.753,13
22,Oct 30 2020 01: +0,1.378,25
23,Oct 31 2020 01: +0,1.597,15
24,Nov 01 2020 01: +0,1.46,10
25,Nov 02 2020 01: +0,1.372,10
26,Nov 03 2020 01: +0,1.519,8
27,Nov 04 2020 01: +0,1.308,5
28,Nov 05 2020 01: +0,1.717,21
29,Nov 06 2020 01: +0,1.753,10
30,Nov 07 2020 01: +0,1.601,18
31,Nov 08 2020 01: +0,1.483,12
32,Nov 09 2020 01: +0,1.533,11
33,Nov 10 2020 01: +0,1.694,11
34,Nov 11 2020 01: +0,1.436,11
35,Nov 12 2020 01: +0,1.641,7
36,Nov 13 2020 01: +0,1.517,12
37,Nov 14 2020 01: +0,1.504,19
38,Nov 15 2020 01: +0,1.409,11
39,Nov 16 2020 01: +0,1.408,31
40,Nov 17 2020 01: +0,1.271,12
41,Nov 18 2020 01: +0,1.287,16
42,Nov 19 2020 01: +0,1.253,34
43,Nov 20 2020 01: +0,1.295,26
44,Nov 21 2020 01: +0,1.32,20
45,Nov 22 2020 01: +0,1.208,17
46,Nov 23 2020 01: +0,1.271,18
47,Nov 24 2020 01: +0,1.237,15
48,Nov 25 2020 01: +0,1.194,17
49,Nov 26 2020 01: +0,1.147,29
50,Nov 27 2020 01: +0,1.198,23
51,Nov 28 2020 01: +0,1.124,24
52,Nov 29 2020 01: +0,1.177,22
53,Nov 30 2020 01: +0,1.185,18
54,Dec 01 2020 01: +0,1.217,27
55,Dec 02 2020 01: +0,1.24,17
56,Dec 03 2020 01: +0,1.271,22
57,Dec 04 2020 01: +0,1.247,24
58,Dec 05 2020 01: +0,1.275,24
59,Dec 06 2020 01: +0,1.296,10
60,Dec 07 2020 01: +0,1.322,22
61,Dec 08 2020 01: +0,1.333,13
62,Dec 09 2020 01: +0,1.376,10
63,Dec 10 2020 01: +0,1.268,9
64,Dec 11 2020 01: +0,1.285,15
65,Dec 12 2020 01: +0,1.392,23
66,Dec 13 2020 01: +0,1.421,10
67,Dec 14 2020 01: +0,1.325,13
68,Dec 15 2020 01: +0,1.354,11
69,Dec 16 2020 01: +0,1.362,14
70,Dec 17 2020 01: +0,1.401,17
71,Dec 18 2020 01: +0,1.337,17
72,Dec 19 2020 01: +0,1.364,23
73,Dec 20 2020 01: +0,1.075,44
74,Dec 21 2020 01: +0,1.06,42
75,Dec 22 2020 01: +0,1.181,26
76,Dec 23 2020 01: +0,1.217,15
77,Dec 24 2020 01: +0,1.189,17
78,Dec 25 2020 01: +0,1.258,34
79,Dec 26 2020 01: +0,1.354,36
80,Dec 27 2020 01: +0,1.334,27
81,Dec 28 2020 01: +0,1.344,28
82,Dec 29 2020 01: +0,1.36,26
83,Dec 30 2020 01: +0,1.394,18
84,Dec 31 2020 01: +0,1.381,25
85,Jan 01 2021 01: +0,1.347,24
86,Jan 02 2021 01: +0,1.418,28
87,Jan 03 2021 01: +0,1.358,23
88,Jan 04 2021 01: +0,1.351,27
89,Jan 05 2021 01: +0,1.304,26
90,Jan 06 2021 01: +0,1.318,26
91,Jan 07 2021 01: +0,1.401,32
92,Jan 08 2021 01: +0,1.445,46
93,Jan 09 2021 01: +0,1.493,35
94,Jan 10 2021 01: +0,1.642,34
95,Jan 11 2021 01: +0,1.706,34
96,Jan 12 2021 01: +0,1.677,34
97,Jan 13 2021 01: +0,1.801,46
98,Jan 14 2021 01: +0,1.917,47
99,Jan 15 2021 01: +0,2.053,25
100,Jan 16 2021 01: +0,1.959,24
101,Jan 17 2021 01: +0,2.136,25
102,Jan 18 2021 01: +0,2.319,31
103,Jan 19 2021 01: +0,2.405,21
104,Jan 20 2021 01: +0,2.357,19
105,Jan 21 2021 01: +0,2.303,34
106,Jan 22 2021 01: +0,2.339,31
107,Jan 23 2021 01: +0,2.378,18
108,Jan 24 2021 01: +0,2.391,24
109,Jan 25 2021 01: +0,2.377,28
110,Jan 26 2021 01: +0,2.324,24
111,Jan 27 2021 01: +0,2.511,24
112,Jan 28 2021 01: +0,2.483,11
113,Jan 29 2021 01: +0,2.558,30
114,Jan 30 2021 01: +0,2.483,27
115,Jan 31 2021 01: +0,2.54,27
116,Feb 01 2021 01: +0,2.566,25
117,Feb 02 2021 01: +0,2.409,27
118,Feb 03 2021 01: +0,2.736,27
119,Feb 04 2021 01: +0,3.042,25
120,Feb 05 2021 01: +0,2.936,36
121,Feb 06 2021 01: +0,3.081,31
122,Feb 07 2021 01: +0,3.549,18
123,Feb 08 2021 01: +0,3.364,21
124,Feb 09 2021 01: +0,3.068,23
125,Feb 10 2021 01: +0,2.86,25
126,Feb 11 2021 01: +0,3.02,28
127,Feb 12 2021 01: +0,2.786,27
128,Feb 13 2021 01: +0,2.636,23
129,Feb 14 2021 01: +0,2.725,20
130,Feb 15 2021 01: +0,2.555,17
131,Feb 16 2021 01: +0,2.584,12
132,Feb 17 2021 01: +0,2.825,19
133,Feb 18 2021 01: +0,2.793,16
134,Feb 19 2021 01: +0,2.431,15
135,Feb 20 2021 01: +0,2.55,14
136,Feb 21 2021 01: +0,2.741,11
137,Feb 22 2021 01: +0,2.366,9
138,Feb 23 2021 01: +0,2.37,11
139,Feb 24 2021 01: +0,2.62,14
140,Feb 25 2021 01: +0,2.726,16
141,Feb 26 2021 01: +0,2.261,15
142,Feb 27 2021 01: +0,2.397,7
143,Feb 28 2021 01: +0,2.368,9
144,Mar 01 2021 01: +0,2.287,8
145,Mar 02 2021 01: +0,2.259,9
146,Mar 03 2021 01: +0,2.105,19
147,Mar 04 2021 01: +0,2.067,21
148,Mar 05 2021 01: +0,2.17,16
149,Mar 06 2021 01: +0,2.245,20
150,Mar 07 2021 01: +0,2.254,13
151,Mar 08 2021 01: +0,2.211,14
152,Mar 09 2021 01: +0,2.26,5
153,Mar 10 2021 01: +0,2.257,6
154,Mar 11 2021 01: +0,2.209,22
155,Mar 12 2021 01: +0,2.21,15
156,Mar 13 2021 01: +0,2.158,14
157,Mar 14 2021 01: +0,1.968,11
158,Mar 15 2021 01: +0,2.001,6
159,Mar 16 2021 01: +0,1.879,13
160,Mar 17 2021 01: +0,2.142,7
161,Mar 18 2021 01: +0,1.923,9
162,Mar 19 2021 01: +0,1.955,8
163,Mar 20 2021 01: +0,1.875,12
164,Mar 21 2021 01: +0,1.969,17
165,Mar 22 2021 01: +0,1.911,13
166,Mar 23 2021 01: +0,1.879,15
167,Mar 24 2021 01: +0,1.771,12
168,Mar 25 2021 01: +0,1.879,11
169,Mar 26 2021 01: +0,1.867,13
170,Mar 27 2021 01: +0,1.916,6
171,Mar 28 2021 01: +0,1.839,10
172,Mar 29 2021 01: +0,1.848,11
173,Mar 30 2021 01: +0,1.889,13
174,Mar 31 2021 01: +0,1.863,10
175,Apr 01 2021 01: +0,1.895,9
176,Apr 02 2021 01: +0,2.137,15
177,Apr 03 2021 01: +0,2.074,14
178,Apr 04 2021 01: +0,2.054,12
179,Apr 05 2021 01: +0,2.094,16
180,Apr 06 2021 01: +0,2.292,10
181,Apr 07 2021 01: +0,2.274,8
182,Apr 08 2021 01: +0,2.217,13
183,Apr 09 2021 01: +0,2.184,6
184,Apr 10 2021 01: +0,1.772,10
185,Apr 11 2021 01: +0,2.107,14
186,Apr 12 2021 01: +0,2.108,9
187,Apr 13 2021 01: +0,2.274,9
188,Apr 14 2021 01: +0,2.335,3
189,Apr 14 2021 13: +0,2.39,1
190,Apr 14 2021 14: +0,2.33,1
191,Apr 14 2021 17: +0,1.955,1
192,Apr 14 2021 23: +0,2.37,1
193,Apr 15 2021 02: +0,2.346,1
194,Apr 15 2021 17: +0,1.98,1
195,Apr 15 2021 19: +0,2.272,1
196,Apr 15 2021 20: +0,2.276,1
197,Apr 16 2021 00: +0,2.26,1
198,Apr 16 2021 03: +0,1.79,1
199,Apr 16 2021 12: +0,1.882,2
200,Apr 16 2021 13: +0,2.18,3
201,Apr 16 2021 14: +0,2.271,1
202,Apr 16 2021 16: +0,2.178,1
203,Apr 16 2021 21: +0,1.931,1
204,Apr 17 2021 16: +0,2.055,1
205,Apr 17 2021 18: +0,1.809,1
206,Apr 17 2021 19: +0,1.817,1
207,Apr 17 2021 20: +0,2.066,2
208,Apr 17 2021 22: +0,2.156,1
209,Apr 18 2021 11: +0,1.964,1
210,Apr 18 2021 14: +0,1.903,1
211,Apr 18 2021 16: +0,1.791,1
212,Apr 18 2021 18: +0,2.13,1
213,Apr 18 2021 22: +0,2.012,1
214,Apr 18 2021 23: +0,2.056,2
215,Apr 19 2021 00: +0,2.12,1
216,Apr 19 2021 01: +0,2.2,1
217,Apr 19 2021 04: +0,2.2,1
218,Apr 19 2021 06: +0,2.144,1
219,Apr 19 2021 07: +0,2.25,1
220,Apr 19 2021 15: +0,2.24,1
221,Apr 19 2021 17: +0,2.23,1
222,Apr 19 2021 18: +0,1.51,1
223,Apr 19 2021 23: +0,2.23,1
224,Apr 20 2021 02: +0,2.23,1
225,Apr 20 2021 06: +0,2.0,1
226,Apr 20 2021 08: +0,2.22,1
227,Apr 20 2021 13: +0,2.037,1
228,Apr 20 2021 15: +0,2.236,1
229,Apr 20 2021 16: +0,2.248,1
230,Apr 20 2021 20: +0,2.073,2
231,Apr 20 2021 23: +0,2.23,1
232,Apr 21 2021 02: +0,1.79,1
233,Apr 21 2021 17: +0,1.525,1
234,Apr 21 2021 18: +0,2.022,1
235,Apr 21 2021 19: +0,2.12,2
236,Apr 21 2021 22: +0,2.21,1
237,Apr 22 2021 01: +0,2.07,1
238,Apr 22 2021 15: +0,2.16,1
239,Apr 22 2021 16: +0,1.79,1
240,Apr 22 2021 19: +0,2.17,2
241,Apr 22 2021 22: +0,2.128,1
242,Apr 22 2021 23: +0,2.136,1
243,Apr 23 2021 01: +0,2.13,3
244,Apr 23 2021 15: +0,2.091,1
245,Apr 23 2021 16: +0,2.092,1
246,Apr 23 2021 17: +0,2.09,1
247,Apr 23 2021 20: +0,2.091,2
248,Apr 23 2021 22: +0,1.946,2
249,Apr 23 2021 23: +0,2.086,1
250,Apr 24 2021 02: +0,2.088,2
251,Apr 24 2021 05: +0,2.09,1
252,Apr 24 2021 13: +0,2.07,1
253,Apr 24 2021 21: +0,1.85,2
254,Apr 24 2021 22: +0,1.846,1
255,Apr 24 2021 23: +0,1.846,1
256,Apr 25 2021 01: +0,1.855,1
257,Apr 25 2021 02: +0,1.92,1
258,Apr 25 2021 12: +0,1.925,1
259,Apr 25 2021 15: +0,1.815,1
260,Apr 25 2021 18: +0,1.92,1
261,Apr 25 2021 22: +0,1.911,1
262,Apr 26 2021 00: +0,1.66,1
263,Apr 26 2021 13: +0,1.927,1
264,Apr 26 2021 14: +0,1.842,1
265,Apr 26 2021 15: +0,1.842,1
266,Apr 26 2021 17: +0,1.717,1
267,Apr 26 2021 18: +0,1.722,2
268,Apr 26 2021 19: +0,1.869,1
269,Apr 26 2021 20: +0,1.869,1
270,Apr 26 2021 21: +0,1.63,2
271,Apr 26 2021 23: +0,1.9,1
272,Apr 27 2021 00: +0,1.5,1
273,Apr 27 2021 01: +0,1.92,2
274,Apr 27 2021 02: +0,2.01,1
275,Apr 27 2021 04: +0,2.09,1
276,Apr 27 2021 07: +0,2.087,1
277,Apr 27 2021 14: +0,2.084,1
278,Apr 27 2021 15: +0,2.089,1
279,Apr 27 2021 21: +0,1.666,1
280,Apr 27 2021 23: +0,2.077,1
281,Apr 28 2021 08: +0,1.84,1
282,Apr 28 2021 10: +0,1.751,1
283,Apr 28 2021 13: +0,1.837,1
284,Apr 29 2021 01: +0,1.81,1
285,Apr 29 2021 04: +0,1.75,1
286,Apr 29 2021 06: +0,1.81,1
287,Apr 29 2021 09: +0,1.826,1
288,Apr 29 2021 10: +0,1.81,1
289,Apr 29 2021 12: +0,1.821,1
290,Apr 29 2021 14: +0,1.818,1
291,Apr 29 2021 15: +0,1.817,1
292,Apr 29 2021 16: +0,1.817,1
293,Apr 29 2021 19: +0,1.664,1
294,Apr 29 2021 20: +0,1.79,1
295,Apr 29 2021 23: +0,1.652,2
296,Apr 30 2021 01: +0,1.58,1
297,Apr 30 2021 02: +0,1.8,1
298,Apr 30 2021 03: +0,1.15,1
299,Apr 30 2021 04: +0,1.572,2
300,Apr 30 2021 06: +0,1.774,1
301,Apr 30 2021 07: +0,1.808,1
302,Apr 30 2021 12: +0,1.599,1
303,Apr 30 2021 15: +0,1.324,2
304,Apr 30 2021 17: +0,1.8,1
305,Apr 30 2021 19: +0,1.805,1
306,Apr 30 2021 20: +0,1.492,1
307,Apr 30 2021 21: +0,1.81,1
308,Apr 30 2021 22: +0,1.909,1
309,May 01 2021 01: +0,2.01,1
310,May 01 2021 02: +0,2.07,1
311,May 01 2021 03: +0,2.08,1
312,May 01 2021 06: +0,2.09,1
313,May 01 2021 08: +0,2.101,2
314,May 01 2021 15: +0,2.102,1
315,May 01 2021 16: +0,2.1,1
316,May 01 2021 17: +0,2.101,1
317,May 01 2021 22: +0,2.092,1
318,May 01 2021 23: +0,2.091,3
319,May 02 2021 03: +0,1.15,1
320,May 02 2021 12: +0,1.957,1
321,May 02 2021 13: +0,1.679,2
322,May 02 2021 14: +0,1.848,1
323,May 02 2021 15: +0,1.86,1
324,May 02 2021 21: +0,1.389,1
325,May 03 2021 08: +0,1.847,2
326,May 03 2021 09: +0,1.848,1
327,May 03 2021 10: +0,1.667,1
328,May 03 2021 13: +0,1.851,1
329,May 03 2021 21: +0,1.72,1
330,May 04 2021 03: +0,1.95,1
331,May 04 2021 05: +0,1.49,1
332,May 04 2021 06: +0,1.93,1
333,May 04 2021 07: +0,1.723,1
334,May 04 2021 09: +0,1.554,1
335,May 04 2021 13: +0,1.96,3
336,May 04 2021 14: +0,1.98,1
337,May 04 2021 15: +0,2.11,2
338,May 04 2021 17: +0,1.903,1
339,May 04 2021 20: +0,1.903,1
340,May 05 2021 01: +0,1.88,1
341,May 05 2021 06: +0,1.903,1
342,May 05 2021 16: +0,1.89,3
343,May 05 2021 19: +0,1.599,1
344,May 06 2021 04: +0,2.095,2
345,May 06 2021 07: +0,2.1,1
346,May 06 2021 15: +0,1.932,1
347,May 06 2021 17: +0,1.875,2
348,May 06 2021 18: +0,2.076,1
349,May 06 2021 19: +0,1.692,1
350,May 06 2021 20: +0,1.871,2
351,May 06 2021 21: +0,2.07,3
352,May 07 2021 00: +0,2.073,4
353,May 07 2021 02: +0,2.07,2
354,May 07 2021 03: +0,2.07,1
355,May 07 2021 09: +0,1.868,1
356,May 07 2021 10: +0,2.012,1
357,May 07 2021 14: +0,2.01,1
358,May 07 2021 15: +0,2.012,1
359,May 07 2021 17: +0,1.793,1
360,May 07 2021 18: +0,2.022,1
361,May 07 2021 20: +0,1.832,1
362,May 07 2021 22: +0,1.946,1
363,May 07 2021 23: +0,1.95,1
364,May 08 2021 03: +0,1.96,1
365,May 08 2021 04: +0,1.96,1
366,May 08 2021 10: +0,1.953,3
367,May 08 2021 12: +0,2.057,1
368,May 08 2021 14: +0,2.074,1
369,May 08 2021 15: +0,2.069,1
370,May 08 2021 16: +0,1.876,2
371,May 08 2021 18: +0,2.052,1
372,May 09 2021 02: +0,2.04,1
373,May 09 2021 04: +0,2.01,1
374,May 09 2021 15: +0,2.03,3
375,May 09 2021 19: +0,2.045,1
376,May 09 2021 21: +0,2.037,2
377,May 10 2021 01: +0,2.04,1
378,May 10 2021 04: +0,1.959,1
379,May 10 2021 08: +0,2.039,2
380,May 10 2021 09: +0,2.052,1
381,May 10 2021 16: +0,1.694,3
382,May 10 2021 18: +0,2.049,1
383,May 10 2021 20: +0,2.04,1
384,May 10 2021 21: +0,2.025,2
385,May 10 2021 22: +0,2.051,1
386,May 10 2021 23: +0,1.633,1
387,May 11 2021 01: +0,2.04,1
388,May 11 2021 02: +0,2.05,1
389,May 11 2021 08: +0,2.02,1
390,May 11 2021 15: +0,2.04,1
391,May 11 2021 20: +0,2.051,1
392,May 11 2021 21: +0,2.045,1
393,May 12 2021 00: +0,2.045,1
394,May 12 2021 01: +0,2.037,1
395,May 12 2021 03: +0,1.7,1
396,May 12 2021 04: +0,2.037,1
397,May 12 2021 06: +0,2.041,1
398,May 12 2021 07: +0,1.3,1
399,May 12 2021 14: +0,2.04,1
400,May 12 2021 15: +0,2.059,1
401,May 12 2021 18: +0,2.053,1
402,May 12 2021 19: +0,2.067,2
403,May 13 2021 01: +0,1.862,2
404,May 13 2021 03: +0,1.95,1
405,May 13 2021 04: +0,1.95,1
406,May 13 2021 05: +0,2.07,1
407,May 13 2021 09: +0,2.06,2
408,May 13 2021 14: +0,1.679,1
409,May 13 2021 15: +0,2.055,1
410,May 13 2021 17: +0,2.07,1
411,May 13 2021 19: +0,1.965,2
412,May 13 2021 20: +0,2.12,1
413,May 13 2021 21: +0,2.12,1
414,May 13 2021 22: +0,2.2,1
