,time,price,volume
0,Dec 04 2016 01: +0,12.0,1
1,Dec 08 2016 01: +0,1.765,30
2,Dec 09 2016 01: +0,1.986,10
3,Dec 10 2016 01: +0,1.575,19
4,Dec 11 2016 01: +0,2.014,19
5,Dec 12 2016 01: +0,1.507,18
6,Dec 13 2016 01: +0,1.644,13
7,Dec 14 2016 01: +0,1.443,16
8,Dec 15 2016 01: +0,1.359,11
9,Dec 16 2016 01: +0,1.343,17
10,Dec 17 2016 01: +0,2.222,16
11,Dec 18 2016 01: +0,2.118,12
12,Dec 19 2016 01: +0,1.257,11
13,Dec 20 2016 01: +0,1.175,15
14,Dec 21 2016 01: +0,1.246,17
15,Dec 22 2016 01: +0,1.393,13
16,Dec 23 2016 01: +0,1.179,12
17,Dec 24 2016 01: +0,1.281,9
18,Dec 25 2016 01: +0,1.218,17
19,Dec 26 2016 01: +0,1.236,29
20,Dec 27 2016 01: +0,1.35,19
21,Dec 28 2016 01: +0,1.471,13
22,Dec 29 2016 01: +0,1.493,15
23,Dec 30 2016 01: +0,1.436,11
24,Dec 31 2016 01: +0,1.342,17
25,Jan 01 2017 01: +0,1.201,10
26,Jan 02 2017 01: +0,1.268,16
27,Jan 03 2017 01: +0,1.34,11
28,Jan 04 2017 01: +0,1.306,15
29,Jan 05 2017 01: +0,1.329,12
30,Jan 06 2017 01: +0,1.376,13
31,Jan 07 2017 01: +0,1.183,14
32,Jan 08 2017 01: +0,1.304,14
33,Jan 09 2017 01: +0,1.269,14
34,Jan 10 2017 01: +0,1.125,15
35,Jan 11 2017 01: +0,1.341,10
36,Jan 12 2017 01: +0,1.593,29
37,Jan 13 2017 01: +0,2.136,20
38,Jan 14 2017 01: +0,1.987,19
39,Jan 15 2017 01: +0,1.892,21
40,Jan 16 2017 01: +0,1.792,21
41,Jan 17 2017 01: +0,1.802,16
42,Jan 18 2017 01: +0,1.555,26
43,Jan 19 2017 01: +0,1.998,27
44,Jan 20 2017 01: +0,1.894,21
45,Jan 21 2017 01: +0,2.03,22
46,Jan 22 2017 01: +0,1.4,21
47,Jan 23 2017 01: +0,1.506,18
48,Jan 24 2017 01: +0,1.287,11
49,Jan 25 2017 01: +0,1.544,18
50,Jan 26 2017 01: +0,1.425,20
51,Jan 27 2017 01: +0,1.604,29
52,Jan 28 2017 01: +0,1.484,34
53,Jan 29 2017 01: +0,1.814,22
54,Jan 30 2017 01: +0,1.732,24
55,Jan 31 2017 01: +0,1.513,22
56,Feb 01 2017 01: +0,1.665,21
57,Feb 02 2017 01: +0,1.757,27
58,Feb 03 2017 01: +0,1.911,24
59,Feb 04 2017 01: +0,2.067,22
60,Feb 05 2017 01: +0,1.934,16
61,Feb 06 2017 01: +0,1.8,27
62,Feb 07 2017 01: +0,1.819,16
63,Feb 08 2017 01: +0,1.729,16
64,Feb 09 2017 01: +0,1.756,14
65,Feb 10 2017 01: +0,1.818,16
66,Feb 11 2017 01: +0,1.698,14
67,Feb 12 2017 01: +0,1.702,16
68,Feb 13 2017 01: +0,1.873,17
69,Feb 14 2017 01: +0,1.858,18
70,Feb 15 2017 01: +0,1.787,11
71,Feb 16 2017 01: +0,1.877,21
72,Feb 17 2017 01: +0,2.02,13
73,Feb 18 2017 01: +0,2.094,14
74,Feb 19 2017 01: +0,1.919,14
75,Feb 20 2017 01: +0,2.147,9
76,Feb 21 2017 01: +0,2.121,15
77,Feb 22 2017 01: +0,2.169,10
78,Feb 23 2017 01: +0,1.87,10
79,Feb 24 2017 01: +0,2.299,16
80,Feb 25 2017 01: +0,2.982,14
81,Feb 26 2017 01: +0,2.811,7
82,Feb 27 2017 01: +0,2.675,12
83,Feb 28 2017 01: +0,2.454,10
84,Mar 01 2017 01: +0,3.392,10
85,Mar 02 2017 01: +0,3.153,12
86,Mar 03 2017 01: +0,3.039,13
87,Mar 04 2017 01: +0,2.829,12
88,Mar 05 2017 01: +0,2.969,14
89,Mar 06 2017 01: +0,4.236,7
90,Mar 07 2017 01: +0,3.929,4
91,Mar 08 2017 01: +0,2.892,6
92,Mar 09 2017 01: +0,2.904,17
93,Mar 10 2017 01: +0,2.965,11
94,Mar 11 2017 01: +0,2.981,11
95,Mar 12 2017 01: +0,2.738,7
96,Mar 13 2017 01: +0,2.808,6
97,Mar 14 2017 01: +0,2.835,6
98,Mar 15 2017 01: +0,2.605,10
99,Mar 16 2017 01: +0,2.566,9
100,Mar 17 2017 01: +0,2.35,6
101,Mar 18 2017 01: +0,2.575,10
102,Mar 19 2017 01: +0,2.453,10
103,Mar 20 2017 01: +0,2.49,8
104,Mar 21 2017 01: +0,2.372,6
105,Mar 22 2017 01: +0,2.491,8
106,Mar 23 2017 01: +0,2.394,12
107,Mar 24 2017 01: +0,2.252,14
108,Mar 25 2017 01: +0,2.315,11
109,Mar 26 2017 01: +0,2.107,10
110,Mar 27 2017 01: +0,2.253,6
111,Mar 28 2017 01: +0,2.091,9
112,Mar 29 2017 01: +0,2.171,7
113,Mar 30 2017 01: +0,2.283,11
114,Mar 31 2017 01: +0,2.015,9
115,Apr 01 2017 01: +0,1.947,6
116,Apr 02 2017 01: +0,2.091,11
117,Apr 03 2017 01: +0,2.264,6
118,Apr 04 2017 01: +0,2.188,11
119,Apr 05 2017 01: +0,2.324,8
120,Apr 06 2017 01: +0,2.299,8
121,Apr 07 2017 01: +0,2.135,12
122,Apr 08 2017 01: +0,2.1,8
123,Apr 09 2017 01: +0,2.121,4
124,Apr 10 2017 01: +0,2.025,5
125,Apr 11 2017 01: +0,2.113,8
126,Apr 12 2017 01: +0,2.169,8
127,Apr 13 2017 01: +0,2.01,4
128,Apr 14 2017 01: +0,2.058,11
129,Apr 15 2017 01: +0,2.027,12
130,Apr 16 2017 01: +0,1.935,12
131,Apr 17 2017 01: +0,2.006,13
132,Apr 18 2017 01: +0,2.233,6
133,Apr 19 2017 01: +0,2.172,13
134,Apr 20 2017 01: +0,2.246,4
135,Apr 21 2017 01: +0,1.79,13
136,Apr 22 2017 01: +0,2.287,7
137,Apr 23 2017 01: +0,2.307,8
138,Apr 24 2017 01: +0,2.258,9
139,Apr 25 2017 01: +0,2.147,8
140,Apr 26 2017 01: +0,2.238,8
141,Apr 27 2017 01: +0,2.157,7
142,Apr 28 2017 01: +0,2.181,9
143,Apr 29 2017 01: +0,2.031,8
144,Apr 30 2017 01: +0,2.319,4
145,May 01 2017 01: +0,2.284,8
146,May 02 2017 01: +0,2.15,5
147,May 03 2017 01: +0,2.044,6
148,May 04 2017 01: +0,1.858,6
149,May 05 2017 01: +0,2.011,10
150,May 06 2017 01: +0,2.305,12
151,May 07 2017 01: +0,2.226,8
152,May 08 2017 01: +0,2.217,9
153,May 09 2017 01: +0,2.15,6
154,May 10 2017 01: +0,2.161,7
155,May 11 2017 01: +0,2.397,11
156,May 12 2017 01: +0,2.374,10
157,May 13 2017 01: +0,2.567,5
158,May 14 2017 01: +0,2.111,7
159,May 15 2017 01: +0,2.402,5
160,May 16 2017 01: +0,2.21,5
161,May 17 2017 01: +0,2.299,5
162,May 18 2017 01: +0,2.053,7
163,May 19 2017 01: +0,2.387,5
164,May 20 2017 01: +0,2.396,8
165,May 21 2017 01: +0,2.551,8
166,May 22 2017 01: +0,2.791,5
167,May 23 2017 01: +0,2.772,9
168,May 24 2017 01: +0,2.445,9
169,May 25 2017 01: +0,2.653,5
170,May 26 2017 01: +0,2.435,7
171,May 27 2017 01: +0,2.47,5
172,May 28 2017 01: +0,2.392,7
173,May 29 2017 01: +0,2.353,7
174,May 30 2017 01: +0,2.474,4
175,May 31 2017 01: +0,2.345,7
176,Jun 01 2017 01: +0,2.244,10
177,Jun 02 2017 01: +0,2.136,11
178,Jun 03 2017 01: +0,2.409,11
179,Jun 04 2017 01: +0,2.22,2
180,Jun 05 2017 01: +0,2.388,14
181,Jun 06 2017 01: +0,2.489,7
182,Jun 07 2017 01: +0,2.511,5
183,Jun 08 2017 01: +0,2.298,4
184,Jun 09 2017 01: +0,2.157,5
185,Jun 10 2017 01: +0,2.527,7
186,Jun 11 2017 01: +0,2.513,5
187,Jun 12 2017 01: +0,2.244,4
188,Jun 13 2017 01: +0,2.556,7
189,Jun 14 2017 01: +0,2.518,1
190,Jun 15 2017 01: +0,2.198,3
191,Jun 16 2017 01: +0,2.274,6
192,Jun 17 2017 01: +0,2.172,4
193,Jun 18 2017 01: +0,1.94,7
194,Jun 19 2017 01: +0,2.056,7
195,Jun 20 2017 01: +0,1.837,4
196,Jun 21 2017 01: +0,1.886,8
197,Jun 22 2017 01: +0,1.905,6
198,Jun 23 2017 01: +0,2.0,7
199,Jun 24 2017 01: +0,1.62,5
200,Jun 25 2017 01: +0,1.773,6
201,Jun 26 2017 01: +0,1.869,5
202,Jun 27 2017 01: +0,1.696,7
203,Jun 28 2017 01: +0,1.97,7
204,Jun 29 2017 01: +0,1.915,5
205,Jun 30 2017 01: +0,1.998,7
206,Jul 01 2017 01: +0,2.029,7
207,Jul 02 2017 01: +0,2.1,5
208,Jul 03 2017 01: +0,2.022,4
209,Jul 04 2017 01: +0,2.07,8
210,Jul 05 2017 01: +0,1.906,7
211,Jul 06 2017 01: +0,1.969,9
212,Jul 07 2017 01: +0,2.099,9
213,Jul 08 2017 01: +0,2.288,7
214,Jul 09 2017 01: +0,1.976,7
215,Jul 10 2017 01: +0,2.26,6
216,Jul 11 2017 01: +0,2.103,7
217,Jul 12 2017 01: +0,2.313,7
218,Jul 13 2017 01: +0,2.61,6
219,Jul 14 2017 01: +0,2.802,4
220,Jul 15 2017 01: +0,2.793,7
221,Jul 16 2017 01: +0,2.559,7
222,Jul 17 2017 01: +0,2.854,4
223,Jul 18 2017 01: +0,3.02,4
