,time,price,volume
0,Nov 10 2018 01: +0,1.565,35
1,Nov 11 2018 01: +0,1.592,21
2,Nov 12 2018 01: +0,1.586,30
3,Nov 13 2018 01: +0,1.643,20
4,Nov 14 2018 01: +0,1.691,28
5,Nov 15 2018 01: +0,1.578,27
6,Nov 16 2018 01: +0,1.569,34
7,Nov 17 2018 01: +0,1.596,33
8,Nov 18 2018 01: +0,1.63,29
9,Nov 19 2018 01: +0,1.672,23
10,Nov 20 2018 01: +0,1.631,25
11,Nov 21 2018 01: +0,1.638,12
12,Nov 22 2018 01: +0,1.523,25
13,Nov 23 2018 01: +0,1.519,24
14,Nov 24 2018 01: +0,1.573,29
15,Nov 25 2018 01: +0,1.568,25
16,Nov 26 2018 01: +0,1.625,25
17,Nov 27 2018 01: +0,1.405,23
18,Nov 28 2018 01: +0,1.46,16
19,Nov 29 2018 01: +0,1.41,21
20,Nov 30 2018 01: +0,1.653,29
21,Dec 01 2018 01: +0,1.588,37
22,Dec 02 2018 01: +0,1.503,31
23,Dec 03 2018 01: +0,1.636,28
24,Dec 04 2018 01: +0,1.723,32
25,Dec 05 2018 01: +0,1.67,19
26,Dec 06 2018 01: +0,1.659,37
27,Dec 07 2018 01: +0,1.696,34
28,Dec 08 2018 01: +0,1.726,31
29,Dec 09 2018 01: +0,1.715,42
30,Dec 10 2018 01: +0,1.832,21
31,Dec 11 2018 01: +0,1.942,13
32,Dec 12 2018 01: +0,1.944,21
33,Dec 13 2018 01: +0,1.84,32
34,Dec 14 2018 01: +0,1.711,29
35,Dec 15 2018 01: +0,1.819,33
36,Dec 16 2018 01: +0,1.887,21
37,Dec 17 2018 01: +0,2.034,20
38,Dec 18 2018 01: +0,2.046,23
39,Dec 19 2018 01: +0,1.91,29
40,Dec 20 2018 01: +0,2.056,13
41,Dec 21 2018 01: +0,1.854,23
42,Dec 22 2018 01: +0,1.874,24
43,Dec 23 2018 01: +0,1.842,22
44,Dec 24 2018 01: +0,1.885,21
45,Dec 25 2018 01: +0,1.978,26
46,Dec 26 2018 01: +0,2.0,37
47,Dec 27 2018 01: +0,2.167,29
48,Dec 28 2018 01: +0,2.396,22
49,Dec 29 2018 01: +0,2.343,27
50,Dec 30 2018 01: +0,2.436,18
51,Dec 31 2018 01: +0,2.343,18
52,Jan 01 2019 01: +0,2.37,21
53,Jan 02 2019 01: +0,2.469,17
54,Jan 03 2019 01: +0,2.57,22
55,Jan 04 2019 01: +0,2.767,25
56,Jan 05 2019 01: +0,2.828,17
57,Jan 06 2019 01: +0,2.887,26
58,Jan 07 2019 01: +0,3.231,17
59,Jan 08 2019 01: +0,3.246,12
60,Jan 09 2019 01: +0,3.156,13
61,Jan 10 2019 01: +0,2.948,12
62,Jan 11 2019 01: +0,2.829,17
63,Jan 12 2019 01: +0,2.926,17
64,Jan 13 2019 01: +0,3.192,12
65,Jan 14 2019 01: +0,2.966,8
66,Jan 15 2019 01: +0,2.793,22
67,Jan 16 2019 01: +0,2.981,11
68,Jan 17 2019 01: +0,2.91,15
69,Jan 18 2019 01: +0,2.673,14
70,Jan 19 2019 01: +0,2.582,18
71,Jan 20 2019 01: +0,2.626,22
72,Jan 21 2019 01: +0,2.822,11
73,Jan 22 2019 01: +0,2.71,8
74,Jan 23 2019 01: +0,2.743,16
75,Jan 24 2019 01: +0,2.728,12
76,Jan 25 2019 01: +0,2.617,21
77,Jan 26 2019 01: +0,2.637,24
78,Jan 27 2019 01: +0,2.534,22
79,Jan 28 2019 01: +0,2.445,22
80,Jan 29 2019 01: +0,2.605,17
81,Jan 30 2019 01: +0,2.566,17
82,Jan 31 2019 01: +0,2.58,11
83,Feb 01 2019 01: +0,2.624,28
84,Feb 02 2019 01: +0,2.6,19
85,Feb 03 2019 01: +0,2.632,16
86,Feb 04 2019 01: +0,2.577,14
87,Feb 05 2019 01: +0,2.552,11
88,Feb 06 2019 01: +0,2.48,26
89,Feb 07 2019 01: +0,2.448,38
90,Feb 08 2019 01: +0,2.354,19
91,Feb 09 2019 01: +0,2.301,18
92,Feb 10 2019 01: +0,2.373,13
93,Feb 11 2019 01: +0,2.38,16
94,Feb 12 2019 01: +0,2.356,15
95,Feb 13 2019 01: +0,2.243,9
96,Feb 14 2019 01: +0,2.148,13
97,Feb 15 2019 01: +0,1.972,18
98,Feb 16 2019 01: +0,2.091,7
99,Feb 17 2019 01: +0,2.084,9
100,Feb 18 2019 01: +0,1.92,8
101,Feb 19 2019 01: +0,1.892,11
102,Feb 20 2019 01: +0,1.904,8
103,Feb 21 2019 01: +0,1.936,12
104,Feb 22 2019 01: +0,1.902,8
105,Feb 23 2019 01: +0,1.638,12
106,Feb 24 2019 01: +0,1.867,10
107,Feb 25 2019 01: +0,1.889,11
108,Feb 26 2019 01: +0,1.881,13
109,Feb 27 2019 01: +0,1.848,11
110,Feb 28 2019 01: +0,1.865,11
111,Mar 01 2019 01: +0,1.88,16
112,Mar 02 2019 01: +0,1.753,11
113,Mar 03 2019 01: +0,1.797,13
114,Mar 04 2019 01: +0,1.942,15
115,Mar 05 2019 01: +0,2.133,8
116,Mar 06 2019 01: +0,1.997,5
