,time,price,volume
0,Mar 15 2019 01: +0,3.857,4
1,Mar 16 2019 01: +0,1.757,4
2,Mar 17 2019 01: +0,1.865,4
3,Mar 18 2019 01: +0,1.778,6
4,Mar 19 2019 01: +0,1.552,7
5,Mar 20 2019 01: +0,1.718,9
6,Mar 21 2019 01: +0,1.625,7
7,Mar 22 2019 01: +0,1.709,9
8,Mar 23 2019 01: +0,1.592,9
9,Mar 24 2019 01: +0,1.416,2
10,Mar 25 2019 01: +0,1.572,8
11,Mar 26 2019 01: +0,1.577,8
12,Mar 27 2019 01: +0,1.215,1
13,Mar 28 2019 01: +0,1.44,7
14,Mar 29 2019 01: +0,1.38,1
15,Mar 30 2019 01: +0,1.483,7
16,Mar 31 2019 01: +0,1.596,4
17,Apr 01 2019 01: +0,1.352,5
18,Apr 02 2019 01: +0,1.468,5
19,Apr 03 2019 01: +0,1.495,4
20,Apr 04 2019 01: +0,1.497,7
21,Apr 05 2019 01: +0,1.53,7
22,Apr 06 2019 01: +0,1.466,15
23,Apr 07 2019 01: +0,1.572,8
24,Apr 08 2019 01: +0,1.38,1
25,Apr 09 2019 01: +0,1.562,6
26,Apr 10 2019 01: +0,1.579,6
27,Apr 11 2019 01: +0,1.495,7
28,Apr 12 2019 01: +0,1.552,2
29,Apr 13 2019 01: +0,1.365,8
30,Apr 14 2019 01: +0,1.505,12
31,Apr 15 2019 01: +0,1.539,4
32,Apr 16 2019 01: +0,1.426,4
33,Apr 17 2019 01: +0,1.575,9
34,Apr 18 2019 01: +0,1.62,4
35,Apr 19 2019 01: +0,1.554,4
36,Apr 20 2019 01: +0,1.559,10
37,Apr 21 2019 01: +0,1.491,10
38,Apr 22 2019 01: +0,1.539,6
39,Apr 23 2019 01: +0,1.512,5
40,Apr 24 2019 01: +0,1.592,9
41,Apr 25 2019 01: +0,1.416,10
42,Apr 26 2019 01: +0,1.417,5
43,Apr 27 2019 01: +0,1.38,16
44,Apr 28 2019 01: +0,1.414,4
45,Apr 29 2019 01: +0,1.383,4
46,Apr 30 2019 01: +0,1.728,5
47,May 02 2019 01: +0,1.48,7
48,May 03 2019 01: +0,1.632,3
49,May 04 2019 01: +0,1.671,2
50,May 05 2019 01: +0,1.634,7
51,May 06 2019 01: +0,1.522,2
52,May 07 2019 01: +0,1.637,2
53,May 08 2019 01: +0,1.625,3
54,May 09 2019 01: +0,1.719,1
55,May 10 2019 01: +0,1.537,2
56,May 11 2019 01: +0,1.679,1
57,May 12 2019 01: +0,1.552,3
58,May 13 2019 01: +0,1.707,4
59,May 14 2019 01: +0,1.503,1
60,May 16 2019 01: +0,1.499,2
61,May 17 2019 01: +0,1.494,7
62,May 18 2019 01: +0,1.302,1
63,May 20 2019 01: +0,1.351,4
64,May 21 2019 01: +0,1.5,1
65,May 22 2019 01: +0,1.488,7
66,May 23 2019 01: +0,1.452,4
67,May 24 2019 01: +0,1.625,3
68,May 25 2019 01: +0,1.573,3
69,May 26 2019 01: +0,1.628,2
70,May 27 2019 01: +0,1.355,4
71,May 28 2019 01: +0,1.369,6
72,May 29 2019 01: +0,1.469,6
73,May 30 2019 01: +0,1.434,3
74,May 31 2019 01: +0,1.455,6
75,Jun 01 2019 01: +0,1.53,1
76,Jun 02 2019 01: +0,1.196,3
77,Jun 03 2019 01: +0,1.489,3
78,Jun 04 2019 01: +0,1.403,4
79,Jun 05 2019 01: +0,1.515,4
80,Jun 06 2019 01: +0,1.49,9
81,Jun 07 2019 01: +0,1.52,7
82,Jun 08 2019 01: +0,1.568,8
83,Jun 09 2019 01: +0,1.489,5
84,Jun 10 2019 01: +0,1.756,3
85,Jun 12 2019 01: +0,1.656,5
86,Jun 13 2019 01: +0,1.639,7
87,Jun 14 2019 01: +0,1.732,2
88,Jun 15 2019 01: +0,1.771,5
89,Jun 16 2019 01: +0,1.76,4
90,Jun 17 2019 01: +0,1.585,2
91,Jun 18 2019 01: +0,1.57,3
92,Jun 19 2019 01: +0,1.787,3
93,Jun 21 2019 01: +0,1.724,3
94,Jun 22 2019 01: +0,1.501,2
95,Jun 23 2019 01: +0,1.622,3
96,Jun 24 2019 01: +0,1.659,6
97,Jun 25 2019 01: +0,1.514,3
98,Jun 26 2019 01: +0,1.639,5
99,Jun 27 2019 01: +0,1.75,4
100,Jun 28 2019 01: +0,1.602,2
101,Jun 29 2019 01: +0,1.359,3
102,Jun 30 2019 01: +0,1.391,4
103,Jul 01 2019 01: +0,1.463,5
104,Jul 02 2019 01: +0,1.37,8
105,Jul 03 2019 01: +0,1.569,5
106,Jul 04 2019 01: +0,1.22,1
107,Jul 05 2019 01: +0,1.495,1
108,Jul 06 2019 01: +0,1.453,9
109,Jul 07 2019 01: +0,1.587,2
110,Jul 08 2019 01: +0,1.589,2
111,Jul 09 2019 01: +0,1.548,5
112,Jul 10 2019 01: +0,1.521,10
113,Jul 11 2019 01: +0,1.603,3
114,Jul 12 2019 01: +0,1.736,1
115,Jul 13 2019 01: +0,1.559,4
116,Jul 14 2019 01: +0,1.722,8
117,Jul 15 2019 01: +0,1.537,3
118,Jul 16 2019 01: +0,1.502,2
119,Jul 17 2019 01: +0,1.744,1
120,Jul 18 2019 01: +0,1.73,1
121,Jul 19 2019 01: +0,1.725,7
122,Jul 20 2019 01: +0,1.725,7
123,Jul 21 2019 01: +0,1.675,4
124,Jul 22 2019 01: +0,1.573,4
125,Jul 23 2019 01: +0,1.788,4
126,Jul 24 2019 01: +0,1.792,3
127,Jul 25 2019 01: +0,1.935,2
128,Jul 26 2019 01: +0,1.698,2
129,Jul 27 2019 01: +0,1.654,2
130,Jul 28 2019 01: +0,1.466,7
131,Jul 29 2019 01: +0,1.725,2
132,Jul 31 2019 01: +0,1.615,2
133,Aug 01 2019 01: +0,1.814,5
134,Aug 02 2019 01: +0,1.632,3
135,Aug 03 2019 01: +0,1.878,3
136,Aug 04 2019 01: +0,1.728,3
137,Aug 06 2019 01: +0,1.761,2
138,Aug 07 2019 01: +0,1.775,3
139,Aug 09 2019 01: +0,1.595,2
140,Aug 10 2019 01: +0,1.747,5
141,Aug 11 2019 01: +0,1.76,2
142,Aug 12 2019 01: +0,1.65,3
143,Aug 13 2019 01: +0,1.65,2
144,Aug 14 2019 01: +0,1.598,3
145,Aug 15 2019 01: +0,1.691,9
146,Aug 16 2019 01: +0,1.895,9
147,Aug 17 2019 01: +0,1.834,2
148,Aug 18 2019 01: +0,2.028,5
149,Aug 19 2019 01: +0,2.08,1
150,Aug 20 2019 01: +0,2.069,4
151,Aug 21 2019 01: +0,1.948,6
152,Aug 22 2019 01: +0,2.176,2
153,Aug 23 2019 01: +0,2.073,7
154,Aug 24 2019 01: +0,2.3,1
155,Aug 25 2019 01: +0,1.966,2
156,Aug 26 2019 01: +0,2.103,1
157,Aug 27 2019 01: +0,2.167,1
158,Aug 28 2019 01: +0,2.084,2
159,Aug 29 2019 01: +0,1.902,2
160,Aug 30 2019 01: +0,1.611,1
161,Aug 31 2019 01: +0,2.047,1
162,Sep 01 2019 01: +0,1.841,2
163,Sep 03 2019 01: +0,1.4,1
164,Sep 04 2019 01: +0,1.444,3
165,Sep 05 2019 01: +0,1.658,1
166,Sep 06 2019 01: +0,1.437,6
167,Sep 07 2019 01: +0,1.578,3
168,Sep 08 2019 01: +0,1.385,2
169,Sep 10 2019 01: +0,1.291,1
170,Sep 11 2019 01: +0,1.465,3
171,Sep 12 2019 01: +0,1.277,5
172,Sep 13 2019 01: +0,1.381,4
173,Sep 14 2019 01: +0,1.351,3
174,Sep 15 2019 01: +0,1.479,1
175,Sep 17 2019 01: +0,1.473,3
176,Sep 18 2019 01: +0,1.171,3
177,Sep 19 2019 01: +0,1.42,2
178,Sep 20 2019 01: +0,1.391,1
179,Sep 21 2019 01: +0,1.078,2
180,Sep 22 2019 01: +0,1.392,2
181,Sep 23 2019 01: +0,1.398,1
182,Sep 24 2019 01: +0,1.275,5
183,Sep 25 2019 01: +0,1.429,1
184,Sep 26 2019 01: +0,1.382,4
185,Sep 28 2019 01: +0,1.245,2
186,Sep 29 2019 01: +0,1.188,5
187,Sep 30 2019 01: +0,1.196,3
188,Oct 01 2019 01: +0,1.286,2
189,Oct 02 2019 01: +0,1.197,3
190,Oct 04 2019 01: +0,1.283,4
191,Oct 05 2019 01: +0,1.275,4
192,Oct 06 2019 01: +0,1.286,6
193,Oct 07 2019 01: +0,1.359,4
194,Oct 08 2019 01: +0,1.331,2
195,Oct 09 2019 01: +0,1.186,3
196,Oct 10 2019 01: +0,1.105,2
197,Oct 11 2019 01: +0,1.17,2
198,Oct 12 2019 01: +0,1.209,3
199,Oct 13 2019 01: +0,1.318,3
200,Oct 14 2019 01: +0,1.345,3
201,Oct 16 2019 01: +0,1.344,5
202,Oct 17 2019 01: +0,1.172,3
203,Oct 18 2019 01: +0,1.288,4
204,Oct 19 2019 01: +0,1.184,2
205,Oct 20 2019 01: +0,1.258,5
206,Oct 21 2019 01: +0,1.27,3
207,Oct 22 2019 01: +0,1.265,2
208,Oct 23 2019 01: +0,1.02,2
209,Oct 24 2019 01: +0,1.275,1
210,Oct 25 2019 01: +0,1.207,2
211,Oct 27 2019 01: +0,1.242,1
212,Oct 28 2019 01: +0,1.26,1
213,Oct 29 2019 01: +0,1.135,2
214,Oct 30 2019 01: +0,1.154,2
215,Oct 31 2019 01: +0,1.055,4
216,Nov 01 2019 01: +0,1.132,3
217,Nov 02 2019 01: +0,1.175,3
218,Nov 05 2019 01: +0,1.1,2
219,Nov 06 2019 01: +0,1.214,3
220,Nov 08 2019 01: +0,1.244,4
221,Nov 09 2019 01: +0,1.205,5
222,Nov 10 2019 01: +0,1.03,4
223,Nov 11 2019 01: +0,1.255,3
224,Nov 12 2019 01: +0,1.363,1
225,Nov 13 2019 01: +0,1.247,2
226,Nov 14 2019 01: +0,1.366,1
227,Nov 16 2019 01: +0,1.024,3
228,Nov 17 2019 01: +0,1.166,2
229,Nov 18 2019 01: +0,1.262,3
230,Nov 19 2019 01: +0,1.14,2
231,Nov 20 2019 01: +0,1.295,1
232,Nov 21 2019 01: +0,0.917,1
233,Nov 22 2019 01: +0,1.229,1
234,Nov 24 2019 01: +0,1.082,1
235,Nov 25 2019 01: +0,1.166,1
236,Nov 26 2019 01: +0,1.097,2
237,Nov 27 2019 01: +0,1.044,3
238,Nov 28 2019 01: +0,1.166,1
239,Nov 29 2019 01: +0,1.154,1
240,Nov 30 2019 01: +0,1.166,4
241,Dec 01 2019 01: +0,0.986,2
242,Dec 02 2019 01: +0,1.186,1
243,Dec 05 2019 01: +0,0.981,4
244,Dec 06 2019 01: +0,1.155,1
245,Dec 07 2019 01: +0,1.194,4
246,Dec 08 2019 01: +0,1.227,3
247,Dec 09 2019 01: +0,1.241,6
248,Dec 10 2019 01: +0,0.987,3
249,Dec 11 2019 01: +0,1.229,1
250,Dec 12 2019 01: +0,1.305,4
251,Dec 13 2019 01: +0,1.181,1
252,Dec 14 2019 01: +0,1.34,1
253,Dec 15 2019 01: +0,1.4,1
254,Dec 16 2019 01: +0,1.265,1
255,Dec 17 2019 01: +0,1.136,2
256,Dec 18 2019 01: +0,1.292,2
257,Dec 19 2019 01: +0,1.125,2
258,Dec 20 2019 01: +0,1.185,4
259,Dec 21 2019 01: +0,1.218,4
260,Dec 22 2019 01: +0,1.315,4
261,Dec 23 2019 01: +0,1.299,3
262,Dec 24 2019 01: +0,1.35,1
263,Dec 25 2019 01: +0,1.404,4
264,Dec 26 2019 01: +0,1.263,11
265,Dec 27 2019 01: +0,1.449,3
266,Dec 28 2019 01: +0,1.32,3
267,Dec 29 2019 01: +0,1.449,1
268,Dec 30 2019 01: +0,1.512,7
269,Dec 31 2019 01: +0,1.545,2
270,Jan 01 2020 01: +0,1.563,5
271,Jan 02 2020 01: +0,1.554,4
272,Jan 03 2020 01: +0,1.707,2
273,Jan 04 2020 01: +0,1.673,3
274,Jan 05 2020 01: +0,1.72,1
275,Jan 08 2020 01: +0,1.974,2
276,Jan 09 2020 01: +0,1.953,1
277,Jan 10 2020 01: +0,1.921,2
278,Jan 12 2020 01: +0,1.77,1
279,Jan 14 2020 01: +0,1.623,2
280,Jan 15 2020 01: +0,1.595,3
281,Jan 16 2020 01: +0,1.761,1
282,Jan 17 2020 01: +0,1.41,1
283,Jan 18 2020 01: +0,1.715,4
284,Jan 19 2020 01: +0,1.525,6
285,Jan 20 2020 01: +0,1.71,2
286,Jan 21 2020 01: +0,1.64,1
287,Jan 22 2020 01: +0,1.51,4
288,Jan 24 2020 01: +0,1.251,3
289,Jan 25 2020 01: +0,1.64,3
290,Jan 26 2020 01: +0,1.224,1
291,Jan 27 2020 01: +0,1.598,1
292,Jan 29 2020 01: +0,1.416,6
293,Jan 30 2020 01: +0,1.347,2
294,Jan 31 2020 01: +0,1.55,1
