,time,price,volume
0,Jan 11 2018 01: +0,3.25,1
1,Jan 12 2018 01: +0,1.958,8
2,Jan 13 2018 01: +0,1.987,14
3,Jan 14 2018 01: +0,2.152,11
4,Jan 15 2018 01: +0,1.964,10
5,Jan 16 2018 01: +0,1.74,11
6,Jan 17 2018 01: +0,1.866,10
7,Jan 18 2018 01: +0,1.863,12
8,Jan 19 2018 01: +0,1.784,16
9,Jan 20 2018 01: +0,1.804,14
10,Jan 21 2018 01: +0,1.831,10
11,Jan 22 2018 01: +0,1.695,5
12,Jan 23 2018 01: +0,1.793,8
13,Jan 24 2018 01: +0,1.795,7
14,Jan 25 2018 01: +0,1.713,8
15,Jan 26 2018 01: +0,1.645,14
16,Jan 27 2018 01: +0,1.781,14
17,Jan 28 2018 01: +0,1.811,8
18,Jan 29 2018 01: +0,1.688,5
19,Jan 30 2018 01: +0,1.718,6
20,Jan 31 2018 01: +0,1.891,6
21,Feb 01 2018 01: +0,1.868,6
22,Feb 02 2018 01: +0,1.928,7
23,Feb 03 2018 01: +0,1.696,8
24,Feb 04 2018 01: +0,1.702,9
25,Feb 05 2018 01: +0,1.936,5
26,Feb 06 2018 01: +0,1.726,7
27,Feb 07 2018 01: +0,1.932,1
28,Feb 08 2018 01: +0,1.751,8
29,Feb 09 2018 01: +0,1.83,6
30,Feb 10 2018 01: +0,1.871,6
31,Feb 11 2018 01: +0,2.011,7
32,Feb 12 2018 01: +0,1.898,4
33,Feb 13 2018 01: +0,1.813,5
34,Feb 14 2018 01: +0,2.025,2
35,Feb 15 2018 01: +0,2.003,7
36,Feb 16 2018 01: +0,1.642,8
37,Feb 17 2018 01: +0,1.82,9
38,Feb 18 2018 01: +0,1.814,11
39,Feb 19 2018 01: +0,1.759,5
40,Feb 20 2018 01: +0,1.62,3
41,Feb 21 2018 01: +0,1.869,6
42,Feb 22 2018 01: +0,1.71,4
43,Feb 23 2018 01: +0,1.659,4
44,Feb 24 2018 01: +0,1.625,3
45,Feb 25 2018 01: +0,1.729,6
46,Feb 26 2018 01: +0,1.735,8
47,Feb 27 2018 01: +0,1.598,2
48,Feb 28 2018 01: +0,1.588,5
49,Mar 01 2018 01: +0,1.581,5
50,Mar 02 2018 01: +0,1.566,11
51,Mar 03 2018 01: +0,1.432,6
52,Mar 04 2018 01: +0,1.647,3
53,Mar 05 2018 01: +0,1.687,7
54,Mar 06 2018 01: +0,1.661,12
55,Mar 07 2018 01: +0,1.782,3
56,Mar 08 2018 01: +0,1.802,4
57,Mar 09 2018 01: +0,1.756,5
58,Mar 10 2018 01: +0,1.71,2
59,Mar 11 2018 01: +0,1.452,5
60,Mar 12 2018 01: +0,1.45,6
61,Mar 13 2018 01: +0,1.56,2
62,Mar 14 2018 01: +0,1.505,6
63,Mar 15 2018 01: +0,1.487,3
64,Mar 16 2018 01: +0,1.585,6
65,Mar 17 2018 01: +0,1.645,10
66,Mar 18 2018 01: +0,1.548,12
67,Mar 19 2018 01: +0,1.56,4
68,Mar 20 2018 01: +0,1.718,2
69,Mar 21 2018 01: +0,1.642,8
70,Mar 22 2018 01: +0,1.479,3
71,Mar 23 2018 01: +0,1.408,3
72,Mar 24 2018 01: +0,1.504,4
73,Mar 25 2018 01: +0,1.517,6
74,Mar 26 2018 01: +0,1.69,1
75,Mar 27 2018 01: +0,1.55,2
76,Mar 28 2018 01: +0,1.374,2
77,Mar 29 2018 01: +0,1.394,3
78,Mar 30 2018 01: +0,1.348,5
79,Mar 31 2018 01: +0,1.415,6
80,Apr 01 2018 01: +0,1.493,6
81,Apr 02 2018 01: +0,1.576,7
82,Apr 03 2018 01: +0,1.719,3
83,Apr 04 2018 01: +0,1.711,4
84,Apr 05 2018 01: +0,1.438,3
85,Apr 06 2018 01: +0,1.511,4
86,Apr 07 2018 01: +0,1.6,8
87,Apr 08 2018 01: +0,1.454,9
88,Apr 09 2018 01: +0,1.456,3
89,Apr 10 2018 01: +0,1.454,5
90,Apr 11 2018 01: +0,1.422,4
91,Apr 12 2018 01: +0,1.507,6
92,Apr 13 2018 01: +0,1.519,11
93,Apr 14 2018 01: +0,1.5,3
94,Apr 15 2018 01: +0,1.458,6
95,Apr 16 2018 01: +0,1.602,3
96,Apr 17 2018 01: +0,1.562,4
97,Apr 18 2018 01: +0,1.552,7
98,Apr 19 2018 01: +0,1.481,2
99,Apr 20 2018 01: +0,1.445,5
100,Apr 21 2018 01: +0,1.493,4
101,Apr 22 2018 01: +0,1.455,3
102,Apr 23 2018 01: +0,1.383,5
103,Apr 24 2018 01: +0,1.451,14
104,Apr 25 2018 01: +0,1.107,2
105,Apr 26 2018 01: +0,1.552,5
106,Apr 27 2018 01: +0,1.561,3
107,Apr 28 2018 01: +0,1.517,5
108,Apr 29 2018 01: +0,1.257,3
109,Apr 30 2018 01: +0,1.139,1
110,May 01 2018 01: +0,1.463,3
111,May 02 2018 01: +0,1.315,9
112,May 03 2018 01: +0,1.627,4
113,May 04 2018 01: +0,1.479,3
114,May 05 2018 01: +0,1.445,6
115,May 06 2018 01: +0,1.478,6
116,May 07 2018 01: +0,1.509,4
117,May 08 2018 01: +0,1.43,4
118,May 09 2018 01: +0,1.533,7
119,May 11 2018 01: +0,1.689,1
120,May 12 2018 01: +0,1.676,5
121,May 13 2018 01: +0,1.436,5
122,May 14 2018 01: +0,1.673,5
123,May 15 2018 01: +0,1.72,1
124,May 16 2018 01: +0,1.7,3
125,May 17 2018 01: +0,1.705,4
126,May 18 2018 01: +0,1.591,3
127,May 19 2018 01: +0,1.601,5
128,May 20 2018 01: +0,1.737,2
129,May 21 2018 01: +0,1.791,2
130,May 22 2018 01: +0,1.438,3
131,May 23 2018 01: +0,1.394,5
132,May 24 2018 01: +0,1.59,2
133,May 25 2018 01: +0,1.56,3
134,May 26 2018 01: +0,1.71,2
135,May 27 2018 01: +0,1.16,2
136,May 28 2018 01: +0,1.56,3
137,May 29 2018 01: +0,1.436,4
138,May 30 2018 01: +0,1.611,2
139,May 31 2018 01: +0,1.653,3
140,Jun 01 2018 01: +0,1.506,5
141,Jun 02 2018 01: +0,1.449,7
142,Jun 03 2018 01: +0,1.68,3
143,Jun 05 2018 01: +0,1.454,3
144,Jun 07 2018 01: +0,1.53,3
145,Jun 08 2018 01: +0,1.691,5
146,Jun 09 2018 01: +0,1.745,4
147,Jun 10 2018 01: +0,1.691,5
148,Jun 11 2018 01: +0,1.397,1
149,Jun 12 2018 01: +0,1.533,9
150,Jun 13 2018 01: +0,1.775,1
151,Jun 14 2018 01: +0,1.817,5
152,Jun 15 2018 01: +0,1.596,3
153,Jun 16 2018 01: +0,1.556,6
154,Jun 17 2018 01: +0,1.571,4
155,Jun 18 2018 01: +0,1.713,7
156,Jun 19 2018 01: +0,1.724,1
157,Jun 20 2018 01: +0,1.745,3
158,Jun 21 2018 01: +0,1.406,5
159,Jun 22 2018 01: +0,1.354,6
160,Jun 23 2018 01: +0,1.288,6
161,Jun 24 2018 01: +0,1.282,4
162,Jun 25 2018 01: +0,1.464,8
163,Jun 26 2018 01: +0,1.596,7
164,Jun 27 2018 01: +0,1.553,4
165,Jun 28 2018 01: +0,1.69,1
166,Jun 29 2018 01: +0,1.63,5
167,Jun 30 2018 01: +0,1.675,5
168,Jul 01 2018 01: +0,1.631,3
169,Jul 02 2018 01: +0,1.728,6
170,Jul 03 2018 01: +0,1.765,2
171,Jul 04 2018 01: +0,1.886,7
172,Jul 05 2018 01: +0,2.128,6
173,Jul 06 2018 01: +0,1.796,5
174,Jul 07 2018 01: +0,1.97,3
175,Jul 08 2018 01: +0,2.051,8
176,Jul 09 2018 01: +0,2.134,5
177,Jul 10 2018 01: +0,2.273,3
178,Jul 11 2018 01: +0,1.61,1
179,Jul 12 2018 01: +0,1.75,5
180,Jul 13 2018 01: +0,1.909,4
181,Jul 14 2018 01: +0,2.072,5
182,Jul 15 2018 01: +0,2.155,2
183,Jul 17 2018 01: +0,2.122,2
184,Jul 18 2018 01: +0,2.093,5
185,Jul 19 2018 01: +0,1.622,1
186,Jul 20 2018 01: +0,2.165,5
187,Jul 21 2018 01: +0,2.52,4
188,Jul 22 2018 01: +0,1.763,1
189,Jul 23 2018 01: +0,2.022,3
190,Jul 24 2018 01: +0,1.59,2
191,Jul 25 2018 01: +0,2.186,3
192,Jul 27 2018 01: +0,2.58,1
193,Jul 28 2018 01: +0,2.18,3
194,Jul 29 2018 01: +0,1.872,3
195,Jul 30 2018 01: +0,1.997,4
196,Jul 31 2018 01: +0,1.95,1
197,Aug 01 2018 01: +0,1.898,5
198,Aug 02 2018 01: +0,1.821,4
199,Aug 03 2018 01: +0,1.826,5
200,Aug 04 2018 01: +0,2.032,4
201,Aug 05 2018 01: +0,1.996,6
202,Aug 06 2018 01: +0,2.34,1
203,Aug 07 2018 01: +0,2.166,2
204,Aug 08 2018 01: +0,2.09,3
205,Aug 09 2018 01: +0,1.85,1
206,Aug 10 2018 01: +0,1.985,5
207,Aug 11 2018 01: +0,1.656,4
208,Aug 12 2018 01: +0,1.987,3
209,Aug 13 2018 01: +0,2.323,3
210,Aug 14 2018 01: +0,2.384,2
211,Aug 15 2018 01: +0,1.821,2
212,Aug 16 2018 01: +0,2.005,3
213,Aug 17 2018 01: +0,2.144,2
214,Aug 18 2018 01: +0,2.153,2
215,Aug 20 2018 01: +0,2.315,2
216,Aug 21 2018 01: +0,1.98,2
217,Aug 22 2018 01: +0,2.093,2
218,Aug 23 2018 01: +0,2.284,1
219,Aug 24 2018 01: +0,2.283,3
220,Aug 25 2018 01: +0,2.435,2
221,Aug 26 2018 01: +0,1.835,4
222,Aug 27 2018 01: +0,2.438,2
223,Aug 29 2018 01: +0,2.343,1
224,Aug 30 2018 01: +0,2.059,2
225,Aug 31 2018 01: +0,1.458,3
226,Sep 01 2018 01: +0,2.064,2
227,Sep 02 2018 01: +0,1.535,4
228,Sep 03 2018 01: +0,2.26,1
229,Sep 05 2018 01: +0,1.966,4
230,Sep 06 2018 01: +0,1.979,3
231,Sep 07 2018 01: +0,2.343,1
232,Sep 08 2018 01: +0,2.34,1
233,Sep 09 2018 01: +0,1.934,4
234,Sep 10 2018 01: +0,2.214,3
235,Sep 12 2018 01: +0,1.43,1
236,Sep 13 2018 01: +0,1.914,3
237,Sep 14 2018 01: +0,2.01,2
238,Sep 15 2018 01: +0,1.757,3
239,Sep 16 2018 01: +0,2.1,1
240,Sep 17 2018 01: +0,1.913,2
241,Sep 18 2018 01: +0,2.122,1
242,Sep 21 2018 01: +0,2.011,2
243,Sep 22 2018 01: +0,1.95,1
244,Sep 23 2018 01: +0,1.84,3
245,Sep 24 2018 01: +0,1.803,3
246,Sep 25 2018 01: +0,1.711,2
247,Sep 26 2018 01: +0,2.002,3
248,Sep 27 2018 01: +0,1.653,3
249,Sep 28 2018 01: +0,1.624,3
250,Sep 29 2018 01: +0,1.63,2
251,Sep 30 2018 01: +0,2.036,1
252,Oct 01 2018 01: +0,1.785,3
253,Oct 02 2018 01: +0,1.648,3
254,Oct 03 2018 01: +0,1.646,3
255,Oct 04 2018 01: +0,1.809,1
256,Oct 05 2018 01: +0,1.47,3
257,Oct 06 2018 01: +0,2.06,4
258,Oct 07 2018 01: +0,2.039,1
259,Oct 08 2018 01: +0,1.731,2
260,Oct 09 2018 01: +0,1.728,3
261,Oct 10 2018 01: +0,1.855,5
262,Oct 11 2018 01: +0,1.21,1
263,Oct 12 2018 01: +0,1.708,5
264,Oct 13 2018 01: +0,1.89,1
265,Oct 14 2018 01: +0,1.81,1
266,Oct 15 2018 01: +0,1.813,1
267,Oct 16 2018 01: +0,1.827,4
268,Oct 17 2018 01: +0,1.866,2
269,Oct 18 2018 01: +0,1.88,2
270,Oct 19 2018 01: +0,1.88,1
271,Oct 20 2018 01: +0,1.969,7
272,Oct 21 2018 01: +0,1.785,2
273,Oct 22 2018 01: +0,2.007,3
274,Oct 23 2018 01: +0,2.06,3
275,Oct 24 2018 01: +0,1.585,1
276,Oct 25 2018 01: +0,1.72,1
277,Oct 26 2018 01: +0,1.839,4
278,Oct 27 2018 01: +0,1.758,4
279,Oct 28 2018 01: +0,1.866,1
280,Oct 29 2018 01: +0,1.556,7
281,Oct 31 2018 01: +0,1.484,4
282,Nov 01 2018 01: +0,1.6,17
283,Nov 02 2018 01: +0,1.782,9
284,Nov 03 2018 01: +0,2.191,5
285,Nov 04 2018 01: +0,1.826,2
286,Nov 05 2018 01: +0,2.182,3
287,Nov 06 2018 01: +0,2.185,1
288,Nov 07 2018 01: +0,1.98,4
289,Nov 08 2018 01: +0,2.126,6
290,Nov 10 2018 01: +0,1.945,5
291,Nov 11 2018 01: +0,2.13,8
292,Nov 13 2018 01: +0,2.081,1
293,Nov 14 2018 01: +0,2.017,2
294,Nov 15 2018 01: +0,2.245,2
295,Nov 16 2018 01: +0,2.259,2
296,Nov 17 2018 01: +0,1.879,3
297,Nov 18 2018 01: +0,2.13,1
298,Nov 19 2018 01: +0,2.186,2
299,Nov 21 2018 01: +0,2.18,1
300,Nov 22 2018 01: +0,2.18,1
301,Nov 23 2018 01: +0,2.182,3
302,Nov 24 2018 01: +0,2.145,2
303,Nov 25 2018 01: +0,2.195,5
304,Nov 26 2018 01: +0,2.271,4
305,Nov 27 2018 01: +0,2.033,3
306,Nov 28 2018 01: +0,2.355,4
307,Nov 30 2018 01: +0,2.5,1
308,Dec 01 2018 01: +0,2.46,1
309,Dec 02 2018 01: +0,1.985,2
310,Dec 04 2018 01: +0,2.335,2
311,Dec 05 2018 01: +0,1.69,1
312,Dec 07 2018 01: +0,2.207,2
313,Dec 09 2018 01: +0,2.159,2
314,Dec 10 2018 01: +0,2.229,4
315,Dec 12 2018 01: +0,2.208,1
316,Dec 13 2018 01: +0,2.218,2
317,Dec 14 2018 01: +0,2.137,2
318,Dec 15 2018 01: +0,2.033,3
319,Dec 16 2018 01: +0,2.015,5
320,Dec 17 2018 01: +0,2.237,3
321,Dec 18 2018 01: +0,2.26,1
322,Dec 19 2018 01: +0,2.23,1
323,Dec 20 2018 01: +0,2.044,4
324,Dec 21 2018 01: +0,2.279,3
325,Dec 22 2018 01: +0,1.911,4
326,Dec 23 2018 01: +0,2.319,2
327,Dec 24 2018 01: +0,1.793,2
328,Dec 25 2018 01: +0,2.281,7
329,Dec 26 2018 01: +0,2.917,9
330,Dec 27 2018 01: +0,3.432,5
331,Dec 28 2018 01: +0,4.79,1
332,Dec 29 2018 01: +0,3.734,4
333,Dec 31 2018 01: +0,4.307,1
334,Jan 01 2019 01: +0,4.0,1
335,Jan 02 2019 01: +0,3.355,2
336,Jan 03 2019 01: +0,2.946,4
337,Jan 04 2019 01: +0,2.5,3
338,Jan 05 2019 01: +0,3.233,4
339,Jan 06 2019 01: +0,3.06,1
340,Jan 07 2019 01: +0,2.508,1
341,Jan 08 2019 01: +0,3.055,3
342,Jan 09 2019 01: +0,3.228,2
343,Jan 10 2019 01: +0,3.054,4
344,Jan 11 2019 01: +0,3.138,2
345,Jan 12 2019 01: +0,2.924,4
346,Jan 13 2019 01: +0,2.437,4
347,Jan 14 2019 01: +0,3.105,2
348,Jan 15 2019 01: +0,3.22,2
349,Jan 16 2019 01: +0,3.02,3
350,Jan 18 2019 01: +0,2.1,3
351,Jan 20 2019 01: +0,2.527,3
352,Jan 21 2019 01: +0,2.549,2
353,Jan 22 2019 01: +0,2.464,2
354,Jan 23 2019 01: +0,2.69,3
355,Jan 24 2019 01: +0,2.111,1
356,Jan 25 2019 01: +0,2.945,4
357,Jan 27 2019 01: +0,2.825,2
358,Jan 28 2019 01: +0,2.877,1
359,Jan 29 2019 01: +0,2.594,2
360,Jan 30 2019 01: +0,2.581,4
361,Feb 01 2019 01: +0,2.652,5
362,Feb 03 2019 01: +0,2.37,1
363,Feb 05 2019 01: +0,2.185,2
364,Feb 06 2019 01: +0,2.58,1
365,Feb 07 2019 01: +0,2.44,1
366,Feb 08 2019 01: +0,2.46,1
367,Feb 09 2019 01: +0,2.338,7
368,Feb 10 2019 01: +0,2.482,2
369,Feb 11 2019 01: +0,2.26,1
370,Feb 12 2019 01: +0,1.955,1
371,Feb 13 2019 01: +0,2.205,3
372,Feb 14 2019 01: +0,2.222,2
373,Feb 15 2019 01: +0,2.23,2
374,Feb 16 2019 01: +0,2.232,3
375,Feb 17 2019 01: +0,2.198,2
376,Feb 18 2019 01: +0,2.232,1
377,Feb 19 2019 01: +0,2.099,5
378,Feb 20 2019 01: +0,2.3,1
379,Feb 21 2019 01: +0,2.283,1
380,Feb 22 2019 01: +0,2.2,1
381,Feb 23 2019 01: +0,2.111,6
382,Feb 24 2019 01: +0,2.3,1
383,Feb 25 2019 01: +0,2.32,1
384,Feb 26 2019 01: +0,1.987,2
385,Feb 27 2019 01: +0,2.401,1
386,Feb 28 2019 01: +0,2.479,2
387,Mar 02 2019 01: +0,2.385,2
388,Mar 03 2019 01: +0,1.999,2
389,Mar 05 2019 01: +0,2.016,3
390,Mar 06 2019 01: +0,1.965,2
391,Mar 07 2019 01: +0,1.927,2
392,Mar 09 2019 01: +0,2.081,2
393,Mar 10 2019 01: +0,2.138,3
394,Mar 11 2019 01: +0,2.236,2
395,Mar 12 2019 01: +0,1.925,3
396,Mar 13 2019 01: +0,2.204,2
397,Mar 14 2019 01: +0,2.2,2
398,Mar 15 2019 01: +0,2.18,2
399,Mar 16 2019 01: +0,1.875,4
400,Mar 17 2019 01: +0,1.61,1
401,Mar 18 2019 01: +0,1.985,3
402,Mar 19 2019 01: +0,1.95,2
403,Mar 20 2019 01: +0,1.929,1
404,Mar 21 2019 01: +0,1.943,2
405,Mar 22 2019 01: +0,1.994,2
406,Mar 23 2019 01: +0,1.812,4
407,Mar 24 2019 01: +0,2.065,1
408,Mar 25 2019 01: +0,2.09,2
409,Mar 26 2019 01: +0,1.676,2
410,Mar 27 2019 01: +0,1.815,4
411,Mar 28 2019 01: +0,1.966,4
412,Mar 29 2019 01: +0,1.907,1
413,Mar 30 2019 01: +0,1.977,2
414,Mar 31 2019 01: +0,1.93,1
415,Apr 01 2019 01: +0,1.375,3
416,Apr 02 2019 01: +0,1.843,3
417,Apr 03 2019 01: +0,1.492,2
418,Apr 05 2019 01: +0,1.896,2
419,Apr 06 2019 01: +0,1.855,3
420,Apr 07 2019 01: +0,1.937,3
421,Apr 08 2019 01: +0,1.465,2
422,Apr 09 2019 01: +0,1.661,3
423,Apr 10 2019 01: +0,1.895,3
424,Apr 11 2019 01: +0,1.914,2
425,Apr 12 2019 01: +0,1.848,1
426,Apr 13 2019 01: +0,1.965,2
427,Apr 14 2019 01: +0,1.757,2
428,Apr 15 2019 01: +0,1.324,2
429,Apr 16 2019 01: +0,1.53,1
430,Apr 17 2019 01: +0,1.91,2
431,Apr 18 2019 01: +0,1.818,1
432,Apr 19 2019 01: +0,1.983,6
433,Apr 20 2019 01: +0,2.037,4
434,Apr 21 2019 01: +0,1.92,4
435,Apr 23 2019 01: +0,1.91,1
436,Apr 24 2019 01: +0,1.909,2
437,Apr 25 2019 01: +0,1.78,3
438,Apr 29 2019 01: +0,1.914,3
439,Apr 30 2019 01: +0,1.93,1
440,May 01 2019 01: +0,2.075,2
441,May 02 2019 01: +0,2.1,1
442,May 03 2019 01: +0,1.951,3
443,May 04 2019 01: +0,1.5,1
444,May 05 2019 01: +0,1.875,2
445,May 06 2019 01: +0,1.595,1
446,May 07 2019 01: +0,1.669,1
447,May 09 2019 01: +0,2.127,1
448,May 11 2019 01: +0,1.625,2
449,May 12 2019 01: +0,1.595,4
450,May 13 2019 01: +0,0.912,1
451,May 14 2019 01: +0,1.67,1
452,May 16 2019 01: +0,1.733,2
453,May 17 2019 01: +0,1.727,2
454,May 18 2019 01: +0,1.496,1
455,May 19 2019 01: +0,1.722,4
456,May 20 2019 01: +0,1.553,3
457,May 21 2019 01: +0,1.621,4
458,May 23 2019 01: +0,1.732,1
459,May 24 2019 01: +0,1.755,2
460,May 25 2019 01: +0,1.809,1
461,May 26 2019 01: +0,1.476,1
462,May 27 2019 01: +0,1.75,1
463,May 29 2019 01: +0,1.756,1
464,May 30 2019 01: +0,1.767,2
465,May 31 2019 01: +0,1.594,4
466,Jun 01 2019 01: +0,1.599,3
467,Jun 02 2019 01: +0,1.539,2
468,Jun 05 2019 01: +0,1.88,1
469,Jun 06 2019 01: +0,1.675,2
470,Jun 08 2019 01: +0,2.07,3
471,Jun 09 2019 01: +0,2.085,5
472,Jun 11 2019 01: +0,2.046,1
473,Jun 12 2019 01: +0,2.086,1
474,Jun 13 2019 01: +0,2.091,1
475,Jun 14 2019 01: +0,1.863,3
476,Jun 15 2019 01: +0,2.077,2
477,Jun 16 2019 01: +0,2.08,1
478,Jun 17 2019 01: +0,1.67,3
479,Jun 18 2019 01: +0,2.103,4
480,Jun 19 2019 01: +0,2.18,1
481,Jun 20 2019 01: +0,2.04,1
482,Jun 21 2019 01: +0,1.771,1
483,Jun 22 2019 01: +0,2.146,1
484,Jun 24 2019 01: +0,1.879,4
485,Jun 25 2019 01: +0,2.053,2
486,Jun 26 2019 01: +0,2.19,1
487,Jun 27 2019 01: +0,1.678,3
488,Jun 28 2019 01: +0,2.34,1
489,Jun 29 2019 01: +0,1.898,3
490,Jun 30 2019 01: +0,2.36,1
491,Jul 01 2019 01: +0,1.893,2
492,Jul 02 2019 01: +0,1.538,3
493,Jul 03 2019 01: +0,1.769,3
494,Jul 04 2019 01: +0,1.484,2
495,Jul 05 2019 01: +0,1.985,1
496,Jul 07 2019 01: +0,1.727,2
497,Jul 12 2019 01: +0,2.013,1
498,Jul 13 2019 01: +0,1.888,3
499,Jul 14 2019 01: +0,2.037,3
500,Jul 15 2019 01: +0,1.99,2
501,Jul 16 2019 01: +0,2.25,1
502,Jul 18 2019 01: +0,1.805,2
503,Jul 21 2019 01: +0,1.538,1
504,Jul 22 2019 01: +0,2.059,1
505,Jul 24 2019 01: +0,2.15,1
506,Jul 25 2019 01: +0,1.939,1
507,Jul 26 2019 01: +0,2.208,3
508,Jul 27 2019 01: +0,2.21,1
509,Jul 30 2019 01: +0,2.073,2
510,Jul 31 2019 01: +0,1.699,3
511,Aug 01 2019 01: +0,1.774,3
512,Aug 02 2019 01: +0,1.938,2
513,Aug 03 2019 01: +0,1.55,1
514,Aug 04 2019 01: +0,1.939,1
515,Aug 05 2019 01: +0,1.645,2
516,Aug 06 2019 01: +0,2.137,3
517,Aug 07 2019 01: +0,1.585,1
518,Aug 08 2019 01: +0,1.374,2
519,Aug 09 2019 01: +0,2.056,4
520,Aug 11 2019 01: +0,2.07,1
521,Aug 12 2019 01: +0,1.833,2
522,Aug 13 2019 01: +0,2.07,1
523,Aug 14 2019 01: +0,2.086,3
524,Aug 15 2019 01: +0,2.077,1
525,Aug 16 2019 01: +0,2.047,3
526,Aug 17 2019 01: +0,1.944,4
527,Aug 18 2019 01: +0,1.814,2
528,Aug 20 2019 01: +0,1.722,3
529,Aug 23 2019 01: +0,2.085,2
530,Aug 25 2019 01: +0,2.08,1
531,Aug 26 2019 01: +0,2.09,1
532,Aug 28 2019 01: +0,1.48,2
533,Aug 29 2019 01: +0,1.755,4
534,Aug 30 2019 01: +0,1.995,2
535,Aug 31 2019 01: +0,1.489,1
536,Sep 02 2019 01: +0,1.773,3
537,Sep 04 2019 01: +0,1.827,1
538,Sep 06 2019 01: +0,1.84,1
539,Sep 07 2019 01: +0,1.403,1
540,Sep 08 2019 01: +0,1.815,2
541,Sep 09 2019 01: +0,1.828,1
542,Sep 12 2019 01: +0,1.428,1
543,Sep 13 2019 01: +0,1.761,1
544,Sep 15 2019 01: +0,1.04,1
545,Sep 18 2019 01: +0,1.382,2
546,Sep 20 2019 01: +0,1.411,7
547,Sep 22 2019 01: +0,1.541,1
548,Sep 23 2019 01: +0,1.319,2
549,Sep 24 2019 01: +0,1.583,1
550,Sep 25 2019 01: +0,1.647,2
551,Sep 26 2019 01: +0,1.714,2
552,Sep 27 2019 01: +0,1.719,2
553,Sep 28 2019 01: +0,1.283,3
554,Sep 29 2019 01: +0,1.359,1
555,Sep 30 2019 01: +0,1.73,2
556,Oct 01 2019 01: +0,1.52,2
557,Oct 05 2019 01: +0,1.52,1
558,Oct 06 2019 01: +0,1.284,2
559,Oct 07 2019 01: +0,1.543,5
560,Oct 08 2019 01: +0,1.15,1
561,Oct 10 2019 01: +0,1.567,1
562,Oct 12 2019 01: +0,1.482,2
563,Oct 14 2019 01: +0,1.527,3
