,time,price,volume
0,Feb 15 2018 01: +0,1.597,1
1,Feb 16 2018 01: +0,1.603,15
2,Feb 17 2018 01: +0,1.687,19
3,Feb 18 2018 01: +0,2.086,16
4,Feb 19 2018 01: +0,1.639,7
5,Feb 20 2018 01: +0,1.608,8
6,Feb 21 2018 01: +0,1.519,8
7,Feb 22 2018 01: +0,1.601,18
8,Feb 23 2018 01: +0,1.551,11
9,Feb 24 2018 01: +0,1.724,16
10,Feb 25 2018 01: +0,1.797,3
11,Feb 26 2018 01: +0,1.827,6
12,Feb 27 2018 01: +0,1.853,6
13,Feb 28 2018 01: +0,1.798,3
14,Mar 01 2018 01: +0,1.624,12
15,Mar 02 2018 01: +0,1.683,11
16,Mar 03 2018 01: +0,1.811,30
17,Mar 04 2018 01: +0,1.803,7
18,Mar 05 2018 01: +0,1.817,7
19,Mar 06 2018 01: +0,1.813,4
20,Mar 07 2018 01: +0,1.951,9
21,Mar 08 2018 01: +0,1.864,6
22,Mar 09 2018 01: +0,1.651,9
23,Mar 10 2018 01: +0,1.735,7
24,Mar 11 2018 01: +0,1.597,12
25,Mar 12 2018 01: +0,1.61,9
26,Mar 13 2018 01: +0,1.687,3
27,Mar 14 2018 01: +0,1.272,1
28,Mar 15 2018 01: +0,1.528,8
29,Mar 16 2018 01: +0,1.588,9
30,Mar 17 2018 01: +0,1.566,8
31,Mar 18 2018 01: +0,1.589,9
32,Mar 19 2018 01: +0,1.619,6
33,Mar 20 2018 01: +0,1.614,5
34,Mar 21 2018 01: +0,1.592,8
35,Mar 22 2018 01: +0,1.581,6
36,Mar 23 2018 01: +0,1.616,5
37,Mar 24 2018 01: +0,1.573,6
38,Mar 25 2018 01: +0,1.564,4
39,Mar 26 2018 01: +0,1.589,3
40,Mar 27 2018 01: +0,1.425,4
41,Mar 28 2018 01: +0,1.491,5
42,Mar 29 2018 01: +0,1.574,9
43,Mar 30 2018 01: +0,1.56,6
44,Mar 31 2018 01: +0,1.447,6
45,Apr 01 2018 01: +0,1.593,9
46,Apr 02 2018 01: +0,1.581,5
47,Apr 03 2018 01: +0,1.569,9
48,Apr 04 2018 01: +0,1.561,9
49,Apr 05 2018 01: +0,1.706,8
