,time,price,volume
0,May 04 2017 01: +0,2.16,1
1,May 05 2017 01: +0,1.788,8
2,May 06 2017 01: +0,1.965,11
3,May 07 2017 01: +0,1.978,12
4,May 08 2017 01: +0,2.14,6
5,May 09 2017 01: +0,2.14,4
6,May 10 2017 01: +0,2.09,4
7,May 11 2017 01: +0,1.9,9
8,May 12 2017 01: +0,1.973,7
9,May 13 2017 01: +0,2.053,7
10,May 14 2017 01: +0,1.77,10
11,May 15 2017 01: +0,2.037,8
12,May 16 2017 01: +0,2.143,5
13,May 17 2017 01: +0,1.987,5
14,May 18 2017 01: +0,1.968,13
15,May 19 2017 01: +0,1.995,5
16,May 20 2017 01: +0,1.947,15
17,May 21 2017 01: +0,2.028,11
18,May 22 2017 01: +0,2.038,8
19,May 23 2017 01: +0,2.001,9
20,May 24 2017 01: +0,1.643,6
21,May 25 2017 01: +0,1.762,6
22,May 26 2017 01: +0,1.82,8
23,May 27 2017 01: +0,1.769,8
24,May 28 2017 01: +0,1.985,7
25,May 29 2017 01: +0,2.082,6
26,May 30 2017 01: +0,1.805,5
27,May 31 2017 01: +0,1.664,6
28,Jun 01 2017 01: +0,1.674,9
29,Jun 02 2017 01: +0,1.694,6
30,Jun 03 2017 01: +0,1.752,14
31,Jun 04 2017 01: +0,1.644,8
32,Jun 05 2017 01: +0,1.967,5
33,Jun 06 2017 01: +0,2.028,11
34,Jun 07 2017 01: +0,2.142,3
35,Jun 08 2017 01: +0,2.163,3
36,Jun 09 2017 01: +0,2.126,5
37,Jun 10 2017 01: +0,2.112,14
38,Jun 11 2017 01: +0,2.009,7
39,Jun 12 2017 01: +0,1.962,8
40,Jun 13 2017 01: +0,2.039,8
41,Jun 14 2017 01: +0,2.074,7
42,Jun 15 2017 01: +0,1.861,9
43,Jun 16 2017 01: +0,1.839,8
44,Jun 17 2017 01: +0,1.912,4
45,Jun 18 2017 01: +0,2.135,2
46,Jun 19 2017 01: +0,2.17,3
47,Jun 20 2017 01: +0,2.247,2
48,Jun 21 2017 01: +0,1.763,3
49,Jun 22 2017 01: +0,1.706,7
50,Jun 23 2017 01: +0,1.948,9
51,Jun 24 2017 01: +0,2.039,4
52,Jun 25 2017 01: +0,1.74,8
53,Jun 26 2017 01: +0,1.706,3
54,Jun 27 2017 01: +0,2.07,1
55,Jun 28 2017 01: +0,2.0,1
56,Jun 29 2017 01: +0,1.823,8
57,Jun 30 2017 01: +0,1.758,6
58,Jul 01 2017 01: +0,1.821,5
59,Jul 02 2017 01: +0,2.037,5
60,Jul 03 2017 01: +0,1.766,4
61,Jul 04 2017 01: +0,1.768,3
62,Jul 05 2017 01: +0,1.996,3
63,Jul 06 2017 01: +0,1.964,5
64,Jul 07 2017 01: +0,2.082,3
65,Jul 08 2017 01: +0,2.062,5
66,Jul 09 2017 01: +0,2.083,6
67,Jul 10 2017 01: +0,2.07,4
68,Jul 11 2017 01: +0,2.138,3
69,Jul 12 2017 01: +0,2.198,5
70,Jul 13 2017 01: +0,2.149,2
71,Jul 14 2017 01: +0,1.98,7
72,Jul 15 2017 01: +0,2.198,3
73,Jul 16 2017 01: +0,2.131,4
74,Jul 17 2017 01: +0,2.006,2
75,Jul 18 2017 01: +0,2.135,2
76,Jul 19 2017 01: +0,2.094,3
77,Jul 20 2017 01: +0,2.086,2
78,Jul 21 2017 01: +0,2.104,6
79,Jul 23 2017 01: +0,1.804,4
80,Jul 24 2017 01: +0,1.927,3
81,Jul 25 2017 01: +0,1.739,6
82,Jul 26 2017 01: +0,1.981,2
83,Jul 27 2017 01: +0,1.851,3
84,Jul 28 2017 01: +0,2.038,3
85,Jul 29 2017 01: +0,2.255,1
86,Jul 30 2017 01: +0,2.226,4
87,Jul 31 2017 01: +0,2.265,2
88,Aug 01 2017 01: +0,1.973,3
89,Aug 02 2017 01: +0,1.912,5
90,Aug 03 2017 01: +0,1.998,4
91,Aug 04 2017 01: +0,1.503,1
92,Aug 05 2017 01: +0,2.008,2
93,Aug 06 2017 01: +0,1.761,3
94,Aug 07 2017 01: +0,2.045,1
95,Aug 08 2017 01: +0,2.048,2
96,Aug 09 2017 01: +0,2.056,3
97,Aug 10 2017 01: +0,2.016,2
98,Aug 11 2017 01: +0,1.829,3
99,Aug 12 2017 01: +0,1.583,4
100,Aug 13 2017 01: +0,1.99,5
101,Aug 15 2017 01: +0,1.677,2
102,Aug 16 2017 01: +0,1.69,3
103,Aug 17 2017 01: +0,1.681,3
104,Aug 18 2017 01: +0,1.8,1
105,Aug 19 2017 01: +0,1.664,2
106,Aug 20 2017 01: +0,1.841,5
107,Aug 21 2017 01: +0,1.768,2
108,Aug 22 2017 01: +0,1.746,2
109,Aug 23 2017 01: +0,1.72,4
110,Aug 24 2017 01: +0,1.531,3
111,Aug 25 2017 01: +0,1.331,3
112,Aug 26 2017 01: +0,1.646,5
113,Aug 27 2017 01: +0,1.77,1
114,Aug 28 2017 01: +0,1.91,1
115,Aug 29 2017 01: +0,1.551,4
116,Aug 31 2017 01: +0,1.479,7
117,Sep 01 2017 01: +0,1.54,3
118,Sep 02 2017 01: +0,1.401,5
119,Sep 03 2017 01: +0,1.879,1
120,Sep 04 2017 01: +0,1.887,3
121,Sep 06 2017 01: +0,1.538,4
122,Sep 07 2017 01: +0,1.364,3
123,Sep 08 2017 01: +0,1.544,6
124,Sep 09 2017 01: +0,1.784,3
125,Sep 10 2017 01: +0,1.869,2
126,Sep 14 2017 01: +0,1.755,2
127,Sep 15 2017 01: +0,1.709,1
128,Sep 16 2017 01: +0,1.64,1
129,Sep 17 2017 01: +0,1.605,1
130,Sep 18 2017 01: +0,1.581,1
131,Sep 19 2017 01: +0,1.063,1
132,Sep 20 2017 01: +0,1.376,1
133,Sep 21 2017 01: +0,1.425,2
134,Sep 22 2017 01: +0,1.355,3
135,Sep 23 2017 01: +0,1.49,2
136,Sep 24 2017 01: +0,1.292,4
137,Sep 25 2017 01: +0,1.264,2
138,Sep 26 2017 01: +0,1.45,1
139,Sep 27 2017 01: +0,1.45,1
140,Sep 28 2017 01: +0,1.02,3
141,Sep 29 2017 01: +0,1.351,5
142,Sep 30 2017 01: +0,1.115,3
143,Oct 01 2017 01: +0,1.581,4
144,Oct 02 2017 01: +0,1.365,3
145,Oct 03 2017 01: +0,1.429,3
146,Oct 04 2017 01: +0,1.63,2
