,time,price,volume
0,Jun 03 2018 01: +0,1.607,1
1,Jun 04 2018 01: +0,2.827,2
2,Jun 05 2018 01: +0,2.8,2
3,Jun 06 2018 01: +0,3.388,4
4,Jun 08 2018 01: +0,3.126,1
5,Jun 09 2018 01: +0,3.14,1
6,Jun 10 2018 01: +0,2.281,2
7,Jun 11 2018 01: +0,3.15,1
8,Jun 13 2018 01: +0,2.898,1
9,Jun 14 2018 01: +0,2.725,4
10,Jun 15 2018 01: +0,2.153,2
11,Jun 18 2018 01: +0,1.55,1
12,Jun 20 2018 01: +0,1.879,3
13,Jun 21 2018 01: +0,2.422,1
14,Jun 22 2018 01: +0,1.398,5
15,Jun 23 2018 01: +0,1.584,3
16,Jun 24 2018 01: +0,1.3,1
17,Jun 26 2018 01: +0,1.304,2
18,Jun 27 2018 01: +0,1.568,3
19,Jun 28 2018 01: +0,1.0,1
20,Jun 29 2018 01: +0,1.645,2
21,Jun 30 2018 01: +0,1.408,3
22,Jul 01 2018 01: +0,1.54,1
23,Jul 02 2018 01: +0,1.604,5
24,Jul 03 2018 01: +0,1.614,2
25,Jul 04 2018 01: +0,1.72,1
26,Jul 05 2018 01: +0,1.715,3
27,Jul 06 2018 01: +0,1.84,2
28,Jul 08 2018 01: +0,2.919,2
29,Jul 09 2018 01: +0,2.96,1
30,Jul 12 2018 01: +0,2.645,2
31,Jul 13 2018 01: +0,2.15,1
32,Jul 16 2018 01: +0,2.184,1
33,Jul 17 2018 01: +0,2.021,3
34,Jul 20 2018 01: +0,2.064,1
35,Jul 21 2018 01: +0,1.918,2
36,Jul 23 2018 01: +0,2.1,1
37,Jul 24 2018 01: +0,1.764,2
38,Jul 25 2018 01: +0,2.19,1
39,Jul 26 2018 01: +0,2.462,2
40,Jul 27 2018 01: +0,2.449,1
41,Jul 28 2018 01: +0,2.088,2
42,Jul 29 2018 01: +0,2.64,1
43,Jul 30 2018 01: +0,1.505,1
44,Aug 01 2018 01: +0,2.403,1
45,Aug 02 2018 01: +0,2.253,3
46,Aug 04 2018 01: +0,2.654,2
47,Aug 07 2018 01: +0,2.0,1
48,Aug 09 2018 01: +0,2.073,1
49,Aug 10 2018 01: +0,2.292,2
50,Aug 12 2018 01: +0,2.35,2
51,Aug 14 2018 01: +0,1.828,2
52,Aug 16 2018 01: +0,2.042,2
53,Aug 18 2018 01: +0,2.07,1
54,Aug 20 2018 01: +0,1.766,3
55,Aug 21 2018 01: +0,1.824,2
56,Aug 22 2018 01: +0,1.944,2
57,Aug 25 2018 01: +0,2.001,2
58,Aug 26 2018 01: +0,2.074,1
59,Aug 27 2018 01: +0,2.074,1
60,Aug 29 2018 01: +0,2.149,1
61,Sep 01 2018 01: +0,2.033,1
62,Sep 07 2018 01: +0,1.75,1
63,Sep 09 2018 01: +0,1.81,1
64,Sep 10 2018 01: +0,2.1,1
65,Sep 12 2018 01: +0,1.969,1
66,Sep 13 2018 01: +0,2.167,1
67,Sep 14 2018 01: +0,2.18,1
68,Sep 15 2018 01: +0,1.55,1
69,Sep 17 2018 01: +0,1.47,1
70,Sep 20 2018 01: +0,2.188,1
71,Sep 23 2018 01: +0,1.495,1
72,Sep 26 2018 01: +0,0.341,1
73,Sep 28 2018 01: +0,1.849,2
74,Sep 29 2018 01: +0,1.621,2
75,Oct 01 2018 01: +0,2.056,1
76,Oct 03 2018 01: +0,2.017,1
77,Oct 04 2018 01: +0,2.075,1
78,Oct 06 2018 01: +0,1.656,2
79,Oct 07 2018 01: +0,1.371,1
80,Oct 10 2018 01: +0,1.777,3
81,Oct 11 2018 01: +0,1.922,1
82,Oct 12 2018 01: +0,1.759,2
83,Oct 13 2018 01: +0,1.905,1
84,Oct 14 2018 01: +0,1.925,1
85,Oct 15 2018 01: +0,1.93,1
86,Oct 16 2018 01: +0,1.93,1
87,Oct 21 2018 01: +0,2.083,1
88,Oct 23 2018 01: +0,1.458,2
89,Oct 25 2018 01: +0,2.07,1
90,Oct 26 2018 01: +0,2.063,2
91,Oct 28 2018 01: +0,2.01,2
92,Oct 29 2018 01: +0,1.735,1
93,Nov 01 2018 01: +0,1.394,3
94,Nov 02 2018 01: +0,1.724,4
95,Nov 03 2018 01: +0,1.871,2
96,Nov 04 2018 01: +0,2.055,2
97,Nov 05 2018 01: +0,1.15,1
98,Nov 06 2018 01: +0,2.064,4
99,Nov 09 2018 01: +0,1.869,1
100,Nov 10 2018 01: +0,1.973,2
101,Nov 11 2018 01: +0,3.114,4
102,Nov 12 2018 01: +0,2.811,3
103,Nov 13 2018 01: +0,2.379,1
104,Nov 14 2018 01: +0,2.15,1
105,Nov 15 2018 01: +0,2.144,1
106,Nov 16 2018 01: +0,2.274,2
107,Nov 20 2018 01: +0,2.21,1
108,Nov 21 2018 01: +0,3.07,2
109,Nov 24 2018 01: +0,1.923,4
110,Nov 25 2018 01: +0,1.996,1
111,Nov 26 2018 01: +0,3.561,1
112,Dec 01 2018 01: +0,2.94,2
113,Dec 03 2018 01: +0,2.527,1
114,Dec 05 2018 01: +0,2.455,1
115,Dec 06 2018 01: +0,2.47,1
116,Dec 08 2018 01: +0,1.5,1
117,Dec 09 2018 01: +0,2.218,3
118,Dec 10 2018 01: +0,2.01,1
119,Dec 13 2018 01: +0,2.744,2
120,Dec 19 2018 01: +0,2.895,2
121,Dec 20 2018 01: +0,2.87,1
122,Dec 23 2018 01: +0,2.87,1
123,Dec 25 2018 01: +0,2.932,2
124,Dec 26 2018 01: +0,2.85,2
125,Dec 27 2018 01: +0,2.92,3
126,Dec 29 2018 01: +0,2.776,1
127,Dec 31 2018 01: +0,2.53,1
128,Jan 01 2019 01: +0,2.788,1
129,Jan 02 2019 01: +0,2.942,2
130,Jan 03 2019 01: +0,2.99,1
131,Jan 04 2019 01: +0,2.976,1
132,Jan 05 2019 01: +0,3.103,1
133,Jan 06 2019 01: +0,2.335,2
134,Jan 10 2019 01: +0,3.128,2
135,Jan 11 2019 01: +0,3.179,1
136,Jan 12 2019 01: +0,3.031,2
137,Jan 13 2019 01: +0,2.662,2
138,Jan 14 2019 01: +0,2.235,1
139,Jan 15 2019 01: +0,2.88,1
140,Jan 16 2019 01: +0,2.873,1
141,Jan 18 2019 01: +0,2.11,1
142,Jan 22 2019 01: +0,2.66,1
143,Jan 24 2019 01: +0,2.18,1
144,Jan 25 2019 01: +0,2.25,3
145,Jan 26 2019 01: +0,2.511,1
146,Jan 27 2019 01: +0,2.3,1
147,Jan 29 2019 01: +0,1.72,1
148,Jan 30 2019 01: +0,2.513,1
149,Jan 31 2019 01: +0,2.5,1
150,Feb 01 2019 01: +0,2.61,2
151,Feb 02 2019 01: +0,2.583,3
152,Feb 06 2019 01: +0,1.825,1
153,Feb 07 2019 01: +0,2.454,2
154,Feb 08 2019 01: +0,2.482,2
155,Feb 09 2019 01: +0,2.899,3
156,Feb 11 2019 01: +0,3.417,1
157,Feb 12 2019 01: +0,3.62,1
158,Feb 14 2019 01: +0,3.619,1
159,Feb 15 2019 01: +0,3.568,1
160,Feb 17 2019 01: +0,3.46,1
161,Feb 18 2019 01: +0,1.96,1
162,Feb 19 2019 01: +0,1.69,1
163,Feb 22 2019 01: +0,2.245,1
164,Feb 26 2019 01: +0,3.265,1
165,Feb 28 2019 01: +0,3.27,1
166,Mar 01 2019 01: +0,2.084,1
167,Mar 03 2019 01: +0,2.495,1
168,Mar 05 2019 01: +0,2.955,1
169,Mar 09 2019 01: +0,2.341,2
170,Mar 11 2019 01: +0,2.71,1
171,Mar 12 2019 01: +0,2.11,1
172,Mar 14 2019 01: +0,1.696,1
173,Mar 17 2019 01: +0,2.665,1
174,Mar 26 2019 01: +0,1.47,1
175,Mar 29 2019 01: +0,1.91,1
176,Apr 01 2019 01: +0,1.886,1
177,Apr 04 2019 01: +0,1.89,1
178,Apr 05 2019 01: +0,1.62,1
179,Apr 06 2019 01: +0,1.639,1
180,Apr 07 2019 01: +0,1.91,1
181,Apr 11 2019 01: +0,1.904,2
182,Apr 12 2019 01: +0,1.918,1
183,Apr 14 2019 01: +0,1.888,1
184,Apr 18 2019 01: +0,1.886,1
185,Apr 19 2019 01: +0,1.876,1
186,Apr 21 2019 01: +0,1.878,2
187,Apr 23 2019 01: +0,1.869,2
188,Apr 26 2019 01: +0,1.7,1
189,May 02 2019 01: +0,1.817,1
190,May 04 2019 01: +0,1.84,1
191,May 08 2019 01: +0,1.604,1
192,May 09 2019 01: +0,1.74,1
193,May 13 2019 01: +0,1.506,1
194,May 14 2019 01: +0,1.754,2
195,May 16 2019 01: +0,1.748,1
196,May 18 2019 01: +0,1.742,1
197,May 19 2019 01: +0,1.623,2
198,May 23 2019 01: +0,1.718,1
199,May 24 2019 01: +0,1.782,5
200,May 27 2019 01: +0,1.465,1
201,May 30 2019 01: +0,1.85,2
202,May 31 2019 01: +0,1.845,1
203,Jun 01 2019 01: +0,1.87,1
204,Jun 03 2019 01: +0,2.09,1
205,Jun 04 2019 01: +0,2.09,1
206,Jun 05 2019 01: +0,1.484,1
207,Jun 06 2019 01: +0,2.1,1
208,Jun 10 2019 01: +0,2.171,1
209,Jun 12 2019 01: +0,1.561,1
