,time,price,volume
0,Apr 26 2018 01: +0,3.105,2
1,Apr 27 2018 01: +0,2.004,2
2,Apr 28 2018 01: +0,1.95,4
3,Apr 29 2018 01: +0,1.601,2
4,Apr 30 2018 01: +0,1.87,4
5,May 01 2018 01: +0,1.894,1
6,May 02 2018 01: +0,1.77,1
7,May 03 2018 01: +0,1.76,9
8,May 04 2018 01: +0,1.486,2
9,May 05 2018 01: +0,1.506,4
10,May 06 2018 01: +0,1.592,4
11,May 07 2018 01: +0,1.578,4
12,May 10 2018 01: +0,1.647,4
13,May 11 2018 01: +0,1.662,5
14,May 12 2018 01: +0,1.616,4
15,May 13 2018 01: +0,1.888,1
16,May 14 2018 01: +0,1.712,3
17,May 15 2018 01: +0,1.914,3
18,May 16 2018 01: +0,1.99,1
19,May 17 2018 01: +0,1.727,3
20,May 18 2018 01: +0,2.11,2
21,May 19 2018 01: +0,2.045,1
22,May 20 2018 01: +0,1.555,3
23,May 21 2018 01: +0,2.013,4
24,May 22 2018 01: +0,2.36,1
25,May 23 2018 01: +0,1.662,2
26,May 24 2018 01: +0,1.643,1
27,May 25 2018 01: +0,1.729,3
28,May 26 2018 01: +0,1.97,1
29,May 27 2018 01: +0,2.028,4
30,May 28 2018 01: +0,1.747,1
31,May 29 2018 01: +0,2.08,1
32,May 30 2018 01: +0,2.094,1
33,Jun 01 2018 01: +0,1.713,1
34,Jun 02 2018 01: +0,1.903,3
35,Jun 03 2018 01: +0,1.75,1
36,Jun 04 2018 01: +0,1.529,2
37,Jun 05 2018 01: +0,1.608,3
38,Jun 06 2018 01: +0,1.95,4
39,Jun 07 2018 01: +0,2.127,5
40,Jun 08 2018 01: +0,1.722,3
41,Jun 09 2018 01: +0,1.752,2
42,Jun 10 2018 01: +0,2.3,2
43,Jun 11 2018 01: +0,1.982,5
44,Jun 12 2018 01: +0,2.119,1
45,Jun 13 2018 01: +0,2.081,3
46,Jun 15 2018 01: +0,1.958,3
47,Jun 16 2018 01: +0,1.891,4
48,Jun 18 2018 01: +0,1.53,3
49,Jun 19 2018 01: +0,2.015,2
50,Jun 20 2018 01: +0,1.849,2
51,Jun 21 2018 01: +0,1.95,1
52,Jun 22 2018 01: +0,1.798,3
53,Jun 23 2018 01: +0,1.692,4
