,time,price,volume
0,Jan 18 2020 01: +0,2.16,4
1,Jan 19 2020 01: +0,1.541,10
2,Jan 20 2020 01: +0,1.502,12
3,Jan 21 2020 01: +0,1.301,11
4,Jan 22 2020 01: +0,1.425,8
5,Jan 23 2020 01: +0,1.418,19
6,Jan 24 2020 01: +0,1.348,11
7,Jan 25 2020 01: +0,1.454,19
8,Jan 26 2020 01: +0,1.485,7
9,Jan 27 2020 01: +0,1.265,10
10,Jan 28 2020 01: +0,1.36,2
11,Jan 29 2020 01: +0,1.215,3
12,Jan 30 2020 01: +0,1.412,9
13,Jan 31 2020 01: +0,1.436,7
14,Feb 01 2020 01: +0,1.413,12
15,Feb 02 2020 01: +0,1.367,12
16,Feb 03 2020 01: +0,1.335,11
17,Feb 04 2020 01: +0,1.311,9
18,Feb 05 2020 01: +0,1.515,6
19,Feb 06 2020 01: +0,1.309,10
20,Feb 07 2020 01: +0,1.421,3
21,Feb 08 2020 01: +0,1.629,4
22,Feb 09 2020 01: +0,1.547,5
23,Feb 10 2020 01: +0,1.599,7
24,Feb 11 2020 01: +0,1.369,7
25,Feb 12 2020 01: +0,1.505,4
26,Feb 13 2020 01: +0,1.554,7
27,Feb 14 2020 01: +0,1.455,9
28,Feb 15 2020 01: +0,1.614,8
29,Feb 16 2020 01: +0,1.492,2
30,Feb 17 2020 01: +0,1.419,3
31,Feb 18 2020 01: +0,1.423,8
32,Feb 19 2020 01: +0,1.178,2
33,Feb 20 2020 01: +0,1.34,5
34,Feb 21 2020 01: +0,1.14,2
35,Feb 22 2020 01: +0,1.195,17
36,Feb 23 2020 01: +0,1.194,9
37,Feb 24 2020 01: +0,1.251,6
38,Feb 25 2020 01: +0,1.152,10
39,Feb 26 2020 01: +0,1.217,9
40,Feb 27 2020 01: +0,1.211,8
41,Feb 28 2020 01: +0,1.209,7
42,Feb 29 2020 01: +0,1.287,7
43,Mar 01 2020 01: +0,1.278,7
44,Mar 02 2020 01: +0,1.362,1
45,Mar 03 2020 01: +0,1.111,2
46,Mar 04 2020 01: +0,1.313,7
47,Mar 05 2020 01: +0,1.217,4
48,Mar 06 2020 01: +0,1.315,6
49,Mar 07 2020 01: +0,1.248,4
50,Mar 08 2020 01: +0,1.345,8
51,Mar 09 2020 01: +0,1.359,2
52,Mar 10 2020 01: +0,1.278,4
53,Mar 11 2020 01: +0,1.277,5
54,Mar 12 2020 01: +0,1.25,7
55,Mar 13 2020 01: +0,1.28,4
56,Mar 14 2020 01: +0,1.306,6
57,Mar 15 2020 01: +0,1.191,7
58,Mar 16 2020 01: +0,1.219,4
59,Mar 17 2020 01: +0,1.065,4
60,Mar 18 2020 01: +0,1.291,3
61,Mar 19 2020 01: +0,1.09,7
62,Mar 20 2020 01: +0,1.13,6
63,Mar 21 2020 01: +0,1.113,7
64,Mar 22 2020 01: +0,1.1,7
65,Mar 23 2020 01: +0,1.112,5
66,Mar 24 2020 01: +0,1.051,12
67,Mar 25 2020 01: +0,1.084,9
68,Mar 26 2020 01: +0,1.041,13
69,Mar 27 2020 01: +0,1.128,11
70,Mar 28 2020 01: +0,1.154,7
71,Mar 29 2020 01: +0,1.081,15
72,Mar 30 2020 01: +0,1.128,10
73,Mar 31 2020 01: +0,1.118,10
74,Apr 01 2020 01: +0,1.08,17
75,Apr 02 2020 01: +0,1.1,14
76,Apr 03 2020 01: +0,1.107,13
77,Apr 04 2020 01: +0,1.124,10
78,Apr 05 2020 01: +0,1.17,9
79,Apr 06 2020 01: +0,1.203,8
80,Apr 07 2020 01: +0,1.145,8
81,Apr 08 2020 01: +0,1.118,14
82,Apr 09 2020 01: +0,1.111,10
83,Apr 10 2020 01: +0,1.188,10
84,Apr 11 2020 01: +0,1.12,11
85,Apr 12 2020 01: +0,1.181,6
86,Apr 13 2020 01: +0,1.175,11
87,Apr 14 2020 01: +0,1.095,8
88,Apr 15 2020 01: +0,1.231,2
89,Apr 16 2020 01: +0,1.235,6
90,Apr 17 2020 01: +0,1.214,6
91,Apr 18 2020 01: +0,1.196,6
92,Apr 19 2020 01: +0,1.287,5
93,Apr 20 2020 01: +0,1.277,3
94,Apr 21 2020 01: +0,1.149,9
95,Apr 22 2020 01: +0,1.299,3
96,Apr 23 2020 01: +0,1.252,6
97,Apr 24 2020 01: +0,1.227,3
98,Apr 25 2020 01: +0,1.102,11
99,Apr 26 2020 01: +0,1.214,7
100,Apr 27 2020 01: +0,1.165,6
101,Apr 28 2020 01: +0,0.936,6
102,Apr 29 2020 01: +0,1.164,9
103,Apr 30 2020 01: +0,1.119,8
104,May 01 2020 01: +0,1.211,8
105,May 02 2020 01: +0,1.26,2
106,May 03 2020 01: +0,1.096,6
107,May 04 2020 01: +0,1.076,10
108,May 05 2020 01: +0,1.131,8
109,May 06 2020 01: +0,1.131,2
110,May 07 2020 01: +0,1.215,23
111,May 08 2020 01: +0,1.262,5
112,May 09 2020 01: +0,1.322,2
113,May 10 2020 01: +0,1.257,5
114,May 11 2020 01: +0,1.326,5
115,May 12 2020 01: +0,1.34,1
116,May 13 2020 01: +0,1.354,12
117,May 14 2020 01: +0,1.195,4
118,May 15 2020 01: +0,1.104,5
119,May 16 2020 01: +0,1.279,11
120,May 17 2020 01: +0,1.288,3
121,May 18 2020 01: +0,1.326,5
122,May 19 2020 01: +0,1.345,2
123,May 20 2020 01: +0,1.154,4
124,May 21 2020 01: +0,1.262,3
125,May 22 2020 01: +0,1.273,7
126,May 23 2020 01: +0,1.349,3
127,May 24 2020 01: +0,1.321,3
128,May 25 2020 01: +0,1.162,7
129,May 26 2020 01: +0,1.254,4
130,May 27 2020 01: +0,1.344,5
131,May 28 2020 01: +0,1.278,6
132,May 29 2020 01: +0,1.317,11
133,May 30 2020 01: +0,1.348,5
134,May 31 2020 01: +0,1.265,5
135,Jun 01 2020 01: +0,1.193,11
136,Jun 02 2020 01: +0,1.215,4
137,Jun 03 2020 01: +0,1.212,9
138,Jun 04 2020 01: +0,1.253,6
139,Jun 05 2020 01: +0,1.31,5
140,Jun 06 2020 01: +0,1.288,5
141,Jun 07 2020 01: +0,1.391,5
142,Jun 08 2020 01: +0,1.22,5
143,Jun 09 2020 01: +0,1.349,1
144,Jun 10 2020 01: +0,1.275,14
145,Jun 11 2020 01: +0,1.264,3
146,Jun 12 2020 01: +0,1.109,8
147,Jun 13 2020 01: +0,1.282,7
148,Jun 14 2020 01: +0,1.073,1
149,Jun 15 2020 01: +0,1.267,9
150,Jun 16 2020 01: +0,1.109,7
151,Jun 17 2020 01: +0,1.113,7
152,Jun 18 2020 01: +0,1.13,6
153,Jun 19 2020 01: +0,1.124,7
154,Jun 20 2020 01: +0,1.025,8
155,Jun 21 2020 01: +0,1.043,9
156,Jun 22 2020 01: +0,1.062,3
157,Jun 23 2020 01: +0,1.137,8
158,Jun 24 2020 01: +0,1.306,2
159,Jun 25 2020 01: +0,1.02,4
160,Jun 26 2020 01: +0,1.026,12
161,Jun 27 2020 01: +0,0.965,12
162,Jun 28 2020 01: +0,1.107,5
