,time,price,volume
0,Nov 09 2019 01: +0,2.149,8
1,Nov 10 2019 01: +0,2.337,5
2,Nov 11 2019 01: +0,1.901,8
3,Nov 12 2019 01: +0,1.787,6
4,Nov 13 2019 01: +0,1.768,5
5,Nov 14 2019 01: +0,1.741,3
6,Nov 15 2019 01: +0,1.374,13
7,Nov 16 2019 01: +0,1.255,7
8,Nov 17 2019 01: +0,1.393,10
9,Nov 19 2019 01: +0,1.454,4
10,Nov 20 2019 01: +0,1.541,4
11,Nov 21 2019 01: +0,1.335,3
12,Nov 22 2019 01: +0,1.182,3
13,Nov 23 2019 01: +0,1.183,4
14,Nov 24 2019 01: +0,1.274,8
15,Nov 25 2019 01: +0,1.21,3
16,Nov 26 2019 01: +0,1.239,5
17,Nov 27 2019 01: +0,1.196,5
18,Nov 28 2019 01: +0,1.079,3
19,Nov 29 2019 01: +0,1.411,7
20,Nov 30 2019 01: +0,1.379,5
21,Dec 01 2019 01: +0,1.281,6
22,Dec 02 2019 01: +0,1.191,7
23,Dec 03 2019 01: +0,1.243,2
24,Dec 04 2019 01: +0,1.351,22
25,Dec 05 2019 01: +0,1.615,10
26,Dec 06 2019 01: +0,1.84,1
27,Dec 07 2019 01: +0,1.77,11
28,Dec 08 2019 01: +0,1.702,4
29,Dec 09 2019 01: +0,1.299,4
30,Dec 10 2019 01: +0,1.313,5
31,Dec 11 2019 01: +0,1.473,1
32,Dec 12 2019 01: +0,1.299,5
33,Dec 13 2019 01: +0,1.334,4
34,Dec 14 2019 01: +0,1.645,8
35,Dec 15 2019 01: +0,1.653,4
36,Dec 16 2019 01: +0,1.332,9
37,Dec 17 2019 01: +0,1.387,7
38,Dec 18 2019 01: +0,1.549,10
39,Dec 19 2019 01: +0,1.795,6
40,Dec 20 2019 01: +0,1.691,4
41,Dec 21 2019 01: +0,1.258,7
42,Dec 22 2019 01: +0,1.414,10
43,Dec 23 2019 01: +0,1.226,3
44,Dec 24 2019 01: +0,1.429,7
45,Dec 25 2019 01: +0,1.566,11
46,Dec 26 2019 01: +0,1.769,8
47,Dec 27 2019 01: +0,1.702,2
48,Dec 28 2019 01: +0,1.541,10
49,Dec 29 2019 01: +0,1.456,8
50,Dec 30 2019 01: +0,1.585,10
51,Dec 31 2019 01: +0,1.784,7
52,Jan 01 2020 01: +0,1.871,12
53,Jan 02 2020 01: +0,3.233,12
54,Jan 03 2020 01: +0,4.049,2
55,Jan 04 2020 01: +0,2.632,4
56,Jan 05 2020 01: +0,2.408,6
57,Jan 06 2020 01: +0,1.81,5
58,Jan 07 2020 01: +0,1.61,1
59,Jan 08 2020 01: +0,1.934,4
60,Jan 09 2020 01: +0,1.75,2
61,Jan 10 2020 01: +0,1.795,3
62,Jan 11 2020 01: +0,1.873,7
63,Jan 12 2020 01: +0,1.835,13
64,Jan 13 2020 01: +0,2.21,4
65,Jan 14 2020 01: +0,2.386,2
66,Jan 15 2020 01: +0,1.869,1
67,Jan 16 2020 01: +0,1.857,4
68,Jan 17 2020 01: +0,1.99,2
69,Jan 18 2020 01: +0,1.844,4
70,Jan 19 2020 01: +0,1.903,7
71,Jan 20 2020 01: +0,1.995,2
72,Jan 21 2020 01: +0,1.503,3
73,Jan 22 2020 01: +0,1.892,5
74,Jan 23 2020 01: +0,1.858,4
75,Jan 24 2020 01: +0,1.44,3
76,Jan 25 2020 01: +0,1.411,4
77,Jan 26 2020 01: +0,1.502,4
78,Jan 27 2020 01: +0,1.72,5
79,Jan 28 2020 01: +0,1.508,6
80,Jan 29 2020 01: +0,1.545,6
81,Jan 30 2020 01: +0,1.418,5
82,Jan 31 2020 01: +0,1.486,5
83,Feb 01 2020 01: +0,1.569,2
84,Feb 02 2020 01: +0,1.148,1
85,Feb 03 2020 01: +0,1.555,5
86,Feb 04 2020 01: +0,1.9,1
87,Feb 05 2020 01: +0,1.526,5
88,Feb 06 2020 01: +0,1.531,6
89,Feb 07 2020 01: +0,1.724,5
90,Feb 08 2020 01: +0,1.688,4
91,Feb 09 2020 01: +0,1.643,6
92,Feb 10 2020 01: +0,1.694,4
93,Feb 11 2020 01: +0,1.626,8
94,Feb 12 2020 01: +0,1.88,4
95,Feb 13 2020 01: +0,1.817,7
96,Feb 14 2020 01: +0,1.556,5
97,Feb 15 2020 01: +0,1.439,2
98,Feb 16 2020 01: +0,1.763,2
99,Feb 17 2020 01: +0,1.868,2
100,Feb 18 2020 01: +0,1.744,6
101,Feb 19 2020 01: +0,2.07,5
102,Feb 20 2020 01: +0,2.007,4
103,Feb 21 2020 01: +0,1.87,2
104,Feb 22 2020 01: +0,1.45,2
105,Feb 23 2020 01: +0,1.496,6
106,Feb 25 2020 01: +0,1.246,3
107,Feb 26 2020 01: +0,1.483,3
108,Feb 27 2020 01: +0,1.451,5
109,Feb 28 2020 01: +0,1.415,6
110,Feb 29 2020 01: +0,1.55,2
111,Mar 01 2020 01: +0,1.454,5
112,Mar 02 2020 01: +0,1.404,4
113,Mar 03 2020 01: +0,1.558,3
114,Mar 04 2020 01: +0,1.548,4
115,Mar 05 2020 01: +0,1.574,5
116,Mar 06 2020 01: +0,1.775,5
117,Mar 07 2020 01: +0,1.509,4
118,Mar 08 2020 01: +0,1.733,2
119,Mar 09 2020 01: +0,1.877,3
120,Mar 10 2020 01: +0,1.735,4
121,Mar 11 2020 01: +0,1.5,3
122,Mar 12 2020 01: +0,1.353,3
123,Mar 13 2020 01: +0,1.393,8
124,Mar 14 2020 01: +0,1.729,4
125,Mar 15 2020 01: +0,1.75,2
126,Mar 16 2020 01: +0,1.54,1
127,Mar 17 2020 01: +0,1.221,3
128,Mar 18 2020 01: +0,1.483,4
129,Mar 19 2020 01: +0,1.265,7
130,Mar 20 2020 01: +0,1.28,4
131,Mar 21 2020 01: +0,1.3,8
132,Mar 22 2020 01: +0,1.184,4
133,Mar 23 2020 01: +0,1.241,5
134,Mar 24 2020 01: +0,1.212,11
135,Mar 25 2020 01: +0,1.071,5
136,Mar 26 2020 01: +0,1.112,5
137,Mar 27 2020 01: +0,1.177,8
138,Mar 28 2020 01: +0,1.065,5
139,Mar 29 2020 01: +0,1.167,6
140,Mar 30 2020 01: +0,1.155,11
141,Mar 31 2020 01: +0,1.142,5
142,Apr 01 2020 01: +0,1.151,18
143,Apr 02 2020 01: +0,1.171,14
144,Apr 03 2020 01: +0,1.303,11
145,Apr 04 2020 01: +0,1.252,7
146,Apr 05 2020 01: +0,1.32,6
147,Apr 06 2020 01: +0,1.253,6
148,Apr 07 2020 01: +0,1.313,8
149,Apr 08 2020 01: +0,1.197,10
150,Apr 09 2020 01: +0,1.29,8
151,Apr 10 2020 01: +0,1.283,12
152,Apr 11 2020 01: +0,1.303,7
153,Apr 12 2020 01: +0,1.278,7
154,Apr 13 2020 01: +0,1.291,6
155,Apr 14 2020 01: +0,1.287,6
156,Apr 15 2020 01: +0,1.277,8
157,Apr 16 2020 01: +0,1.203,13
158,Apr 17 2020 01: +0,1.217,17
159,Apr 18 2020 01: +0,1.32,8
160,Apr 19 2020 01: +0,1.339,3
161,Apr 20 2020 01: +0,1.368,11
162,Apr 21 2020 01: +0,1.23,6
163,Apr 22 2020 01: +0,1.263,4
164,Apr 23 2020 01: +0,1.31,5
165,Apr 24 2020 01: +0,1.327,5
166,Apr 25 2020 01: +0,1.299,6
167,Apr 26 2020 01: +0,1.466,7
168,Apr 27 2020 01: +0,1.181,2
169,Apr 28 2020 01: +0,1.322,5
170,Apr 29 2020 01: +0,1.249,5
171,Apr 30 2020 01: +0,1.268,5
172,May 01 2020 01: +0,1.245,5
173,May 02 2020 01: +0,1.193,7
174,May 03 2020 01: +0,1.452,4
175,May 04 2020 01: +0,1.447,4
176,May 05 2020 01: +0,1.517,4
177,May 06 2020 01: +0,1.13,2
178,May 07 2020 01: +0,1.388,9
179,May 08 2020 01: +0,1.499,7
180,May 09 2020 01: +0,2.035,21
181,May 10 2020 01: +0,4.03,5
182,May 11 2020 01: +0,1.679,2
183,May 12 2020 01: +0,1.468,3
184,May 13 2020 01: +0,1.564,4
185,May 14 2020 01: +0,1.499,3
186,May 15 2020 01: +0,1.349,10
187,May 16 2020 01: +0,1.509,4
188,May 17 2020 01: +0,1.657,4
189,May 18 2020 01: +0,1.39,2
190,May 19 2020 01: +0,1.407,9
191,May 20 2020 01: +0,1.116,1
192,May 21 2020 01: +0,1.295,3
193,May 22 2020 01: +0,1.545,9
194,May 23 2020 01: +0,1.524,5
195,May 24 2020 01: +0,1.413,3
196,May 25 2020 01: +0,1.418,3
197,May 26 2020 01: +0,1.376,4
198,May 27 2020 01: +0,1.425,3
199,May 28 2020 01: +0,1.378,3
200,May 29 2020 01: +0,1.265,2
201,May 30 2020 01: +0,1.429,7
202,May 31 2020 01: +0,1.354,6
203,Jun 01 2020 01: +0,1.441,3
204,Jun 02 2020 01: +0,1.364,3
205,Jun 03 2020 01: +0,1.545,3
206,Jun 04 2020 01: +0,1.464,6
207,Jun 05 2020 01: +0,1.528,5
208,Jun 06 2020 01: +0,1.671,2
209,Jun 07 2020 01: +0,1.584,6
210,Jun 08 2020 01: +0,1.3,1
211,Jun 09 2020 01: +0,1.689,5
212,Jun 10 2020 01: +0,1.648,1
213,Jun 11 2020 01: +0,1.611,4
214,Jun 12 2020 01: +0,1.341,7
215,Jun 13 2020 01: +0,1.513,6
216,Jun 14 2020 01: +0,1.16,1
217,Jun 15 2020 01: +0,1.399,5
218,Jun 18 2020 01: +0,1.471,4
219,Jun 19 2020 01: +0,1.119,4
220,Jun 20 2020 01: +0,1.278,6
221,Jun 21 2020 01: +0,1.116,3
222,Jun 22 2020 01: +0,1.339,2
223,Jun 23 2020 01: +0,1.332,1
224,Jun 24 2020 01: +0,1.3,3
225,Jun 25 2020 01: +0,1.24,5
226,Jun 26 2020 01: +0,1.059,1
227,Jun 27 2020 01: +0,1.191,7
228,Jun 28 2020 01: +0,1.261,2
229,Jun 29 2020 01: +0,1.285,1
230,Jun 30 2020 01: +0,1.29,5
231,Jul 01 2020 01: +0,1.275,5
232,Jul 02 2020 01: +0,1.323,3
233,Jul 03 2020 01: +0,1.292,7
234,Jul 04 2020 01: +0,1.163,1
235,Jul 05 2020 01: +0,1.4,4
236,Jul 06 2020 01: +0,1.382,4
237,Jul 07 2020 01: +0,1.442,3
238,Jul 09 2020 01: +0,1.301,4
239,Jul 10 2020 01: +0,1.387,7
240,Jul 11 2020 01: +0,1.062,1
241,Jul 12 2020 01: +0,1.44,1
242,Jul 13 2020 01: +0,1.209,4
243,Jul 14 2020 01: +0,1.544,3
244,Jul 15 2020 01: +0,1.62,5
245,Jul 16 2020 01: +0,1.755,2
246,Jul 17 2020 01: +0,1.711,4
247,Jul 18 2020 01: +0,1.68,1
248,Jul 19 2020 01: +0,1.673,5
249,Jul 20 2020 01: +0,1.665,2
250,Jul 21 2020 01: +0,1.225,2
251,Jul 22 2020 01: +0,1.226,4
252,Jul 23 2020 01: +0,1.545,5
253,Jul 24 2020 01: +0,1.418,9
254,Jul 25 2020 01: +0,1.422,9
255,Jul 26 2020 01: +0,1.503,6
256,Jul 27 2020 01: +0,1.504,2
257,Jul 28 2020 01: +0,1.367,3
258,Jul 29 2020 01: +0,1.408,4
259,Jul 30 2020 01: +0,1.558,2
260,Jul 31 2020 01: +0,1.52,2
261,Aug 01 2020 01: +0,1.489,4
262,Aug 02 2020 01: +0,1.52,1
263,Aug 03 2020 01: +0,1.42,3
264,Aug 04 2020 01: +0,1.445,4
265,Aug 05 2020 01: +0,1.469,3
266,Aug 06 2020 01: +0,1.357,3
267,Aug 07 2020 01: +0,1.375,3
268,Aug 08 2020 01: +0,1.463,11
269,Aug 09 2020 01: +0,1.561,4
270,Aug 10 2020 01: +0,1.448,3
271,Aug 11 2020 01: +0,1.368,3
272,Aug 12 2020 01: +0,1.31,3
273,Aug 13 2020 01: +0,1.362,3
274,Aug 14 2020 01: +0,1.403,1
275,Aug 15 2020 01: +0,1.433,5
276,Aug 16 2020 01: +0,1.453,4
277,Aug 17 2020 01: +0,1.445,3
278,Aug 18 2020 01: +0,1.1,2
279,Aug 19 2020 01: +0,1.276,2
280,Aug 20 2020 01: +0,1.474,5
281,Aug 21 2020 01: +0,1.49,1
282,Aug 22 2020 01: +0,1.175,3
283,Aug 23 2020 01: +0,1.353,5
284,Aug 24 2020 01: +0,1.353,3
285,Aug 26 2020 01: +0,1.291,2
286,Aug 27 2020 01: +0,1.46,1
287,Aug 28 2020 01: +0,1.45,1
288,Aug 29 2020 01: +0,1.272,2
289,Aug 30 2020 01: +0,1.249,2
290,Aug 31 2020 01: +0,1.234,4
291,Sep 01 2020 01: +0,1.365,3
292,Sep 02 2020 01: +0,1.425,2
293,Sep 03 2020 01: +0,1.262,2
294,Sep 04 2020 01: +0,1.154,2
295,Sep 05 2020 01: +0,1.272,3
296,Sep 06 2020 01: +0,1.189,2
297,Sep 07 2020 01: +0,1.195,3
298,Sep 08 2020 01: +0,1.312,6
299,Sep 09 2020 01: +0,1.307,3
300,Sep 10 2020 01: +0,1.35,1
301,Sep 11 2020 01: +0,1.146,3
302,Sep 12 2020 01: +0,1.097,3
303,Sep 13 2020 01: +0,1.303,4
304,Sep 14 2020 01: +0,1.291,1
305,Sep 15 2020 01: +0,1.161,2
306,Sep 17 2020 01: +0,1.05,6
307,Sep 18 2020 01: +0,1.072,2
308,Sep 19 2020 01: +0,1.128,5
309,Sep 20 2020 01: +0,1.149,3
310,Sep 21 2020 01: +0,1.2,1
311,Sep 22 2020 01: +0,1.231,4
312,Sep 23 2020 01: +0,0.975,2
313,Sep 24 2020 01: +0,1.103,3
314,Sep 25 2020 01: +0,1.127,4
315,Sep 27 2020 01: +0,1.142,5
316,Sep 28 2020 01: +0,1.209,1
317,Sep 29 2020 01: +0,1.148,4
318,Sep 30 2020 01: +0,1.211,2
319,Oct 01 2020 01: +0,1.077,2
320,Oct 02 2020 01: +0,1.115,4
321,Oct 03 2020 01: +0,1.066,7
322,Oct 04 2020 01: +0,1.164,8
323,Oct 05 2020 01: +0,1.185,2
324,Oct 06 2020 01: +0,1.139,2
325,Oct 07 2020 01: +0,1.19,1
326,Oct 08 2020 01: +0,1.19,1
327,Oct 09 2020 01: +0,1.149,3
328,Oct 10 2020 01: +0,1.166,5
329,Oct 11 2020 01: +0,1.13,4
330,Oct 12 2020 01: +0,1.108,7
331,Oct 13 2020 01: +0,1.063,2
332,Oct 14 2020 01: +0,1.18,1
333,Oct 15 2020 01: +0,1.082,4
334,Oct 16 2020 01: +0,1.107,6
335,Oct 17 2020 01: +0,1.151,7
336,Oct 18 2020 01: +0,1.211,2
337,Oct 20 2020 01: +0,1.039,3
338,Oct 21 2020 01: +0,1.179,2
339,Oct 22 2020 01: +0,0.969,5
340,Oct 23 2020 01: +0,1.075,4
341,Oct 24 2020 01: +0,1.152,2
342,Oct 26 2020 01: +0,1.135,5
343,Oct 27 2020 01: +0,1.074,9
344,Oct 28 2020 01: +0,1.073,3
345,Oct 29 2020 01: +0,1.152,3
346,Oct 30 2020 01: +0,1.084,3
347,Oct 31 2020 01: +0,1.024,6
348,Nov 01 2020 01: +0,1.152,5
349,Nov 02 2020 01: +0,1.153,3
350,Nov 03 2020 01: +0,1.137,4
351,Nov 05 2020 01: +0,1.187,5
352,Nov 06 2020 01: +0,1.188,3
353,Nov 07 2020 01: +0,1.214,5
354,Nov 08 2020 01: +0,1.243,2
355,Nov 09 2020 01: +0,1.19,4
356,Nov 10 2020 01: +0,1.271,3
357,Nov 11 2020 01: +0,1.271,1
358,Nov 12 2020 01: +0,1.196,2
359,Nov 13 2020 01: +0,1.108,4
360,Nov 14 2020 01: +0,1.17,3
361,Nov 15 2020 01: +0,1.224,3
362,Nov 16 2020 01: +0,1.253,2
363,Nov 17 2020 01: +0,1.279,2
364,Nov 18 2020 01: +0,1.27,1
365,Nov 19 2020 01: +0,1.232,2
366,Nov 20 2020 01: +0,1.135,3
367,Nov 21 2020 01: +0,1.277,4
368,Nov 22 2020 01: +0,1.233,3
369,Nov 23 2020 01: +0,1.285,2
370,Nov 24 2020 01: +0,1.189,2
371,Nov 25 2020 01: +0,1.296,3
372,Nov 26 2020 01: +0,1.219,3
373,Nov 27 2020 01: +0,1.125,4
374,Nov 28 2020 01: +0,1.305,4
375,Nov 29 2020 01: +0,1.117,3
376,Nov 30 2020 01: +0,1.294,1
377,Dec 01 2020 01: +0,1.31,5
