,time,price,volume
0,May 01 2020 01: +0,2.382,10
1,May 02 2020 01: +0,2.088,21
2,May 03 2020 01: +0,2.328,13
3,May 04 2020 01: +0,1.955,13
4,May 05 2020 01: +0,1.888,14
5,May 06 2020 01: +0,2.178,10
6,May 07 2020 01: +0,2.114,17
7,May 08 2020 01: +0,2.155,18
8,May 09 2020 01: +0,1.971,16
9,May 10 2020 01: +0,2.085,15
10,May 11 2020 01: +0,2.259,8
11,May 12 2020 01: +0,1.913,13
12,May 13 2020 01: +0,2.015,9
13,May 14 2020 01: +0,2.138,16
14,May 15 2020 01: +0,2.169,17
15,May 16 2020 01: +0,2.094,11
16,May 17 2020 01: +0,2.043,14
17,May 18 2020 01: +0,2.096,11
18,May 19 2020 01: +0,1.928,7
19,May 20 2020 01: +0,1.968,16
20,May 21 2020 01: +0,1.982,12
21,May 22 2020 01: +0,1.76,17
22,May 23 2020 01: +0,2.096,14
23,May 24 2020 01: +0,2.092,8
24,May 25 2020 01: +0,2.033,9
25,May 26 2020 01: +0,1.878,14
26,May 27 2020 01: +0,1.961,21
27,May 28 2020 01: +0,1.969,9
28,May 29 2020 01: +0,1.692,8
29,May 30 2020 01: +0,1.604,12
30,May 31 2020 01: +0,1.823,10
31,Jun 01 2020 01: +0,1.931,15
32,Jun 02 2020 01: +0,1.906,7
33,Jun 03 2020 01: +0,1.939,11
34,Jun 04 2020 01: +0,1.917,19
35,Jun 05 2020 01: +0,2.265,16
36,Jun 06 2020 01: +0,2.259,8
37,Jun 07 2020 01: +0,2.211,11
38,Jun 08 2020 01: +0,2.156,7
39,Jun 09 2020 01: +0,1.966,6
40,Jun 10 2020 01: +0,2.145,17
41,Jun 11 2020 01: +0,2.239,12
42,Jun 12 2020 01: +0,2.002,13
43,Jun 13 2020 01: +0,2.05,15
44,Jun 14 2020 01: +0,2.347,8
45,Jun 15 2020 01: +0,2.261,9
46,Jun 16 2020 01: +0,2.181,5
47,Jun 17 2020 01: +0,1.872,8
48,Jun 18 2020 01: +0,1.928,7
49,Jun 19 2020 01: +0,1.742,8
50,Jun 20 2020 01: +0,1.79,11
51,Jun 21 2020 01: +0,1.74,10
52,Jun 22 2020 01: +0,1.86,11
53,Jun 23 2020 01: +0,1.89,3
54,Jun 24 2020 01: +0,1.861,2
55,Jun 25 2020 01: +0,1.617,9
56,Jun 26 2020 01: +0,1.537,12
57,Jun 27 2020 01: +0,1.496,7
58,Jun 28 2020 01: +0,1.424,9
59,Jun 29 2020 01: +0,1.607,11
60,Jun 30 2020 01: +0,1.662,9
61,Jul 01 2020 01: +0,1.806,5
62,Jul 02 2020 01: +0,1.817,17
63,Jul 03 2020 01: +0,1.719,12
64,Jul 04 2020 01: +0,1.773,13
65,Jul 05 2020 01: +0,1.668,10
66,Jul 06 2020 01: +0,1.746,7
67,Jul 07 2020 01: +0,1.754,9
68,Jul 08 2020 01: +0,1.787,15
69,Jul 09 2020 01: +0,1.756,10
70,Jul 10 2020 01: +0,1.794,15
71,Jul 11 2020 02: +0,1.84,1
72,Jul 11 2020 05: +0,1.836,1
73,Jul 11 2020 07: +0,1.83,1
74,Jul 11 2020 10: +0,1.8,1
75,Jul 11 2020 15: +0,1.819,1
76,Jul 11 2020 17: +0,1.845,2
77,Jul 11 2020 22: +0,1.96,1
78,Jul 12 2020 01: +0,2.123,1
79,Jul 12 2020 02: +0,1.829,1
80,Jul 12 2020 04: +0,2.265,1
81,Jul 12 2020 05: +0,2.27,1
82,Jul 12 2020 06: +0,2.267,1
83,Jul 12 2020 09: +0,2.26,3
84,Jul 12 2020 13: +0,2.277,1
85,Jul 12 2020 16: +0,1.838,2
86,Jul 12 2020 19: +0,2.237,1
87,Jul 12 2020 20: +0,2.241,1
88,Jul 12 2020 22: +0,1.805,1
89,Jul 12 2020 23: +0,2.248,1
90,Jul 13 2020 04: +0,1.855,2
91,Jul 13 2020 06: +0,1.759,1
92,Jul 13 2020 09: +0,2.261,1
93,Jul 13 2020 14: +0,2.276,1
94,Jul 13 2020 23: +0,2.26,1
95,Jul 14 2020 03: +0,2.22,1
96,Jul 14 2020 04: +0,1.76,1
97,Jul 14 2020 06: +0,2.22,1
98,Jul 14 2020 11: +0,1.495,1
99,Jul 14 2020 15: +0,2.216,1
100,Jul 14 2020 18: +0,2.277,1
101,Jul 14 2020 19: +0,2.3,1
102,Jul 14 2020 20: +0,2.3,1
103,Jul 14 2020 21: +0,2.35,1
104,Jul 14 2020 23: +0,2.41,1
105,Jul 15 2020 00: +0,2.46,1
106,Jul 15 2020 01: +0,2.477,1
107,Jul 15 2020 02: +0,2.516,1
108,Jul 15 2020 09: +0,2.117,1
109,Jul 15 2020 10: +0,2.524,1
110,Jul 15 2020 11: +0,2.624,2
111,Jul 15 2020 14: +0,3.019,1
112,Jul 15 2020 15: +0,3.02,1
113,Jul 15 2020 20: +0,3.106,1
114,Jul 15 2020 21: +0,3.155,2
115,Jul 16 2020 02: +0,2.595,2
116,Jul 16 2020 04: +0,2.511,1
117,Jul 16 2020 06: +0,1.722,1
118,Jul 16 2020 09: +0,2.732,1
119,Jul 16 2020 10: +0,2.745,1
120,Jul 16 2020 15: +0,2.663,1
121,Jul 16 2020 18: +0,2.49,1
122,Jul 16 2020 20: +0,1.669,1
123,Jul 17 2020 03: +0,1.66,1
124,Jul 17 2020 05: +0,1.66,1
125,Jul 17 2020 08: +0,1.66,1
126,Jul 17 2020 09: +0,1.574,1
127,Jul 17 2020 12: +0,1.653,1
128,Jul 17 2020 14: +0,1.661,1
129,Jul 17 2020 18: +0,1.648,1
130,Jul 17 2020 19: +0,1.155,1
131,Jul 17 2020 20: +0,1.653,1
132,Jul 18 2020 00: +0,1.657,1
133,Jul 18 2020 02: +0,1.662,1
134,Jul 18 2020 04: +0,2.45,1
135,Jul 18 2020 09: +0,2.421,1
136,Jul 18 2020 12: +0,2.39,1
137,Jul 19 2020 00: +0,2.271,1
138,Jul 19 2020 09: +0,2.26,1
139,Jul 19 2020 10: +0,1.946,2
140,Jul 19 2020 13: +0,2.25,1
141,Jul 19 2020 15: +0,2.248,1
142,Jul 19 2020 16: +0,2.26,1
143,Jul 19 2020 20: +0,2.22,1
144,Jul 19 2020 22: +0,2.22,1
145,Jul 20 2020 00: +0,1.541,1
146,Jul 20 2020 04: +0,1.61,1
147,Jul 20 2020 09: +0,2.07,1
148,Jul 20 2020 15: +0,2.26,1
149,Jul 20 2020 18: +0,2.264,1
150,Jul 20 2020 20: +0,2.264,1
151,Jul 21 2020 03: +0,2.24,1
152,Jul 21 2020 11: +0,2.237,1
153,Jul 21 2020 15: +0,2.237,1
154,Jul 21 2020 16: +0,1.508,1
155,Jul 21 2020 17: +0,2.23,2
156,Jul 21 2020 22: +0,2.25,1
157,Jul 22 2020 00: +0,1.52,1
158,Jul 22 2020 05: +0,2.23,1
159,Jul 22 2020 09: +0,2.265,2
160,Jul 22 2020 10: +0,2.31,1
161,Jul 22 2020 18: +0,2.26,1
162,Jul 22 2020 19: +0,2.288,1
163,Jul 22 2020 20: +0,2.278,1
164,Jul 23 2020 13: +0,1.68,1
165,Jul 23 2020 14: +0,2.037,1
166,Jul 23 2020 17: +0,2.043,1
167,Jul 23 2020 22: +0,2.105,2
168,Jul 24 2020 00: +0,2.13,1
