,time,price,volume
0,Apr 06 2017 01: +0,4.982,1
1,Apr 07 2017 01: +0,2.513,8
2,Apr 08 2017 01: +0,1.828,11
3,Apr 09 2017 01: +0,2.297,11
4,Apr 10 2017 01: +0,2.278,6
5,Apr 11 2017 01: +0,2.216,8
6,Apr 12 2017 01: +0,2.205,8
7,Apr 13 2017 01: +0,2.08,9
8,Apr 14 2017 01: +0,2.055,9
9,Apr 15 2017 01: +0,2.292,4
10,Apr 16 2017 01: +0,2.529,15
11,Apr 17 2017 01: +0,2.719,8
12,Apr 18 2017 01: +0,2.622,5
13,Apr 19 2017 01: +0,2.73,4
14,Apr 20 2017 01: +0,2.177,9
15,Apr 21 2017 01: +0,2.026,8
16,Apr 22 2017 01: +0,2.386,5
17,Apr 23 2017 01: +0,2.116,6
18,Apr 24 2017 01: +0,2.181,6
19,Apr 25 2017 01: +0,2.181,4
20,Apr 26 2017 01: +0,2.254,4
21,Apr 27 2017 01: +0,2.184,6
22,Apr 28 2017 01: +0,2.394,8
23,Apr 29 2017 01: +0,2.243,3
24,Apr 30 2017 01: +0,2.289,8
25,May 01 2017 01: +0,2.446,4
26,May 02 2017 01: +0,2.444,4
27,May 03 2017 01: +0,2.386,1
28,May 04 2017 01: +0,2.37,1
29,May 05 2017 01: +0,1.998,5
30,May 06 2017 01: +0,2.159,9
31,May 07 2017 01: +0,1.983,5
32,May 08 2017 01: +0,2.008,12
33,May 09 2017 01: +0,2.414,5
34,May 10 2017 01: +0,2.603,4
35,May 11 2017 01: +0,2.562,5
36,May 12 2017 01: +0,2.345,2
37,May 13 2017 01: +0,2.519,6
38,May 14 2017 01: +0,2.389,10
39,May 15 2017 01: +0,2.795,5
40,May 16 2017 01: +0,2.55,10
41,May 17 2017 01: +0,2.32,2
42,May 18 2017 01: +0,2.623,7
43,May 19 2017 01: +0,2.628,7
44,May 20 2017 01: +0,3.186,4
45,May 21 2017 01: +0,3.065,5
46,May 22 2017 01: +0,3.058,3
47,May 23 2017 01: +0,3.28,3
48,May 24 2017 01: +0,2.512,3
49,May 25 2017 01: +0,2.455,4
50,May 26 2017 01: +0,2.19,3
51,May 27 2017 01: +0,2.418,6
52,May 28 2017 01: +0,2.291,6
53,May 29 2017 01: +0,2.624,9
54,May 30 2017 01: +0,3.098,4
55,May 31 2017 01: +0,2.213,4
56,Jun 01 2017 01: +0,2.737,4
57,Jun 02 2017 01: +0,3.118,2
58,Jun 03 2017 01: +0,3.091,1
59,Jun 04 2017 01: +0,2.939,6
60,Jun 05 2017 01: +0,2.732,5
61,Jun 06 2017 01: +0,2.35,5
62,Jun 07 2017 01: +0,2.844,9
63,Jun 08 2017 01: +0,2.692,4
64,Jun 09 2017 01: +0,2.939,10
65,Jun 10 2017 01: +0,2.901,10
66,Jun 11 2017 01: +0,4.349,7
67,Jun 12 2017 01: +0,5.877,2
68,Jun 13 2017 01: +0,3.493,5
69,Jun 14 2017 01: +0,3.469,3
70,Jun 15 2017 01: +0,1.831,2
71,Jun 16 2017 01: +0,3.078,6
72,Jun 17 2017 01: +0,3.401,4
73,Jun 18 2017 01: +0,2.885,2
74,Jun 19 2017 01: +0,3.347,5
75,Jun 20 2017 01: +0,2.935,2
76,Jun 21 2017 01: +0,2.605,4
77,Jun 23 2017 01: +0,3.235,8
78,Jun 24 2017 01: +0,3.271,5
79,Jun 25 2017 01: +0,2.975,3
80,Jun 26 2017 01: +0,3.124,5
81,Jun 27 2017 01: +0,3.091,6
82,Jun 28 2017 01: +0,3.076,1
83,Jun 29 2017 01: +0,2.646,6
84,Jun 30 2017 01: +0,2.803,6
85,Jul 01 2017 01: +0,3.013,7
86,Jul 02 2017 01: +0,3.066,6
87,Jul 03 2017 01: +0,3.326,7
88,Jul 04 2017 01: +0,3.169,4
89,Jul 05 2017 01: +0,3.382,4
90,Jul 06 2017 01: +0,3.394,7
91,Jul 07 2017 01: +0,3.46,4
92,Jul 08 2017 01: +0,4.779,7
93,Jul 09 2017 01: +0,5.946,2
94,Jul 10 2017 01: +0,5.571,3
95,Jul 11 2017 01: +0,4.796,4
96,Jul 12 2017 01: +0,5.092,5
97,Jul 13 2017 01: +0,5.149,2
98,Jul 14 2017 01: +0,4.16,3
99,Jul 15 2017 01: +0,5.602,7
100,Jul 16 2017 01: +0,4.041,2
101,Jul 17 2017 01: +0,3.27,1
102,Jul 18 2017 01: +0,5.132,3
103,Jul 19 2017 01: +0,4.156,3
104,Jul 20 2017 01: +0,4.33,5
105,Jul 21 2017 01: +0,4.449,9
106,Jul 22 2017 01: +0,4.071,5
107,Jul 23 2017 01: +0,4.738,5
108,Jul 24 2017 01: +0,5.047,5
109,Jul 25 2017 01: +0,4.875,2
110,Jul 26 2017 01: +0,4.431,2
111,Jul 27 2017 01: +0,3.958,1
112,Jul 28 2017 01: +0,3.45,1
113,Jul 29 2017 01: +0,4.509,1
114,Jul 30 2017 01: +0,4.043,3
115,Jul 31 2017 01: +0,3.75,4
116,Aug 01 2017 01: +0,4.506,1
117,Aug 02 2017 01: +0,4.49,1
118,Aug 03 2017 01: +0,3.157,5
119,Aug 04 2017 01: +0,2.992,7
120,Aug 05 2017 01: +0,4.135,2
121,Aug 06 2017 01: +0,4.316,3
122,Aug 07 2017 01: +0,2.886,1
123,Aug 08 2017 01: +0,3.757,1
124,Aug 09 2017 01: +0,3.778,2
125,Aug 10 2017 01: +0,3.642,3
126,Aug 11 2017 01: +0,3.45,1
127,Aug 13 2017 01: +0,3.611,6
128,Aug 14 2017 01: +0,2.9,1
129,Aug 15 2017 01: +0,2.883,5
130,Aug 16 2017 01: +0,3.312,1
131,Aug 17 2017 01: +0,3.484,4
132,Aug 18 2017 01: +0,2.707,3
133,Aug 19 2017 01: +0,2.915,1
134,Aug 20 2017 01: +0,3.41,5
135,Aug 21 2017 01: +0,3.384,2
136,Aug 22 2017 01: +0,2.906,2
137,Aug 23 2017 01: +0,1.796,2
138,Aug 24 2017 01: +0,3.013,4
139,Aug 26 2017 01: +0,3.325,2
140,Aug 27 2017 01: +0,2.966,2
141,Aug 29 2017 01: +0,2.583,3
142,Aug 30 2017 01: +0,3.137,2
143,Aug 31 2017 01: +0,2.3,1
144,Sep 02 2017 01: +0,2.309,5
145,Sep 03 2017 01: +0,2.886,4
146,Sep 06 2017 01: +0,2.79,4
147,Sep 07 2017 01: +0,2.823,2
148,Sep 08 2017 01: +0,2.454,1
149,Sep 09 2017 01: +0,2.451,5
150,Sep 10 2017 01: +0,2.618,5
151,Sep 12 2017 01: +0,2.725,4
152,Sep 13 2017 01: +0,2.68,1
153,Sep 14 2017 01: +0,2.608,2
154,Sep 15 2017 01: +0,2.665,1
155,Sep 17 2017 01: +0,2.467,3
156,Sep 18 2017 01: +0,2.353,4
157,Sep 19 2017 01: +0,2.68,1
158,Sep 20 2017 01: +0,2.694,3
159,Sep 21 2017 01: +0,2.289,1
160,Sep 22 2017 01: +0,1.96,4
161,Sep 23 2017 01: +0,2.787,2
162,Sep 24 2017 01: +0,2.611,2
163,Sep 25 2017 01: +0,2.79,1
164,Sep 26 2017 01: +0,1.86,2
165,Sep 27 2017 01: +0,2.613,2
166,Sep 28 2017 01: +0,3.054,5
167,Sep 29 2017 01: +0,3.59,2
168,Sep 30 2017 01: +0,3.879,1
169,Oct 01 2017 01: +0,3.977,2
170,Oct 02 2017 01: +0,3.497,1
171,Oct 03 2017 01: +0,3.487,1
172,Oct 04 2017 01: +0,3.324,2
173,Oct 05 2017 01: +0,1.81,1
174,Oct 06 2017 01: +0,3.071,3
175,Oct 08 2017 01: +0,3.23,1
176,Oct 09 2017 01: +0,2.868,3
177,Oct 11 2017 01: +0,2.074,2
178,Oct 12 2017 01: +0,3.421,2
179,Oct 13 2017 01: +0,3.423,2
180,Oct 14 2017 01: +0,3.41,1
181,Oct 16 2017 01: +0,2.73,2
182,Oct 18 2017 01: +0,2.744,2
183,Oct 19 2017 01: +0,2.732,4
184,Oct 20 2017 01: +0,2.96,1
185,Oct 21 2017 01: +0,2.7,1
186,Oct 22 2017 01: +0,2.94,1
187,Oct 23 2017 01: +0,2.66,2
188,Oct 24 2017 01: +0,2.18,1
189,Oct 25 2017 01: +0,2.715,1
190,Oct 26 2017 01: +0,2.73,1
191,Oct 27 2017 01: +0,2.38,2
192,Oct 28 2017 01: +0,2.397,6
193,Oct 29 2017 01: +0,2.536,2
194,Oct 30 2017 01: +0,2.627,4
195,Oct 31 2017 01: +0,2.565,2
196,Nov 01 2017 01: +0,1.949,4
197,Nov 02 2017 01: +0,2.601,2
198,Nov 03 2017 01: +0,2.571,2
199,Nov 04 2017 01: +0,2.29,1
200,Nov 05 2017 01: +0,2.346,5
201,Nov 06 2017 01: +0,2.598,2
202,Nov 08 2017 01: +0,2.295,4
203,Nov 09 2017 01: +0,2.593,3
204,Nov 10 2017 01: +0,2.263,2
205,Nov 11 2017 01: +0,2.719,5
206,Nov 12 2017 01: +0,2.514,3
207,Nov 13 2017 01: +0,2.541,4
208,Nov 14 2017 01: +0,2.96,1
209,Nov 15 2017 01: +0,2.701,2
210,Nov 18 2017 01: +0,3.0,1
211,Nov 19 2017 01: +0,2.997,2
212,Nov 20 2017 01: +0,2.488,2
213,Nov 21 2017 01: +0,2.632,4
214,Nov 22 2017 01: +0,3.167,1
215,Nov 23 2017 01: +0,1.349,1
216,Nov 24 2017 01: +0,2.127,1
217,Nov 26 2017 01: +0,2.356,3
218,Nov 27 2017 01: +0,2.737,1
219,Nov 29 2017 01: +0,2.485,2
220,Dec 01 2017 01: +0,2.258,4
221,Dec 02 2017 01: +0,2.336,3
222,Dec 03 2017 01: +0,2.572,4
223,Dec 04 2017 01: +0,2.732,3
224,Dec 05 2017 01: +0,2.797,2
225,Dec 06 2017 01: +0,2.99,1
226,Dec 07 2017 01: +0,2.938,4
227,Dec 09 2017 01: +0,3.044,3
228,Dec 10 2017 01: +0,3.138,4
229,Dec 11 2017 01: +0,3.277,2
230,Dec 12 2017 01: +0,3.041,4
231,Dec 13 2017 01: +0,2.45,1
232,Dec 14 2017 01: +0,2.81,3
233,Dec 15 2017 01: +0,2.948,1
234,Dec 16 2017 01: +0,3.108,2
235,Dec 17 2017 01: +0,2.519,1
236,Dec 18 2017 01: +0,2.848,5
237,Dec 19 2017 01: +0,3.431,1
238,Dec 20 2017 01: +0,3.45,1
239,Dec 23 2017 01: +0,3.273,2
240,Dec 24 2017 01: +0,3.18,5
241,Dec 25 2017 01: +0,3.457,7
242,Dec 26 2017 01: +0,3.731,4
243,Dec 27 2017 01: +0,3.892,6
244,Dec 28 2017 01: +0,4.381,4
245,Dec 29 2017 01: +0,4.94,2
246,Dec 30 2017 01: +0,2.791,1
247,Dec 31 2017 01: +0,4.379,4
248,Jan 01 2018 01: +0,4.861,4
249,Jan 02 2018 01: +0,5.114,1
250,Jan 03 2018 01: +0,3.772,1
251,Jan 04 2018 01: +0,3.42,3
252,Jan 06 2018 01: +0,3.994,2
253,Jan 07 2018 01: +0,3.717,3
254,Jan 08 2018 01: +0,3.574,3
255,Jan 09 2018 01: +0,3.93,5
256,Jan 11 2018 01: +0,4.188,2
257,Jan 12 2018 01: +0,4.247,1
258,Jan 13 2018 01: +0,3.772,2
259,Jan 15 2018 01: +0,4.128,2
260,Jan 16 2018 01: +0,4.456,5
261,Jan 17 2018 01: +0,4.271,1
262,Jan 18 2018 01: +0,4.69,1
263,Jan 19 2018 01: +0,4.952,3
264,Jan 20 2018 01: +0,4.774,3
265,Jan 21 2018 01: +0,3.021,2
266,Jan 22 2018 01: +0,3.79,1
267,Jan 23 2018 01: +0,3.496,2
