,time,price,volume
0,Jan 17 2019 01: +0,4.435,5
1,Jan 18 2019 01: +0,3.719,32
2,Jan 19 2019 01: +0,3.497,31
3,Jan 20 2019 01: +0,3.524,27
4,Jan 21 2019 01: +0,3.588,23
5,Jan 22 2019 01: +0,3.166,27
6,Jan 23 2019 01: +0,3.17,19
7,Jan 24 2019 01: +0,2.904,33
8,Jan 25 2019 01: +0,2.697,31
9,Jan 26 2019 01: +0,2.544,33
10,Jan 27 2019 01: +0,2.639,38
11,Jan 28 2019 01: +0,2.526,26
12,Jan 29 2019 01: +0,2.303,16
13,Jan 30 2019 01: +0,2.367,15
14,Jan 31 2019 01: +0,2.21,39
15,Feb 01 2019 01: +0,2.123,52
16,Feb 02 2019 01: +0,2.059,18
17,Feb 03 2019 01: +0,2.001,55
18,Feb 04 2019 01: +0,1.97,25
19,Feb 05 2019 01: +0,1.724,41
20,Feb 06 2019 01: +0,1.817,22
21,Feb 07 2019 01: +0,1.911,40
22,Feb 08 2019 01: +0,1.831,37
23,Feb 09 2019 01: +0,1.885,22
24,Feb 10 2019 01: +0,2.064,38
25,Feb 11 2019 01: +0,2.047,18
26,Feb 12 2019 01: +0,1.982,18
27,Feb 13 2019 01: +0,1.954,24
28,Feb 14 2019 01: +0,1.997,20
29,Feb 15 2019 01: +0,1.905,21
30,Feb 16 2019 01: +0,1.976,18
31,Feb 17 2019 01: +0,1.832,21
32,Feb 18 2019 01: +0,1.854,18
33,Feb 19 2019 01: +0,1.771,17
34,Feb 20 2019 01: +0,1.83,16
35,Feb 21 2019 01: +0,1.738,31
36,Feb 22 2019 01: +0,1.745,18
37,Feb 23 2019 01: +0,1.729,25
38,Feb 24 2019 01: +0,1.676,35
39,Feb 25 2019 01: +0,1.626,20
40,Feb 26 2019 01: +0,1.558,19
41,Feb 27 2019 01: +0,1.576,43
42,Feb 28 2019 01: +0,1.632,26
43,Mar 01 2019 01: +0,1.535,27
44,Mar 02 2019 01: +0,1.502,26
45,Mar 03 2019 01: +0,1.631,32
46,Mar 04 2019 01: +0,1.637,18
47,Mar 05 2019 01: +0,1.657,23
48,Mar 06 2019 01: +0,1.749,22
49,Mar 07 2019 01: +0,1.788,22
50,Mar 08 2019 01: +0,1.687,20
51,Mar 09 2019 01: +0,1.65,28
52,Mar 10 2019 01: +0,1.589,28
53,Mar 11 2019 01: +0,1.731,23
54,Mar 12 2019 01: +0,1.669,20
55,Mar 13 2019 01: +0,1.669,10
56,Mar 14 2019 01: +0,1.633,28
57,Mar 15 2019 01: +0,1.751,24
58,Mar 16 2019 01: +0,1.722,34
59,Mar 17 2019 01: +0,1.695,25
60,Mar 18 2019 01: +0,1.699,29
61,Mar 19 2019 01: +0,1.684,13
62,Mar 20 2019 01: +0,1.636,16
63,Mar 21 2019 01: +0,1.644,24
64,Mar 22 2019 01: +0,1.606,12
65,Mar 23 2019 01: +0,1.517,33
66,Mar 24 2019 01: +0,1.509,31
67,Mar 25 2019 01: +0,1.547,28
68,Mar 26 2019 01: +0,1.616,21
69,Mar 27 2019 01: +0,1.623,37
70,Mar 28 2019 01: +0,1.696,21
71,Mar 29 2019 01: +0,1.542,20
72,Mar 30 2019 01: +0,1.566,22
73,Mar 31 2019 01: +0,1.701,22
74,Apr 01 2019 01: +0,1.707,14
75,Apr 02 2019 01: +0,1.584,24
76,Apr 03 2019 01: +0,1.609,16
77,Apr 04 2019 01: +0,1.649,26
78,Apr 05 2019 01: +0,1.587,25
79,Apr 06 2019 01: +0,1.638,22
80,Apr 07 2019 01: +0,1.708,25
81,Apr 08 2019 01: +0,1.552,12
82,Apr 09 2019 01: +0,1.491,22
83,Apr 10 2019 01: +0,1.543,18
84,Apr 11 2019 01: +0,1.592,23
85,Apr 12 2019 01: +0,1.619,19
86,Apr 13 2019 01: +0,1.633,16
87,Apr 14 2019 01: +0,1.585,21
88,Apr 15 2019 01: +0,1.653,29
89,Apr 16 2019 01: +0,1.602,16
90,Apr 17 2019 01: +0,1.652,10
91,Apr 18 2019 01: +0,1.594,15
92,Apr 19 2019 01: +0,1.667,23
93,Apr 20 2019 01: +0,1.687,17
94,Apr 21 2019 01: +0,1.727,15
95,Apr 22 2019 01: +0,1.794,37
96,Apr 23 2019 01: +0,1.778,23
97,Apr 24 2019 01: +0,1.716,13
98,Apr 25 2019 01: +0,1.693,20
99,Apr 26 2019 01: +0,1.792,22
100,Apr 27 2019 01: +0,1.74,19
101,Apr 28 2019 01: +0,1.733,16
102,Apr 29 2019 01: +0,1.874,6
103,Apr 30 2019 01: +0,1.77,15
104,May 01 2019 01: +0,1.736,9
105,May 02 2019 01: +0,1.678,27
106,May 03 2019 01: +0,1.696,19
107,May 04 2019 01: +0,1.645,21
108,May 05 2019 01: +0,1.682,21
109,May 06 2019 01: +0,1.587,14
110,May 07 2019 01: +0,1.703,11
