,time,price,volume
0,Jun 08 2017 01: +0,2.237,8
1,Jun 09 2017 01: +0,2.138,25
2,Jun 10 2017 01: +0,2.202,25
3,Jun 11 2017 01: +0,2.21,16
4,Jun 12 2017 01: +0,1.944,15
5,Jun 13 2017 01: +0,2.15,21
6,Jun 14 2017 01: +0,2.151,17
7,Jun 15 2017 01: +0,1.952,27
8,Jun 16 2017 01: +0,1.691,31
9,Jun 17 2017 01: +0,1.865,29
10,Jun 18 2017 01: +0,1.836,16
11,Jun 19 2017 01: +0,1.904,18
12,Jun 20 2017 01: +0,1.943,24
13,Jun 21 2017 01: +0,2.133,17
14,Jun 22 2017 01: +0,1.915,17
15,Jun 23 2017 01: +0,1.949,19
16,Jun 24 2017 01: +0,1.797,16
17,Jun 25 2017 01: +0,1.764,10
18,Jun 26 2017 01: +0,1.684,14
19,Jun 27 2017 01: +0,1.739,21
20,Jun 28 2017 01: +0,1.964,16
21,Jun 29 2017 01: +0,2.041,16
22,Jun 30 2017 01: +0,1.957,21
23,Jul 01 2017 01: +0,2.199,15
24,Jul 02 2017 01: +0,2.358,13
25,Jul 03 2017 01: +0,2.398,15
26,Jul 04 2017 01: +0,2.4,11
27,Jul 05 2017 01: +0,2.178,14
28,Jul 06 2017 01: +0,2.258,22
29,Jul 07 2017 01: +0,2.342,13
30,Jul 08 2017 01: +0,2.143,19
31,Jul 09 2017 01: +0,2.135,10
32,Jul 10 2017 01: +0,2.06,8
33,Jul 11 2017 01: +0,2.227,17
34,Jul 12 2017 01: +0,2.12,11
35,Jul 13 2017 01: +0,2.146,21
36,Jul 14 2017 01: +0,2.194,13
37,Jul 15 2017 01: +0,2.254,16
38,Jul 16 2017 01: +0,1.998,9
39,Jul 17 2017 01: +0,2.159,13
40,Jul 18 2017 01: +0,2.118,11
41,Jul 19 2017 01: +0,2.107,5
42,Jul 20 2017 01: +0,2.006,14
43,Jul 21 2017 01: +0,2.001,10
44,Jul 22 2017 01: +0,2.152,7
45,Jul 23 2017 01: +0,2.224,10
46,Jul 24 2017 01: +0,2.142,7
47,Jul 25 2017 01: +0,1.914,8
48,Jul 26 2017 01: +0,1.912,14
49,Jul 27 2017 01: +0,2.06,8
50,Jul 28 2017 01: +0,1.886,9
51,Jul 29 2017 01: +0,1.913,6
52,Jul 30 2017 01: +0,2.202,11
53,Jul 31 2017 01: +0,2.224,15
54,Aug 01 2017 01: +0,2.241,12
55,Aug 02 2017 01: +0,2.189,7
56,Aug 03 2017 01: +0,2.06,17
57,Aug 04 2017 01: +0,2.11,9
58,Aug 05 2017 01: +0,2.045,6
59,Aug 06 2017 01: +0,1.956,14
60,Aug 07 2017 01: +0,2.05,7
61,Aug 08 2017 01: +0,1.825,9
62,Aug 09 2017 01: +0,2.056,9
63,Aug 10 2017 01: +0,1.945,8
64,Aug 11 2017 01: +0,1.948,11
65,Aug 12 2017 01: +0,1.892,14
66,Aug 13 2017 01: +0,1.971,11
67,Aug 14 2017 01: +0,1.983,12
68,Aug 15 2017 01: +0,1.824,9
69,Aug 16 2017 01: +0,2.067,16
70,Aug 17 2017 01: +0,1.86,13
71,Aug 18 2017 01: +0,1.941,7
72,Aug 19 2017 01: +0,1.929,12
73,Aug 20 2017 01: +0,1.655,12
74,Aug 21 2017 01: +0,1.926,6
75,Aug 22 2017 01: +0,1.756,7
76,Aug 23 2017 01: +0,1.907,12
77,Aug 24 2017 01: +0,1.932,9
78,Aug 25 2017 01: +0,1.866,6
79,Aug 26 2017 01: +0,1.851,9
80,Aug 27 2017 01: +0,1.838,10
81,Aug 28 2017 01: +0,1.799,6
82,Aug 29 2017 01: +0,1.589,7
83,Aug 30 2017 01: +0,1.82,9
84,Aug 31 2017 01: +0,1.716,13
85,Sep 01 2017 01: +0,1.837,12
86,Sep 02 2017 01: +0,1.643,9
87,Sep 03 2017 01: +0,1.791,14
88,Sep 04 2017 01: +0,1.997,10
89,Sep 05 2017 01: +0,1.751,5
90,Sep 06 2017 01: +0,1.789,7
91,Sep 07 2017 01: +0,1.62,10
92,Sep 08 2017 01: +0,1.67,8
93,Sep 09 2017 01: +0,1.715,9
94,Sep 10 2017 01: +0,1.721,8
95,Sep 11 2017 01: +0,1.777,7
96,Sep 12 2017 01: +0,1.632,5
97,Sep 13 2017 01: +0,1.629,7
98,Sep 14 2017 01: +0,1.506,7
99,Sep 15 2017 01: +0,1.721,10
100,Sep 16 2017 01: +0,1.767,9
